City/Town,Leading Candidate,SUSAN HATCH,Write-Ins,Blanks,Overvotes,Total Votes Cast,SUSAN HATCH Percent Votes Cast,Overvotes Percent
Brookfield,SUSAN HATCH,90,36,36,18,180,50.00%,10.00%
Brookline,SUSAN HATCH,37,14,14,7,72,51.39%,9.72%
Brownington,SUSAN HATCH,64,25,25,12,126,50.79%,9.52%
Brunswick,SUSAN HATCH,8,2,2,1,13,61.54%,7.69%
Burke,SUSAN HATCH,109,43,43,21,216,50.46%,9.72%
Burlington,SUSAN HATCH,3289,785,259,129,4462,73.71%,2.89%
Cabot,SUSAN HATCH,90,36,36,18,180,50.00%,10.00%
Calais,SUSAN HATCH,127,50,50,25,252,50.40%,9.92%
Cambridge,SUSAN HATCH,244,97,97,48,486,50.21%,9.88%
Canaan,SUSAN HATCH,64,25,25,12,126,50.79%,9.52%
Castleton,SUSAN HATCH,254,100,100,50,504,50.40%,9.92%
Cavendish,SUSAN HATCH,90,36,36,18,180,50.00%,10.00%
Charleston,SUSAN HATCH,64,25,25,12,126,50.79%,9.52%
Charlotte,SUSAN HATCH,299,118,118,59,594,50.34%,9.93%
Chelsea,SUSAN HATCH,82,32,32,16,162,50.62%,9.88%
Chester,SUSAN HATCH,209,82,82,41,414,50.48%,9.90%
Chittenden,SUSAN HATCH,90,36,36,18,180,50.00%,10.00%
Clarendon,SUSAN HATCH,172,68,68,34,342,50.29%,9.94%
Colchester,SUSAN HATCH,1417,399,252,126,2194,64.59%,5.74%
Concord,SUSAN HATCH,74,28,28,14,144,51.39%,9.72%
Corinth,SUSAN HATCH,101,39,39,19,198,51.01%,9.60%
Cornwall,SUSAN HATCH,90,36,36,18,180,50.00%,10.00%
Coventry,SUSAN HATCH,74,28,28,14,144,51.39%,9.72%
Craftsbury,SUSAN HATCH,82,32,32,16,162,50.62%,9.88%
Danby,SUSAN HATCH,90,36,36,18,180,50.00%,10.00%
Danville,SUSAN HATCH,164,64,64,32,324,50.62%,9.88%
Derby,SUSAN HATCH,315,126,126,63,630,50.00%,10.00%
Dorset,SUSAN HATCH,154,61,61,30,306,50.33%,9.80%
Dover,SUSAN HATCH,119,46,46,23,234,50.85%,9.83%
Dummerston,SUSAN HATCH,135,54,54,27,270,50.00%,10.00%
Duxbury,SUSAN HATCH,101,39,39,19,198,51.01%,9.60%
East Haven,SUSAN HATCH,19,7,7,3,36,52.78%,8.33%
East Montpelier,SUSAN HATCH,180,72,72,36,360,50.00%,10.00%
Eden,SUSAN HATCH,82,32,32,16,162,50.62%,9.88%
Elmore,SUSAN HATCH,64,25,25,12,126,50.79%,9.52%
Enosburgh,SUSAN HATCH,191,75,75,37,378,50.53%,9.79%
Essex Junction,SUSAN HATCH,694,259,241,120,1314,52.82%,9.13%
Essex,SUSAN HATCH,794,257,198,99,1348,58.90%,7.34%
Fair Haven,SUSAN HATCH,164,64,64,32,324,50.62%,9.88%
Fairfax,SUSAN HATCH,352,140,140,70,702,50.14%,9.97%
Fairfield,SUSAN HATCH,127,50,50,25,252,50.40%,9.92%
Fairlee,SUSAN HATCH,64,25,25,12,126,50.79%,9.52%
Fayston,SUSAN HATCH,109,43,43,21,216,50.46%,9.72%
Ferrisburgh,SUSAN HATCH,209,82,82,41,414,50.48%,9.90%
Fletcher,SUSAN HATCH,90,36,36,18,180,50.00%,10.00%
Franklin,SUSAN HATCH,90,36,36,18,180,50.00%,10.00%
Georgia,SUSAN HATCH,337,121,111,55,624,54.01%,8.81%
Glover,SUSAN HATCH,74,28,28,14,144,51.39%,9.72%
Goshen,SUSAN HATCH,11,3,3,1,18,61.11%,5.56%
Grafton,SUSAN HATCH,45,18,18,9,90,50.00%,10.00%
Granby,SUSAN HATCH,6,2,1,0,9,66.67%,0.00%
Grand Isle,SUSAN HATCH,164,64,64,32,324,50.62%,9.88%
Granville,SUSAN HATCH,19,7,7,3,36,52.78%,8.33%
Greensboro,SUSAN HATCH,56,21,21,10,108,51.85%,9.26%
Groton,SUSAN HATCH,64,25,25,12,126,50.79%,9.52%
Guildhall,SUSAN HATCH,19,7,7,3,36,52.78%,8.33%
Guilford,SUSAN HATCH,154,61,61,30,306,50.33%,9.80%
Halifax,SUSAN HATCH,56,21,21,10,108,51.85%,9.26%
Hancock,SUSAN HATCH,19,7,7,3,36,52.78%,8.33%
Hardwick,SUSAN HATCH,199,79,79,39,396,50.25%,9.85%
Hartford,SUSAN HATCH,831,305,280,140,1556,53.41%,9.00%
Hartland,SUSAN HATCH,262,104,104,52,522,50.19%,9.96%
Highgate,SUSAN HATCH,217,86,86,43,432,50.23%,9.95%
Hinesburg,SUSAN HATCH,358,141,140,70,709,50.49%,9.87%
Holland,SUSAN HATCH,37,14,14,7,72,51.39%,9.72%
Hubbardton,SUSAN HATCH,45,18,18,9,90,50.00%,10.00%
Huntington,SUSAN HATCH,154,61,61,30,306,50.33%,9.80%
Hyde Park,SUSAN HATCH,199,79,79,39,396,50.25%,9.85%
Ira,SUSAN HATCH,29,10,10,5,54,53.70%,9.26%
Irasburg,SUSAN HATCH,74,28,28,14,144,51.39%,9.72%
Isle La Motte,SUSAN HATCH,37,14,14,7,72,51.39%,9.72%
Jamaica,SUSAN HATCH,64,25,25,12,126,50.79%,9.52%
Jay,SUSAN HATCH,37,14,14,7,72,51.39%,9.72%
Jericho,SUSAN HATCH,389,154,154,77,774,50.26%,9.95%
Johnson,SUSAN HATCH,180,72,72,36,360,50.00%,10.00%
Killington,SUSAN HATCH,90,36,36,18,180,50.00%,10.00%
Kirby,SUSAN HATCH,37,14,14,7,72,51.39%,9.72%
Landgrove,SUSAN HATCH,11,3,3,1,18,61.11%,5.56%
Leicester,SUSAN HATCH,64,25,25,12,126,50.79%,9.52%
Lemington,SUSAN HATCH,8,3,3,1,15,53.33%,6.67%
Lincoln,SUSAN HATCH,101,39,39,19,198,51.01%,9.60%
Londonderry,SUSAN HATCH,146,57,57,28,288,50.69%,9.72%
Lowell,SUSAN HATCH,64,25,25,12,126,50.79%,9.52%
Ludlow,SUSAN HATCH,146,57,57,28,288,50.69%,9.72%
Lunenburg,SUSAN HATCH,101,39,39,19,198,51.01%,9.60%
Lyndon,SUSAN HATCH,326,129,129,64,648,50.31%,9.88%
Maidstone,SUSAN HATCH,11,3,3,1,18,61.11%,5.56%
Manchester,SUSAN HATCH,326,129,129,64,648,50.31%,9.88%
Marlboro,SUSAN HATCH,64,25,25,12,126,50.79%,9.52%
Marshfield,SUSAN HATCH,101,39,39,19,198,51.01%,9.60%
Mendon,SUSAN HATCH,82,32,32,16,162,50.62%,9.88%
Middlebury,SUSAN HATCH,517,193,183,91,984,52.54%,9.25%
Middlesex,SUSAN HATCH,135,54,54,27,270,50.00%,10.00%
Middletown Springs,SUSAN HATCH,64,25,25,12,126,50.79%,9.52%
Milton,SUSAN HATCH,750,247,198,99,1294,57.96%,7.65%
Monkton,SUSAN HATCH,164,64,64,32,324,50.62%,9.88%
Montgomery,SUSAN HATCH,82,32,32,16,162,50.62%,9.88%
Montpelier,SUSAN HATCH,659,262,262,131,1314,50.15%,9.97%
Moretown,SUSAN HATCH,127,50,50,25,252,50.40%,9.92%
Morgan,SUSAN HATCH,45,18,18,9,90,50.00%,10.00%
Morristown,SUSAN HATCH,379,151,151,75,756,50.13%,9.92%
Mount Holly,SUSAN HATCH,90,36,36,18,180,50.00%,10.00%
Mount Tabor,SUSAN HATCH,11,3,3,1,18,61.11%,5.56%
New Haven,SUSAN HATCH,111,37,32,16,196,56.63%,8.16%
Newark,SUSAN HATCH,37,14,14,7,72,51.39%,9.72%
Newbury,SUSAN HATCH,135,54,54,27,270,50.00%,10.00%
Newfane,SUSAN HATCH,119,46,46,23,234,50.85%,9.83%
Newport City,SUSAN HATCH,360,144,144,72,720,50.00%,10.00%
Newport Town,SUSAN HATCH,119,46,46,23,234,50.85%,9.83%
North Hero,SUSAN HATCH,74,28,28,14,144,51.39%,9.72%
Northfield,SUSAN HATCH,299,118,118,59,594,50.34%,9.93%
Norton,SUSAN HATCH,11,3,3,1,18,61.11%,5.56%
Norwich,SUSAN HATCH,270,108,108,54,540,50.00%,10.00%
Orange,SUSAN HATCH,74,28,28,14,144,51.39%,9.72%
Orwell,SUSAN HATCH,82,32,32,16,162,50.62%,9.88%
Panton,SUSAN HATCH,45,18,18,9,90,50.00%,10.00%
Pawlet,SUSAN HATCH,101,39,39,19,198,51.01%,9.60%
Peacham,SUSAN HATCH,56,21,21,10,108,51.85%,9.26%
Peru,SUSAN HATCH,29,10,10,5,54,53.70%,9.26%
Pittsfield,SUSAN HATCH,37,14,14,7,72,51.39%,9.72%
Pittsford,SUSAN HATCH,209,82,82,41,414,50.48%,9.90%
Plainfield,SUSAN HATCH,90,36,36,18,180,50.00%,10.00%
Plymouth,SUSAN HATCH,37,14,14,7,72,51.39%,9.72%
Pomfret,SUSAN HATCH,64,25,25,12,126,50.79%,9.52%
Poultney,SUSAN HATCH,199,79,79,39,396,50.25%,9.85%
Pownal,SUSAN HATCH,210,71,61,30,372,56.45%,8.06%
Proctor,SUSAN HATCH,119,46,46,23,234,50.85%,9.83%
Putney,SUSAN HATCH,172,68,68,34,342,50.29%,9.94%
Randolph,SUSAN HATCH,334,133,133,66,666,50.15%,9.91%
Reading,SUSAN HATCH,45,18,18,9,90,50.00%,10.00%
Readsboro,SUSAN HATCH,45,18,18,9,90,50.00%,10.00%
Richford,SUSAN HATCH,146,57,57,28,288,50.69%,9.72%
Richmond,SUSAN HATCH,299,118,118,59,594,50.34%,9.93%
Ripton,SUSAN HATCH,37,14,14,7,72,51.39%,9.72%
Rochester,SUSAN HATCH,82,32,32,16,162,50.62%,9.88%
Rockingham,SUSAN HATCH,326,129,129,64,648,50.31%,9.88%
Roxbury,SUSAN HATCH,45,18,18,9,90,50.00%,10.00%
Royalton,SUSAN HATCH,180,72,72,36,360,50.00%,10.00%
Rupert,SUSAN HATCH,45,18,18,9,90,50.00%,10.00%
Rutland City,SUSAN HATCH,994,254,115,57,1420,70.00%,4.01%
Rutland Town,SUSAN HATCH,289,88,61,30,468,61.75%,6.41%
Ryegate,SUSAN HATCH,74,28,28,14,144,51.39%,9.72%
Saint Albans City,SUSAN HATCH,506,170,140,70,886,57.11%,7.90%
Saint Albans Town,SUSAN HATCH,463,150,118,59,790,58.61%,7.47%
Saint George,SUSAN HATCH,56,21,21,10,108,51.85%,9.26%
Saint Johnsbury,SUSAN HATCH,405,162,162,81,810,50.00%,10.00%
Salisbury,SUSAN HATCH,82,32,32,16,162,50.62%,9.88%
Sandgate,SUSAN HATCH,29,10,10,5,54,53.70%,9.26%
Searsburg,SUSAN HATCH,9,3,3,1,16,56.25%,6.25%
Shaftsbury,SUSAN HATCH,262,104,104,52,522,50.19%,9.96%
Sharon,SUSAN HATCH,101,39,39,19,198,51.01%,9.60%
Sheffield,SUSAN HATCH,37,14,14,7,72,51.39%,9.72%
Shelburne,SUSAN HATCH,607,184,129,64,984,61.69%,6.50%
Sheldon,SUSAN HATCH,127,50,50,25,252,50.40%,9.92%
Shoreham,SUSAN HATCH,74,28,28,14,144,51.39%,9.72%
Shrewsbury,SUSAN HATCH,82,32,32,16,162,50.62%,9.88%
South Burlington,SUSAN HATCH,1449,353,136,68,2006,72.23%,3.39%
South Hero,SUSAN HATCH,146,57,57,28,288,50.69%,9.72%
Springfield,SUSAN HATCH,551,219,219,109,1098,50.18%,9.93%
Stamford,SUSAN HATCH,64,25,25,12,126,50.79%,9.52%
Stannard,SUSAN HATCH,11,3,3,1,18,61.11%,5.56%
Starksboro,SUSAN HATCH,119,46,46,23,234,50.85%,9.83%
Stockbridge,SUSAN HATCH,45,18,18,9,90,50.00%,10.00%
Stowe,SUSAN HATCH,405,153,144,72,774,52.33%,9.30%
Strafford,SUSAN HATCH,82,32,32,16,162,50.62%,9.88%
Stratton,SUSAN HATCH,19,7,7,3,36,52.78%,8.33%
Sudbury,SUSAN HATCH,37,14,14,7,72,51.39%,9.72%
Sunderland,SUSAN HATCH,74,23,18,9,124,59.68%,7.26%
Sutton,SUSAN HATCH,64,25,25,12,126,50.79%,9.52%
Swanton,SUSAN HATCH,416,165,165,82,828,50.24%,9.90%
Thetford,SUSAN HATCH,199,79,79,39,396,50.25%,9.85%
Tinmouth,SUSAN HATCH,37,14,14,7,72,51.39%,9.72%
Topsham,SUSAN HATCH,82,32,32,16,162,50.62%,9.88%
Townshend,SUSAN HATCH,101,39,39,19,198,51.01%,9.60%
Troy,SUSAN HATCH,101,39,39,19,198,51.01%,9.60%
Tunbridge,SUSAN HATCH,101,39,39,19,198,51.01%,9.60%
Underhill,SUSAN HATCH,236,93,93,46,468,50.43%,9.83%
Vergennes,SUSAN HATCH,191,75,75,37,378,50.53%,9.79%
Vernon,SUSAN HATCH,164,64,64,32,324,50.62%,9.88%
Vershire,SUSAN HATCH,45,18,18,9,90,50.00%,10.00%
Victory,SUSAN HATCH,6,2,2,1,11,54.55%,9.09%
Waitsfield,SUSAN HATCH,127,50,50,25,252,50.40%,9.92%
Walden,SUSAN HATCH,64,25,25,12,126,50.79%,9.52%
Wallingford,SUSAN HATCH,135,54,54,27,270,50.00%,10.00%
Waltham,SUSAN HATCH,37,14,14,7,72,51.39%,9.72%
Wardsboro,SUSAN HATCH,56,21,21,10,108,51.85%,9.26%
Warren,SUSAN HATCH,135,54,54,27,270,50.00%,10.00%
Washington,SUSAN HATCH,74,28,28,14,144,51.39%,9.72%
Waterbury,SUSAN HATCH,397,158,158,79,792,50.13%,9.97%
Waterford,SUSAN HATCH,90,36,36,18,180,50.00%,10.00%
Waterville,SUSAN HATCH,45,18,18,9,90,50.00%,10.00%
Weathersfield,SUSAN HATCH,217,86,86,43,432,50.23%,9.95%
Wells,SUSAN HATCH,82,25,18,9,134,61.19%,6.72%
West Fairlee,SUSAN HATCH,45,18,18,9,90,50.00%,10.00%
West Haven,SUSAN HATCH,11,3,3,1,18,61.11%,5.56%
West Rutland,SUSAN HATCH,146,57,57,28,288,50.69%,9.72%
West Windsor,SUSAN HATCH,90,36,36,18,180,50.00%,10.00%
Westfield,SUSAN HATCH,37,14,14,7,72,51.39%,9.72%
Westford,SUSAN HATCH,154,61,61,30,306,50.33%,9.80%
Westminster,SUSAN HATCH,225,90,90,45,450,50.00%,10.00%
Westmore,SUSAN HATCH,19,7,7,3,36,52.78%,8.33%
Weston,SUSAN HATCH,45,18,18,9,90,50.00%,10.00%
Weybridge,SUSAN HATCH,64,25,25,12,126,50.79%,9.52%
Wheelock,SUSAN HATCH,45,18,18,9,90,50.00%,10.00%
Whiting,SUSAN HATCH,19,7,7,3,36,52.78%,8.33%
Whitingham,SUSAN HATCH,90,36,36,18,180,50.00%,10.00%
Williamstown,SUSAN HATCH,217,79,72,36,404,53.71%,8.91%
Williston,SUSAN HATCH,1388,415,277,138,2218,62.58%,6.22%
Wilmington,SUSAN HATCH,146,57,57,28,288,50.69%,9.72%
Windham,SUSAN HATCH,29,10,10,5,54,53.70%,9.26%
Windsor,SUSAN HATCH,236,93,93,46,468,50.43%,9.83%
Winhall,SUSAN HATCH,64,25,25,12,126,50.79%,9.52%
Winooski,SUSAN HATCH,495,198,198,99,990,50.00%,10.00%
Wolcott,SUSAN HATCH,109,43,43,21,216,50.46%,9.72%
Woodbury,SUSAN HATCH,64,25,25,12,126,50.79%,9.52%
Woodford,SUSAN HATCH,19,7,7,3,36,52.78%,8.33%
Woodstock,SUSAN HATCH,254,100,100,50,504,50.40%,9.92%
Worcester,SUSAN HATCH,64,25,25,12,126,50.79%,9.52%
