City/Town,Leading Candidate,BRENDA SIEGEL,Write-Ins,Blanks,Overvotes,Total Votes Cast,BRENDA SIEGEL Percent Votes Cast,Overvotes Percent
Brighton,BRENDA SIEGEL,202,82,81,40,405,49.88%,9.88%
Bristol,BRENDA SIEGEL,720,288,288,144,1440,50.00%,10.00%
Brookfield,BRENDA SIEGEL,225,90,90,45,450,50.00%,10.00%
Brookline,BRENDA SIEGEL,90,36,36,18,180,50.00%,10.00%
Brownington,BRENDA SIEGEL,157,64,63,31,315,49.84%,9.84%
Brunswick,BRENDA SIEGEL,16,7,6,3,32,50.00%,9.38%
Burke,BRENDA SIEGEL,270,108,108,54,540,50.00%,10.00%
Burlington,BRENDA SIEGEL,8212,1967,648,324,11151,73.64%,2.91%
Cabot,BRENDA SIEGEL,225,90,90,45,450,50.00%,10.00%
Calais,BRENDA SIEGEL,315,126,126,63,630,50.00%,10.00%
Cambridge,BRENDA SIEGEL,607,244,243,121,1215,49.96%,9.96%
Canaan,BRENDA SIEGEL,157,64,63,31,315,49.84%,9.84%
Castleton,BRENDA SIEGEL,630,252,252,126,1260,50.00%,10.00%
Cavendish,BRENDA SIEGEL,225,90,90,45,450,50.00%,10.00%
Charleston,BRENDA SIEGEL,157,64,63,31,315,49.84%,9.84%
Charlotte,BRENDA SIEGEL,742,298,297,148,1485,49.97%,9.97%
Chelsea,BRENDA SIEGEL,202,82,81,40,405,49.88%,9.88%
Chester,BRENDA SIEGEL,517,208,207,103,1035,49.95%,9.95%
Chittenden,BRENDA SIEGEL,225,90,90,45,450,50.00%,10.00%
Clarendon,BRENDA SIEGEL,427,172,171,85,855,49.94%,9.94%
Colchester,BRENDA SIEGEL,3990,1073,630,315,6008,66.41%,5.24%
Concord,BRENDA SIEGEL,180,72,72,36,360,50.00%,10.00%
Corinth,BRENDA SIEGEL,247,100,99,49,495,49.90%,9.90%
Cornwall,BRENDA SIEGEL,225,90,90,45,450,50.00%,10.00%
Coventry,BRENDA SIEGEL,180,72,72,36,360,50.00%,10.00%
Craftsbury,BRENDA SIEGEL,202,82,81,40,405,49.88%,9.88%
Danby,BRENDA SIEGEL,225,90,90,45,450,50.00%,10.00%
Danville,BRENDA SIEGEL,405,162,162,81,810,50.00%,10.00%
Derby,BRENDA SIEGEL,787,316,315,157,1575,49.97%,9.97%
Dorset,BRENDA SIEGEL,382,154,153,76,765,49.93%,9.93%
Dover,BRENDA SIEGEL,292,118,117,58,585,49.91%,9.91%
Dummerston,BRENDA SIEGEL,337,136,135,67,675,49.93%,9.93%
Duxbury,BRENDA SIEGEL,247,100,99,49,495,49.90%,9.90%
East Haven,BRENDA SIEGEL,45,18,18,9,90,50.00%,10.00%
East Montpelier,BRENDA SIEGEL,450,180,180,90,900,50.00%,10.00%
Eden,BRENDA SIEGEL,202,82,81,40,405,49.88%,9.88%
Elmore,BRENDA SIEGEL,157,64,63,31,315,49.84%,9.84%
Enosburgh,BRENDA SIEGEL,472,190,189,94,945,49.95%,9.95%
Essex Junction,BRENDA SIEGEL,1732,649,603,301,3285,52.72%,9.16%
Essex,BRENDA SIEGEL,1979,645,495,247,3366,58.79%,7.34%
Fair Haven,BRENDA SIEGEL,405,162,162,81,810,50.00%,10.00%
Fairfax,BRENDA SIEGEL,877,352,351,175,1755,49.97%,9.97%
Fairfield,BRENDA SIEGEL,315,126,126,63,630,50.00%,10.00%
Fairlee,BRENDA SIEGEL,157,64,63,31,315,49.84%,9.84%
Fayston,BRENDA SIEGEL,270,108,108,54,540,50.00%,10.00%
Ferrisburgh,BRENDA SIEGEL,517,208,207,103,1035,49.95%,9.95%
Fletcher,BRENDA SIEGEL,225,90,90,45,450,50.00%,10.00%
Franklin,BRENDA SIEGEL,225,90,90,45,450,50.00%,10.00%
Georgia,BRENDA SIEGEL,832,307,279,139,1557,53.44%,8.93%
Glover,BRENDA SIEGEL,180,72,72,36,360,50.00%,10.00%
Goshen,BRENDA SIEGEL,22,10,9,4,45,48.89%,8.89%
Grafton,BRENDA SIEGEL,112,46,45,22,225,49.78%,9.78%
Granby,BRENDA SIEGEL,11,6,4,2,23,47.83%,8.70%
Grand Isle,BRENDA SIEGEL,405,162,162,81,810,50.00%,10.00%
Granville,BRENDA SIEGEL,45,18,18,9,90,50.00%,10.00%
Greensboro,BRENDA SIEGEL,135,54,54,27,270,50.00%,10.00%
Groton,BRENDA SIEGEL,157,64,63,31,315,49.84%,9.84%
Guildhall,BRENDA SIEGEL,45,18,18,9,90,50.00%,10.00%
Guilford,BRENDA SIEGEL,382,154,153,76,765,49.93%,9.93%
Halifax,BRENDA SIEGEL,135,54,54,27,270,50.00%,10.00%
Hancock,BRENDA SIEGEL,45,18,18,9,90,50.00%,10.00%
Hardwick,BRENDA SIEGEL,495,198,198,99,990,50.00%,10.00%
Hartford,BRENDA SIEGEL,2070,765,702,351,3888,53.24%,9.03%
Hartland,BRENDA SIEGEL,652,262,261,130,1305,49.96%,9.96%
Highgate,BRENDA SIEGEL,540,216,216,108,1080,50.00%,10.00%
Hinesburg,BRENDA SIEGEL,890,355,351,175,1771,50.25%,9.88%
Holland,BRENDA SIEGEL,90,36,36,18,180,50.00%,10.00%
Hubbardton,BRENDA SIEGEL,112,46,45,22,225,49.78%,9.78%
Huntington,BRENDA SIEGEL,382,154,153,76,765,49.93%,9.93%
Hyde Park,BRENDA SIEGEL,495,198,198,99,990,50.00%,10.00%
Ira,BRENDA SIEGEL,67,28,27,13,135,49.63%,9.63%
Irasburg,BRENDA SIEGEL,180,72,72,36,360,50.00%,10.00%
Isle La Motte,BRENDA SIEGEL,90,36,36,18,180,50.00%,10.00%
Jamaica,BRENDA SIEGEL,157,64,63,31,315,49.84%,9.84%
Jay,BRENDA SIEGEL,90,36,36,18,180,50.00%,10.00%
Jericho,BRENDA SIEGEL,967,388,387,193,1935,49.97%,9.97%
Johnson,BRENDA SIEGEL,450,180,180,90,900,50.00%,10.00%
Killington,BRENDA SIEGEL,225,90,90,45,450,50.00%,10.00%
Kirby,BRENDA SIEGEL,90,36,36,18,180,50.00%,10.00%
Landgrove,BRENDA SIEGEL,22,10,9,4,45,48.89%,8.89%
Leicester,BRENDA SIEGEL,157,64,63,31,315,49.84%,9.84%
Lemington,BRENDA SIEGEL,18,8,7,3,36,50.00%,8.33%
Lincoln,BRENDA SIEGEL,247,100,99,49,495,49.90%,9.90%
Londonderry,BRENDA SIEGEL,360,144,144,72,720,50.00%,10.00%
Lowell,BRENDA SIEGEL,157,64,63,31,315,49.84%,9.84%
Ludlow,BRENDA SIEGEL,360,144,144,72,720,50.00%,10.00%
Lunenburg,BRENDA SIEGEL,247,100,99,49,495,49.90%,9.90%
Lyndon,BRENDA SIEGEL,810,324,324,162,1620,50.00%,10.00%
Maidstone,BRENDA SIEGEL,22,10,9,4,45,48.89%,8.89%
Manchester,BRENDA SIEGEL,810,324,324,162,1620,50.00%,10.00%
Marlboro,BRENDA SIEGEL,157,64,63,31,315,49.84%,9.84%
Marshfield,BRENDA SIEGEL,247,100,99,49,495,49.90%,9.90%
Mendon,BRENDA SIEGEL,202,82,81,40,405,49.88%,9.88%
Middlebury,BRENDA SIEGEL,1282,487,459,229,2457,52.18%,9.32%
Middlesex,BRENDA SIEGEL,337,136,135,67,675,49.93%,9.93%
Middletown Springs,BRENDA SIEGEL,157,64,63,31,315,49.84%,9.84%
Milton,BRENDA SIEGEL,1866,623,495,247,3231,57.75%,7.64%
Monkton,BRENDA SIEGEL,405,162,162,81,810,50.00%,10.00%
Montgomery,BRENDA SIEGEL,202,82,81,40,405,49.88%,9.88%
Montpelier,BRENDA SIEGEL,1642,658,657,328,3285,49.98%,9.98%
Moretown,BRENDA SIEGEL,315,126,126,63,630,50.00%,10.00%
Morgan,BRENDA SIEGEL,112,46,45,22,225,49.78%,9.78%
Morristown,BRENDA SIEGEL,945,378,378,189,1890,50.00%,10.00%
Mount Holly,BRENDA SIEGEL,225,90,90,45,450,50.00%,10.00%
Mount Tabor,BRENDA SIEGEL,22,10,9,4,45,48.89%,8.89%
New Haven,BRENDA SIEGEL,269,96,81,40,486,55.35%,8.23%
Newark,BRENDA SIEGEL,90,36,36,18,180,50.00%,10.00%
Newbury,BRENDA SIEGEL,337,136,135,67,675,49.93%,9.93%
Newfane,BRENDA SIEGEL,292,118,117,58,585,49.91%,9.91%
Newport City,BRENDA SIEGEL,900,360,360,180,1800,50.00%,10.00%
Newport Town,BRENDA SIEGEL,292,118,117,58,585,49.91%,9.91%
North Hero,BRENDA SIEGEL,180,72,72,36,360,50.00%,10.00%
Northfield,BRENDA SIEGEL,742,298,297,148,1485,49.97%,9.97%
Norton,BRENDA SIEGEL,22,10,9,4,45,48.89%,8.89%
Norwich,BRENDA SIEGEL,675,270,270,135,1350,50.00%,10.00%
Orange,BRENDA SIEGEL,180,72,72,36,360,50.00%,10.00%
Orwell,BRENDA SIEGEL,202,82,81,40,405,49.88%,9.88%
Panton,BRENDA SIEGEL,112,46,45,22,225,49.78%,9.78%
Pawlet,BRENDA SIEGEL,247,100,99,49,495,49.90%,9.90%
Peacham,BRENDA SIEGEL,135,54,54,27,270,50.00%,10.00%
Peru,BRENDA SIEGEL,67,28,27,13,135,49.63%,9.63%
Pittsfield,BRENDA SIEGEL,90,36,36,18,180,50.00%,10.00%
Pittsford,BRENDA SIEGEL,517,208,207,103,1035,49.95%,9.95%
Plainfield,BRENDA SIEGEL,225,90,90,45,450,50.00%,10.00%
Plymouth,BRENDA SIEGEL,90,36,36,18,180,50.00%,10.00%
Pomfret,BRENDA SIEGEL,157,64,63,31,315,49.84%,9.84%
Poultney,BRENDA SIEGEL,495,198,198,99,990,50.00%,10.00%
Pownal,BRENDA SIEGEL,517,181,153,76,927,55.77%,8.20%
Proctor,BRENDA SIEGEL,292,118,117,58,585,49.91%,9.91%
Putney,BRENDA SIEGEL,427,172,171,85,855,49.94%,9.94%
Randolph,BRENDA SIEGEL,832,334,333,166,1665,49.97%,9.97%
Reading,BRENDA SIEGEL,112,46,45,22,225,49.78%,9.78%
Readsboro,BRENDA SIEGEL,112,46,45,22,225,49.78%,9.78%
Richford,BRENDA SIEGEL,360,144,144,72,720,50.00%,10.00%
Richmond,BRENDA SIEGEL,742,298,297,148,1485,49.97%,9.97%
Ripton,BRENDA SIEGEL,90,36,36,18,180,50.00%,10.00%
Rochester,BRENDA SIEGEL,202,82,81,40,405,49.88%,9.88%
Rockingham,BRENDA SIEGEL,810,324,324,162,1620,50.00%,10.00%
Roxbury,BRENDA SIEGEL,112,46,45,22,225,49.78%,9.78%
Royalton,BRENDA SIEGEL,450,180,180,90,900,50.00%,10.00%
Rupert,BRENDA SIEGEL,112,46,45,22,225,49.78%,9.78%
Rutland City,BRENDA SIEGEL,2474,640,288,144,3546,69.77%,4.06%
Rutland Town,BRENDA SIEGEL,719,222,153,76,1170,61.45%,6.50%
Ryegate,BRENDA SIEGEL,180,72,72,36,360,50.00%,10.00%
Saint Albans City,BRENDA SIEGEL,1259,429,351,175,2214,56.87%,7.90%
Saint Albans Town,BRENDA SIEGEL,1147,379,297,148,1971,58.19%,7.51%
Saint George,BRENDA SIEGEL,135,54,54,27,270,50.00%,10.00%
Saint Johnsbury,BRENDA SIEGEL,1012,406,405,202,2025,49.98%,9.98%
Salisbury,BRENDA SIEGEL,202,82,81,40,405,49.88%,9.88%
Sandgate,BRENDA SIEGEL,67,28,27,13,135,49.63%,9.63%
Searsburg,BRENDA SIEGEL,20,9,8,4,41,48.78%,9.76%
Shaftsbury,BRENDA SIEGEL,652,262,261,130,1305,49.96%,9.96%
Sharon,BRENDA SIEGEL,247,100,99,49,495,49.90%,9.90%
Sheffield,BRENDA SIEGEL,90,36,36,18,180,50.00%,10.00%
Shelburne,BRENDA SIEGEL,1507,464,324,162,2457,61.33%,6.59%
Sheldon,BRENDA SIEGEL,315,126,126,63,630,50.00%,10.00%
Shoreham,BRENDA SIEGEL,180,72,72,36,360,50.00%,10.00%
Shrewsbury,BRENDA SIEGEL,202,82,81,40,405,49.88%,9.88%
South Burlington,BRENDA SIEGEL,3599,892,342,171,5004,71.92%,3.42%
South Hero,BRENDA SIEGEL,360,144,144,72,720,50.00%,10.00%
Springfield,BRENDA SIEGEL,1372,550,549,274,2745,49.98%,9.98%
Stamford,BRENDA SIEGEL,157,64,63,31,315,49.84%,9.84%
Stannard,BRENDA SIEGEL,22,10,9,4,45,48.89%,8.89%
Starksboro,BRENDA SIEGEL,292,118,117,58,585,49.91%,9.91%
Stockbridge,BRENDA SIEGEL,112,46,45,22,225,49.78%,9.78%
Stowe,BRENDA SIEGEL,1012,383,360,180,1935,52.30%,9.30%
Strafford,BRENDA SIEGEL,202,82,81,40,405,49.88%,9.88%
Stratton,BRENDA SIEGEL,45,18,18,9,90,50.00%,10.00%
Sudbury,BRENDA SIEGEL,90,36,36,18,180,50.00%,10.00%
Sunderland,BRENDA SIEGEL,179,60,45,22,306,58.50%,7.19%
Sutton,BRENDA SIEGEL,157,64,63,31,315,49.84%,9.84%
Swanton,BRENDA SIEGEL,1035,414,414,207,2070,50.00%,10.00%
Thetford,BRENDA SIEGEL,495,198,198,99,990,50.00%,10.00%
Tinmouth,BRENDA SIEGEL,90,36,36,18,180,50.00%,10.00%
Topsham,BRENDA SIEGEL,202,82,81,40,405,49.88%,9.88%
Townshend,BRENDA SIEGEL,247,100,99,49,495,49.90%,9.90%
Troy,BRENDA SIEGEL,247,100,99,49,495,49.90%,9.90%
Tunbridge,BRENDA SIEGEL,247,100,99,49,495,49.90%,9.90%
Underhill,BRENDA SIEGEL,585,234,234,117,1170,50.00%,10.00%
Vergennes,BRENDA SIEGEL,472,190,189,94,945,49.95%,9.95%
Vernon,BRENDA SIEGEL,405,162,162,81,810,50.00%,10.00%
Vershire,BRENDA SIEGEL,112,46,45,22,225,49.78%,9.78%
Victory,BRENDA SIEGEL,13,7,5,2,27,48.15%,7.41%
Waitsfield,BRENDA SIEGEL,315,126,126,63,630,50.00%,10.00%
Walden,BRENDA SIEGEL,157,64,63,31,315,49.84%,9.84%
Wallingford,BRENDA SIEGEL,337,136,135,67,675,49.93%,9.93%
Waltham,BRENDA SIEGEL,90,36,36,18,180,50.00%,10.00%
Wardsboro,BRENDA SIEGEL,135,54,54,27,270,50.00%,10.00%
Warren,BRENDA SIEGEL,337,136,135,67,675,49.93%,9.93%
Washington,BRENDA SIEGEL,180,72,72,36,360,50.00%,10.00%
Waterbury,BRENDA SIEGEL,990,396,396,198,1980,50.00%,10.00%
Waterford,BRENDA SIEGEL,225,90,90,45,450,50.00%,10.00%
Waterville,BRENDA SIEGEL,112,46,45,22,225,49.78%,9.78%
Weathersfield,BRENDA SIEGEL,540,216,216,108,1080,50.00%,10.00%
Wells,BRENDA SIEGEL,202,64,45,22,333,60.66%,6.61%
West Fairlee,BRENDA SIEGEL,112,46,45,22,225,49.78%,9.78%
West Haven,BRENDA SIEGEL,22,10,9,4,45,48.89%,8.89%
West Rutland,BRENDA SIEGEL,360,144,144,72,720,50.00%,10.00%
West Windsor,BRENDA SIEGEL,225,90,90,45,450,50.00%,10.00%
Westfield,BRENDA SIEGEL,90,36,36,18,180,50.00%,10.00%
Westford,BRENDA SIEGEL,382,154,153,76,765,49.93%,9.93%
Westminster,BRENDA SIEGEL,562,226,225,112,1125,49.96%,9.96%
Westmore,BRENDA SIEGEL,45,18,18,9,90,50.00%,10.00%
Weston,BRENDA SIEGEL,112,46,45,22,225,49.78%,9.78%
Weybridge,BRENDA SIEGEL,157,64,63,31,315,49.84%,9.84%
Wheelock,BRENDA SIEGEL,112,46,45,22,225,49.78%,9.78%
Whiting,BRENDA SIEGEL,45,18,18,9,90,50.00%,10.00%
Whitingham,BRENDA SIEGEL,225,90,90,45,450,50.00%,10.00%
Williamstown,BRENDA SIEGEL,540,198,180,90,1008,53.57%,8.93%
Williston,BRENDA SIEGEL,3464,1041,693,346,5544,62.48%,6.24%
Wilmington,BRENDA SIEGEL,360,144,144,72,720,50.00%,10.00%
Windham,BRENDA SIEGEL,67,28,27,13,135,49.63%,9.63%
Windsor,BRENDA SIEGEL,585,234,234,117,1170,50.00%,10.00%
Winhall,BRENDA SIEGEL,157,64,63,31,315,49.84%,9.84%
Winooski,BRENDA SIEGEL,1237,496,495,247,2475,49.98%,9.98%
Wolcott,BRENDA SIEGEL,270,108,108,54,540,50.00%,10.00%
Woodbury,BRENDA SIEGEL,157,64,63,31,315,49.84%,9.84%
Woodford,BRENDA SIEGEL,45,18,18,9,90,50.00%,10.00%
Woodstock,BRENDA SIEGEL,630,252,252,126,1260,50.00%,10.00%
Worcester,BRENDA SIEGEL,157,64,63,31,315,49.84%,9.84%
