City/Town,Leading Candidate,Gerald Malloy (R),Mark Coester (R),Write-Ins,Blanks,Overvotes,Total Votes Cast,Gerald Malloy (R) Percent Votes Cast,Mark Coester (R) Percent Votes Cast,Overvotes Percent
Bristol,Gerald Malloy (R),87,41,4,9,7,148,58.78%,27.70%,4.73%
Brookfield,Gerald Malloy (R),87,8,5,3,8,111,78.38%,7.21%,7.21%
Brookline,Gerald Malloy (R),70,27,7,9,2,115,60.87%,23.48%,1.74%
Brownington,Mark Coester (R),1,16,6,4,4,31,3.23%,51.61%,12.90%
Brunswick,Gerald Malloy (R),95,77,9,8,7,196,48.47%,39.29%,3.57%
Burke,Gerald Malloy (R),25,6,6,8,10,55,45.45%,10.91%,18.18%
Burlington,Gerald Malloy (R),416,313,10,10,9,758,54.88%,41.29%,1.19%
Cabot,Gerald Malloy (R),57,34,7,7,3,108,52.78%,31.48%,2.78%
Calais,Mark Coester (R),22,55,5,6,10,98,22.45%,56.12%,10.20%
Cambridge,Mark Coester (R),3,82,7,7,8,107,2.80%,76.64%,7.48%
Canaan,Mark Coester (R),26,51,6,2,4,89,29.21%,57.30%,4.49%
Castleton,Gerald Malloy (R),87,40,5,8,3,143,60.84%,27.97%,2.10%
Cavendish,Mark Coester (R),3,81,8,7,9,108,2.78%,75.00%,8.33%
Charleston,Mark Coester (R),7,47,9,4,8,75,9.33%,62.67%,10.67%
Charlotte,Gerald Malloy (R),44,29,4,6,10,93,47.31%,31.18%,10.75%
Chelsea,Gerald Malloy (R),63,53,7,1,5,129,48.84%,41.09%,3.88%
Chester,Mark Coester (R),3,12,8,3,8,34,8.82%,35.29%,23.53%
Chittenden,Gerald Malloy (R),80,33,9,2,9,133,60.15%,24.81%,6.77%
Clarendon,Gerald Malloy (R),76,60,10,4,2,152,50.00%,39.47%,1.32%
Colchester,Mark Coester (R),109,155,9,8,7,288,37.85%,53.82%,2.43%
Concord,Mark Coester (R),30,63,7,8,8,116,25.86%,54.31%,6.90%
Corinth,Mark Coester (R),26,66,9,5,9,115,22.61%,57.39%,7.83%
Cornwall,Mark Coester (R),16,55,9,8,10,98,16.33%,56.12%,10.20%
Coventry,Mark Coester (R),72,85,7,6,4,174,41.38%,48.85%,2.30%
Craftsbury,Gerald Malloy (R),65,61,7,3,2,138,47.10%,44.20%,1.45%
Danby,Gerald Malloy (R),78,55,5,4,8,150,52.00%,36.67%,5.33%
Danville,Gerald Malloy (R),92,60,5,10,3,170,54.12%,35.29%,1.76%
Derby,Gerald Malloy (R),101,3,7,4,10,125,80.80%,2.40%,8.00%
Dorset,Gerald Malloy (R),61,22,4,8,7,102,59.80%,21.57%,6.86%
Dover,Gerald Malloy (R),84,4,7,3,6,104,80.77%,3.85%,5.77%
Dummerston,Gerald Malloy (R),78,7,3,7,3,98,79.59%,7.14%,3.06%
Duxbury,Mark Coester (R),34,108,7,10,7,166,20.48%,65.06%,4.22%
East Haven,Gerald Malloy (R),42,6,7,5,6,66,63.64%,9.09%,9.09%
East Montpelier,Mark Coester (R),22,46,4,8,8,88,25.00%,52.27%,9.09%
Eden,Gerald Malloy (R),83,52,2,8,8,153,54.25%,33.99%,5.23%
Elmore,Gerald Malloy (R),67,9,10,8,5,99,67.68%,9.09%,5.05%
Enosburgh,Mark Coester (R),94,103,4,10,8,219,42.92%,47.03%,3.65%
Essex Junction,Gerald Malloy (R),114,91,9,8,5,227,50.22%,40.09%,2.20%
Essex,Mark Coester (R),42,56,7,7,6,118,35.59%,47.46%,5.08%
Fair Haven,Gerald Malloy (R),40,38,6,9,8,101,39.60%,37.62%,7.92%
Fairfax,Mark Coester (R),21,50,8,6,1,86,24.42%,58.14%,1.16%
Fairfield,Mark Coester (R),32,47,9,8,3,99,32.32%,47.47%,3.03%
Fairlee,Mark Coester (R),55,84,7,4,4,154,35.71%,54.55%,2.60%
Fayston,Gerald Malloy (R),56,51,7,7,5,126,44.44%,40.48%,3.97%
Ferrisburgh,Gerald Malloy (R),74,14,8,6,7,109,67.89%,12.84%,6.42%
Fletcher,Mark Coester (R),11,82,6,7,5,111,9.91%,73.87%,4.50%
Franklin,Gerald Malloy (R),103,40,3,6,10,162,63.58%,24.69%,6.17%
Georgia,Gerald Malloy (R),162,84,8,7,10,271,59.78%,31.00%,3.69%
Glover,Mark Coester (R),18,67,10,4,8,107,16.82%,62.62%,7.48%
Goshen,Gerald Malloy (R),104,37,3,5,5,154,67.53%,24.03%,3.25%
Grafton,Gerald Malloy (R),80,12,5,7,10,114,70.18%,10.53%,8.77%
Granby,Gerald Malloy (R),16,5,7,4,8,40,40.00%,12.50%,20.00%
Grand Isle,Gerald Malloy (R),69,15,9,2,5,100,69.00%,15.00%,5.00%
Granville,Mark Coester (R),80,91,5,10,3,189,42.33%,48.15%,1.59%
Greensboro,Gerald Malloy (R),73,42,5,5,8,133,54.89%,31.58%,6.02%
Groton,Gerald Malloy (R),61,34,3,7,4,109,55.96%,31.19%,3.67%
Guildhall,Mark Coester (R),70,78,5,10,6,169,41.42%,46.15%,3.55%
Guilford,Gerald Malloy (R),105,46,7,5,6,169,62.13%,27.22%,3.55%
Halifax,Gerald Malloy (R),31,18,3,6,8,66,46.97%,27.27%,12.12%
Hancock,Gerald Malloy (R),109,12,5,3,8,137,79.56%,8.76%,5.84%
Hardwick,Mark Coester (R),40,43,8,7,9,107,37.38%,40.19%,8.41%
Hartford,Mark Coester (R),98,112,8,5,4,227,43.17%,49.34%,1.76%
Hartland,Mark Coester (R),80,87,2,8,9,186,43.01%,46.77%,4.84%
Highgate,Gerald Malloy (R),98,41,8,10,6,163,60.12%,25.15%,3.68%
Hinesburg,Gerald Malloy (R),144,129,7,8,6,294,48.98%,43.88%,2.04%
Holland,Gerald Malloy (R),57,23,1,7,9,97,58.76%,23.71%,9.28%
Hubbardton,Mark Coester (R),2,29,5,3,6,45,4.44%,64.44%,13.33%
Huntington,Gerald Malloy (R),70,7,3,6,3,89,78.65%,7.87%,3.37%
Hyde Park,Mark Coester (R),59,89,5,8,1,162,36.42%,54.94%,0.62%
Ira,Mark Coester (R),20,48,7,8,6,89,22.47%,53.93%,6.74%
Irasburg,Gerald Malloy (R),94,47,9,7,6,163,57.67%,28.83%,3.68%
Isle La Motte,Mark Coester (R),23,43,7,5,6,84,27.38%,51.19%,7.14%
Jamaica,Gerald Malloy (R),95,13,7,4,8,127,74.80%,10.24%,6.30%
Jay,Mark Coester (R),83,106,8,10,5,212,39.15%,50.00%,2.36%
Jericho,Mark Coester (R),1,29,7,4,4,45,2.22%,64.44%,8.89%
Johnson,Mark Coester (R),60,61,3,0,7,131,45.80%,46.56%,5.34%
Killington,Gerald Malloy (R),81,49,7,7,3,147,55.10%,33.33%,2.04%
Kirby,Gerald Malloy (R),64,56,7,9,4,140,45.71%,40.00%,2.86%
Landgrove,Mark Coester (R),49,80,10,5,5,149,32.89%,53.69%,3.36%
Leicester,Mark Coester (R),32,60,8,8,5,113,28.32%,53.10%,4.42%
Lemington,Mark Coester (R),9,10,9,8,8,44,20.45%,22.73%,18.18%
Lincoln,Mark Coester (R),49,84,7,8,5,153,32.03%,54.90%,3.27%
Londonderry,Mark Coester (R),37,84,6,1,7,135,27.41%,62.22%,5.19%
Lowell,Mark Coester (R),41,90,5,3,6,145,28.28%,62.07%,4.14%
Ludlow,Gerald Malloy (R),75,73,9,8,5,170,44.12%,42.94%,2.94%
Lunenburg,Mark Coester (R),30,77,2,8,6,123,24.39%,62.60%,4.88%
Lyndon,Gerald Malloy (R),84,68,10,10,9,181,46.41%,37.57%,4.97%
Maidstone,Mark Coester (R),23,96,6,6,7,138,16.67%,69.57%,5.07%
Manchester,Gerald Malloy (R),100,4,5,7,1,117,85.47%,3.42%,0.85%
Marlboro,Gerald Malloy (R),59,7,5,3,9,83,71.08%,8.43%,10.84%
Marshfield,Gerald Malloy (R),89,11,5,10,5,120,74.17%,9.17%,4.17%
Mendon,Mark Coester (R),20,80,1,9,9,119,16.81%,67.23%,7.56%
Middlebury,Gerald Malloy (R),129,112,5,10,3,259,49.81%,43.24%,1.16%
Middlesex,Mark Coester (R),73,88,9,10,10,190,38.42%,46.32%,5.26%
Middletown Springs,Gerald Malloy (R),74,36,5,4,6,125,59.20%,28.80%,4.80%
Milton,Mark Coester (R),116,134,6,8,6,270,42.96%,49.63%,2.22%
Monkton,Gerald Malloy (R),50,41,5,7,8,111,45.05%,36.94%,7.21%
Montgomery,Gerald Malloy (R),62,14,8,8,7,99,62.63%,14.14%,7.07%
Montpelier,Gerald Malloy (R),39,15,6,10,8,78,50.00%,19.23%,10.26%
Moretown,Gerald Malloy (R),54,40,10,2,5,111,48.65%,36.04%,4.50%
Morgan,Mark Coester (R),9,29,4,4,7,53,16.98%,54.72%,13.21%
Morristown,Mark Coester (R),37,88,10,10,6,151,24.50%,58.28%,3.97%
Mount Holly,Mark Coester (R),32,71,6,7,4,120,26.67%,59.17%,3.33%
Mount Tabor,Gerald Malloy (R),59,1,10,4,9,83,71.08%,1.20%,10.84%
New Haven,Gerald Malloy (R),137,100,8,9,10,264,51.89%,37.88%,3.79%
Newark,Mark Coester (R),14,59,7,8,7,95,14.74%,62.11%,7.37%
Newbury,Mark Coester (R),40,64,8,9,1,122,32.79%,52.46%,0.82%
Newfane,Gerald Malloy (R),97,24,4,5,8,138,70.29%,17.39%,5.80%
Newport City,Mark Coester (R),52,73,6,6,4,141,36.88%,51.77%,2.84%
Newport Town,Gerald Malloy (R),88,81,8,3,3,183,48.09%,44.26%,1.64%
North Hero,Gerald Malloy (R),10,7,9,7,8,41,24.39%,17.07%,19.51%
Northfield,Mark Coester (R),38,103,10,8,7,166,22.89%,62.05%,4.22%
Norton,Mark Coester (R),8,73,7,8,4,100,8.00%,73.00%,4.00%
Norwich,Gerald Malloy (R),65,21,9,10,4,109,59.63%,19.27%,3.67%
Orange,Gerald Malloy (R),63,6,10,9,4,92,68.48%,6.52%,4.35%
Orwell,Mark Coester (R),10,31,6,8,6,61,16.39%,50.82%,9.84%
Panton,Mark Coester (R),74,79,7,3,9,172,43.02%,45.93%,5.23%
Pawlet,Mark Coester (R),64,84,9,8,8,173,36.99%,48.55%,4.62%
Peacham,Gerald Malloy (R),89,7,1,6,3,106,83.96%,6.60%,2.83%
Peru,Mark Coester (R),38,44,8,5,5,100,38.00%,44.00%,5.00%
Pittsfield,Mark Coester (R),2,53,9,6,5,75,2.67%,70.67%,6.67%
Pittsford,Mark Coester (R),74,83,4,6,5,172,43.02%,48.26%,2.91%
Plainfield,Mark Coester (R),40,89,5,6,10,150,26.67%,59.33%,6.67%
Plymouth,Mark Coester (R),6,15,3,5,8,37,16.22%,40.54%,21.62%
Pomfret,Mark Coester (R),4,78,7,7,8,104,3.85%,75.00%,7.69%
Poultney,Mark Coester (R),32,56,7,8,4,107,29.91%,52.34%,3.74%
Pownal,Gerald Malloy (R),121,116,7,9,4,257,47.08%,45.14%,1.56%
Proctor,Mark Coester (R),3,25,8,5,10,51,5.88%,49.02%,19.61%
Putney,Mark Coester (R),1,55,10,9,6,81,1.23%,67.90%,7.41%
Randolph,Gerald Malloy (R),63,55,4,1,5,128,49.22%,42.97%,3.91%
Reading,Gerald Malloy (R),61,35,5,9,4,114,53.51%,30.70%,3.51%
Readsboro,Mark Coester (R),28,40,9,8,5,90,31.11%,44.44%,5.56%
Richford,Gerald Malloy (R),69,28,7,10,6,120,57.50%,23.33%,5.00%
Richmond,Mark Coester (R),8,72,10,10,10,110,7.27%,65.45%,9.09%
Ripton,Mark Coester (R),17,81,6,4,7,115,14.78%,70.43%,6.09%
Rochester,Gerald Malloy (R),74,51,5,10,5,145,51.03%,35.17%,3.45%
Rockingham,Mark Coester (R),67,76,9,9,6,167,40.12%,45.51%,3.59%
Roxbury,Mark Coester (R),48,93,9,3,9,162,29.63%,57.41%,5.56%
Royalton,Gerald Malloy (R),86,76,3,9,4,178,48.31%,42.70%,2.25%
Rupert,Gerald Malloy (R),82,56,5,10,5,158,51.90%,35.44%,3.16%
Rutland City,Gerald Malloy (R),304,194,8,8,8,522,58.24%,37.16%,1.53%
Rutland Town,Mark Coester (R),53,139,10,5,10,217,24.42%,64.06%,4.61%
Ryegate,Gerald Malloy (R),62,5,5,5,6,83,74.70%,6.02%,7.23%
Saint Albans City,Gerald Malloy (R),119,118,8,10,7,262,45.42%,45.04%,2.67%
Saint Albans Town,Gerald Malloy (R),94,89,9,6,1,199,47.24%,44.72%,0.50%
Saint George,Gerald Malloy (R),66,31,10,7,8,122,54.10%,25.41%,6.56%
Saint Johnsbury,Gerald Malloy (R),22,12,3,9,8,54,40.74%,22.22%,14.81%
Salisbury,Mark Coester (R),10,49,6,8,6,79,12.66%,62.03%,7.59%
Sandgate,Gerald Malloy (R),68,8,4,9,7,96,70.83%,8.33%,7.29%
Searsburg,Gerald Malloy (R),82,80,5,6,6,179,45.81%,44.69%,3.35%
Shaftsbury,Gerald Malloy (R),98,52,10,9,3,172,56.98%,30.23%,1.74%
Sharon,Gerald Malloy (R),60,26,10,9,5,110,54.55%,23.64%,4.55%
Sheffield,Gerald Malloy (R),94,45,5,8,8,160,58.75%,28.12%,5.00%
Shelburne,Gerald Malloy (R),160,21,9,8,8,206,77.67%,10.19%,3.88%
Sheldon,Mark Coester (R),18,104,8,8,7,145,12.41%,71.72%,4.83%
Shoreham,Mark Coester (R),66,81,2,7,7,163,40.49%,49.69%,4.29%
Shrewsbury,Gerald Malloy (R),70,23,5,8,9,115,60.87%,20.00%,7.83%
South Burlington,Mark Coester (R),306,348,8,10,9,681,44.93%,51.10%,1.32%
South Hero,Mark Coester (R),27,27,7,7,5,73,36.99%,36.99%,6.85%
Springfield,Gerald Malloy (R),57,41,7,3,9,117,48.72%,35.04%,7.69%
Stamford,Mark Coester (R),34,65,1,8,8,116,29.31%,56.03%,6.90%
Stannard,Mark Coester (R),43,65,5,5,8,126,34.13%,51.59%,6.35%
Starksboro,Mark Coester (R),62,64,6,6,8,146,42.47%,43.84%,5.48%
Stockbridge,Mark Coester (R),28,84,5,3,6,126,22.22%,66.67%,4.76%
Stowe,Gerald Malloy (R),154,153,8,9,7,331,46.53%,46.22%,2.11%
Strafford,Mark Coester (R),43,88,9,5,6,151,28.48%,58.28%,3.97%
Stratton,Gerald Malloy (R),66,42,4,5,5,122,54.10%,34.43%,4.10%
Sudbury,Gerald Malloy (R),75,24,6,7,3,115,65.22%,20.87%,2.61%
Sunderland,Gerald Malloy (R),153,132,9,6,6,306,50.00%,43.14%,1.96%
Sutton,Gerald Malloy (R),32,26,2,5,8,73,43.84%,35.62%,10.96%
Swanton,Mark Coester (R),47,49,8,8,5,117,40.17%,41.88%,4.27%
Thetford,Gerald Malloy (R),43,40,8,7,7,105,40.95%,38.10%,6.67%
Tinmouth,Gerald Malloy (R),81,44,1,5,4,135,60.00%,32.59%,2.96%
Topsham,Mark Coester (R),48,76,2,2,6,134,35.82%,56.72%,4.48%
Townshend,Mark Coester (R),19,38,3,8,3,71,26.76%,53.52%,4.23%
Troy,Gerald Malloy (R),107,68,5,6,7,193,55.44%,35.23%,3.63%
Tunbridge,Gerald Malloy (R),30,10,6,10,7,63,47.62%,15.87%,11.11%
Underhill,Mark Coester (R),57,87,4,2,6,156,36.54%,55.77%,3.85%
Vergennes,Mark Coester (R),47,99,5,3,10,164,28.66%,60.37%,6.10%
Vernon,Mark Coester (R),31,66,8,8,2,115,26.96%,57.39%,1.74%
Vershire,Gerald Malloy (R),33,30,6,8,7,84,39.29%,35.71%,8.33%
Victory,Gerald Malloy (R),91,50,2,3,2,148,61.49%,33.78%,1.35%
Waitsfield,Gerald Malloy (R),86,35,6,7,7,141,60.99%,24.82%,4.96%
Walden,Mark Coester (R),38,61,8,3,8,118,32.20%,51.69%,6.78%
Wallingford,Gerald Malloy (R),76,38,7,5,2,128,59.38%,29.69%,1.56%
Waltham,Gerald Malloy (R),67,24,7,5,2,105,63.81%,22.86%,1.90%
Wardsboro,Mark Coester (R),6,49,4,4,7,70,8.57%,70.00%,10.00%
Warren,Gerald Malloy (R),46,44,6,4,6,106,43.40%,41.51%,5.66%
Washington,Gerald Malloy (R),105,103,2,7,5,222,47.30%,46.40%,2.25%
Waterbury,Gerald Malloy (R),68,47,2,8,5,130,52.31%,36.15%,3.85%
Waterford,Gerald Malloy (R),71,24,2,8,7,112,63.39%,21.43%,6.25%
Waterville,Gerald Malloy (R),51,31,8,10,4,104,49.04%,29.81%,3.85%
Weathersfield,Mark Coester (R),12,78,5,5,8,108,11.11%,72.22%,7.41%
Wells,Gerald Malloy (R),114,104,6,7,10,241,47.30%,43.15%,4.15%
West Fairlee,Mark Coester (R),26,72,1,6,10,115,22.61%,62.61%,8.70%
West Haven,Gerald Malloy (R),46,45,9,10,8,118,38.98%,38.14%,6.78%
West Rutland,Mark Coester (R),43,46,5,3,10,107,40.19%,42.99%,9.35%
West Windsor,Mark Coester (R),38,84,6,10,6,144,26.39%,58.33%,4.17%
Westfield,Gerald Malloy (R),106,10,3,8,8,135,78.52%,7.41%,5.93%
Westford,Gerald Malloy (R),80,29,6,4,3,122,65.57%,23.77%,2.46%
Westminster,Gerald Malloy (R),20,7,6,8,6,47,42.55%,14.89%,12.77%
Westmore,Gerald Malloy (R),23,2,1,1,7,34,67.65%,5.88%,20.59%
Weston,Gerald Malloy (R),75,71,6,9,1,162,46.30%,43.83%,0.62%
Weybridge,Gerald Malloy (R),39,35,1,3,7,85,45.88%,41.18%,8.24%
Wheelock,Mark Coester (R),16,73,2,1,2,94,17.02%,77.66%,2.13%
Whiting,Mark Coester (R),14,65,5,2,4,90,15.56%,72.22%,4.44%
Whitingham,Gerald Malloy (R),24,10,5,3,7,49,48.98%,20.41%,14.29%
Williamstown,Gerald Malloy (R),100,49,9,5,3,166,60.24%,29.52%,1.81%
Williston,Mark Coester (R),54,159,8,7,7,235,22.98%,67.66%,2.98%
Wilmington,Mark Coester (R),2,3,7,7,7,26,7.69%,11.54%,26.92%
Windham,Gerald Malloy (R),30,29,8,3,7,77,38.96%,37.66%,9.09%
Windsor,Mark Coester (R),69,99,10,10,9,197,35.03%,50.25%,4.57%
Winhall,Gerald Malloy (R),87,83,6,4,8,188,46.28%,44.15%,4.26%
Winooski,Mark Coester (R),42,88,7,8,8,153,27.45%,57.52%,5.23%
Wolcott,Mark Coester (R),15,70,4,8,8,105,14.29%,66.67%,7.62%
Woodbury,Mark Coester (R),21,36,6,6,2,71,29.58%,50.70%,2.82%
Woodford,Mark Coester (R),8,41,4,5,4,62,12.90%,66.13%,6.45%
Woodstock,Gerald Malloy (R),86,53,3,6,7,155,55.48%,34.19%,4.52%
Worcester,Gerald Malloy (R),89,71,5,8,8,181,49.17%,39.23%,4.42%
