City/Town,Leading Candidate,Dawn Marie Ellis (I),Gerald Malloy (R),Kerry Patrick Raheb (I),Mark Coester (I),Cris Ericson (I),Natasha Diamondstone-Kohout (GM),Peter Welch (D),Stephen Duke (I),Write-Ins,Blanks,OverVotes,Total Votes Cast,Peter Welch (D) Percent Votes Cast,Gerald Malloy (R) Percent Votes Cast,OverVotes Percent
Dover,Peter Welch (D),9,208,5,9,5,12,440,1,8,72,0,769,57.22%,27.05%,0.00%
Dummerston,Peter Welch (D),9,180,2,18,0,48,818,2,16,48,0,1141,71.69%,15.78%,0.00%
Duxbury,Peter Welch (D),10,173,0,4,4,0,511,4,1,162,0,869,58.80%,19.91%,0.00%
East Haven,Peter Welch (D),0,38,1,1,0,0,64,1,0,16,0,121,52.89%,31.40%,0.00%
East Montpelier,Peter Welch (D),7,271,6,6,5,6,1135,14,56,112,0,1618,70.15%,16.75%,0.00%
Eden,Peter Welch (D),3,202,1,3,2,1,236,3,0,72,0,523,45.12%,38.62%,0.00%
Elmore,Peter Welch (D),2,113,0,0,2,2,378,0,48,104,0,649,58.24%,17.41%,0.00%
Enosburgh,Peter Welch (D),15,418,1,8,6,4,598,2,8,208,0,1268,47.16%,32.97%,0.00%
Essex Junction,Peter Welch (D),57,1112,14,8,10,15,3482,10,160,560,0,5428,64.15%,20.49%,0.00%
Essex,Peter Welch (D),54,1520,20,10,10,15,3968,3,176,648,0,6424,61.77%,23.66%,0.00%
Fair Haven,Peter Welch (D),12,441,4,10,4,6,489,4,40,104,0,1114,43.90%,39.59%,0.00%
Fairfax,Peter Welch (D),25,915,8,5,9,11,1396,9,48,0,0,2426,57.54%,37.72%,0.00%
Fairfield,Peter Welch (D),8,324,5,2,2,1,537,3,16,88,0,986,54.46%,32.86%,0.00%
Fairlee,Peter Welch (D),2,121,2,0,1,4,369,1,0,48,0,548,67.34%,22.08%,0.00%
Fayston,Peter Welch (D),5,128,4,3,1,2,652,4,8,104,0,911,71.57%,14.05%,0.00%
Ferrisburgh,Peter Welch (D),6,468,12,9,5,6,1060,6,24,176,0,1772,59.82%,26.41%,0.00%
Fletcher,Peter Welch (D),9,212,6,3,3,5,439,1,24,32,0,734,59.81%,28.88%,0.00%
Franklin,Peter Welch (D),3,264,0,1,3,2,298,0,16,104,0,691,43.13%,38.21%,0.00%
Georgia,Peter Welch (D),17,917,8,7,7,9,1202,10,80,208,0,2465,48.76%,37.20%,0.00%
Glover,Peter Welch (D),8,171,15,1,1,3,327,5,0,72,0,603,54.23%,28.36%,0.00%
Goshen,Peter Welch (D),0,34,0,1,0,0,77,0,0,24,0,136,56.62%,25.00%,0.00%
Grafton,Peter Welch (D),0,92,2,11,6,1,225,2,0,8,0,347,64.84%,26.51%,0.00%
Granby,Gerald Malloy (R),0,18,0,0,0,0,13,0,0,16,0,47,27.66%,38.30%,0.00%
Grand Isle,Peter Welch (D),12,389,3,3,5,3,743,0,24,96,0,1278,58.14%,30.44%,0.00%
Granville,Peter Welch (D),0,27,1,1,0,0,103,1,0,16,0,149,69.13%,18.12%,0.00%
Greensboro,Peter Welch (D),4,75,0,0,1,1,317,8,0,48,0,454,69.82%,16.52%,0.00%
Groton,Peter Welch (D),2,198,2,3,1,4,239,5,16,16,0,486,49.18%,40.74%,0.00%
Guildhall,Peter Welch (D),1,58,3,5,1,1,73,1,0,40,0,183,39.89%,31.69%,0.00%
Halifax,Peter Welch (D),3,139,2,8,3,2,247,0,0,64,0,468,52.78%,29.70%,0.00%
Hancock,Peter Welch (D),4,37,0,3,0,1,98,3,16,0,0,162,60.49%,22.84%,0.00%
Hardwick,Peter Welch (D),11,322,5,0,3,4,730,23,8,168,0,1274,57.30%,25.27%,0.00%
Hartford,Peter Welch (D),35,1062,21,15,9,15,3600,14,104,352,0,5227,68.87%,20.32%,0.00%
Hartland,Peter Welch (D),11,443,9,11,6,5,1223,7,24,168,0,1907,64.13%,23.23%,0.00%
Highgate,Gerald Malloy (R),12,635,2,4,1,1,579,2,16,88,0,1340,43.21%,47.39%,0.00%
Hinesburg,Peter Welch (D),32,513,7,3,7,9,1855,8,32,360,0,2826,65.64%,18.15%,0.00%
Holland,Gerald Malloy (R),2,142,1,2,0,3,123,3,0,24,0,300,41.00%,47.33%,0.00%
Hubbardton,Peter Welch (D),1,138,0,0,3,4,185,1,0,32,0,364,50.82%,37.91%,0.00%
Huntington,Peter Welch (D),11,242,1,2,1,3,850,8,48,184,0,1350,62.96%,17.93%,0.00%
Hyde Park,Peter Welch (D),8,390,4,7,2,5,923,8,16,0,0,1363,67.72%,28.61%,0.00%
Ira,Peter Welch (D),1,105,1,0,0,0,111,0,0,16,0,234,47.44%,44.87%,0.00%
Isle La Motte,Peter Welch (D),1,119,0,3,2,3,178,0,0,24,0,330,53.94%,36.06%,0.00%
Jamaica,Peter Welch (D),1,93,9,5,6,7,295,1,8,48,0,473,62.37%,19.66%,0.00%
Jay,Peter Welch (D),2,118,0,2,0,1,123,0,1,27,0,274,44.89%,43.07%,0.00%
Johnson,Peter Welch (D),14,353,5,5,8,6,769,6,32,88,0,1286,59.80%,27.45%,0.00%
Killington,Peter Welch (D),4,192,6,2,2,1,431,3,24,72,0,737,58.48%,26.05%,0.00%
Kirby,Peter Welch (D),1,100,1,0,1,1,184,0,0,24,0,312,58.97%,32.05%,0.00%
Landgrove,Peter Welch (D),1,16,0,1,1,1,92,0,0,8,0,120,76.67%,13.33%,0.00%
Leicester,Peter Welch (D),2,163,1,4,5,1,270,1,0,56,0,503,53.68%,32.41%,0.00%
Lemington,Gerald Malloy (R),0,18,0,2,0,0,18,0,0,0,0,38,47.37%,47.37%,0.00%
Lincoln,Peter Welch (D),14,172,7,1,1,3,579,0,24,136,0,937,61.79%,18.36%,0.00%
Londonderry,Peter Welch (D),5,224,46,4,9,7,546,7,8,112,0,968,56.40%,23.14%,0.00%
Ludlow,Peter Welch (D),6,347,4,3,10,3,600,2,0,112,0,1087,55.20%,31.92%,0.00%
Lunenburg,Gerald Malloy (R),1,200,4,1,2,3,200,4,8,88,0,511,39.14%,39.14%,0.00%
Lyndon,Peter Welch (D),14,802,10,7,10,7,1047,14,48,320,0,2279,45.94%,35.19%,0.00%
Maidstone,Gerald Malloy (R),1,58,1,0,2,0,52,0,0,8,0,122,42.62%,47.54%,0.00%
Manchester,Peter Welch (D),10,560,13,11,11,8,1576,4,64,248,0,2505,62.91%,22.36%,0.00%
Marlboro,Peter Welch (D),2,68,1,11,1,7,431,0,8,96,0,625,68.96%,10.88%,0.00%
Marshfield,Peter Welch (D),10,228,0,0,1,6,480,23,24,96,0,868,55.30%,26.27%,0.00%
Mendon,Peter Welch (D),7,218,7,2,2,1,360,0,16,72,0,685,52.55%,31.82%,0.00%
Middlebury,Peter Welch (D),27,551,12,8,7,10,2775,6,56,264,0,3716,74.68%,14.83%,0.00%
Middlesex,Peter Welch (D),10,177,4,0,2,2,787,8,24,200,0,1214,64.83%,14.58%,0.00%
Middletown Springs,Peter Welch (D),3,185,0,2,0,3,297,0,0,96,0,586,50.68%,31.57%,0.00%
Milton,Peter Welch (D),54,1856,18,10,13,20,2587,13,128,552,0,5251,49.27%,35.35%,0.00%
Monkton,Peter Welch (D),13,329,7,6,0,5,793,2,0,176,0,1331,59.58%,24.72%,0.00%
Montpelier,Peter Welch (D),46,381,11,2,14,26,3791,26,104,584,0,4985,76.05%,7.64%,0.00%
Moretown,Peter Welch (D),7,184,3,4,5,4,744,7,24,160,0,1142,65.15%,16.11%,0.00%
Morgan,Gerald Malloy (R),2,159,0,0,0,1,148,4,0,88,0,402,36.82%,39.55%,0.00%
Morristown,Peter Welch (D),19,563,9,8,5,18,1889,17,48,328,0,2904,65.05%,19.39%,0.00%
Mount Holly,Peter Welch (D),3,295,2,1,5,4,379,0,0,104,0,793,47.79%,37.20%,0.00%
Mount Tabor,Peter Welch (D),1,37,1,2,0,0,48,0,2,27,0,118,40.68%,31.36%,0.00%
New Haven,Peter Welch (D),4,326,6,4,1,5,614,4,8,112,0,1084,56.64%,30.07%,0.00%
Newbury,Peter Welch (D),8,335,3,3,7,8,612,8,3,143,0,1130,54.16%,29.65%,0.00%
Newfane,Peter Welch (D),7,184,3,15,5,23,671,1,24,88,0,1021,65.72%,18.02%,0.00%
Newport City,Peter Welch (D),11,463,5,9,6,7,826,10,16,120,0,1473,56.08%,31.43%,0.00%
Newport Town,Peter Welch (D),6,280,3,5,2,3,302,3,0,64,0,668,45.21%,41.92%,0.00%
North Hero,Peter Welch (D),3,210,0,2,2,3,408,0,0,16,0,644,63.35%,32.61%,0.00%
Northfield,Peter Welch (D),12,545,10,14,7,10,1281,21,48,360,0,2308,55.50%,23.61%,0.00%
Norton,Gerald Malloy (R),2,52,0,0,1,0,40,0,0,40,0,135,29.63%,38.52%,0.00%
Norwich,Peter Welch (D),8,157,3,2,1,9,1935,1,16,0,0,2132,90.76%,7.36%,0.00%
Orange,Gerald Malloy (R),4,237,2,1,3,3,197,7,27,99,0,580,33.97%,40.86%,0.00%
Panton,Peter Welch (D),1,98,4,0,0,1,251,0,0,64,0,419,59.90%,23.39%,0.00%
Pawlet,Peter Welch (D),4,294,3,3,0,5,452,0,8,64,0,833,54.26%,35.29%,0.00%
Peacham,Peter Welch (D),5,113,1,2,0,3,321,2,3,55,0,505,63.56%,22.38%,0.00%
Peru,Peter Welch (D),3,45,2,1,4,1,166,0,16,32,0,270,61.48%,16.67%,0.00%
Pittsfield,Peter Welch (D),1,105,0,1,0,0,185,0,0,8,0,300,61.67%,35.00%,0.00%
Pittsford,Peter Welch (D),10,564,3,6,2,5,690,7,8,128,0,1423,48.49%,39.63%,0.00%
Plainfield,Peter Welch (D),5,124,2,2,1,6,506,8,8,40,0,702,72.08%,17.66%,0.00%
Pomfret,Peter Welch (D),3,103,2,2,1,5,459,1,0,120,0,696,65.95%,14.80%,0.00%
Poultney,Peter Welch (D),14,558,7,6,4,8,716,4,24,152,0,1493,47.96%,37.37%,0.00%
Pownal,Peter Welch (D),6,166,12,3,1,2,189,2,24,88,0,493,38.34%,33.67%,0.00%
Proctor,Peter Welch (D),10,295,2,2,3,1,428,2,16,56,0,815,52.52%,36.20%,0.00%
Putney,Peter Welch (D),10,131,2,33,2,27,959,3,16,168,0,1351,70.98%,9.70%,0.00%
Randolph,Peter Welch (D),27,623,11,7,7,11,1496,15,64,272,0,2533,59.06%,24.60%,0.00%
Reading,Peter Welch (D),0,104,2,2,3,0,276,3,0,24,0,414,66.67%,25.12%,0.00%
Richford,Peter Welch (D),6,267,3,1,0,9,366,5,8,88,0,753,48.61%,35.46%,0.00%
Richmond,Peter Welch (D),19,436,6,1,8,8,1867,3,40,296,0,2684,69.56%,16.24%,0.00%
Ripton,Peter Welch (D),3,54,0,1,2,1,264,2,0,24,0,351,75.21%,15.38%,0.00%
Rockingham,Peter Welch (D),13,429,5,55,25,20,1270,3,48,176,0,2044,62.13%,20.99%,0.00%
Roxbury,Peter Welch (D),7,100,1,4,4,4,220,1,0,48,0,389,56.56%,25.71%,0.00%
Royalton,Peter Welch (D),10,307,6,3,1,5,805,2,32,88,0,1259,63.94%,24.38%,0.00%
Rupert,Peter Welch (D),4,127,6,2,0,1,236,2,16,72,0,466,50.64%,27.25%,0.00%
Rutland City,Peter Welch (D),37,2044,15,28,43,25,3568,27,152,632,0,6571,54.30%,31.11%,0.00%
Saint Albans City,Peter Welch (D),22,594,7,10,6,13,1585,6,48,208,0,2499,63.43%,23.77%,0.00%
Saint Albans Town,Peter Welch (D),34,1094,10,11,10,9,1799,12,72,288,0,3339,53.88%,32.76%,0.00%
Saint George,Peter Welch (D),3,103,0,0,0,2,239,0,16,32,0,395,60.51%,26.08%,0.00%
Saint Johnsbury,Peter Welch (D),30,799,18,15,9,11,1697,21,80,392,0,3072,55.24%,26.01%,0.00%
Salisbury,Peter Welch (D),4,171,1,4,2,1,341,2,0,40,0,566,60.25%,30.21%,0.00%
Searsburg,Gerald Malloy (R),0,25,1,0,0,1,18,0,0,0,0,45,40.00%,55.56%,0.00%
Shaftsbury,Peter Welch (D),17,564,66,10,8,15,1054,4,56,432,0,2226,47.35%,25.34%,0.00%
Sharon,Peter Welch (D),6,182,0,5,0,2,473,3,48,48,0,767,61.67%,23.73%,0.00%
Sheffield,Peter Welch (D),3,126,2,0,1,1,148,3,16,64,0,364,40.66%,34.62%,0.00%
Shelburne,Peter Welch (D),22,388,6,7,1,5,2073,8,24,5296,0,7830,26.48%,4.96%,0.00%
Sheldon,Peter Welch (D),4,325,6,3,3,0,350,3,48,56,0,798,43.86%,40.73%,0.00%
Shoreham,Peter Welch (D),6,183,0,3,2,2,382,1,16,80,0,675,56.59%,27.11%,0.00%
Shrewsbury,Peter Welch (D),2,219,5,2,5,10,329,0,16,96,0,684,48.10%,32.02%,0.00%
South Hero,Peter Welch (D),8,289,0,4,0,2,791,2,24,168,0,1288,61.41%,22.44%,0.00%
Springfield,Peter Welch (D),23,1232,16,27,54,11,1927,7,72,232,0,3601,53.51%,34.21%,0.00%
Stannard,Peter Welch (D),1,22,0,0,1,0,67,2,0,32,0,125,53.60%,17.60%,0.00%
Starksboro,Peter Welch (D),12,249,4,3,6,9,587,5,48,88,0,1011,58.06%,24.63%,0.00%
Stockbridge,Peter Welch (D),1,106,3,2,0,2,272,1,8,16,0,411,66.18%,25.79%,0.00%
Stowe,Peter Welch (D),15,474,2,4,7,8,2043,14,64,384,0,3015,67.76%,15.72%,0.00%
Strafford,Peter Welch (D),6,86,1,2,2,1,578,4,0,40,0,720,80.28%,11.94%,0.00%
Stratton,Peter Welch (D),0,52,1,0,0,1,84,0,0,32,0,170,49.41%,30.59%,0.00%
Sudbury,Peter Welch (D),3,101,0,0,4,2,197,0,8,40,0,355,55.49%,28.45%,0.00%
Sunderland,Peter Welch (D),2,171,11,3,2,2,344,1,0,64,0,600,57.33%,28.50%,0.00%
Sutton,Peter Welch (D),4,175,0,0,2,1,200,2,8,104,0,496,40.32%,35.28%,0.00%
Thetford,Peter Welch (D),11,276,1,3,7,8,1259,3,32,88,0,1688,74.59%,16.35%,0.00%
Troy,Peter Welch (D),5,262,2,5,5,1,315,3,8,40,0,646,48.76%,40.56%,0.00%
Tunbridge,Peter Welch (D),11,223,5,6,5,3,473,1,16,8,0,751,62.98%,29.69%,0.00%
Underhill,Peter Welch (D),9,491,8,2,7,6,1374,2,32,136,0,2067,66.47%,23.75%,0.00%
Vergennes,Peter Welch (D),10,279,3,4,3,2,935,8,16,200,0,1460,64.04%,19.11%,0.00%
Vernon,Peter Welch (D),8,366,6,18,5,16,480,3,40,104,0,1046,45.89%,34.99%,0.00%
Victory,Gerald Malloy (R),1,30,1,0,0,0,17,0,0,8,0,57,29.82%,52.63%,0.00%
Waitsfield,Peter Welch (D),7,163,2,2,3,4,831,5,2,170,0,1189,69.89%,13.71%,0.00%
Walden,Peter Welch (D),3,144,2,2,0,1,299,9,0,112,0,572,52.27%,25.17%,0.00%
Wallingford,Peter Welch (D),2,429,7,5,6,3,587,0,0,80,0,1119,52.46%,38.34%,0.00%
Waltham,Peter Welch (D),4,75,1,0,2,0,183,1,0,32,0,298,61.41%,25.17%,0.00%
Wardsboro,Peter Welch (D),3,111,6,6,2,4,246,0,8,40,0,426,57.75%,26.06%,0.00%
Warren,Peter Welch (D),12,128,4,3,2,3,833,3,32,96,0,1116,74.64%,11.47%,0.00%
Waterbury,Peter Welch (D),37,446,7,13,4,8,2277,16,56,272,0,3136,72.61%,14.22%,0.00%
Waterford,Peter Welch (D),3,280,5,0,3,3,357,2,0,72,0,725,49.24%,38.62%,0.00%
Waterville,Peter Welch (D),2,145,10,0,2,0,197,1,16,56,0,429,45.92%,33.80%,0.00%
Weathersfield,Peter Welch (D),13,561,10,7,11,5,809,4,16,136,0,1572,51.46%,35.69%,0.00%
Wells,Peter Welch (D),8,276,2,2,2,3,279,3,8,80,0,663,42.08%,41.63%,0.00%
West Fairlee,Peter Welch (D),0,82,3,0,0,3,191,3,0,0,0,282,67.73%,29.08%,0.00%
West Haven,Peter Welch (D),1,51,1,1,1,0,72,0,0,0,0,127,56.69%,40.16%,0.00%
West Rutland,Gerald Malloy (R),10,446,4,6,4,4,423,3,16,80,0,996,42.47%,44.78%,0.00%
West Windsor,Peter Welch (D),5,193,6,5,8,6,536,2,8,64,0,833,64.35%,23.17%,0.00%
Westford,Peter Welch (D),7,313,2,2,2,4,810,6,29,117,0,1292,62.69%,24.23%,0.00%
Westminster,Peter Welch (D),7,263,4,74,7,22,1059,0,16,160,0,1612,65.69%,16.32%,0.00%
Weston,Peter Welch (D),2,81,1,2,2,1,281,1,1,36,0,408,68.87%,19.85%,0.00%
Weybridge,Peter Welch (D),3,77,0,0,1,1,447,3,0,72,0,604,74.01%,12.75%,0.00%
Wheelock,Peter Welch (D),2,137,0,3,2,1,225,2,0,32,0,404,55.69%,33.91%,0.00%
Whiting,Peter Welch (D),1,61,1,0,0,0,113,0,1,90,0,267,42.32%,22.85%,0.00%
Whitingham,Peter Welch (D),9,231,9,6,1,4,314,0,1,117,0,692,45.38%,33.38%,0.00%
Williamstown,Peter Welch (D),7,617,4,6,8,6,703,27,24,184,0,1586,44.33%,38.90%,0.00%
Williston,Peter Welch (D),52,1366,13,14,10,17,4166,9,168,624,0,6439,64.70%,21.21%,0.00%
Wilmington,Peter Welch (D),5,267,9,6,2,7,599,1,8,72,0,976,61.37%,27.36%,0.00%
Windsor,Peter Welch (D),9,390,5,12,7,3,1008,4,16,160,0,1614,62.45%,24.16%,0.00%
Winooski,Peter Welch (D),54,354,8,3,16,19,2222,4,88,0,0,2768,80.27%,12.79%,0.00%
Wolcott,Peter Welch (D),3,211,3,0,2,3,484,19,32,96,0,853,56.74%,24.74%,0.00%
Woodbury,Peter Welch (D),1,148,2,0,1,1,302,21,8,0,0,484,62.40%,30.58%,0.00%
Woodford,Peter Welch (D),2,66,6,1,0,2,86,0,0,16,0,179,48.04%,36.87%,0.00%
Woodstock,Peter Welch (D),12,342,7,4,5,4,1354,2,24,152,0,1906,71.04%,17.94%,0.00%
Worcester,Peter Welch (D),6,98,7,0,0,3,381,15,16,64,0,590,64.58%,16.61%,0.00%
