City/Town,Leading Candidate,H. Brooke Paige (R),Write-Ins,Blanks,Overvotes,Total Votes Cast,H. Brooke Paige (R) Percent Votes Cast,Overvotes Percent
Lyndon,H. Brooke Paige (R),3,1,1,5,10,30.00%,50.00%
Maidstone,H. Brooke Paige (R),101,9,8,5,123,82.11%,4.07%
Manchester,H. Brooke Paige (R),46,7,1,2,56,82.14%,3.57%
Marlboro,H. Brooke Paige (R),64,5,7,3,79,81.01%,3.80%
Marshfield,H. Brooke Paige (R),9,6,7,7,29,31.03%,24.14%
Mendon,H. Brooke Paige (R),56,0,5,1,62,90.32%,1.61%
Middlebury,H. Brooke Paige (R),19,6,5,8,38,50.00%,21.05%
Middlesex,H. Brooke Paige (R),65,4,2,8,79,82.28%,10.13%
Middletown Springs,H. Brooke Paige (R),65,8,6,4,83,78.31%,4.82%
Milton,H. Brooke Paige (R),104,6,6,4,120,86.67%,3.33%
Monkton,H. Brooke Paige (R),27,8,3,6,44,61.36%,13.64%
Montgomery,H. Brooke Paige (R),55,4,2,1,62,88.71%,1.61%
Montpelier,H. Brooke Paige (R),75,8,2,1,86,87.21%,1.16%
Moretown,H. Brooke Paige (R),75,6,1,8,90,83.33%,8.89%
Morgan,H. Brooke Paige (R),102,0,0,3,105,97.14%,2.86%
Morristown,H. Brooke Paige (R),27,5,1,7,40,67.50%,17.50%
Mount Holly,H. Brooke Paige (R),50,2,8,8,68,73.53%,11.76%
Mount Tabor,H. Brooke Paige (R),84,3,4,6,97,86.60%,6.19%
New Haven,H. Brooke Paige (R),130,8,3,10,151,86.09%,6.62%
Newark,H. Brooke Paige (R),42,7,1,0,50,84.00%,0.00%
Newbury,H. Brooke Paige (R),61,1,1,4,67,91.04%,5.97%
Newfane,H. Brooke Paige (R),73,4,4,1,82,89.02%,1.22%
Newport City,H. Brooke Paige (R),81,7,4,5,97,83.51%,5.15%
Newport Town,H. Brooke Paige (R),42,8,10,4,64,65.62%,6.25%
North Hero,H. Brooke Paige (R),18,4,3,6,31,58.06%,19.35%
Northfield,H. Brooke Paige (R),36,0,4,1,41,87.80%,2.44%
Norton,H. Brooke Paige (R),51,6,6,9,72,70.83%,12.50%
Norwich,H. Brooke Paige (R),68,4,7,5,84,80.95%,5.95%
Orange,H. Brooke Paige (R),82,3,10,0,95,86.32%,0.00%
Orwell,H. Brooke Paige (R),73,6,1,7,87,83.91%,8.05%
Panton,H. Brooke Paige (R),42,7,8,1,58,72.41%,1.72%
Pawlet,H. Brooke Paige (R),6,5,3,1,15,40.00%,6.67%
Peacham,H. Brooke Paige (R),66,5,1,1,73,90.41%,1.37%
Peru,H. Brooke Paige (R),30,0,2,9,41,73.17%,21.95%
Pittsfield,H. Brooke Paige (R),87,7,4,1,99,87.88%,1.01%
Pittsford,H. Brooke Paige (R),78,7,8,2,95,82.11%,2.11%
Plainfield,H. Brooke Paige (R),74,0,0,6,80,92.50%,7.50%
Plymouth,H. Brooke Paige (R),33,1,3,0,37,89.19%,0.00%
Pomfret,H. Brooke Paige (R),53,0,5,5,63,84.13%,7.94%
Poultney,H. Brooke Paige (R),104,4,8,6,122,85.25%,4.92%
Pownal,H. Brooke Paige (R),94,7,10,10,121,77.69%,8.26%
Proctor,H. Brooke Paige (R),85,5,3,9,102,83.33%,8.82%
Putney,H. Brooke Paige (R),26,8,6,1,41,63.41%,2.44%
Randolph,H. Brooke Paige (R),83,7,2,2,94,88.30%,2.13%
Reading,H. Brooke Paige (R),80,3,4,6,93,86.02%,6.45%
Readsboro,H. Brooke Paige (R),18,1,1,2,22,81.82%,9.09%
Richford,H. Brooke Paige (R),38,3,0,6,47,80.85%,12.77%
Richmond,H. Brooke Paige (R),93,2,5,7,107,86.92%,6.54%
Ripton,H. Brooke Paige (R),34,0,4,6,44,77.27%,13.64%
Rochester,H. Brooke Paige (R),73,6,4,7,90,81.11%,7.78%
Rockingham,H. Brooke Paige (R),56,4,3,5,68,82.35%,7.35%
Roxbury,H. Brooke Paige (R),38,5,5,1,49,77.55%,2.04%
Royalton,H. Brooke Paige (R),80,10,4,1,95,84.21%,1.05%
Rupert,H. Brooke Paige (R),29,7,2,3,41,70.73%,7.32%
Rutland City,H. Brooke Paige (R),105,7,8,8,128,82.03%,6.25%
Rutland Town,H. Brooke Paige (R),82,1,1,10,94,87.23%,10.64%
Ryegate,H. Brooke Paige (R),35,4,6,7,52,67.31%,13.46%
Saint Albans City,H. Brooke Paige (R),118,3,7,3,131,90.08%,2.29%
Saint Albans Town,H. Brooke Paige (R),69,8,10,6,93,74.19%,6.45%
Saint George,H. Brooke Paige (R),48,6,7,5,66,72.73%,7.58%
Saint Johnsbury,H. Brooke Paige (R),27,2,1,3,33,81.82%,9.09%
Salisbury,H. Brooke Paige (R),16,6,10,6,38,42.11%,15.79%
Sandgate,H. Brooke Paige (R),94,4,0,8,106,88.68%,7.55%
Searsburg,H. Brooke Paige (R),18,2,6,1,27,66.67%,3.70%
Shaftsbury,H. Brooke Paige (R),86,3,1,5,95,90.53%,5.26%
Sharon,H. Brooke Paige (R),86,3,6,4,99,86.87%,4.04%
Sheffield,H. Brooke Paige (R),69,2,6,5,82,84.15%,6.10%
Shelburne,H. Brooke Paige (R),29,7,9,4,49,59.18%,8.16%
Sheldon,H. Brooke Paige (R),70,3,4,3,80,87.50%,3.75%
Shoreham,H. Brooke Paige (R),1,2,9,3,15,6.67%,20.00%
Shrewsbury,H. Brooke Paige (R),54,2,10,8,74,72.97%,10.81%
South Burlington,H. Brooke Paige (R),208,9,10,6,233,89.27%,2.58%
South Hero,H. Brooke Paige (R),101,4,3,8,116,87.07%,6.90%
Springfield,H. Brooke Paige (R),36,2,6,7,51,70.59%,13.73%
Stamford,H. Brooke Paige (R),46,4,6,2,58,79.31%,3.45%
Stannard,H. Brooke Paige (R),17,1,3,10,31,54.84%,32.26%
Starksboro,H. Brooke Paige (R),23,5,6,4,38,60.53%,10.53%
Stockbridge,H. Brooke Paige (R),14,10,6,3,33,42.42%,9.09%
Stowe,H. Brooke Paige (R),162,9,6,3,180,90.00%,1.67%
Strafford,H. Brooke Paige (R),12,9,7,1,29,41.38%,3.45%
Stratton,H. Brooke Paige (R),51,4,5,7,67,76.12%,10.45%
Sudbury,H. Brooke Paige (R),14,0,4,1,19,73.68%,5.26%
Sunderland,H. Brooke Paige (R),87,4,8,8,107,81.31%,7.48%
Sutton,H. Brooke Paige (R),12,6,6,7,31,38.71%,22.58%
Swanton,H. Brooke Paige (R),69,1,6,8,84,82.14%,9.52%
Thetford,H. Brooke Paige (R),78,10,9,1,98,79.59%,1.02%
Tinmouth,H. Brooke Paige (R),55,4,7,9,75,73.33%,12.00%
Topsham,H. Brooke Paige (R),35,0,4,2,41,85.37%,4.88%
Townshend,H. Brooke Paige (R),73,4,0,1,78,93.59%,1.28%
Troy,H. Brooke Paige (R),38,8,1,8,55,69.09%,14.55%
Tunbridge,H. Brooke Paige (R),31,1,0,6,38,81.58%,15.79%
Underhill,H. Brooke Paige (R),108,3,1,4,116,93.10%,3.45%
Vergennes,H. Brooke Paige (R),84,1,6,4,95,88.42%,4.21%
Vernon,H. Brooke Paige (R),76,2,5,5,88,86.36%,5.68%
Vershire,H. Brooke Paige (R),82,9,1,7,99,82.83%,7.07%
Victory,H. Brooke Paige (R),32,8,5,5,50,64.00%,10.00%
Waitsfield,H. Brooke Paige (R),13,2,4,2,21,61.90%,9.52%
Walden,H. Brooke Paige (R),21,5,3,6,35,60.00%,17.14%
Wallingford,H. Brooke Paige (R),16,4,0,5,25,64.00%,20.00%
Waltham,H. Brooke Paige (R),11,1,1,4,17,64.71%,23.53%
Wardsboro,H. Brooke Paige (R),4,0,2,10,16,25.00%,62.50%
Warren,H. Brooke Paige (R),68,2,6,0,76,89.47%,0.00%
Washington,H. Brooke Paige (R),54,6,7,3,70,77.14%,4.29%
Waterbury,H. Brooke Paige (R),6,7,8,3,24,25.00%,12.50%
Waterford,H. Brooke Paige (R),105,8,1,0,114,92.11%,0.00%
Waterville,H. Brooke Paige (R),71,3,0,2,76,93.42%,2.63%
Weathersfield,H. Brooke Paige (R),77,9,1,10,97,79.38%,10.31%
Wells,H. Brooke Paige (R),184,6,7,3,200,92.00%,1.50%
West Fairlee,H. Brooke Paige (R),72,1,1,6,80,90.00%,7.50%
West Haven,H. Brooke Paige (R),34,9,6,8,57,59.65%,14.04%
West Rutland,H. Brooke Paige (R),49,7,1,5,62,79.03%,8.06%
West Windsor,H. Brooke Paige (R),5,10,9,5,29,17.24%,17.24%
Westfield,H. Brooke Paige (R),17,4,8,6,35,48.57%,17.14%
Westford,H. Brooke Paige (R),89,7,5,8,109,81.65%,7.34%
Westminster,H. Brooke Paige (R),81,8,8,7,104,77.88%,6.73%
Westmore,H. Brooke Paige (R),21,2,5,6,34,61.76%,17.65%
Weston,H. Brooke Paige (R),89,7,7,5,108,82.41%,4.63%
Weybridge,H. Brooke Paige (R),40,6,3,4,53,75.47%,7.55%
Wheelock,H. Brooke Paige (R),23,7,3,3,36,63.89%,8.33%
Whiting,H. Brooke Paige (R),16,6,3,0,25,64.00%,0.00%
Whitingham,H. Brooke Paige (R),18,5,8,2,33,54.55%,6.06%
Williamstown,H. Brooke Paige (R),118,7,9,4,138,85.51%,2.90%
Williston,H. Brooke Paige (R),71,10,8,10,99,71.72%,10.10%
Wilmington,H. Brooke Paige (R),72,1,5,4,82,87.80%,4.88%
Windham,H. Brooke Paige (R),37,1,0,6,44,84.09%,13.64%
Windsor,H. Brooke Paige (R),1,7,8,1,17,5.88%,5.88%
Winhall,H. Brooke Paige (R),5,10,6,1,22,22.73%,4.55%
Winooski,H. Brooke Paige (R),50,2,1,6,59,84.75%,10.17%
Wolcott,H. Brooke Paige (R),41,8,2,4,55,74.55%,7.27%
Woodbury,H. Brooke Paige (R),12,8,7,6,33,36.36%,18.18%
Woodford,H. Brooke Paige (R),33,5,8,1,47,70.21%,2.13%
Woodstock,H. Brooke Paige (R),56,1,1,8,66,84.85%,12.12%
Worcester,H. Brooke Paige (R),75,7,6,2,90,83.33%,2.22%
