City/Town,Leading Candidate,H. Brooke Paige (R),Write-Ins,Blanks,Overvotes,Total Votes Cast,H. Brooke Paige (R) Percent Votes Cast,Overvotes Percent
Rupert,H. Brooke Paige (R),22,2,1,3,28,78.57%,10.71%
Rutland City,H. Brooke Paige (R),343,10,8,10,371,92.45%,2.70%
Rutland Town,H. Brooke Paige (R),145,5,5,6,161,90.06%,3.73%
Ryegate,H. Brooke Paige (R),89,2,3,7,101,88.12%,6.93%
Saint Albans City,H. Brooke Paige (R),130,5,7,3,145,89.66%,2.07%
Saint Albans Town,H. Brooke Paige (R),150,5,10,4,169,88.76%,2.37%
Saint George,H. Brooke Paige (R),91,5,1,7,104,87.50%,6.73%
Saint Johnsbury,H. Brooke Paige (R),80,1,3,3,87,91.95%,3.45%
Salisbury,H. Brooke Paige (R),65,8,5,10,88,73.86%,11.36%
Sandgate,H. Brooke Paige (R),72,1,5,6,84,85.71%,7.14%
Searsburg,H. Brooke Paige (R),44,8,8,9,69,63.77%,13.04%
Shaftsbury,H. Brooke Paige (R),74,1,10,1,86,86.05%,1.16%
Sharon,H. Brooke Paige (R),35,10,10,4,59,59.32%,6.78%
Sheffield,H. Brooke Paige (R),78,1,7,8,94,82.98%,8.51%
Shelburne,H. Brooke Paige (R),62,8,5,9,84,73.81%,10.71%
Sheldon,H. Brooke Paige (R),70,1,7,4,82,85.37%,4.88%
Shoreham,H. Brooke Paige (R),16,8,7,2,33,48.48%,6.06%
Shrewsbury,H. Brooke Paige (R),64,8,2,3,77,83.12%,3.90%
South Burlington,H. Brooke Paige (R),163,4,8,9,184,88.59%,4.89%
South Hero,H. Brooke Paige (R),10,9,5,10,34,29.41%,29.41%
Springfield,H. Brooke Paige (R),65,4,4,3,76,85.53%,3.95%
Stamford,H. Brooke Paige (R),74,5,1,2,82,90.24%,2.44%
Stannard,H. Brooke Paige (R),66,6,5,0,77,85.71%,0.00%
Starksboro,H. Brooke Paige (R),15,10,2,10,37,40.54%,27.03%
Stockbridge,H. Brooke Paige (R),20,7,9,5,41,48.78%,12.20%
Stowe,H. Brooke Paige (R),80,10,2,8,100,80.00%,8.00%
Strafford,H. Brooke Paige (R),57,4,3,6,70,81.43%,8.57%
Stratton,H. Brooke Paige (R),41,6,8,6,61,67.21%,9.84%
Sudbury,H. Brooke Paige (R),21,4,6,6,37,56.76%,16.22%
Sunderland,H. Brooke Paige (R),11,5,7,5,28,39.29%,17.86%
Sutton,H. Brooke Paige (R),42,9,6,1,58,72.41%,1.72%
Swanton,H. Brooke Paige (R),26,2,1,2,31,83.87%,6.45%
Thetford,H. Brooke Paige (R),60,10,6,3,79,75.95%,3.80%
Tinmouth,H. Brooke Paige (R),74,8,4,4,90,82.22%,4.44%
Topsham,H. Brooke Paige (R),69,3,8,1,81,85.19%,1.23%
Townshend,H. Brooke Paige (R),99,0,9,4,112,88.39%,3.57%
Troy,H. Brooke Paige (R),6,9,5,10,30,20.00%,33.33%
Tunbridge,H. Brooke Paige (R),6,9,3,2,20,30.00%,10.00%
Underhill,H. Brooke Paige (R),43,8,7,4,62,69.35%,6.45%
Vergennes,H. Brooke Paige (R),35,4,4,10,53,66.04%,18.87%
Vernon,H. Brooke Paige (R),10,0,9,2,21,47.62%,9.52%
Vershire,H. Brooke Paige (R),96,7,9,7,119,80.67%,5.88%
Victory,H. Brooke Paige (R),40,7,5,7,59,67.80%,11.86%
Waitsfield,H. Brooke Paige (R),31,1,8,0,40,77.50%,0.00%
Walden,H. Brooke Paige (R),81,1,4,8,94,86.17%,8.51%
Wallingford,H. Brooke Paige (R),97,9,3,6,115,84.35%,5.22%
Waltham,H. Brooke Paige (R),74,10,3,10,97,76.29%,10.31%
Wardsboro,H. Brooke Paige (R),36,1,6,7,50,72.00%,14.00%
Warren,H. Brooke Paige (R),89,0,4,4,97,91.75%,4.12%
Washington,H. Brooke Paige (R),32,10,10,3,55,58.18%,5.45%
Waterbury,H. Brooke Paige (R),47,6,1,4,58,81.03%,6.90%
Waterford,H. Brooke Paige (R),68,9,6,3,86,79.07%,3.49%
Waterville,H. Brooke Paige (R),3,7,8,1,19,15.79%,5.26%
Weathersfield,H. Brooke Paige (R),10,9,5,1,25,40.00%,4.00%
Wells,H. Brooke Paige (R),103,10,5,6,124,83.06%,4.84%
West Fairlee,H. Brooke Paige (R),26,1,2,0,29,89.66%,0.00%
West Haven,H. Brooke Paige (R),60,4,6,7,77,77.92%,9.09%
West Rutland,H. Brooke Paige (R),81,8,4,7,100,81.00%,7.00%
West Windsor,H. Brooke Paige (R),82,6,4,2,94,87.23%,2.13%
Westfield,H. Brooke Paige (R),106,3,9,7,125,84.80%,5.60%
Westford,H. Brooke Paige (R),25,5,4,1,35,71.43%,2.86%
Westminster,H. Brooke Paige (R),18,6,1,10,35,51.43%,28.57%
Westmore,H. Brooke Paige (R),80,1,7,9,97,82.47%,9.28%
Weston,H. Brooke Paige (R),24,2,8,1,35,68.57%,2.86%
Weybridge,H. Brooke Paige (R),30,5,7,4,46,65.22%,8.70%
Wheelock,H. Brooke Paige (R),18,1,7,9,35,51.43%,25.71%
Whiting,H. Brooke Paige (R),22,5,6,1,34,64.71%,2.94%
Whitingham,H. Brooke Paige (R),23,1,3,6,33,69.70%,18.18%
Williamstown,H. Brooke Paige (R),129,8,8,8,153,84.31%,5.23%
Williston,H. Brooke Paige (R),94,5,10,8,117,80.34%,6.84%
Wilmington,H. Brooke Paige (R),6,7,8,2,23,26.09%,8.70%
Windham,H. Brooke Paige (R),98,6,4,8,116,84.48%,6.90%
Windsor,H. Brooke Paige (R),26,1,1,1,29,89.66%,3.45%
Winhall,H. Brooke Paige (R),41,1,1,2,45,91.11%,4.44%
Winooski,H. Brooke Paige (R),82,1,4,4,91,90.11%,4.40%
Wolcott,H. Brooke Paige (R),72,1,6,7,86,83.72%,8.14%
Woodbury,H. Brooke Paige (R),76,8,2,7,93,81.72%,7.53%
Woodford,H. Brooke Paige (R),24,10,4,9,47,51.06%,19.15%
Woodstock,H. Brooke Paige (R),86,0,1,10,97,88.66%,10.31%
Worcester,H. Brooke Paige (R),54,4,3,7,68,79.41%,10.29%
