City/Town,Leading Candidate,John S. Rodgers (R),Write-Ins,Blanks,Overvotes,Total Votes Cast,John S. Rodgers (R) Percent Votes Cast,Overvotes Percent
Burke,John S. Rodgers (R),34,2,7,3,46,73.91%,6.52%
Burlington,John S. Rodgers (R),443,9,8,9,469,94.46%,1.92%
Cabot,John S. Rodgers (R),17,3,10,1,31,54.84%,3.23%
Calais,John S. Rodgers (R),47,6,4,2,59,79.66%,3.39%
Cambridge,John S. Rodgers (R),94,4,10,10,118,79.66%,8.47%
Canaan,John S. Rodgers (R),56,1,4,1,62,90.32%,1.61%
Castleton,John S. Rodgers (R),8,3,4,0,15,53.33%,0.00%
Cavendish,John S. Rodgers (R),90,9,8,6,113,79.65%,5.31%
Charleston,John S. Rodgers (R),7,10,1,1,19,36.84%,5.26%
Charlotte,John S. Rodgers (R),49,5,8,6,68,72.06%,8.82%
Chelsea,John S. Rodgers (R),52,1,0,7,60,86.67%,11.67%
Chester,John S. Rodgers (R),13,6,6,8,33,39.39%,24.24%
Chittenden,John S. Rodgers (R),6,6,8,9,29,20.69%,31.03%
Clarendon,John S. Rodgers (R),79,3,2,7,91,86.81%,7.69%
Colchester,John S. Rodgers (R),116,8,9,9,142,81.69%,6.34%
Concord,John S. Rodgers (R),54,5,4,0,63,85.71%,0.00%
Corinth,John S. Rodgers (R),69,4,8,2,83,83.13%,2.41%
Cornwall,John S. Rodgers (R),3,3,7,4,17,17.65%,23.53%
Coventry,John S. Rodgers (R),69,6,6,7,88,78.41%,7.95%
Craftsbury,John S. Rodgers (R),11,6,4,2,23,47.83%,8.70%
Danby,John S. Rodgers (R),75,2,6,5,88,85.23%,5.68%
Danville,John S. Rodgers (R),46,4,9,7,66,69.70%,10.61%
Derby,John S. Rodgers (R),1,7,1,3,12,8.33%,25.00%
Dorset,John S. Rodgers (R),87,5,1,6,99,87.88%,6.06%
Dover,John S. Rodgers (R),17,7,6,1,31,54.84%,3.23%
Dummerston,John S. Rodgers (R),97,0,4,5,106,91.51%,4.72%
Duxbury,John S. Rodgers (R),60,10,6,8,84,71.43%,9.52%
East Haven,John S. Rodgers (R),29,7,10,4,50,58.00%,8.00%
East Montpelier,John S. Rodgers (R),65,6,10,1,82,79.27%,1.22%
Eden,John S. Rodgers (R),54,9,6,10,79,68.35%,12.66%
Elmore,John S. Rodgers (R),59,3,4,9,75,78.67%,12.00%
Enosburgh,John S. Rodgers (R),10,2,3,2,17,58.82%,11.76%
Essex Junction,John S. Rodgers (R),194,1,1,8,204,95.10%,3.92%
Essex,John S. Rodgers (R),79,4,2,8,93,84.95%,8.60%
Fair Haven,John S. Rodgers (R),70,5,8,2,85,82.35%,2.35%
Fairfax,John S. Rodgers (R),15,8,9,1,33,45.45%,3.03%
Fairfield,John S. Rodgers (R),26,1,7,4,38,68.42%,10.53%
Fairlee,John S. Rodgers (R),3,4,8,8,23,13.04%,34.78%
Fayston,John S. Rodgers (R),24,1,1,6,32,75.00%,18.75%
Ferrisburgh,John S. Rodgers (R),83,8,4,2,97,85.57%,2.06%
Fletcher,John S. Rodgers (R),22,8,1,10,41,53.66%,24.39%
Franklin,John S. Rodgers (R),67,5,8,1,81,82.72%,1.23%
Georgia,John S. Rodgers (R),133,7,6,10,156,85.26%,6.41%
Glover,John S. Rodgers (R),86,6,1,1,94,91.49%,1.06%
Goshen,John S. Rodgers (R),47,1,1,1,50,94.00%,2.00%
Grafton,John S. Rodgers (R),26,8,9,3,46,56.52%,6.52%
Granby,John S. Rodgers (R),71,1,2,8,82,86.59%,9.76%
Grand Isle,John S. Rodgers (R),50,4,4,1,59,84.75%,1.69%
Granville,John S. Rodgers (R),82,2,1,2,87,94.25%,2.30%
Greensboro,John S. Rodgers (R),45,1,9,7,62,72.58%,11.29%
Groton,John S. Rodgers (R),103,4,3,1,111,92.79%,0.90%
Guildhall,John S. Rodgers (R),62,6,8,1,77,80.52%,1.30%
Guilford,John S. Rodgers (R),21,4,10,1,36,58.33%,2.78%
Halifax,John S. Rodgers (R),17,1,1,9,28,60.71%,32.14%
Hancock,John S. Rodgers (R),58,4,6,8,76,76.32%,10.53%
Hardwick,John S. Rodgers (R),4,8,1,5,18,22.22%,27.78%
Hartford,John S. Rodgers (R),86,8,6,8,108,79.63%,7.41%
Hartland,John S. Rodgers (R),81,1,1,7,90,90.00%,7.78%
Highgate,John S. Rodgers (R),53,2,3,4,62,85.48%,6.45%
Hinesburg,John S. Rodgers (R),125,9,4,7,145,86.21%,4.83%
Holland,John S. Rodgers (R),12,9,0,6,27,44.44%,22.22%
Hubbardton,John S. Rodgers (R),31,8,4,2,45,68.89%,4.44%
Huntington,John S. Rodgers (R),22,1,3,8,34,64.71%,23.53%
Hyde Park,John S. Rodgers (R),59,5,6,7,77,76.62%,9.09%
Ira,John S. Rodgers (R),33,3,1,1,38,86.84%,2.63%
Irasburg,John S. Rodgers (R),22,7,1,7,37,59.46%,18.92%
Isle La Motte,John S. Rodgers (R),16,5,3,7,31,51.61%,22.58%
Jamaica,John S. Rodgers (R),59,5,2,4,70,84.29%,5.71%
Jay,John S. Rodgers (R),37,3,8,1,49,75.51%,2.04%
Jericho,John S. Rodgers (R),83,4,8,7,102,81.37%,6.86%
Johnson,John S. Rodgers (R),33,2,9,6,50,66.00%,12.00%
Killington,John S. Rodgers (R),34,1,1,9,45,75.56%,20.00%
Kirby,John S. Rodgers (R),84,6,6,2,98,85.71%,2.04%
Landgrove,John S. Rodgers (R),32,4,10,4,50,64.00%,8.00%
Leicester,John S. Rodgers (R),52,4,6,10,72,72.22%,13.89%
Lemington,John S. Rodgers (R),26,5,5,0,36,72.22%,0.00%
Lincoln,John S. Rodgers (R),86,7,3,2,98,87.76%,2.04%
Londonderry,John S. Rodgers (R),18,8,10,5,41,43.90%,12.20%
Lowell,John S. Rodgers (R),37,2,1,4,44,84.09%,9.09%
Ludlow,John S. Rodgers (R),97,3,0,6,106,91.51%,5.66%
Lunenburg,John S. Rodgers (R),62,10,6,1,79,78.48%,1.27%
Lyndon,John S. Rodgers (R),61,6,6,7,80,76.25%,8.75%
Maidstone,John S. Rodgers (R),52,6,10,3,71,73.24%,4.23%
Manchester,John S. Rodgers (R),50,4,1,1,56,89.29%,1.79%
Marlboro,John S. Rodgers (R),38,3,0,1,42,90.48%,2.38%
Marshfield,John S. Rodgers (R),7,2,2,7,18,38.89%,38.89%
Mendon,John S. Rodgers (R),6,6,10,3,25,24.00%,12.00%
Middlebury,John S. Rodgers (R),125,1,6,10,142,88.03%,7.04%
Middlesex,John S. Rodgers (R),2,1,2,6,11,18.18%,54.55%
Middletown Springs,John S. Rodgers (R),64,10,6,2,82,78.05%,2.44%
Milton,John S. Rodgers (R),202,5,7,9,223,90.58%,4.04%
Monkton,John S. Rodgers (R),29,1,2,7,39,74.36%,17.95%
Montgomery,John S. Rodgers (R),96,3,4,0,103,93.20%,0.00%
Montpelier,John S. Rodgers (R),42,2,6,9,59,71.19%,15.25%
Moretown,John S. Rodgers (R),31,2,3,1,37,83.78%,2.70%
Morgan,John S. Rodgers (R),86,9,1,2,98,87.76%,2.04%
Morristown,John S. Rodgers (R),33,7,4,10,54,61.11%,18.52%
Mount Holly,John S. Rodgers (R),2,2,8,10,22,9.09%,45.45%
Mount Tabor,John S. Rodgers (R),33,1,3,1,38,86.84%,2.63%
New Haven,John S. Rodgers (R),141,9,5,8,163,86.50%,4.91%
Newark,John S. Rodgers (R),71,6,6,3,86,82.56%,3.49%
Newbury,John S. Rodgers (R),21,7,0,10,38,55.26%,26.32%
Newfane,John S. Rodgers (R),30,1,6,7,44,68.18%,15.91%
Newport City,John S. Rodgers (R),90,1,5,4,100,90.00%,4.00%
Newport Town,John S. Rodgers (R),89,2,5,8,104,85.58%,7.69%
North Hero,John S. Rodgers (R),35,2,3,7,47,74.47%,14.89%
Northfield,John S. Rodgers (R),0,4,3,2,9,0.00%,22.22%
Norton,John S. Rodgers (R),36,3,5,2,46,78.26%,4.35%
Norwich,John S. Rodgers (R),48,5,7,8,68,70.59%,11.76%
Orange,John S. Rodgers (R),74,6,1,3,84,88.10%,3.57%
Orwell,John S. Rodgers (R),107,6,7,8,128,83.59%,6.25%
Panton,John S. Rodgers (R),9,0,6,6,21,42.86%,28.57%
Pawlet,John S. Rodgers (R),41,2,1,3,47,87.23%,6.38%
Peacham,John S. Rodgers (R),41,4,1,1,47,87.23%,2.13%
Peru,John S. Rodgers (R),79,5,1,2,87,90.80%,2.30%
Pittsfield,John S. Rodgers (R),13,6,4,2,25,52.00%,8.00%
Pittsford,John S. Rodgers (R),67,1,10,10,88,76.14%,11.36%
Plainfield,John S. Rodgers (R),9,2,2,10,23,39.13%,43.48%
Plymouth,John S. Rodgers (R),29,6,9,5,49,59.18%,10.20%
Pomfret,John S. Rodgers (R),88,6,8,7,109,80.73%,6.42%
Poultney,John S. Rodgers (R),17,3,7,7,34,50.00%,20.59%
Pownal,John S. Rodgers (R),41,5,10,5,61,67.21%,8.20%
Proctor,John S. Rodgers (R),63,4,4,7,78,80.77%,8.97%
Putney,John S. Rodgers (R),86,4,1,8,99,86.87%,8.08%
Randolph,John S. Rodgers (R),25,6,1,2,34,73.53%,5.88%
Reading,John S. Rodgers (R),57,1,8,8,74,77.03%,10.81%
Readsboro,John S. Rodgers (R),74,0,9,8,91,81.32%,8.79%
Richford,John S. Rodgers (R),70,6,9,9,94,74.47%,9.57%
Richmond,John S. Rodgers (R),22,10,7,2,41,53.66%,4.88%
Ripton,John S. Rodgers (R),96,6,10,7,119,80.67%,5.88%
Rochester,John S. Rodgers (R),103,1,6,8,118,87.29%,6.78%
Rockingham,John S. Rodgers (R),7,5,1,8,21,33.33%,38.10%
Roxbury,John S. Rodgers (R),59,8,3,0,70,84.29%,0.00%
Royalton,John S. Rodgers (R),7,8,9,1,25,28.00%,4.00%
Rupert,John S. Rodgers (R),76,4,8,7,95,80.00%,7.37%
Rutland City,John S. Rodgers (R),141,8,7,8,164,85.98%,4.88%
Rutland Town,John S. Rodgers (R),61,5,8,1,75,81.33%,1.33%
Ryegate,John S. Rodgers (R),72,8,8,4,92,78.26%,4.35%
Saint Albans City,John S. Rodgers (R),131,6,2,2,141,92.91%,1.42%
Saint Albans Town,John S. Rodgers (R),95,9,10,7,121,78.51%,5.79%
Saint George,John S. Rodgers (R),104,4,1,3,112,92.86%,2.68%
Saint Johnsbury,John S. Rodgers (R),19,3,7,1,30,63.33%,3.33%
Salisbury,John S. Rodgers (R),88,4,7,9,108,81.48%,8.33%
Sandgate,John S. Rodgers (R),34,4,4,2,44,77.27%,4.55%
Searsburg,John S. Rodgers (R),54,6,10,0,70,77.14%,0.00%
Shaftsbury,John S. Rodgers (R),53,6,4,1,64,82.81%,1.56%
Sharon,John S. Rodgers (R),48,2,2,8,60,80.00%,13.33%
Sheffield,John S. Rodgers (R),78,7,8,1,94,82.98%,1.06%
Shelburne,John S. Rodgers (R),176,8,5,7,196,89.80%,3.57%
Sheldon,John S. Rodgers (R),20,2,1,9,32,62.50%,28.12%
Shoreham,John S. Rodgers (R),62,4,1,8,75,82.67%,10.67%
Shrewsbury,John S. Rodgers (R),57,9,1,1,68,83.82%,1.47%
South Burlington,John S. Rodgers (R),180,9,6,8,203,88.67%,3.94%
South Hero,John S. Rodgers (R),32,1,7,4,44,72.73%,9.09%
Springfield,John S. Rodgers (R),49,0,6,3,58,84.48%,5.17%
Stamford,John S. Rodgers (R),5,2,0,1,8,62.50%,12.50%
Stannard,John S. Rodgers (R),27,1,3,3,34,79.41%,8.82%
Starksboro,John S. Rodgers (R),107,8,4,6,125,85.60%,4.80%
Stockbridge,John S. Rodgers (R),56,1,3,3,63,88.89%,4.76%
Stowe,John S. Rodgers (R),51,3,6,4,64,79.69%,6.25%
Strafford,John S. Rodgers (R),44,6,4,5,59,74.58%,8.47%
Stratton,John S. Rodgers (R),74,5,6,6,91,81.32%,6.59%
Sudbury,John S. Rodgers (R),1,2,1,3,7,14.29%,42.86%
Sunderland,John S. Rodgers (R),176,4,6,6,192,91.67%,3.12%
Sutton,John S. Rodgers (R),31,5,7,4,47,65.96%,8.51%
Swanton,John S. Rodgers (R),88,0,6,0,94,93.62%,0.00%
Thetford,John S. Rodgers (R),87,1,1,4,93,93.55%,4.30%
Tinmouth,John S. Rodgers (R),16,0,5,1,22,72.73%,4.55%
Topsham,John S. Rodgers (R),104,6,10,1,121,85.95%,0.83%
Townshend,John S. Rodgers (R),42,1,9,1,53,79.25%,1.89%
Troy,John S. Rodgers (R),20,7,10,3,40,50.00%,7.50%
Tunbridge,John S. Rodgers (R),28,2,3,4,37,75.68%,10.81%
Underhill,John S. Rodgers (R),8,0,3,4,15,53.33%,26.67%
Vergennes,John S. Rodgers (R),52,5,1,9,67,77.61%,13.43%
Vernon,John S. Rodgers (R),86,7,1,3,97,88.66%,3.09%
Vershire,John S. Rodgers (R),44,2,2,5,53,83.02%,9.43%
Victory,John S. Rodgers (R),9,5,1,3,18,50.00%,16.67%
Waitsfield,John S. Rodgers (R),2,2,1,4,9,22.22%,44.44%
Walden,John S. Rodgers (R),59,5,7,1,72,81.94%,1.39%
Wallingford,John S. Rodgers (R),80,2,9,5,96,83.33%,5.21%
Waltham,John S. Rodgers (R),42,7,0,1,50,84.00%,2.00%
Wardsboro,John S. Rodgers (R),68,2,1,1,72,94.44%,1.39%
Warren,John S. Rodgers (R),66,10,4,2,82,80.49%,2.44%
Washington,John S. Rodgers (R),81,1,2,5,89,91.01%,5.62%
Waterbury,John S. Rodgers (R),50,1,0,9,60,83.33%,15.00%
Waterford,John S. Rodgers (R),68,1,5,1,75,90.67%,1.33%
Waterville,John S. Rodgers (R),19,3,1,4,27,70.37%,14.81%
Weathersfield,John S. Rodgers (R),14,1,7,4,26,53.85%,15.38%
Wells,John S. Rodgers (R),161,7,10,3,181,88.95%,1.66%
West Fairlee,John S. Rodgers (R),3,4,4,2,13,23.08%,15.38%
West Haven,John S. Rodgers (R),28,8,7,3,46,60.87%,6.52%
West Rutland,John S. Rodgers (R),9,7,7,7,30,30.00%,23.33%
West Windsor,John S. Rodgers (R),1,2,5,6,14,7.14%,42.86%
Westfield,John S. Rodgers (R),5,9,0,8,22,22.73%,36.36%
Westford,John S. Rodgers (R),4,1,8,6,19,21.05%,31.58%
Westminster,John S. Rodgers (R),41,8,5,1,55,74.55%,1.82%
Westmore,John S. Rodgers (R),63,8,2,1,74,85.14%,1.35%
Weston,John S. Rodgers (R),58,4,1,6,69,84.06%,8.70%
Weybridge,John S. Rodgers (R),59,4,10,5,78,75.64%,6.41%
Wheelock,John S. Rodgers (R),100,1,3,5,109,91.74%,4.59%
Whiting,John S. Rodgers (R),50,6,9,6,71,70.42%,8.45%
Whitingham,John S. Rodgers (R),67,5,7,1,80,83.75%,1.25%
Williamstown,John S. Rodgers (R),20,2,4,5,31,64.52%,16.13%
Williston,John S. Rodgers (R),56,8,3,5,72,77.78%,6.94%
Wilmington,John S. Rodgers (R),80,4,1,5,90,88.89%,5.56%
Windham,John S. Rodgers (R),9,6,6,8,29,31.03%,27.59%
Windsor,John S. Rodgers (R),80,5,8,3,96,83.33%,3.12%
Winhall,John S. Rodgers (R),25,10,1,8,44,56.82%,18.18%
Winooski,John S. Rodgers (R),58,7,1,3,69,84.06%,4.35%
Wolcott,John S. Rodgers (R),44,0,5,4,53,83.02%,7.55%
Woodbury,John S. Rodgers (R),10,8,4,5,27,37.04%,18.52%
Woodford,John S. Rodgers (R),89,2,0,1,92,96.74%,1.09%
Woodstock,John S. Rodgers (R),1,3,1,4,9,11.11%,44.44%
Worcester,John S. Rodgers (R),105,7,4,9,125,84.00%,7.20%
