City/Town,Leading Candidate,Sarah Copeland Hanzas (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Sarah Copeland Hanzas (D) Percent Votes Cast,Overvotes Percent
Dummerston,Sarah Copeland Hanzas (D),82,5,1,3,91,90.11%,3.30%
Duxbury,Sarah Copeland Hanzas (D),61,7,5,8,81,75.31%,9.88%
East Haven,Sarah Copeland Hanzas (D),26,1,1,5,33,78.79%,15.15%
East Montpelier,Sarah Copeland Hanzas (D),23,7,6,1,37,62.16%,2.70%
Eden,Sarah Copeland Hanzas (D),52,3,6,1,62,83.87%,1.61%
Elmore,Sarah Copeland Hanzas (D),63,1,6,4,74,85.14%,5.41%
Enosburgh,Sarah Copeland Hanzas (D),25,6,4,6,41,60.98%,14.63%
Essex Junction,Sarah Copeland Hanzas (D),118,5,8,6,137,86.13%,4.38%
Essex,Sarah Copeland Hanzas (D),104,10,10,4,128,81.25%,3.12%
Fair Haven,Sarah Copeland Hanzas (D),1,3,1,4,9,11.11%,44.44%
Fairfax,Sarah Copeland Hanzas (D),33,3,6,2,44,75.00%,4.55%
Fairfield,Sarah Copeland Hanzas (D),55,3,1,0,59,93.22%,0.00%
Fairlee,Sarah Copeland Hanzas (D),15,6,0,1,22,68.18%,4.55%
Fayston,Sarah Copeland Hanzas (D),44,3,1,10,58,75.86%,17.24%
Ferrisburgh,Sarah Copeland Hanzas (D),69,5,10,4,88,78.41%,4.55%
Fletcher,Sarah Copeland Hanzas (D),32,3,8,8,51,62.75%,15.69%
Franklin,Sarah Copeland Hanzas (D),63,7,1,2,73,86.30%,2.74%
Georgia,Sarah Copeland Hanzas (D),79,6,6,8,99,79.80%,8.08%
Glover,Sarah Copeland Hanzas (D),21,8,2,4,35,60.00%,11.43%
Goshen,Sarah Copeland Hanzas (D),0,9,7,0,16,0.00%,0.00%
Grafton,Sarah Copeland Hanzas (D),15,7,5,7,34,44.12%,20.59%
Granby,Sarah Copeland Hanzas (D),91,5,1,0,97,93.81%,0.00%
Grand Isle,Sarah Copeland Hanzas (D),36,8,0,9,53,67.92%,16.98%
Granville,Sarah Copeland Hanzas (D),43,10,0,2,55,78.18%,3.64%
Greensboro,Sarah Copeland Hanzas (D),3,9,10,6,28,10.71%,21.43%
Groton,Sarah Copeland Hanzas (D),74,1,5,2,82,90.24%,2.44%
Guildhall,Sarah Copeland Hanzas (D),103,5,7,9,124,83.06%,7.26%
Guilford,Sarah Copeland Hanzas (D),80,7,6,0,93,86.02%,0.00%
Halifax,Sarah Copeland Hanzas (D),79,1,6,5,91,86.81%,5.49%
Hancock,Sarah Copeland Hanzas (D),78,0,6,5,89,87.64%,5.62%
Hardwick,Sarah Copeland Hanzas (D),71,4,0,1,76,93.42%,1.32%
Hartford,Sarah Copeland Hanzas (D),141,10,7,7,165,85.45%,4.24%
Hartland,Sarah Copeland Hanzas (D),23,1,5,0,29,79.31%,0.00%
Highgate,Sarah Copeland Hanzas (D),96,5,1,4,106,90.57%,3.77%
Hinesburg,Sarah Copeland Hanzas (D),50,7,5,4,66,75.76%,6.06%
Holland,Sarah Copeland Hanzas (D),89,3,10,1,103,86.41%,0.97%
Hubbardton,Sarah Copeland Hanzas (D),100,3,8,2,113,88.50%,1.77%
Huntington,Sarah Copeland Hanzas (D),46,6,1,6,59,77.97%,10.17%
Hyde Park,Sarah Copeland Hanzas (D),38,5,4,5,52,73.08%,9.62%
Ira,Sarah Copeland Hanzas (D),10,3,1,1,15,66.67%,6.67%
Irasburg,Sarah Copeland Hanzas (D),106,3,1,9,119,89.08%,7.56%
Isle La Motte,Sarah Copeland Hanzas (D),11,6,1,9,27,40.74%,33.33%
Jamaica,Sarah Copeland Hanzas (D),87,7,0,3,97,89.69%,3.09%
Jay,Sarah Copeland Hanzas (D),78,2,2,5,87,89.66%,5.75%
Jericho,Sarah Copeland Hanzas (D),42,8,6,3,59,71.19%,5.08%
Johnson,Sarah Copeland Hanzas (D),56,4,3,6,69,81.16%,8.70%
Killington,Sarah Copeland Hanzas (D),77,1,5,10,93,82.80%,10.75%
Kirby,Sarah Copeland Hanzas (D),46,7,1,2,56,82.14%,3.57%
Landgrove,Sarah Copeland Hanzas (D),60,4,5,0,69,86.96%,0.00%
Leicester,Sarah Copeland Hanzas (D),44,4,1,3,52,84.62%,5.77%
Lemington,Sarah Copeland Hanzas (D),81,3,1,1,86,94.19%,1.16%
Lincoln,Sarah Copeland Hanzas (D),68,7,6,7,88,77.27%,7.95%
Londonderry,Sarah Copeland Hanzas (D),34,1,8,8,51,66.67%,15.69%
Lowell,Sarah Copeland Hanzas (D),45,7,4,9,65,69.23%,13.85%
Ludlow,Sarah Copeland Hanzas (D),46,1,8,1,56,82.14%,1.79%
Lunenburg,Sarah Copeland Hanzas (D),50,9,6,8,73,68.49%,10.96%
Lyndon,Sarah Copeland Hanzas (D),8,9,6,4,27,29.63%,14.81%
Maidstone,Sarah Copeland Hanzas (D),25,1,1,8,35,71.43%,22.86%
Manchester,Sarah Copeland Hanzas (D),66,8,6,4,84,78.57%,4.76%
Marlboro,Sarah Copeland Hanzas (D),26,4,5,3,38,68.42%,7.89%
Marshfield,Sarah Copeland Hanzas (D),17,10,2,3,32,53.12%,9.38%
Mendon,Sarah Copeland Hanzas (D),67,6,4,6,83,80.72%,7.23%
Middlebury,Sarah Copeland Hanzas (D),143,8,5,6,162,88.27%,3.70%
Middlesex,Sarah Copeland Hanzas (D),33,3,5,10,51,64.71%,19.61%
Middletown Springs,Sarah Copeland Hanzas (D),36,1,3,1,41,87.80%,2.44%
Milton,Sarah Copeland Hanzas (D),166,9,10,5,190,87.37%,2.63%
Monkton,Sarah Copeland Hanzas (D),16,8,3,0,27,59.26%,0.00%
Montgomery,Sarah Copeland Hanzas (D),33,3,0,9,45,73.33%,20.00%
Montpelier,Sarah Copeland Hanzas (D),51,3,3,1,58,87.93%,1.72%
Moretown,Sarah Copeland Hanzas (D),21,2,1,9,33,63.64%,27.27%
Morgan,Sarah Copeland Hanzas (D),72,1,4,8,85,84.71%,9.41%
Morristown,Sarah Copeland Hanzas (D),25,1,4,6,36,69.44%,16.67%
Mount Holly,Sarah Copeland Hanzas (D),50,2,1,1,54,92.59%,1.85%
Mount Tabor,Sarah Copeland Hanzas (D),86,4,6,4,100,86.00%,4.00%
New Haven,Sarah Copeland Hanzas (D),144,6,8,8,166,86.75%,4.82%
Newark,Sarah Copeland Hanzas (D),28,8,7,5,48,58.33%,10.42%
Newbury,Sarah Copeland Hanzas (D),71,5,9,10,95,74.74%,10.53%
Newfane,Sarah Copeland Hanzas (D),97,1,7,7,112,86.61%,6.25%
Newport City,Sarah Copeland Hanzas (D),68,7,4,7,86,79.07%,8.14%
Newport Town,Sarah Copeland Hanzas (D),59,1,6,2,68,86.76%,2.94%
North Hero,Sarah Copeland Hanzas (D),60,6,1,8,75,80.00%,10.67%
Northfield,Sarah Copeland Hanzas (D),2,9,6,5,22,9.09%,22.73%
Norton,Sarah Copeland Hanzas (D),3,2,4,10,19,15.79%,52.63%
Norwich,Sarah Copeland Hanzas (D),71,7,0,1,79,89.87%,1.27%
Orange,Sarah Copeland Hanzas (D),61,1,1,4,67,91.04%,5.97%
Orwell,Sarah Copeland Hanzas (D),87,7,4,4,102,85.29%,3.92%
Panton,Sarah Copeland Hanzas (D),85,7,8,4,104,81.73%,3.85%
Pawlet,Sarah Copeland Hanzas (D),108,10,4,3,125,86.40%,2.40%
Peacham,Sarah Copeland Hanzas (D),109,5,6,8,128,85.16%,6.25%
Peru,Sarah Copeland Hanzas (D),91,6,5,6,108,84.26%,5.56%
Pittsfield,Sarah Copeland Hanzas (D),25,4,5,8,42,59.52%,19.05%
Pittsford,Sarah Copeland Hanzas (D),18,6,2,4,30,60.00%,13.33%
Plainfield,Sarah Copeland Hanzas (D),62,10,1,4,77,80.52%,5.19%
Plymouth,Sarah Copeland Hanzas (D),20,10,1,8,39,51.28%,20.51%
Pomfret,Sarah Copeland Hanzas (D),41,5,5,6,57,71.93%,10.53%
Poultney,Sarah Copeland Hanzas (D),37,1,5,5,48,77.08%,10.42%
Pownal,Sarah Copeland Hanzas (D),65,8,9,3,85,76.47%,3.53%
Proctor,Sarah Copeland Hanzas (D),50,0,4,10,64,78.12%,15.62%
Putney,Sarah Copeland Hanzas (D),5,6,7,5,23,21.74%,21.74%
Randolph,Sarah Copeland Hanzas (D),85,2,6,1,94,90.43%,1.06%
Reading,Sarah Copeland Hanzas (D),11,3,8,6,28,39.29%,21.43%
Readsboro,Sarah Copeland Hanzas (D),14,8,4,9,35,40.00%,25.71%
Richford,Sarah Copeland Hanzas (D),28,1,1,4,34,82.35%,11.76%
Richmond,Sarah Copeland Hanzas (D),66,8,7,4,85,77.65%,4.71%
Ripton,Sarah Copeland Hanzas (D),5,2,0,6,13,38.46%,46.15%
Rochester,Sarah Copeland Hanzas (D),27,7,5,5,44,61.36%,11.36%
Rockingham,Sarah Copeland Hanzas (D),49,8,6,7,70,70.00%,10.00%
Roxbury,Sarah Copeland Hanzas (D),51,2,6,7,66,77.27%,10.61%
Royalton,Sarah Copeland Hanzas (D),67,3,3,1,74,90.54%,1.35%
Rupert,Sarah Copeland Hanzas (D),39,1,7,6,53,73.58%,11.32%
Rutland City,Sarah Copeland Hanzas (D),252,3,5,3,263,95.82%,1.14%
Rutland Town,Sarah Copeland Hanzas (D),98,8,9,5,120,81.67%,4.17%
Ryegate,Sarah Copeland Hanzas (D),43,5,6,2,56,76.79%,3.57%
Saint Albans City,Sarah Copeland Hanzas (D),87,5,7,8,107,81.31%,7.48%
Saint Albans Town,Sarah Copeland Hanzas (D),126,8,6,8,148,85.14%,5.41%
Saint George,Sarah Copeland Hanzas (D),14,0,5,7,26,53.85%,26.92%
Saint Johnsbury,Sarah Copeland Hanzas (D),24,2,0,8,34,70.59%,23.53%
Salisbury,Sarah Copeland Hanzas (D),102,3,8,9,122,83.61%,7.38%
Sandgate,Sarah Copeland Hanzas (D),12,4,4,1,21,57.14%,4.76%
Searsburg,Sarah Copeland Hanzas (D),11,1,4,2,18,61.11%,11.11%
Shaftsbury,Sarah Copeland Hanzas (D),96,2,4,1,103,93.20%,0.97%
Sharon,Sarah Copeland Hanzas (D),0,2,5,6,13,0.00%,46.15%
Sheffield,Sarah Copeland Hanzas (D),86,6,2,1,95,90.53%,1.05%
Shelburne,Sarah Copeland Hanzas (D),92,6,2,9,109,84.40%,8.26%
Sheldon,Sarah Copeland Hanzas (D),22,1,5,5,33,66.67%,15.15%
Shoreham,Sarah Copeland Hanzas (D),52,8,5,3,68,76.47%,4.41%
Shrewsbury,Sarah Copeland Hanzas (D),0,2,0,8,10,0.00%,80.00%
South Burlington,Sarah Copeland Hanzas (D),287,9,6,9,311,92.28%,2.89%
South Hero,Sarah Copeland Hanzas (D),46,5,7,5,63,73.02%,7.94%
Springfield,Sarah Copeland Hanzas (D),90,1,5,5,101,89.11%,4.95%
Stamford,Sarah Copeland Hanzas (D),102,6,1,3,112,91.07%,2.68%
Stannard,Sarah Copeland Hanzas (D),50,2,2,1,55,90.91%,1.82%
Starksboro,Sarah Copeland Hanzas (D),41,7,4,10,62,66.13%,16.13%
Stockbridge,Sarah Copeland Hanzas (D),54,1,1,5,61,88.52%,8.20%
Stowe,Sarah Copeland Hanzas (D),61,8,7,2,78,78.21%,2.56%
Strafford,Sarah Copeland Hanzas (D),15,7,2,6,30,50.00%,20.00%
Stratton,Sarah Copeland Hanzas (D),98,5,8,9,120,81.67%,7.50%
Sudbury,Sarah Copeland Hanzas (D),104,8,1,10,123,84.55%,8.13%
Sunderland,Sarah Copeland Hanzas (D),99,2,5,7,113,87.61%,6.19%
Sutton,Sarah Copeland Hanzas (D),46,10,3,2,61,75.41%,3.28%
Swanton,Sarah Copeland Hanzas (D),12,0,4,4,20,60.00%,20.00%
Thetford,Sarah Copeland Hanzas (D),37,3,7,8,55,67.27%,14.55%
Tinmouth,Sarah Copeland Hanzas (D),13,4,6,3,26,50.00%,11.54%
Topsham,Sarah Copeland Hanzas (D),61,3,1,7,72,84.72%,9.72%
Townshend,Sarah Copeland Hanzas (D),94,7,3,1,105,89.52%,0.95%
Troy,Sarah Copeland Hanzas (D),28,2,3,5,38,73.68%,13.16%
Tunbridge,Sarah Copeland Hanzas (D),56,3,5,2,66,84.85%,3.03%
Underhill,Sarah Copeland Hanzas (D),31,5,8,1,45,68.89%,2.22%
Vergennes,Sarah Copeland Hanzas (D),16,5,2,3,26,61.54%,11.54%
Vernon,Sarah Copeland Hanzas (D),65,9,2,1,77,84.42%,1.30%
Vershire,Sarah Copeland Hanzas (D),6,0,7,9,22,27.27%,40.91%
Victory,Sarah Copeland Hanzas (D),32,5,8,6,51,62.75%,11.76%
Waitsfield,Sarah Copeland Hanzas (D),18,10,8,8,44,40.91%,18.18%
Walden,Sarah Copeland Hanzas (D),109,9,1,1,120,90.83%,0.83%
Wallingford,Sarah Copeland Hanzas (D),43,7,4,8,62,69.35%,12.90%
Waltham,Sarah Copeland Hanzas (D),40,4,1,4,49,81.63%,8.16%
Wardsboro,Sarah Copeland Hanzas (D),38,4,9,4,55,69.09%,7.27%
Warren,Sarah Copeland Hanzas (D),46,7,9,8,70,65.71%,11.43%
Washington,Sarah Copeland Hanzas (D),1,10,10,0,21,4.76%,0.00%
Waterbury,Sarah Copeland Hanzas (D),45,5,10,1,61,73.77%,1.64%
Waterford,Sarah Copeland Hanzas (D),54,4,7,9,74,72.97%,12.16%
Waterville,Sarah Copeland Hanzas (D),68,3,1,8,80,85.00%,10.00%
Weathersfield,Sarah Copeland Hanzas (D),49,1,1,5,56,87.50%,8.93%
Wells,Sarah Copeland Hanzas (D),85,8,5,8,106,80.19%,7.55%
West Fairlee,Sarah Copeland Hanzas (D),13,7,4,3,27,48.15%,11.11%
West Haven,Sarah Copeland Hanzas (D),30,2,8,6,46,65.22%,13.04%
West Rutland,Sarah Copeland Hanzas (D),24,1,2,8,35,68.57%,22.86%
West Windsor,Sarah Copeland Hanzas (D),37,4,0,6,47,78.72%,12.77%
Westfield,Sarah Copeland Hanzas (D),32,9,8,8,57,56.14%,14.04%
Westford,Sarah Copeland Hanzas (D),85,3,4,4,96,88.54%,4.17%
Westminster,Sarah Copeland Hanzas (D),50,8,2,1,61,81.97%,1.64%
Westmore,Sarah Copeland Hanzas (D),11,10,0,10,31,35.48%,32.26%
Weston,Sarah Copeland Hanzas (D),41,1,3,3,48,85.42%,6.25%
Weybridge,Sarah Copeland Hanzas (D),41,9,0,4,54,75.93%,7.41%
Wheelock,Sarah Copeland Hanzas (D),51,3,7,7,68,75.00%,10.29%
Whiting,Sarah Copeland Hanzas (D),15,6,7,1,29,51.72%,3.45%
Whitingham,Sarah Copeland Hanzas (D),90,3,2,10,105,85.71%,9.52%
Williamstown,Sarah Copeland Hanzas (D),171,9,7,2,189,90.48%,1.06%
Williston,Sarah Copeland Hanzas (D),211,7,3,9,230,91.74%,3.91%
Wilmington,Sarah Copeland Hanzas (D),88,3,0,1,92,95.65%,1.09%
Windham,Sarah Copeland Hanzas (D),9,6,4,10,29,31.03%,34.48%
Windsor,Sarah Copeland Hanzas (D),82,5,0,1,88,93.18%,1.14%
Winhall,Sarah Copeland Hanzas (D),60,2,8,8,78,76.92%,10.26%
Winooski,Sarah Copeland Hanzas (D),29,3,7,2,41,70.73%,4.88%
Wolcott,Sarah Copeland Hanzas (D),29,5,7,8,49,59.18%,16.33%
Woodbury,Sarah Copeland Hanzas (D),3,8,2,1,14,21.43%,7.14%
Woodford,Sarah Copeland Hanzas (D),67,1,7,1,76,88.16%,1.32%
Woodstock,Sarah Copeland Hanzas (D),49,1,10,2,62,79.03%,3.23%
Worcester,Sarah Copeland Hanzas (D),47,8,6,4,65,72.31%,6.15%
