City/Town,Leading Candidate,BARBARA NOLFI,Write-Ins,Blanks,Overvotes,Total Votes Cast,BARBARA NOLFI Percent Votes Cast,Overvotes Percent
Hinesburg,BARBARA NOLFI,146,123,8,6,283,51.59%,2.12%
Holland,BARBARA NOLFI,85,35,9,6,135,62.96%,4.44%
Hubbardton,REP TO CONG HUBBARDTON ADDISON RUTLAND,87,93,9,1,190,45.79%,0.53%
Huntington,BARBARA NOLFI,67,30,2,6,105,63.81%,5.71%
Hyde Park,BARBARA NOLFI,90,84,6,6,186,48.39%,3.23%
Ira,REP TO CONG IRA RUTLAND-1,76,87,7,8,178,42.70%,4.49%
Irasburg,BARBARA NOLFI,62,37,8,9,116,53.45%,7.76%
Isle La Motte,BARBARA NOLFI,21,11,1,8,41,51.22%,19.51%
Jamaica,REP TO CONG JAMAICA WINDHAM-2,51,79,5,3,138,36.96%,2.17%
Jay,REP TO CONG JAY ORLEANS LAMOILLE,9,66,9,8,92,9.78%,8.70%
Jericho,BARBARA NOLFI,28,12,7,7,54,51.85%,12.96%
Johnson,BARBARA NOLFI,91,72,5,7,175,52.00%,4.00%
Killington,BARBARA NOLFI,92,65,5,6,168,54.76%,3.57%
Kirby,BARBARA NOLFI,15,23,7,4,49,30.61%,8.16%
Landgrove,BARBARA NOLFI,67,37,8,2,114,58.77%,1.75%
Leicester,REP TO CONG LEICESTER ADDISON-2,2,27,8,8,45,4.44%,17.78%
Lemington,REP TO CONG LEMINGTON ESSEX ORLEANS,43,76,10,10,139,30.94%,7.19%
Lincoln,BARBARA NOLFI,77,28,4,6,115,66.96%,5.22%
Londonderry,BARBARA NOLFI,47,21,7,2,77,61.04%,2.60%
Lowell,REP TO CONG LOWELL ORLEANS LAMOILLE,3,84,8,3,98,3.06%,3.06%
Ludlow,REP TO CONG LUDLOW RUTLAND WINDSOR,31,55,7,6,99,31.31%,6.06%
Lunenburg,REP TO CONG LUNENBURG ESSEX CALEDONIA,18,30,7,7,62,29.03%,11.29%
Lyndon,REP TO CONG LYNDON CALEDONIA 3,3,84,4,8,99,3.03%,8.08%
Maidstone,REP TO CONG MAIDSTONE ESSEX CALEDONIA,1,111,7,5,124,0.81%,4.03%
Manchester,BARBARA NOLFI,95,52,5,7,159,59.75%,4.40%
Marlboro,REP TO CONG MARLBORO WINDHAM-5,89,102,8,9,208,42.79%,4.33%
Marshfield,REP TO CONG MARSHFIELD WASHINGTON-6,70,98,8,7,183,38.25%,3.83%
Mendon,REP TO CONG MENDON RUTLAND-11,1,53,9,8,71,1.41%,11.27%
Middlebury,REP TO CONG MIDDLEBURY ADDISON-1,13,56,9,6,84,15.48%,7.14%
Middlesex,REP TO CONG MIDDLESEX WASHINGTON-5,32,43,4,7,86,37.21%,8.14%
Middletown Springs,REP TO CONG MIDDLETOWN SPRINGS RUTLAND BENNINGTON,18,54,3,9,84,21.43%,10.71%
Milton,BARBARA NOLFI,254,162,9,3,428,59.35%,0.70%
Monkton,REP TO CONG MONKTON ADDISON-4,63,80,4,6,153,41.18%,3.92%
Montgomery,BARBARA NOLFI,95,64,8,9,176,53.98%,5.11%
Montpelier,REP TO CONG MONTPELIER WASHINGTON-4,60,69,1,8,138,43.48%,5.80%
Moretown,BARBARA NOLFI,88,12,8,2,110,80.00%,1.82%
Morgan,REP TO CONG MORGAN ESSEX ORLEANS,2,10,9,6,27,7.41%,22.22%
Morristown,REP TO CONG MORRISTOWN LAMOILLE WASHINGTON,4,74,9,7,94,4.26%,7.45%
Mount Holly,REP TO CONG MOUNT HOLLY RUTLAND WINDSOR,12,22,4,7,45,26.67%,15.56%
Mount Tabor,BARBARA NOLFI,40,36,8,4,88,45.45%,4.55%
New Haven,BARBARA NOLFI,183,122,5,9,319,57.37%,2.82%
Newark,REP TO CONG NEWARK CALEDONIA 3,25,47,2,8,82,30.49%,9.76%
Newbury,REP TO CONG NEWBURY ORANGE CALEDONIA,32,60,9,4,105,30.48%,3.81%
Newfane,REP TO CONG NEWFANE WINDHAM-5,26,80,6,1,113,23.01%,0.88%
Newport City,REP TO CONG NEWPORT CITY ORLEANS-2,1,63,7,4,75,1.33%,5.33%
Newport Town,REP TO CONG NEWPORT TOWN ORLEANS LAMOILLE,5,39,8,3,55,9.09%,5.45%
North Hero,REP TO CONG NORTH HERO GRAND ISLE CHITTENDEN,8,89,0,9,106,7.55%,8.49%
Northfield,BARBARA NOLFI,54,47,7,1,109,49.54%,0.92%
Norton,REP TO CONG NORTON ESSEX ORLEANS,2,63,10,10,85,2.35%,11.76%
Norwich,BARBARA NOLFI,99,63,5,6,173,57.23%,3.47%
Orange,BARBARA NOLFI,35,39,10,4,88,39.77%,4.55%
Orwell,BARBARA NOLFI,90,57,3,8,158,56.96%,5.06%
Panton,REP TO CONG PANTON ADDISON-3,52,58,10,10,130,40.00%,7.69%
Pawlet,BARBARA NOLFI,41,15,8,10,74,55.41%,13.51%
Peacham,REP TO CONG PEACHAM CALEDONIA WASHINGTON,18,33,4,8,63,28.57%,12.70%
Peru,REP TO CONG PERU BENNINGTON RUTLAND,56,86,2,10,154,36.36%,6.49%
Pittsfield,BARBARA NOLFI,91,84,9,2,186,48.92%,1.08%
Pittsford,BARBARA NOLFI,59,32,5,6,102,57.84%,5.88%
Plainfield,REP TO CONG PLAINFIELD WASHINGTON-6,19,59,8,5,91,20.88%,5.49%
Plymouth,BARBARA NOLFI,85,53,9,7,154,55.19%,4.55%
Pomfret,BARBARA NOLFI,17,9,9,3,38,44.74%,7.89%
Poultney,REP TO CONG POULTNEY RUTLAND-1,1,29,8,6,44,2.27%,13.64%
Pownal,BARBARA NOLFI,54,59,6,8,127,42.52%,6.30%
Proctor,REP TO CONG PROCTOR RUTLAND-8,35,75,8,7,125,28.00%,5.60%
Putney,BARBARA NOLFI,105,32,8,1,146,71.92%,0.68%
Randolph,BARBARA NOLFI,74,7,8,10,99,74.75%,10.10%
Reading,BARBARA NOLFI,105,35,9,5,154,68.18%,3.25%
Readsboro,REP TO CONG READSBORO BENNINGTON-1,59,88,6,10,163,36.20%,6.13%
Richford,BARBARA NOLFI,68,40,8,4,120,56.67%,3.33%
Richmond,BARBARA NOLFI,62,58,9,5,134,46.27%,3.73%
Ripton,BARBARA NOLFI,87,37,6,4,134,64.93%,2.99%
Rochester,BARBARA NOLFI,73,3,10,9,95,76.84%,9.47%
Rockingham,BARBARA NOLFI,76,12,6,7,101,75.25%,6.93%
Roxbury,BARBARA NOLFI,53,8,10,6,77,68.83%,7.79%
Royalton,BARBARA NOLFI,41,40,7,3,91,45.05%,3.30%
Rupert,REP TO CONG RUPERT RUTLAND BENNINGTON,29,43,10,10,92,31.52%,10.87%
Rutland City,BARBARA NOLFI,121,153,10,10,294,41.16%,3.40%
Rutland Town,REP TO CONG RUTLAND TOWN RUTLAND-2,23,68,10,7,108,21.30%,6.48%
Ryegate,REP TO CONG RYEGATE CALEDONIA 1,20,38,7,2,67,29.85%,2.99%
Saint Albans City,BARBARA NOLFI,157,118,7,9,291,53.95%,3.09%
Saint Albans Town,REP TO CONG SAINT ALBANS TOWN FRANKLIN-8,60,118,10,6,194,30.93%,3.09%
Saint George,REP TO CONG SAINT GEORGE CHITTENDEN-7,58,86,3,1,148,39.19%,0.68%
Saint Johnsbury,BARBARA NOLFI,63,68,8,7,146,43.15%,4.79%
Salisbury,REP TO CONG SALISBURY ADDISON-2,12,72,9,1,94,12.77%,1.06%
Sandgate,BARBARA NOLFI,100,85,4,2,191,52.36%,1.05%
Searsburg,REP TO CONG SEARSBURG BENNINGTON-1,10,97,6,8,121,8.26%,6.61%
Shaftsbury,BARBARA NOLFI,78,27,2,8,115,67.83%,6.96%
Sharon,BARBARA NOLFI,98,90,4,10,202,48.51%,4.95%
Sheffield,BARBARA NOLFI,46,53,9,7,115,40.00%,6.09%
Shelburne,BARBARA NOLFI,140,125,10,10,285,49.12%,3.51%
Sheldon,BARBARA NOLFI,49,36,4,10,99,49.49%,10.10%
Shoreham,BARBARA NOLFI,108,71,5,2,186,58.06%,1.08%
Shrewsbury,BARBARA NOLFI,60,55,3,8,126,47.62%,6.35%
South Burlington,BARBARA NOLFI,284,250,10,10,554,51.26%,1.81%
South Hero,BARBARA NOLFI,76,60,7,2,145,52.41%,1.38%
Springfield,REP TO CONG SPRINGFIELD WINDSOR-3,19,49,6,3,77,24.68%,3.90%
Stamford,BARBARA NOLFI,68,46,9,9,132,51.52%,6.82%
Stannard,BARBARA NOLFI,86,14,7,1,108,79.63%,0.93%
Starksboro,BARBARA NOLFI,47,20,5,1,73,64.38%,1.37%
Stockbridge,BARBARA NOLFI,23,23,8,6,60,38.33%,10.00%
Stowe,REP TO CONG STOWE LAMOILLE-1,41,135,5,6,187,21.93%,3.21%
Strafford,BARBARA NOLFI,70,10,5,3,88,79.55%,3.41%
Stratton,REP TO CONG STRATTON WINDHAM-2,18,41,4,3,66,27.27%,4.55%
Sudbury,REP TO CONG SUDBURY ADDISON RUTLAND,40,80,4,9,133,30.08%,6.77%
Sunderland,BARBARA NOLFI,107,64,7,9,187,57.22%,4.81%
Sutton,REP TO CONG SUTTON CALEDONIA 3,39,78,9,4,130,30.00%,3.08%
Swanton,REP TO CONG SWANTON FRANKLIN-4,34,72,7,7,120,28.33%,5.83%
Thetford,BARBARA NOLFI,105,23,9,10,147,71.43%,6.80%
Tinmouth,BARBARA NOLFI,88,40,7,9,144,61.11%,6.25%
Topsham,REP TO CONG TOPSHAM ORANGE CALEDONIA,58,97,4,7,166,34.94%,4.22%
Townshend,REP TO CONG TOWNSHEND WINDHAM-5,15,49,9,8,81,18.52%,9.88%
Troy,REP TO CONG TROY ORLEANS LAMOILLE,8,54,4,3,69,11.59%,4.35%
Tunbridge,BARBARA NOLFI,41,41,8,5,95,43.16%,5.26%
Underhill,REP TO CONG UNDERHILL CHITTENDEN 3,29,66,5,7,107,27.10%,6.54%
Vergennes,REP TO CONG VERGENNES ADDISON-3,40,62,6,8,116,34.48%,6.90%
Vernon,REP TO CONG VERNON WINDHAM-1,2,52,3,4,61,3.28%,6.56%
Vershire,REP TO CONG VERSHIRE ORANGE-1,6,65,0,7,78,7.69%,8.97%
Victory,BARBARA NOLFI,61,68,10,8,147,41.50%,5.44%
Waitsfield,BARBARA NOLFI,67,53,8,4,132,50.76%,3.03%
Walden,BARBARA NOLFI,81,46,7,7,141,57.45%,4.96%
Wallingford,BARBARA NOLFI,83,74,8,6,171,48.54%,3.51%
Waltham,REP TO CONG WALTHAM ADDISON-3,18,42,7,4,71,25.35%,5.63%
Wardsboro,REP TO CONG WARDSBORO WINDHAM-2,5,40,4,10,59,8.47%,16.95%
Warren,REP TO CONG WARREN WASHINGTON-2,16,85,8,8,117,13.68%,6.84%
Washington,REP TO CONG WASHINGTON ORANGE-1,29,69,7,9,114,25.44%,7.89%
Waterbury,BARBARA NOLFI,102,20,10,8,140,72.86%,5.71%
Waterford,BARBARA NOLFI,98,76,7,5,186,52.69%,2.69%
Waterville,BARBARA NOLFI,100,83,4,6,193,51.81%,3.11%
Weathersfield,BARBARA NOLFI,83,59,5,3,150,55.33%,2.00%
Wells,BARBARA NOLFI,127,127,6,8,268,47.39%,2.99%
West Fairlee,BARBARA NOLFI,64,13,10,4,91,70.33%,4.40%
West Haven,REP TO CONG WEST HAVEN RUTLAND-10,18,76,9,8,111,16.22%,7.21%
West Rutland,REP TO CONG WEST RUTLAND RUTLAND-2,44,76,3,4,127,34.65%,3.15%
West Windsor,REP TO CONG WEST WINDSOR WINDSOR-1,10,39,8,3,60,16.67%,5.00%
Westfield,REP TO CONG WESTFIELD ORLEANS LAMOILLE,67,82,4,8,161,41.61%,4.97%
Westford,BARBARA NOLFI,32,23,6,10,71,45.07%,14.08%
Westminster,BARBARA NOLFI,39,28,7,6,80,48.75%,7.50%
Westmore,REP TO CONG WESTMORE ORLEANS-3,33,56,5,9,103,32.04%,8.74%
Weston,REP TO CONG WESTON WINDHAM WINDSOR BENNINGTON,41,53,8,2,104,39.42%,1.92%
Weybridge,REP TO CONG WEYBRIDGE ADDISON-5,26,38,5,8,77,33.77%,10.39%
Wheelock,BARBARA NOLFI,40,18,5,7,70,57.14%,10.00%
Whiting,REP TO CONG WHITING ADDISON RUTLAND,34,63,5,10,112,30.36%,8.93%
Whitingham,REP TO CONG WHITINGHAM WINDHAM-6,46,76,7,10,139,33.09%,7.19%
Williamstown,BARBARA NOLFI,119,152,8,10,289,41.18%,3.46%
Williston,BARBARA NOLFI,99,54,9,9,171,57.89%,5.26%
Wilmington,REP TO CONG WILMINGTON WINDHAM-6,47,107,4,2,160,29.38%,1.25%
Windham,BARBARA NOLFI,59,33,4,9,105,56.19%,8.57%
Windsor,REP TO CONG WINDSOR WINDSOR-1,39,82,6,8,135,28.89%,5.93%
Winhall,REP TO CONG WINHALL WINDHAM WINDSOR BENNINGTON,29,77,9,5,120,24.17%,4.17%
Winooski,BARBARA NOLFI,107,60,10,8,185,57.84%,4.32%
Wolcott,BARBARA NOLFI,83,80,4,9,176,47.16%,5.11%
Woodbury,BARBARA NOLFI,31,22,6,5,64,48.44%,7.81%
Woodford,BARBARA NOLFI,100,40,6,4,150,66.67%,2.67%
Woodstock,REP TO CONG WOODSTOCK WINDSOR-5,19,65,9,5,98,19.39%,5.10%
Worcester,REP TO CONG WORCESTER LAMOILLE WASHINGTON,20,74,9,6,109,18.35%,5.50%
