City/Town,Leading Candidate,H. Brooke Paige (R),Write-Ins,Blanks,Overvotes,Total Votes Cast,H. Brooke Paige (R) Percent Votes Cast,Overvotes Percent
Randolph,H. Brooke Paige (R),78,7,6,3,94,82.98%,3.19%
Reading,H. Brooke Paige (R),49,7,7,4,67,73.13%,5.97%
Readsboro,H. Brooke Paige (R),15,1,6,8,30,50.00%,26.67%
Richford,H. Brooke Paige (R),4,3,1,3,11,36.36%,27.27%
Richmond,H. Brooke Paige (R),2,1,4,8,15,13.33%,53.33%
Ripton,H. Brooke Paige (R),64,2,3,1,70,91.43%,1.43%
Rochester,H. Brooke Paige (R),34,5,9,1,49,69.39%,2.04%
Rockingham,H. Brooke Paige (R),26,7,2,6,41,63.41%,14.63%
Roxbury,H. Brooke Paige (R),59,3,8,2,72,81.94%,2.78%
Royalton,H. Brooke Paige (R),0,1,8,6,15,0.00%,40.00%
Rupert,H. Brooke Paige (R),1,6,1,3,11,9.09%,27.27%
Rutland City,H. Brooke Paige (R),178,8,10,8,204,87.25%,3.92%
Rutland Town,H. Brooke Paige (R),57,3,7,7,74,77.03%,9.46%
Ryegate,H. Brooke Paige (R),59,3,7,7,76,77.63%,9.21%
Saint Albans City,H. Brooke Paige (R),156,3,6,8,173,90.17%,4.62%
Saint Albans Town,H. Brooke Paige (R),88,10,2,10,110,80.00%,9.09%
Saint George,H. Brooke Paige (R),6,2,6,8,22,27.27%,36.36%
Saint Johnsbury,H. Brooke Paige (R),27,5,3,1,36,75.00%,2.78%
Salisbury,H. Brooke Paige (R),23,6,7,10,46,50.00%,21.74%
Sandgate,H. Brooke Paige (R),38,1,6,6,51,74.51%,11.76%
Searsburg,H. Brooke Paige (R),20,0,7,10,37,54.05%,27.03%
Shaftsbury,H. Brooke Paige (R),43,5,10,8,66,65.15%,12.12%
Sharon,H. Brooke Paige (R),95,2,7,5,109,87.16%,4.59%
Sheffield,H. Brooke Paige (R),33,10,6,1,50,66.00%,2.00%
Shelburne,H. Brooke Paige (R),91,3,10,8,112,81.25%,7.14%
Sheldon,H. Brooke Paige (R),48,7,4,6,65,73.85%,9.23%
Shoreham,H. Brooke Paige (R),42,3,1,7,53,79.25%,13.21%
Shrewsbury,H. Brooke Paige (R),17,1,8,4,30,56.67%,13.33%
South Burlington,H. Brooke Paige (R),202,8,7,8,225,89.78%,3.56%
South Hero,H. Brooke Paige (R),62,1,4,2,69,89.86%,2.90%
Springfield,H. Brooke Paige (R),79,9,3,1,92,85.87%,1.09%
Stamford,H. Brooke Paige (R),76,9,8,5,98,77.55%,5.10%
Stannard,H. Brooke Paige (R),27,1,3,5,36,75.00%,13.89%
Starksboro,H. Brooke Paige (R),54,0,8,5,67,80.60%,7.46%
Stockbridge,H. Brooke Paige (R),4,5,6,6,21,19.05%,28.57%
Stowe,H. Brooke Paige (R),59,10,7,6,82,71.95%,7.32%
Strafford,H. Brooke Paige (R),88,6,5,7,106,83.02%,6.60%
Stratton,H. Brooke Paige (R),62,0,2,6,70,88.57%,8.57%
Sudbury,H. Brooke Paige (R),93,1,7,8,109,85.32%,7.34%
Sunderland,H. Brooke Paige (R),69,7,4,7,87,79.31%,8.05%
Sutton,H. Brooke Paige (R),14,10,5,6,35,40.00%,17.14%
Swanton,H. Brooke Paige (R),94,3,8,4,109,86.24%,3.67%
Thetford,H. Brooke Paige (R),103,2,5,9,119,86.55%,7.56%
Tinmouth,H. Brooke Paige (R),25,5,7,7,44,56.82%,15.91%
Topsham,H. Brooke Paige (R),12,2,8,7,29,41.38%,24.14%
Townshend,H. Brooke Paige (R),45,8,3,6,62,72.58%,9.68%
Troy,H. Brooke Paige (R),31,7,2,8,48,64.58%,16.67%
Tunbridge,H. Brooke Paige (R),10,4,8,2,24,41.67%,8.33%
Underhill,H. Brooke Paige (R),89,3,0,1,93,95.70%,1.08%
Vergennes,H. Brooke Paige (R),78,6,8,4,96,81.25%,4.17%
Vernon,H. Brooke Paige (R),14,4,1,8,27,51.85%,29.63%
Vershire,H. Brooke Paige (R),10,3,4,1,18,55.56%,5.56%
Victory,H. Brooke Paige (R),53,9,1,1,64,82.81%,1.56%
Waitsfield,H. Brooke Paige (R),84,3,4,1,92,91.30%,1.09%
Walden,H. Brooke Paige (R),8,0,10,9,27,29.63%,33.33%
Wallingford,H. Brooke Paige (R),29,4,9,8,50,58.00%,16.00%
Waltham,H. Brooke Paige (R),77,3,4,6,90,85.56%,6.67%
Wardsboro,H. Brooke Paige (R),12,8,7,3,30,40.00%,10.00%
Warren,H. Brooke Paige (R),41,2,0,4,47,87.23%,8.51%
Washington,H. Brooke Paige (R),22,2,0,7,31,70.97%,22.58%
Waterbury,H. Brooke Paige (R),66,5,4,2,77,85.71%,2.60%
Waterford,H. Brooke Paige (R),68,3,3,9,83,81.93%,10.84%
Waterville,H. Brooke Paige (R),12,3,3,6,24,50.00%,25.00%
Weathersfield,H. Brooke Paige (R),76,6,5,6,93,81.72%,6.45%
Wells,H. Brooke Paige (R),87,3,8,5,103,84.47%,4.85%
West Fairlee,H. Brooke Paige (R),106,3,4,8,121,87.60%,6.61%
West Haven,H. Brooke Paige (R),77,2,8,4,91,84.62%,4.40%
West Rutland,H. Brooke Paige (R),42,8,10,5,65,64.62%,7.69%
West Windsor,H. Brooke Paige (R),40,2,1,8,51,78.43%,15.69%
Westfield,H. Brooke Paige (R),86,0,6,2,94,91.49%,2.13%
Westford,H. Brooke Paige (R),70,5,5,6,86,81.40%,6.98%
Westminster,H. Brooke Paige (R),64,0,10,5,79,81.01%,6.33%
Westmore,H. Brooke Paige (R),15,2,2,8,27,55.56%,29.63%
Weston,H. Brooke Paige (R),5,9,3,8,25,20.00%,32.00%
Weybridge,H. Brooke Paige (R),14,1,1,2,18,77.78%,11.11%
Wheelock,H. Brooke Paige (R),70,2,9,5,86,81.40%,5.81%
Whiting,H. Brooke Paige (R),45,7,4,1,57,78.95%,1.75%
Whitingham,H. Brooke Paige (R),10,7,7,2,26,38.46%,7.69%
Williamstown,H. Brooke Paige (R),62,7,9,10,88,70.45%,11.36%
Williston,H. Brooke Paige (R),74,10,6,7,97,76.29%,7.22%
Wilmington,H. Brooke Paige (R),26,9,8,8,51,50.98%,15.69%
Windham,H. Brooke Paige (R),58,8,1,6,73,79.45%,8.22%
Windsor,H. Brooke Paige (R),31,4,1,6,42,73.81%,14.29%
Winhall,H. Brooke Paige (R),9,5,9,5,28,32.14%,17.86%
Winooski,H. Brooke Paige (R),79,8,7,4,98,80.61%,4.08%
Wolcott,H. Brooke Paige (R),9,6,2,7,24,37.50%,29.17%
Woodbury,H. Brooke Paige (R),43,8,8,4,63,68.25%,6.35%
Woodford,H. Brooke Paige (R),62,2,1,1,66,93.94%,1.52%
Woodstock,H. Brooke Paige (R),100,1,1,6,108,92.59%,5.56%
Worcester,H. Brooke Paige (R),29,0,3,6,38,76.32%,15.79%
