City/Town,Leading Candidate,Dan Towle (D),Nicholas Graeter (D),Tim Ashe (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Dan Towle (D) Percent Votes Cast,Nicholas Graeter (D) Percent Votes Cast,Tim Ashe (D) Percent Votes Cast,Overvotes Percent
Brunswick,Nicholas Graeter (D),1,108,68,8,5,9,199,0.50%,54.27%,34.17%,4.52%
Burke,Tim Ashe (D),17,32,89,9,3,10,160,10.62%,20.00%,55.62%,6.25%
Burlington,Dan Towle (D),330,193,263,10,10,9,815,40.49%,23.68%,32.27%,1.10%
Cabot,Dan Towle (D),72,8,11,7,9,7,114,63.16%,7.02%,9.65%,6.14%
Calais,Nicholas Graeter (D),16,73,11,7,10,10,127,12.60%,57.48%,8.66%,7.87%
Cambridge,Tim Ashe (D),22,61,86,7,2,7,185,11.89%,32.97%,46.49%,3.78%
Canaan,Dan Towle (D),72,53,59,8,10,4,206,34.95%,25.73%,28.64%,1.94%
Castleton,Nicholas Graeter (D),5,61,22,7,6,8,109,4.59%,55.96%,20.18%,7.34%
Cavendish,Nicholas Graeter (D),23,87,71,6,10,4,201,11.44%,43.28%,35.32%,1.99%
Charleston,Tim Ashe (D),50,45,54,8,10,5,172,29.07%,26.16%,31.40%,2.91%
Charlotte,Nicholas Graeter (D),13,75,71,7,9,10,185,7.03%,40.54%,38.38%,5.41%
Chelsea,Nicholas Graeter (D),45,98,24,8,10,7,192,23.44%,51.04%,12.50%,3.65%
Chester,Nicholas Graeter (D),41,91,29,5,7,9,182,22.53%,50.00%,15.93%,4.95%
Chittenden,Nicholas Graeter (D),22,84,41,5,9,7,168,13.10%,50.00%,24.40%,4.17%
Clarendon,Tim Ashe (D),30,0,55,8,7,9,109,27.52%,0.00%,50.46%,8.26%
Colchester,Dan Towle (D),181,169,141,8,10,8,517,35.01%,32.69%,27.27%,1.55%
Concord,Nicholas Graeter (D),70,89,5,9,8,6,187,37.43%,47.59%,2.67%,3.21%
Corinth,Nicholas Graeter (D),89,102,58,8,9,10,276,32.25%,36.96%,21.01%,3.62%
Cornwall,Dan Towle (D),63,36,5,10,6,8,128,49.22%,28.12%,3.91%,6.25%
Coventry,Dan Towle (D),52,24,49,6,6,7,144,36.11%,16.67%,34.03%,4.86%
Craftsbury,Nicholas Graeter (D),14,77,29,6,8,10,144,9.72%,53.47%,20.14%,6.94%
Danby,Nicholas Graeter (D),9,59,41,7,8,7,131,6.87%,45.04%,31.30%,5.34%
Danville,Nicholas Graeter (D),34,57,50,8,8,10,167,20.36%,34.13%,29.94%,5.99%
Derby,Dan Towle (D),87,47,28,10,7,10,189,46.03%,24.87%,14.81%,5.29%
Dorset,Nicholas Graeter (D),35,84,10,7,4,8,148,23.65%,56.76%,6.76%,5.41%
Dover,Tim Ashe (D),52,48,108,10,7,7,232,22.41%,20.69%,46.55%,3.02%
Dummerston,Tim Ashe (D),33,15,52,8,7,5,120,27.50%,12.50%,43.33%,4.17%
Duxbury,Nicholas Graeter (D),55,59,58,6,2,3,183,30.05%,32.24%,31.69%,1.64%
East Haven,Nicholas Graeter (D),64,85,30,10,7,10,206,31.07%,41.26%,14.56%,4.85%
East Montpelier,Nicholas Graeter (D),60,83,71,7,4,8,233,25.75%,35.62%,30.47%,3.43%
Eden,Nicholas Graeter (D),34,85,39,9,5,6,178,19.10%,47.75%,21.91%,3.37%
Elmore,Tim Ashe (D),4,31,42,6,9,5,97,4.12%,31.96%,43.30%,5.15%
Enosburgh,Nicholas Graeter (D),9,17,14,6,6,9,61,14.75%,27.87%,22.95%,14.75%
Essex Junction,Nicholas Graeter (D),117,148,95,10,7,10,387,30.23%,38.24%,24.55%,2.58%
Essex,Dan Towle (D),94,71,69,6,10,8,258,36.43%,27.52%,26.74%,3.10%
Fair Haven,Nicholas Graeter (D),87,109,68,3,7,4,278,31.29%,39.21%,24.46%,1.44%
Fairfax,Nicholas Graeter (D),18,69,5,3,3,10,108,16.67%,63.89%,4.63%,9.26%
Fairfield,Tim Ashe (D),46,9,81,7,6,6,155,29.68%,5.81%,52.26%,3.87%
Fairlee,Dan Towle (D),69,30,38,7,6,8,158,43.67%,18.99%,24.05%,5.06%
Fayston,Tim Ashe (D),64,82,105,6,10,10,277,23.10%,29.60%,37.91%,3.61%
Ferrisburgh,Nicholas Graeter (D),17,99,88,4,8,5,221,7.69%,44.80%,39.82%,2.26%
Fletcher,Dan Towle (D),79,11,22,10,8,5,135,58.52%,8.15%,16.30%,3.70%
Franklin,Dan Towle (D),42,35,32,8,8,9,134,31.34%,26.12%,23.88%,6.72%
Georgia,Dan Towle (D),177,100,50,10,9,5,351,50.43%,28.49%,14.25%,1.42%
Glover,Tim Ashe (D),54,39,60,7,2,6,168,32.14%,23.21%,35.71%,3.57%
Goshen,Tim Ashe (D),45,58,85,5,8,6,207,21.74%,28.02%,41.06%,2.90%
Grafton,Dan Towle (D),66,14,26,7,6,6,125,52.80%,11.20%,20.80%,4.80%
Granby,Nicholas Graeter (D),10,108,78,5,4,6,211,4.74%,51.18%,36.97%,2.84%
Grand Isle,Nicholas Graeter (D),38,74,27,8,7,2,156,24.36%,47.44%,17.31%,1.28%
Granville,Tim Ashe (D),25,2,71,8,6,9,121,20.66%,1.65%,58.68%,7.44%
Greensboro,Dan Towle (D),96,19,5,3,10,4,137,70.07%,13.87%,3.65%,2.92%
Groton,Nicholas Graeter (D),26,60,24,5,8,3,126,20.63%,47.62%,19.05%,2.38%
Guildhall,Tim Ashe (D),27,8,77,7,5,8,132,20.45%,6.06%,58.33%,6.06%
Guilford,Tim Ashe (D),7,33,34,6,4,4,88,7.95%,37.50%,38.64%,4.55%
Halifax,Nicholas Graeter (D),29,51,0,9,8,8,105,27.62%,48.57%,0.00%,7.62%
Hancock,Tim Ashe (D),8,7,76,9,7,7,114,7.02%,6.14%,66.67%,6.14%
Hardwick,Nicholas Graeter (D),2,43,33,8,7,7,100,2.00%,43.00%,33.00%,7.00%
Hartford,Nicholas Graeter (D),38,156,101,8,9,10,322,11.80%,48.45%,31.37%,3.11%
Hartland,Dan Towle (D),87,64,22,8,8,6,195,44.62%,32.82%,11.28%,3.08%
Highgate,Nicholas Graeter (D),64,85,69,8,8,5,239,26.78%,35.56%,28.87%,2.09%
Hinesburg,Tim Ashe (D),91,45,93,9,9,7,254,35.83%,17.72%,36.61%,2.76%
Holland,Tim Ashe (D),13,53,58,8,9,8,149,8.72%,35.57%,38.93%,5.37%
Hubbardton,Dan Towle (D),71,15,44,5,8,5,148,47.97%,10.14%,29.73%,3.38%
Huntington,Dan Towle (D),109,105,34,8,7,3,266,40.98%,39.47%,12.78%,1.13%
Hyde Park,Dan Towle (D),33,13,6,5,8,8,73,45.21%,17.81%,8.22%,10.96%
Ira,Nicholas Graeter (D),32,93,22,7,9,8,171,18.71%,54.39%,12.87%,4.68%
Irasburg,Nicholas Graeter (D),7,51,37,8,8,9,120,5.83%,42.50%,30.83%,7.50%
Isle La Motte,Nicholas Graeter (D),22,66,9,9,10,8,124,17.74%,53.23%,7.26%,6.45%
Jamaica,Nicholas Graeter (D),7,71,18,9,8,7,120,5.83%,59.17%,15.00%,5.83%
Jay,Nicholas Graeter (D),16,32,12,6,8,9,83,19.28%,38.55%,14.46%,10.84%
Jericho,Dan Towle (D),78,11,49,5,10,2,155,50.32%,7.10%,31.61%,1.29%
Johnson,Dan Towle (D),28,9,2,8,2,2,51,54.90%,17.65%,3.92%,3.92%
Killington,Tim Ashe (D),25,48,88,10,8,6,185,13.51%,25.95%,47.57%,3.24%
Kirby,Tim Ashe (D),12,1,57,3,6,8,87,13.79%,1.15%,65.52%,9.20%
Landgrove,Dan Towle (D),88,22,38,2,5,9,164,53.66%,13.41%,23.17%,5.49%
Leicester,Dan Towle (D),98,75,28,10,3,8,222,44.14%,33.78%,12.61%,3.60%
Lemington,Dan Towle (D),81,16,41,9,7,9,163,49.69%,9.82%,25.15%,5.52%
Lincoln,Dan Towle (D),67,19,48,10,5,6,155,43.23%,12.26%,30.97%,3.87%
Londonderry,Nicholas Graeter (D),27,70,26,7,10,8,148,18.24%,47.30%,17.57%,5.41%
Lowell,Nicholas Graeter (D),78,78,28,8,4,4,200,39.00%,39.00%,14.00%,2.00%
Ludlow,Tim Ashe (D),96,78,102,6,8,4,294,32.65%,26.53%,34.69%,1.36%
Lunenburg,Dan Towle (D),84,43,23,3,10,4,167,50.30%,25.75%,13.77%,2.40%
Lyndon,Dan Towle (D),76,22,36,10,10,10,164,46.34%,13.41%,21.95%,6.10%
Maidstone,Dan Towle (D),33,17,28,7,7,7,99,33.33%,17.17%,28.28%,7.07%
Manchester,Dan Towle (D),36,21,21,10,8,8,104,34.62%,20.19%,20.19%,7.69%
Marlboro,Tim Ashe (D),71,5,80,7,10,8,181,39.23%,2.76%,44.20%,4.42%
Marshfield,Dan Towle (D),17,2,0,8,2,10,39,43.59%,5.13%,0.00%,25.64%
Mendon,Dan Towle (D),75,62,21,8,7,8,181,41.44%,34.25%,11.60%,4.42%
Middlebury,Dan Towle (D),102,77,56,8,10,9,262,38.93%,29.39%,21.37%,3.44%
Middlesex,Tim Ashe (D),39,36,89,4,4,9,181,21.55%,19.89%,49.17%,4.97%
Middletown Springs,Dan Towle (D),98,47,23,7,7,9,191,51.31%,24.61%,12.04%,4.71%
Milton,Dan Towle (D),166,75,109,10,7,9,376,44.15%,19.95%,28.99%,2.39%
Monkton,Dan Towle (D),99,69,71,9,7,8,263,37.64%,26.24%,27.00%,3.04%
Montgomery,Nicholas Graeter (D),61,90,22,8,8,7,196,31.12%,45.92%,11.22%,3.57%
Montpelier,Dan Towle (D),78,40,61,8,8,8,203,38.42%,19.70%,30.05%,3.94%
Moretown,Dan Towle (D),62,53,42,9,7,6,179,34.64%,29.61%,23.46%,3.35%
Morgan,Dan Towle (D),52,0,19,5,9,7,92,56.52%,0.00%,20.65%,7.61%
Morristown,Nicholas Graeter (D),7,105,41,6,3,6,168,4.17%,62.50%,24.40%,3.57%
Mount Holly,Nicholas Graeter (D),14,41,33,8,8,10,114,12.28%,35.96%,28.95%,8.77%
Mount Tabor,Nicholas Graeter (D),8,87,6,6,9,5,121,6.61%,71.90%,4.96%,4.13%
New Haven,Dan Towle (D),138,107,74,9,6,8,342,40.35%,31.29%,21.64%,2.34%
Newark,Nicholas Graeter (D),45,83,80,5,9,8,230,19.57%,36.09%,34.78%,3.48%
Newbury,Dan Towle (D),48,44,42,8,8,7,157,30.57%,28.03%,26.75%,4.46%
Newfane,Tim Ashe (D),55,46,67,9,4,4,185,29.73%,24.86%,36.22%,2.16%
Newport City,Nicholas Graeter (D),64,69,18,10,6,2,169,37.87%,40.83%,10.65%,1.18%
Newport Town,Nicholas Graeter (D),42,76,6,8,7,4,143,29.37%,53.15%,4.20%,2.80%
North Hero,Tim Ashe (D),11,50,68,8,8,8,153,7.19%,32.68%,44.44%,5.23%
Northfield,Dan Towle (D),65,48,20,7,5,9,154,42.21%,31.17%,12.99%,5.84%
Norton,Nicholas Graeter (D),30,86,84,8,6,8,222,13.51%,38.74%,37.84%,3.60%
Norwich,Dan Towle (D),55,9,46,6,5,9,130,42.31%,6.92%,35.38%,6.92%
Orange,Nicholas Graeter (D),98,109,19,6,8,10,250,39.20%,43.60%,7.60%,4.00%
Orwell,Nicholas Graeter (D),68,76,36,5,6,6,197,34.52%,38.58%,18.27%,3.05%
Panton,Nicholas Graeter (D),6,20,9,10,8,5,58,10.34%,34.48%,15.52%,8.62%
Pawlet,Tim Ashe (D),12,62,109,8,7,6,204,5.88%,30.39%,53.43%,2.94%
Peacham,Nicholas Graeter (D),82,89,48,3,6,8,236,34.75%,37.71%,20.34%,3.39%
Peru,Nicholas Graeter (D),4,104,53,8,9,10,188,2.13%,55.32%,28.19%,5.32%
Pittsfield,Tim Ashe (D),16,29,87,6,6,4,148,10.81%,19.59%,58.78%,2.70%
Pittsford,Tim Ashe (D),38,8,71,6,8,8,139,27.34%,5.76%,51.08%,5.76%
Plainfield,Dan Towle (D),23,15,21,5,6,3,73,31.51%,20.55%,28.77%,4.11%
Plymouth,Dan Towle (D),70,13,34,7,2,10,136,51.47%,9.56%,25.00%,7.35%
Pomfret,Nicholas Graeter (D),29,75,37,2,8,7,158,18.35%,47.47%,23.42%,4.43%
Poultney,Nicholas Graeter (D),12,42,28,7,3,8,100,12.00%,42.00%,28.00%,8.00%
Pownal,Tim Ashe (D),60,94,107,8,10,9,288,20.83%,32.64%,37.15%,3.12%
Proctor,Nicholas Graeter (D),49,80,23,8,4,1,165,29.70%,48.48%,13.94%,0.61%
Putney,Tim Ashe (D),61,4,67,0,8,4,144,42.36%,2.78%,46.53%,2.78%
Randolph,Nicholas Graeter (D),20,97,12,5,8,8,150,13.33%,64.67%,8.00%,5.33%
Reading,Dan Towle (D),69,8,54,8,8,7,154,44.81%,5.19%,35.06%,4.55%
Readsboro,Tim Ashe (D),16,20,45,6,8,7,102,15.69%,19.61%,44.12%,6.86%
Richford,Tim Ashe (D),41,9,49,5,6,8,118,34.75%,7.63%,41.53%,6.78%
Richmond,Nicholas Graeter (D),56,87,42,10,5,7,207,27.05%,42.03%,20.29%,3.38%
Ripton,Nicholas Graeter (D),37,85,68,10,7,7,214,17.29%,39.72%,31.78%,3.27%
Rochester,Dan Towle (D),94,59,8,10,7,10,188,50.00%,31.38%,4.26%,5.32%
Rockingham,Nicholas Graeter (D),13,93,3,8,10,7,134,9.70%,69.40%,2.24%,5.22%
Roxbury,Dan Towle (D),31,24,5,5,9,7,81,38.27%,29.63%,6.17%,8.64%
Royalton,Nicholas Graeter (D),4,56,9,8,10,6,93,4.30%,60.22%,9.68%,6.45%
Rupert,Dan Towle (D),101,54,78,7,8,2,250,40.40%,21.60%,31.20%,0.80%
Rutland City,Dan Towle (D),251,169,225,10,9,7,671,37.41%,25.19%,33.53%,1.04%
Rutland Town,Tim Ashe (D),117,92,118,5,6,7,345,33.91%,26.67%,34.20%,2.03%
Ryegate,Tim Ashe (D),19,42,80,8,5,10,164,11.59%,25.61%,48.78%,6.10%
Saint Albans City,Dan Towle (D),119,37,71,8,8,7,250,47.60%,14.80%,28.40%,2.80%
Saint Albans Town,Nicholas Graeter (D),70,124,43,7,9,10,263,26.62%,47.15%,16.35%,3.80%
Saint George,Dan Towle (D),42,32,36,5,8,7,130,32.31%,24.62%,27.69%,5.38%
Saint Johnsbury,Tim Ashe (D),26,20,79,10,9,8,152,17.11%,13.16%,51.97%,5.26%
Salisbury,Tim Ashe (D),28,50,64,6,9,5,162,17.28%,30.86%,39.51%,3.09%
Sandgate,Dan Towle (D),85,22,52,7,6,4,176,48.30%,12.50%,29.55%,2.27%
Searsburg,Nicholas Graeter (D),69,81,1,2,2,7,162,42.59%,50.00%,0.62%,4.32%
Shaftsbury,Nicholas Graeter (D),67,85,71,4,8,6,241,27.80%,35.27%,29.46%,2.49%
Sharon,Nicholas Graeter (D),18,62,59,9,8,5,161,11.18%,38.51%,36.65%,3.11%
Sheffield,Nicholas Graeter (D),55,89,29,8,8,6,195,28.21%,45.64%,14.87%,3.08%
Shelburne,Tim Ashe (D),78,93,156,10,7,10,354,22.03%,26.27%,44.07%,2.82%
Sheldon,Dan Towle (D),72,31,61,4,8,8,184,39.13%,16.85%,33.15%,4.35%
Shoreham,Dan Towle (D),86,29,59,10,3,8,195,44.10%,14.87%,30.26%,4.10%
Shrewsbury,Dan Towle (D),75,10,65,7,7,7,171,43.86%,5.85%,38.01%,4.09%
South Burlington,Tim Ashe (D),136,274,327,10,8,8,763,17.82%,35.91%,42.86%,1.05%
South Hero,Nicholas Graeter (D),48,71,11,2,2,8,142,33.80%,50.00%,7.75%,5.63%
Springfield,Nicholas Graeter (D),13,26,2,8,10,8,67,19.40%,38.81%,2.99%,11.94%
Stamford,Tim Ashe (D),18,13,25,9,9,10,84,21.43%,15.48%,29.76%,11.90%
Stannard,Dan Towle (D),90,38,27,8,10,8,181,49.72%,20.99%,14.92%,4.42%
Starksboro,Nicholas Graeter (D),12,103,32,7,6,8,168,7.14%,61.31%,19.05%,4.76%
Stockbridge,Tim Ashe (D),23,28,84,7,6,6,154,14.94%,18.18%,54.55%,3.90%
Stowe,Dan Towle (D),128,56,125,7,6,9,331,38.67%,16.92%,37.76%,2.72%
Strafford,Tim Ashe (D),4,81,87,3,5,8,188,2.13%,43.09%,46.28%,4.26%
Stratton,Tim Ashe (D),26,51,74,8,10,4,173,15.03%,29.48%,42.77%,2.31%
Sudbury,Nicholas Graeter (D),28,57,0,10,10,8,113,24.78%,50.44%,0.00%,7.08%
Sunderland,Tim Ashe (D),65,55,89,8,6,9,232,28.02%,23.71%,38.36%,3.88%
Sutton,Tim Ashe (D),55,42,72,8,7,8,192,28.65%,21.88%,37.50%,4.17%
Swanton,Tim Ashe (D),73,28,103,10,7,3,224,32.59%,12.50%,45.98%,1.34%
Thetford,Dan Towle (D),96,40,45,9,8,9,207,46.38%,19.32%,21.74%,4.35%
Tinmouth,Nicholas Graeter (D),12,77,22,8,5,7,131,9.16%,58.78%,16.79%,5.34%
Topsham,Nicholas Graeter (D),28,89,20,6,7,8,158,17.72%,56.33%,12.66%,5.06%
Townshend,Tim Ashe (D),19,32,85,10,5,10,161,11.80%,19.88%,52.80%,6.21%
Troy,Dan Towle (D),89,16,25,7,3,6,146,60.96%,10.96%,17.12%,4.11%
Tunbridge,Dan Towle (D),90,87,36,10,5,6,234,38.46%,37.18%,15.38%,2.56%
Underhill,Nicholas Graeter (D),32,53,52,10,7,5,159,20.13%,33.33%,32.70%,3.14%
Vergennes,Tim Ashe (D),13,20,60,4,6,5,108,12.04%,18.52%,55.56%,4.63%
Vernon,Dan Towle (D),48,22,29,6,7,10,122,39.34%,18.03%,23.77%,8.20%
Vershire,Dan Towle (D),91,8,33,8,9,9,158,57.59%,5.06%,20.89%,5.70%
Victory,Tim Ashe (D),51,61,77,7,10,6,212,24.06%,28.77%,36.32%,2.83%
Waitsfield,Tim Ashe (D),71,34,74,5,9,10,203,34.98%,16.75%,36.45%,4.93%
Walden,Dan Towle (D),25,18,1,9,6,2,61,40.98%,29.51%,1.64%,3.28%
Wallingford,Dan Towle (D),102,77,31,7,10,4,231,44.16%,33.33%,13.42%,1.73%
Waltham,Nicholas Graeter (D),30,36,25,7,4,5,107,28.04%,33.64%,23.36%,4.67%
Wardsboro,Dan Towle (D),56,5,6,7,4,7,85,65.88%,5.88%,7.06%,8.24%
Warren,Nicholas Graeter (D),9,33,16,5,7,9,79,11.39%,41.77%,20.25%,11.39%
Washington,Dan Towle (D),52,27,37,10,8,6,140,37.14%,19.29%,26.43%,4.29%
Waterbury,Nicholas Graeter (D),30,109,88,10,10,9,256,11.72%,42.58%,34.38%,3.52%
Waterford,Tim Ashe (D),30,13,49,8,7,5,112,26.79%,11.61%,43.75%,4.46%
Waterville,Nicholas Graeter (D),10,78,64,5,10,7,174,5.75%,44.83%,36.78%,4.02%
Weathersfield,Tim Ashe (D),8,19,81,7,9,7,131,6.11%,14.50%,61.83%,5.34%
Wells,Nicholas Graeter (D),114,121,27,8,10,9,289,39.45%,41.87%,9.34%,3.11%
West Fairlee,Dan Towle (D),105,12,94,8,9,8,236,44.49%,5.08%,39.83%,3.39%
West Haven,Nicholas Graeter (D),9,41,31,7,8,5,101,8.91%,40.59%,30.69%,4.95%
West Rutland,Tim Ashe (D),25,30,98,8,9,9,179,13.97%,16.76%,54.75%,5.03%
West Windsor,Tim Ashe (D),3,17,89,5,6,5,125,2.40%,13.60%,71.20%,4.00%
Westfield,Nicholas Graeter (D),45,77,12,5,7,9,155,29.03%,49.68%,7.74%,5.81%
Westford,Nicholas Graeter (D),19,40,22,8,8,10,107,17.76%,37.38%,20.56%,9.35%
Westminster,Dan Towle (D),65,29,12,9,8,9,132,49.24%,21.97%,9.09%,6.82%
Westmore,Dan Towle (D),65,31,63,3,7,8,177,36.72%,17.51%,35.59%,4.52%
Weston,Tim Ashe (D),47,26,101,6,9,9,198,23.74%,13.13%,51.01%,4.55%
Weybridge,Nicholas Graeter (D),33,101,36,6,8,6,190,17.37%,53.16%,18.95%,3.16%
Wheelock,Nicholas Graeter (D),1,81,12,10,9,4,117,0.85%,69.23%,10.26%,3.42%
Whiting,Tim Ashe (D),66,85,97,10,7,4,269,24.54%,31.60%,36.06%,1.49%
Whitingham,Nicholas Graeter (D),31,61,25,8,8,4,137,22.63%,44.53%,18.25%,2.92%
Williamstown,Dan Towle (D),125,99,37,9,8,9,287,43.55%,34.49%,12.89%,3.14%
Williston,Nicholas Graeter (D),35,144,101,10,8,8,306,11.44%,47.06%,33.01%,2.61%
Wilmington,Nicholas Graeter (D),41,65,14,6,10,8,144,28.47%,45.14%,9.72%,5.56%
Windham,Nicholas Graeter (D),6,49,43,8,7,3,116,5.17%,42.24%,37.07%,2.59%
Windsor,Dan Towle (D),51,30,45,5,7,10,148,34.46%,20.27%,30.41%,6.76%
Winhall,Dan Towle (D),68,24,30,6,10,10,148,45.95%,16.22%,20.27%,6.76%
Winooski,Dan Towle (D),106,98,6,9,9,8,236,44.92%,41.53%,2.54%,3.39%
Wolcott,Dan Towle (D),78,45,37,7,3,4,174,44.83%,25.86%,21.26%,2.30%
Woodbury,Tim Ashe (D),13,54,81,10,6,2,166,7.83%,32.53%,48.80%,1.20%
Woodford,Dan Towle (D),83,66,70,9,7,5,240,34.58%,27.50%,29.17%,2.08%
Woodstock,Nicholas Graeter (D),4,40,15,6,5,7,77,5.19%,51.95%,19.48%,9.09%
Worcester,Dan Towle (D),103,43,99,5,5,8,263,39.16%,16.35%,37.64%,3.04%
