Race,Office District,Candidate Name,Party,Percent of Votes,Count of Votes,# Precincts Counted,Total # of Precincts,Winner Flag
STATE REPRESENTATIVE,CHITTENDEN 6-3 REP,JILL KROWINSKI,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 6-3 REP,CURT MCCORMACK,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 6-4 REP,SELENE COLBURN,Prog,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 6-4 REP,BRIAN CINA,Prog,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 6-5 REP,TOM LICATA,Other,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 6-5 REP,TIFF BLUEMLE,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 6-5 REP,GABRIELLE STEBBINS,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 6-6 REP,BARBARA RACHELSON,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 6-7 REP,JAMES EHLERS,Other,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 6-7 REP,TAYLOR SMALL,Prog,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 6-7 REP,HAL COLSTON,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 7-1 REP,MARTIN LALONDE,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 7-2 REP,ANN PUGH,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 7-2 REP,STEVE FISHER,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 7-3 REP,JOHN KILLACKY,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 7-4 REP,MAIDA F. TOWNSEND,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 8-1 REP,V. CHASE,Other,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 8-1 REP,MARYSE B. DUNBAR,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 8-1 REP,THOMAS M. NELSON,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 8-1 REP,MARYBETH REDMOND,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 8-1 REP,TANYA VYHOVSKY,Prog,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 8-2 REP,LORI HOUGHTON,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 8-2 REP,KAREN DOLAN,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 8-2 REP,EDMOND J. DAUDELIN,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 8-2 REP,BRETT L. GASKILL,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 8-3 REP,ANDY WATTS,Other,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 8-3 REP,ALYSSA BLACK,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 8-3 REP,ROBERT L. BANCROFT,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 9-1 REP,CURT TAYLOR,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 9-1 REP,SETH CHASE,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 9-1 REP,DOUG WOOD,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 9-1 REP,DESERAE MORIN,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 9-2 REP,SARITA AUSTIN,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 9-2 REP,PATRICK BRENNAN,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN 9-2 REP,JON LYNCH,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN-1 REP,JANA BROWN,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN-1 REP,TERRY MOULTROUP,Other,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN-2 REP,ERIN BRADY,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN-2 REP,JIM MCCULLOUGH,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN-2 REP,"ANTHONY ""TONY"" O'ROURKE",GOP,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN-3 REP,TOMAS CUMMINGS,Other,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN-3 REP,TREVOR J. SQUIRRELL,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN-3 REP,GEORGE TILL,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN-3 REP,PAUL GROSS,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,CHITTENDEN-3 REP,BENJAMIN MUTOLO,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,ESSEX-CALEDONIA REP,"CLEMENT ""CLEM"" BISSONNETTE",Dem,0%,0,0,275,false
STATE REPRESENTATIVE,ESSEX-CALEDONIA REP,TERRI LYNN WILLIAMS,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,ESSEX-CALEDONIA-ORLEANS REP,PAUL LEFEBVRE,Other,0%,0,0,275,false
STATE REPRESENTATIVE,ESSEX-CALEDONIA-ORLEANS REP,MARTHA W. ALLEN,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,FRANKLIN 1 REP,BEN CHIAPPINELLI,Other,0%,0,0,275,false
STATE REPRESENTATIVE,FRANKLIN 1 REP,CARL ROSENQUIST,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,FRANKLIN 2 REP,BARBARA SMITH MURPHY,Other,0%,0,0,275,false
STATE REPRESENTATIVE,FRANKLIN 3-1 REP,WAYNE BILLADO III,Other,0%,0,0,275,false
STATE REPRESENTATIVE,FRANKLIN 3-1 REP,MIKE MCCARTHY,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,FRANKLIN 3-1 REP,DAVID GLIDDEN,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,FRANKLIN 3-1 REP,CASEY TOOF,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,FRANKLIN 3-1 REP,BRUCE F. CHEESEMAN,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,FRANKLIN 3-2 REP,"EILEEN ""LYNN"" DICKINSON",GOP,0%,0,0,275,false
STATE REPRESENTATIVE,FRANKLIN 4 REP,NICHOLAS A. BROSSEAU,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,FRANKLIN 4 REP,BRIAN K. SAVAGE,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,FRANKLIN 4 REP,ROBERT W. NORRIS,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,FRANKLIN 5 REP,CHAREN FEGARD,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,FRANKLIN 5 REP,DANIEL NADEAU,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,FRANKLIN 5 REP,LISA A. HANGO,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,FRANKLIN 5 REP,PAUL MARTIN,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,FRANKLIN 6 REP,JAMES GREGOIRE,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,FRANKLIN 7 REP,DENNIS A. WILLIAMS,Prog,0%,0,0,275,false
STATE REPRESENTATIVE,FRANKLIN 7 REP,FELISHA ROSE LEFFLER,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,GRAND ISLE-CHITTENDEN REP,MITZI JOHNSON,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,GRAND ISLE-CHITTENDEN REP,ANDY JULOW,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,GRAND ISLE-CHITTENDEN REP,LELAND J. MORGAN,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,GRAND ISLE-CHITTENDEN REP,MICHAEL R. MORGAN,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,LAMOILLE 1 REP,JO SABEL COURTNEY,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,LAMOILLE 1 REP,HEIDI E. SCHEUERMANN,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,LAMOILLE 2 REP,KATE DONNALLY,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,LAMOILLE 2 REP,DANIEL NOYES,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,LAMOILLE 2 REP,RICHARD J. BAILEY,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,LAMOILLE 2 REP,SHAYNE SPENCE,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,LAMOILLE 3 REP,LUCY ROGERS,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,LAMOILLE 3 REP,FERRON WAMBOLD,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,LAMOILLE-WASHINGTON REP,DAVID YACOVONE,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,LAMOILLE-WASHINGTON REP,AVRAM PATT,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,LAMOILLE-WASHINGTON REP,TYLER MACHIA,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,LAMOILLE-WASHINGTON REP,SHANNARA JOHNSON,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,ORANGE 1 REP,RAMA SCHNEIDER,Other,0%,0,0,275,false
STATE REPRESENTATIVE,ORANGE 1 REP,CARL DEMROW,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,ORANGE 1 REP,KATE MACLEAN,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,ORANGE 1 REP,RODNEY GRAHAM,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,ORANGE 1 REP,SAMANTHA LEFEBVRE,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,ORANGE 1 REP,SUSAN HATCH DAVIS,Prog,0%,0,0,275,false
STATE REPRESENTATIVE,ORANGE 2 REP,SARAH COPELAND HANZAS,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,ORANGE 2 REP,ZACHARY MICHAEL LANG,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,ORANGE-CALEDONIA REP,KELSEY ROOT-WINCHESTER,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,ORANGE-CALEDONIA REP,JOE PARSONS,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,ORANGE-WASHINGTON-ADDISON REP,KEVIN P. DOERING,Other,0%,0,0,275,false
STATE REPRESENTATIVE,ORANGE-WASHINGTON-ADDISON REP,PETER REED,Other,0%,0,0,275,false
STATE REPRESENTATIVE,ORANGE-WASHINGTON-ADDISON REP,JAY HOOPER,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,ORANGE-WASHINGTON-ADDISON REP,LARRY SATCOWITZ,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,ORANGE-WASHINGTON-ADDISON REP,CHARLES RUSSELL,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,ORANGE-WASHINGTON-ADDISON REP,JOSEPH ROCHE,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,ORLEANS 1 REP,BRIAN SMITH,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,ORLEANS 1 REP,LYNN D. BATCHELOR,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,ORLEANS 2 REP,MICHAEL J. MARCOTTE,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,ORLEANS 2 REP,"WOODMAN ""WOODY"" H. PAGE",GOP,0%,0,0,275,false
STATE REPRESENTATIVE,ORLEANS-CALEDONIA REP,FRANK HUARD,Other,0%,0,0,275,false
STATE REPRESENTATIVE,ORLEANS-CALEDONIA REP,KATHERINE SIMS,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,ORLEANS-CALEDONIA REP,JOHN ELWELL,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,ORLEANS-CALEDONIA REP,VICKI STRONG,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,ORLEANS-CALEDONIA REP,JEANNINE A. YOUNG,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,ORLEANS-LAMOILLE REP,MARK A. HIGLEY,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 1 REP,TYLER-JOSEPH BALLARD,Other,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 1 REP,PATRICIA A. MCCOY,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 2 REP,DAVE POTTER,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 2 REP,KEN FREDETTE,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 2 REP,ARTHUR PETERSON,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 2 REP,TOM BURDITT,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 3 REP,"ROBERT ""BOB"" RICHARDS",Dem,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 3 REP,"WILLIAM ""BILL"" CANFIELD",GOP,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 3 REP,"ROBERT ""BOB"" HELM",GOP,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 4 REP,BARBARA NOYES PULLING,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 4 REP,THOMAS TERENZINI,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 5-1 REP,PETER J. FAGAN,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 5-2 REP,"LARRY ""COOPER"" CUPOLI",GOP,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 5-3 REP,MARY E. HOWARD,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 5-3 REP,JOHN P. CIOFFI JR,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 5-4 REP,WILLIAM NOTTE,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 5-4 REP,SHERRI PROUTY,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 6 REP,STEPHANIE Z. JEROME,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 6 REP,"CHARLES ""BUTCH"" SHAW",GOP,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND 6 REP,DAVID SOULIA,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND-BENNINGTON REP,ROBIN CHESNUT-TANGERMAN,Prog,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND-BENNINGTON REP,SALLY ACHEY,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND-WINDSOR 1 REP,JIM HARRISON,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,RUTLAND-WINDSOR 2 REP,LOGAN NICOLL,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 1 REP,DENISE MACMARTIN,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 1 REP,"ROBERT ""ROB"" LEHMERT",Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 1 REP,ANNE B. DONAHUE,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 1 REP,KENNETH W. GOSLANT,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 1 REP,GORDON BOCK,Other,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 2 REP,"FRANCIS ""TOPPER"" MCFAUN",GOP,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 2 REP,ROB LACLAIR,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 3 REP,PETER D. ANTHONY,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 3 REP,TOMMY WALZ,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 3 REP,JOHN STEINMAN,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 3 REP,KAREN LAUZON,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 4 REP,MARY S. HOOPER,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 4 REP,WARREN KITZMILLER,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 4 REP,GLENNIE FITZGERALD SEWELL,Prog,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 5 REP,MATTHEW S. SELLERS,Other,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 5 REP,KIMBERLY JESSUP,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 6 REP,LEWIS G. GRAHAM JR,VETS FOR VETS,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 6 REP,JANET ANCEL,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 7 REP,MAXINE GRAD,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON 7 REP,KARI DOLAN,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON-CHITTENDEN REP,CHRIS VIENS,Other,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON-CHITTENDEN REP,THERESA A. M. WOOD,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON-CHITTENDEN REP,THOMAS STEVENS,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WASHINGTON-CHITTENDEN REP,BROCK CODERRE,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,WINDHAM 1 REP,SARA COFFEY,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WINDHAM 2-1 REP,EMILIE KORNHEISER,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WINDHAM 2-1 REP,RICHARD MORTON,GOP,0%,0,0,275,false
STATE REPRESENTATIVE,WINDHAM 2-2 REP,MOLLIE S. BURKE,Prog,0%,0,0,275,false
STATE REPRESENTATIVE,WINDHAM 2-3 REP,TRISTAN TOLENO,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WINDHAM 3 REP,RYAN COYNE,Other,0%,0,0,275,false
STATE REPRESENTATIVE,WINDHAM 3 REP,LESLIE GOLDMAN,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WINDHAM 3 REP,CAROLYN W. PARTRIDGE,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WINDHAM 4 REP,MIKE MROWICKI,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WINDHAM 4 REP,MICHELLE BOS-LUN,Dem,0%,0,0,275,false
STATE REPRESENTATIVE,WINDHAM 5 REP,EMILY LONG,Dem,0%,0,0,275,false
