City/Town,Leading Candidate,H. Brooke Paige (R),Write-Ins,Blanks,Overvotes,Total Votes Cast,H. Brooke Paige (R) Percent Votes Cast,Overvotes Percent
Burke,H. Brooke Paige (R),8,2,2,2,14,57.14%,14.29%
Burlington,H. Brooke Paige (R),326,6,7,8,347,93.95%,2.31%
Cabot,H. Brooke Paige (R),45,8,6,4,63,71.43%,6.35%
Calais,H. Brooke Paige (R),31,1,3,8,43,72.09%,18.60%
Cambridge,H. Brooke Paige (R),32,2,0,1,35,91.43%,2.86%
Canaan,H. Brooke Paige (R),46,0,4,1,51,90.20%,1.96%
Castleton,H. Brooke Paige (R),11,4,1,10,26,42.31%,38.46%
Cavendish,H. Brooke Paige (R),59,10,9,10,88,67.05%,11.36%
Charleston,H. Brooke Paige (R),52,1,10,4,67,77.61%,5.97%
Charlotte,H. Brooke Paige (R),88,8,1,2,99,88.89%,2.02%
Chelsea,H. Brooke Paige (R),70,6,0,6,82,85.37%,7.32%
Chester,H. Brooke Paige (R),63,2,4,7,76,82.89%,9.21%
Chittenden,H. Brooke Paige (R),21,7,4,6,38,55.26%,15.79%
Clarendon,H. Brooke Paige (R),53,5,6,3,67,79.10%,4.48%
Colchester,H. Brooke Paige (R),150,10,7,10,177,84.75%,5.65%
Concord,H. Brooke Paige (R),60,2,7,8,77,77.92%,10.39%
Corinth,H. Brooke Paige (R),28,0,1,4,33,84.85%,12.12%
Cornwall,H. Brooke Paige (R),83,1,6,5,95,87.37%,5.26%
Coventry,H. Brooke Paige (R),75,1,5,8,89,84.27%,8.99%
Craftsbury,H. Brooke Paige (R),28,3,5,8,44,63.64%,18.18%
Danby,H. Brooke Paige (R),58,8,6,1,73,79.45%,1.37%
Danville,H. Brooke Paige (R),42,5,8,4,59,71.19%,6.78%
Derby,H. Brooke Paige (R),47,3,7,5,62,75.81%,8.06%
Dorset,H. Brooke Paige (R),94,5,7,8,114,82.46%,7.02%
Dover,H. Brooke Paige (R),67,9,5,8,89,75.28%,8.99%
Dummerston,H. Brooke Paige (R),68,0,3,5,76,89.47%,6.58%
Duxbury,H. Brooke Paige (R),85,5,6,3,99,85.86%,3.03%
East Haven,H. Brooke Paige (R),37,10,7,1,55,67.27%,1.82%
East Montpelier,H. Brooke Paige (R),58,7,7,2,74,78.38%,2.70%
Eden,H. Brooke Paige (R),47,2,7,1,57,82.46%,1.75%
Elmore,H. Brooke Paige (R),39,3,3,4,49,79.59%,8.16%
Enosburgh,H. Brooke Paige (R),30,1,7,8,46,65.22%,17.39%
Essex Junction,H. Brooke Paige (R),85,10,6,7,108,78.70%,6.48%
Essex,H. Brooke Paige (R),121,10,8,4,143,84.62%,2.80%
Fair Haven,H. Brooke Paige (R),71,6,1,5,83,85.54%,6.02%
Fairfax,H. Brooke Paige (R),9,7,4,0,20,45.00%,0.00%
Fairfield,H. Brooke Paige (R),64,4,6,2,76,84.21%,2.63%
Fairlee,H. Brooke Paige (R),33,8,3,6,50,66.00%,12.00%
Fayston,H. Brooke Paige (R),55,3,8,3,69,79.71%,4.35%
Ferrisburgh,H. Brooke Paige (R),28,1,4,5,38,73.68%,13.16%
Fletcher,H. Brooke Paige (R),25,4,2,3,34,73.53%,8.82%
Franklin,H. Brooke Paige (R),29,7,6,4,46,63.04%,8.70%
Georgia,H. Brooke Paige (R),69,1,4,9,83,83.13%,10.84%
Glover,H. Brooke Paige (R),32,3,2,9,46,69.57%,19.57%
Goshen,H. Brooke Paige (R),96,2,7,2,107,89.72%,1.87%
Grafton,H. Brooke Paige (R),81,8,2,2,93,87.10%,2.15%
Granby,H. Brooke Paige (R),53,2,6,8,69,76.81%,11.59%
Grand Isle,H. Brooke Paige (R),62,5,4,1,72,86.11%,1.39%
Granville,H. Brooke Paige (R),19,0,3,5,27,70.37%,18.52%
Greensboro,H. Brooke Paige (R),23,3,10,4,40,57.50%,10.00%
Groton,H. Brooke Paige (R),13,5,6,9,33,39.39%,27.27%
Guildhall,H. Brooke Paige (R),14,8,7,5,34,41.18%,14.71%
Guilford,H. Brooke Paige (R),83,2,4,5,94,88.30%,5.32%
Halifax,H. Brooke Paige (R),68,5,0,7,80,85.00%,8.75%
Hancock,H. Brooke Paige (R),68,9,7,0,84,80.95%,0.00%
Hardwick,H. Brooke Paige (R),81,1,5,3,90,90.00%,3.33%
Hartford,H. Brooke Paige (R),95,2,5,10,112,84.82%,8.93%
Hartland,H. Brooke Paige (R),32,4,0,2,38,84.21%,5.26%
Highgate,H. Brooke Paige (R),3,6,5,0,14,21.43%,0.00%
Hinesburg,H. Brooke Paige (R),130,2,10,7,149,87.25%,4.70%
Holland,H. Brooke Paige (R),53,1,7,1,62,85.48%,1.61%
Hubbardton,H. Brooke Paige (R),7,5,2,7,21,33.33%,33.33%
Huntington,H. Brooke Paige (R),102,2,3,1,108,94.44%,0.93%
Hyde Park,H. Brooke Paige (R),80,5,8,6,99,80.81%,6.06%
Ira,H. Brooke Paige (R),57,2,10,2,71,80.28%,2.82%
Irasburg,H. Brooke Paige (R),17,10,6,3,36,47.22%,8.33%
Isle La Motte,H. Brooke Paige (R),87,10,7,2,106,82.08%,1.89%
Jamaica,H. Brooke Paige (R),37,5,3,4,49,75.51%,8.16%
Jay,H. Brooke Paige (R),9,2,3,6,20,45.00%,30.00%
Jericho,H. Brooke Paige (R),23,7,7,9,46,50.00%,19.57%
Johnson,H. Brooke Paige (R),107,7,9,6,129,82.95%,4.65%
Killington,H. Brooke Paige (R),18,9,6,6,39,46.15%,15.38%
Kirby,H. Brooke Paige (R),38,5,8,1,52,73.08%,1.92%
Landgrove,H. Brooke Paige (R),19,3,2,2,26,73.08%,7.69%
Leicester,H. Brooke Paige (R),89,6,7,0,102,87.25%,0.00%
Lemington,H. Brooke Paige (R),9,2,8,4,23,39.13%,17.39%
Lincoln,H. Brooke Paige (R),52,9,1,0,62,83.87%,0.00%
Londonderry,H. Brooke Paige (R),80,1,10,4,95,84.21%,4.21%
Lowell,H. Brooke Paige (R),27,10,1,8,46,58.70%,17.39%
Ludlow,H. Brooke Paige (R),67,1,1,3,72,93.06%,4.17%
Lunenburg,H. Brooke Paige (R),30,7,9,3,49,61.22%,6.12%
Lyndon,H. Brooke Paige (R),2,5,1,1,9,22.22%,11.11%
Maidstone,H. Brooke Paige (R),86,1,0,6,93,92.47%,6.45%
Manchester,H. Brooke Paige (R),31,9,2,2,44,70.45%,4.55%
Marlboro,H. Brooke Paige (R),89,7,1,6,103,86.41%,5.83%
Marshfield,H. Brooke Paige (R),8,3,2,4,17,47.06%,23.53%
Mendon,H. Brooke Paige (R),41,3,4,4,52,78.85%,7.69%
Middlebury,H. Brooke Paige (R),37,8,8,9,62,59.68%,14.52%
Middlesex,H. Brooke Paige (R),27,6,5,8,46,58.70%,17.39%
Middletown Springs,H. Brooke Paige (R),41,1,3,3,48,85.42%,6.25%
Milton,H. Brooke Paige (R),218,9,10,7,244,89.34%,2.87%
Monkton,H. Brooke Paige (R),76,6,1,2,85,89.41%,2.35%
Montgomery,H. Brooke Paige (R),105,7,6,9,127,82.68%,7.09%
Montpelier,H. Brooke Paige (R),16,0,10,5,31,51.61%,16.13%
Moretown,H. Brooke Paige (R),34,4,10,0,48,70.83%,0.00%
Morgan,H. Brooke Paige (R),13,3,10,10,36,36.11%,27.78%
Morristown,H. Brooke Paige (R),48,10,8,4,70,68.57%,5.71%
Mount Holly,H. Brooke Paige (R),28,5,0,7,40,70.00%,17.50%
Mount Tabor,H. Brooke Paige (R),22,5,9,6,42,52.38%,14.29%
New Haven,H. Brooke Paige (R),78,7,6,8,99,78.79%,8.08%
Newark,H. Brooke Paige (R),70,4,2,1,77,90.91%,1.30%
Newbury,H. Brooke Paige (R),84,4,5,6,99,84.85%,6.06%
Newfane,H. Brooke Paige (R),92,3,4,6,105,87.62%,5.71%
Newport City,H. Brooke Paige (R),64,2,4,1,71,90.14%,1.41%
Newport Town,H. Brooke Paige (R),38,0,2,5,45,84.44%,11.11%
North Hero,H. Brooke Paige (R),26,9,7,1,43,60.47%,2.33%
Northfield,H. Brooke Paige (R),77,5,1,8,91,84.62%,8.79%
Norton,H. Brooke Paige (R),96,1,6,3,106,90.57%,2.83%
Norwich,H. Brooke Paige (R),62,3,2,2,69,89.86%,2.90%
Orange,H. Brooke Paige (R),12,8,1,8,29,41.38%,27.59%
Orwell,H. Brooke Paige (R),56,3,2,4,65,86.15%,6.15%
Panton,H. Brooke Paige (R),5,3,6,5,19,26.32%,26.32%
Pawlet,H. Brooke Paige (R),16,3,4,5,28,57.14%,17.86%
Peacham,H. Brooke Paige (R),87,1,1,10,99,87.88%,10.10%
Peru,H. Brooke Paige (R),25,8,4,8,45,55.56%,17.78%
Pittsfield,H. Brooke Paige (R),88,5,3,7,103,85.44%,6.80%
Pittsford,H. Brooke Paige (R),40,0,6,5,51,78.43%,9.80%
Plainfield,H. Brooke Paige (R),45,8,7,5,65,69.23%,7.69%
Plymouth,H. Brooke Paige (R),19,7,8,1,35,54.29%,2.86%
Pomfret,H. Brooke Paige (R),8,9,10,2,29,27.59%,6.90%
Poultney,H. Brooke Paige (R),38,9,2,6,55,69.09%,10.91%
Pownal,H. Brooke Paige (R),88,6,1,3,98,89.80%,3.06%
Proctor,H. Brooke Paige (R),60,4,3,7,74,81.08%,9.46%
Putney,H. Brooke Paige (R),53,5,3,7,68,77.94%,10.29%
Randolph,H. Brooke Paige (R),75,10,8,7,100,75.00%,7.00%
Reading,H. Brooke Paige (R),54,10,9,5,78,69.23%,6.41%
Readsboro,H. Brooke Paige (R),36,1,1,4,42,85.71%,9.52%
Richford,H. Brooke Paige (R),75,6,7,1,89,84.27%,1.12%
Richmond,H. Brooke Paige (R),86,2,5,3,96,89.58%,3.12%
Ripton,H. Brooke Paige (R),79,7,4,1,91,86.81%,1.10%
Rochester,H. Brooke Paige (R),50,2,8,9,69,72.46%,13.04%
Rockingham,H. Brooke Paige (R),79,3,6,4,92,85.87%,4.35%
Roxbury,H. Brooke Paige (R),75,5,0,6,86,87.21%,6.98%
Royalton,H. Brooke Paige (R),43,3,2,4,52,82.69%,7.69%
Rupert,H. Brooke Paige (R),74,5,3,4,86,86.05%,4.65%
Rutland City,H. Brooke Paige (R),186,6,7,3,202,92.08%,1.49%
Rutland Town,H. Brooke Paige (R),116,4,2,6,128,90.62%,4.69%
Ryegate,H. Brooke Paige (R),14,3,8,8,33,42.42%,24.24%
Saint Albans City,H. Brooke Paige (R),114,4,9,5,132,86.36%,3.79%
Saint Albans Town,H. Brooke Paige (R),137,8,2,3,150,91.33%,2.00%
Saint George,H. Brooke Paige (R),84,2,8,9,103,81.55%,8.74%
Saint Johnsbury,H. Brooke Paige (R),89,2,3,1,95,93.68%,1.05%
Salisbury,H. Brooke Paige (R),16,9,0,2,27,59.26%,7.41%
Sandgate,H. Brooke Paige (R),31,8,0,0,39,79.49%,0.00%
Searsburg,H. Brooke Paige (R),34,5,7,5,51,66.67%,9.80%
Shaftsbury,H. Brooke Paige (R),17,1,5,4,27,62.96%,14.81%
Sharon,H. Brooke Paige (R),60,3,6,2,71,84.51%,2.82%
Sheffield,H. Brooke Paige (R),63,2,9,1,75,84.00%,1.33%
Shelburne,H. Brooke Paige (R),151,5,8,9,173,87.28%,5.20%
Sheldon,H. Brooke Paige (R),1,3,3,8,15,6.67%,53.33%
Shoreham,H. Brooke Paige (R),38,3,4,3,48,79.17%,6.25%
Shrewsbury,H. Brooke Paige (R),39,8,1,0,48,81.25%,0.00%
South Burlington,H. Brooke Paige (R),177,10,9,9,205,86.34%,4.39%
South Hero,H. Brooke Paige (R),29,1,6,1,37,78.38%,2.70%
Springfield,H. Brooke Paige (R),44,7,2,0,53,83.02%,0.00%
Stamford,H. Brooke Paige (R),10,5,2,8,25,40.00%,32.00%
Stannard,H. Brooke Paige (R),18,6,1,10,35,51.43%,28.57%
Starksboro,H. Brooke Paige (R),10,1,8,4,23,43.48%,17.39%
Stockbridge,H. Brooke Paige (R),76,1,6,1,84,90.48%,1.19%
Stowe,H. Brooke Paige (R),81,5,4,8,98,82.65%,8.16%
Strafford,H. Brooke Paige (R),30,1,4,5,40,75.00%,12.50%
Stratton,H. Brooke Paige (R),20,4,6,5,35,57.14%,14.29%
Sudbury,H. Brooke Paige (R),66,8,7,5,86,76.74%,5.81%
Sunderland,H. Brooke Paige (R),155,6,7,6,174,89.08%,3.45%
Sutton,H. Brooke Paige (R),46,1,8,1,56,82.14%,1.79%
Swanton,H. Brooke Paige (R),105,5,5,8,123,85.37%,6.50%
Thetford,H. Brooke Paige (R),69,8,4,5,86,80.23%,5.81%
Tinmouth,H. Brooke Paige (R),59,3,8,10,80,73.75%,12.50%
Topsham,H. Brooke Paige (R),79,3,2,7,91,86.81%,7.69%
Townshend,H. Brooke Paige (R),65,5,8,8,86,75.58%,9.30%
Troy,H. Brooke Paige (R),24,4,3,8,39,61.54%,20.51%
Tunbridge,H. Brooke Paige (R),104,9,10,8,131,79.39%,6.11%
Underhill,H. Brooke Paige (R),83,10,4,4,101,82.18%,3.96%
Vergennes,H. Brooke Paige (R),96,5,8,0,109,88.07%,0.00%
Vernon,H. Brooke Paige (R),56,4,8,4,72,77.78%,5.56%
Vershire,H. Brooke Paige (R),13,4,8,3,28,46.43%,10.71%
Victory,H. Brooke Paige (R),21,6,4,2,33,63.64%,6.06%
Waitsfield,H. Brooke Paige (R),16,6,1,6,29,55.17%,20.69%
Walden,H. Brooke Paige (R),60,6,8,0,74,81.08%,0.00%
Wallingford,H. Brooke Paige (R),28,1,0,5,34,82.35%,14.71%
Waltham,H. Brooke Paige (R),46,10,3,4,63,73.02%,6.35%
Wardsboro,H. Brooke Paige (R),41,6,4,8,59,69.49%,13.56%
Warren,H. Brooke Paige (R),64,9,7,8,88,72.73%,9.09%
Washington,H. Brooke Paige (R),14,2,9,1,26,53.85%,3.85%
Waterbury,H. Brooke Paige (R),14,8,10,5,37,37.84%,13.51%
Waterford,H. Brooke Paige (R),18,5,2,7,32,56.25%,21.88%
Waterville,H. Brooke Paige (R),19,7,7,10,43,44.19%,23.26%
Weathersfield,H. Brooke Paige (R),47,4,3,6,60,78.33%,10.00%
Wells,H. Brooke Paige (R),32,7,5,3,47,68.09%,6.38%
West Fairlee,H. Brooke Paige (R),8,3,7,3,21,38.10%,14.29%
West Haven,H. Brooke Paige (R),80,3,1,6,90,88.89%,6.67%
West Rutland,H. Brooke Paige (R),60,2,8,8,78,76.92%,10.26%
West Windsor,H. Brooke Paige (R),28,4,5,7,44,63.64%,15.91%
Westfield,H. Brooke Paige (R),49,1,6,6,62,79.03%,9.68%
Westford,H. Brooke Paige (R),74,1,2,3,80,92.50%,3.75%
Westminster,H. Brooke Paige (R),57,0,0,9,66,86.36%,13.64%
Westmore,H. Brooke Paige (R),82,9,0,10,101,81.19%,9.90%
Weston,H. Brooke Paige (R),90,2,9,6,107,84.11%,5.61%
Weybridge,H. Brooke Paige (R),35,2,7,4,48,72.92%,8.33%
Wheelock,H. Brooke Paige (R),60,4,6,2,72,83.33%,2.78%
Whiting,H. Brooke Paige (R),72,1,7,10,90,80.00%,11.11%
Whitingham,H. Brooke Paige (R),93,7,5,4,109,85.32%,3.67%
Williamstown,H. Brooke Paige (R),138,4,5,7,154,89.61%,4.55%
Williston,H. Brooke Paige (R),41,3,7,7,58,70.69%,12.07%
Wilmington,H. Brooke Paige (R),61,5,1,4,71,85.92%,5.63%
Windham,H. Brooke Paige (R),67,7,4,8,86,77.91%,9.30%
Windsor,H. Brooke Paige (R),52,1,1,3,57,91.23%,5.26%
Winhall,H. Brooke Paige (R),51,7,4,4,66,77.27%,6.06%
Winooski,H. Brooke Paige (R),57,7,6,6,76,75.00%,7.89%
Wolcott,H. Brooke Paige (R),29,4,8,4,45,64.44%,8.89%
Woodbury,H. Brooke Paige (R),86,7,4,1,98,87.76%,1.02%
Woodford,H. Brooke Paige (R),81,4,8,9,102,79.41%,8.82%
Woodstock,H. Brooke Paige (R),25,1,1,6,33,75.76%,18.18%
Worcester,H. Brooke Paige (R),76,10,2,10,98,77.55%,10.20%
