City/Town,Leading Candidate,Brook Paige (R),Sarah Copeland Hanzas (D),Write-Ins,Blanks,OverVotes,Total Votes Cast,Brook Paige (R) Percent Votes Cast,Sarah Copeland Hanzas (D) Percent Votes Cast,OverVotes Percent
Chelsea,PAMALA SMITH,12345,12345,12366,17,15,37088,33.29%,33.29%,0.04%
Chester,PAMALA SMITH,12345,12345,12372,21,11,37094,33.28%,33.28%,0.03%
Chester,PAMALA SMITH,12345,12345,12372,21,11,37094,33.28%,33.28%,0.03%
Chittenden,PAMALA SMITH,12345,12345,24709,19,25,49443,24.97%,24.97%,0.05%
Chittenden,PAMALA SMITH,12345,12345,24709,19,25,49443,24.97%,24.97%,0.05%
Clarendon,PAMALA SMITH,12345,12345,24721,34,33,49478,24.95%,24.95%,0.07%
Clarendon,PAMALA SMITH,12345,12345,24721,34,33,49478,24.95%,24.95%,0.07%
Colchester,PAMALA SMITH,24690,24690,86478,57,59,135974,18.16%,18.16%,0.04%
Colchester,PAMALA SMITH,24690,24690,86478,57,59,135974,18.16%,18.16%,0.04%
Concord,PAMALA SMITH,12345,12345,20,10,8,24728,49.92%,49.92%,0.03%
Concord,PAMALA SMITH,12345,12345,20,10,8,24728,49.92%,49.92%,0.03%
Corinth,PAMALA SMITH,12345,12345,18,17,9,24734,49.91%,49.91%,0.04%
Corinth,PAMALA SMITH,12345,12345,18,17,9,24734,49.91%,49.91%,0.04%
Cornwall,PAMALA SMITH,12345,12345,17,14,12,24733,49.91%,49.91%,0.05%
Cornwall,PAMALA SMITH,12345,12345,17,14,12,24733,49.91%,49.91%,0.05%
Coventry,PAMALA SMITH,12345,12345,12365,27,25,37107,33.27%,33.27%,0.07%
Coventry,PAMALA SMITH,12345,12345,12365,27,25,37107,33.27%,33.27%,0.07%
Craftsbury,PAMALA SMITH,12345,12345,19,16,19,24744,49.89%,49.89%,0.08%
Craftsbury,PAMALA SMITH,12345,12345,19,16,19,24744,49.89%,49.89%,0.08%
Danby,PAMALA SMITH,12345,12345,19,31,30,24770,49.84%,49.84%,0.12%
Danby,PAMALA SMITH,12345,12345,19,31,30,24770,49.84%,49.84%,0.12%
Danville,PAMALA SMITH,12345,12345,12370,30,22,37112,33.26%,33.26%,0.06%
Danville,PAMALA SMITH,12345,12345,12370,30,22,37112,33.26%,33.26%,0.06%
Derby,PAMALA SMITH,12345,12345,19,20,9,24738,49.90%,49.90%,0.04%
Derby,PAMALA SMITH,12345,12345,19,20,9,24738,49.90%,49.90%,0.04%
Dorset,PAMALA SMITH,12345,12345,24710,33,26,49459,24.96%,24.96%,0.05%
Dorset,PAMALA SMITH,12345,12345,24710,33,26,49459,24.96%,24.96%,0.05%
Dover,PAMALA SMITH,12345,12345,13,11,13,24727,49.93%,49.93%,0.05%
Dover,PAMALA SMITH,12345,12345,13,11,13,24727,49.93%,49.93%,0.05%
Dummerston,PAMALA SMITH,12345,12345,24,14,26,24754,49.87%,49.87%,0.11%
Dummerston,PAMALA SMITH,12345,12345,24,14,26,24754,49.87%,49.87%,0.11%
Duxbury,PAMALA SMITH,12345,12345,10,16,16,24732,49.92%,49.92%,0.06%
Duxbury,PAMALA SMITH,12345,12345,10,16,16,24732,49.92%,49.92%,0.06%
East Haven,PAMALA SMITH,12345,12345,28,26,19,24763,49.85%,49.85%,0.08%
East Haven,PAMALA SMITH,12345,12345,28,26,19,24763,49.85%,49.85%,0.08%
East Montpelier,PAMALA SMITH,12345,12345,23,24,26,24763,49.85%,49.85%,0.10%
East Montpelier,PAMALA SMITH,12345,12345,23,24,26,24763,49.85%,49.85%,0.10%
Eden,PAMALA SMITH,12345,12345,22,22,8,24742,49.89%,49.89%,0.03%
Eden,PAMALA SMITH,12345,12345,22,22,8,24742,49.89%,49.89%,0.03%
Elmore,PAMALA SMITH,12345,12345,30,30,15,24765,49.85%,49.85%,0.06%
Elmore,PAMALA SMITH,12345,12345,30,30,15,24765,49.85%,49.85%,0.06%
Enosburgh,PAMALA SMITH,12345,12345,14,24,25,24753,49.87%,49.87%,0.10%
Enosburgh,PAMALA SMITH,12345,12345,14,24,25,24753,49.87%,49.87%,0.10%
Essex,PAMALA SMITH,37035,37035,111211,103,98,185482,19.97%,19.97%,0.05%
Essex,PAMALA SMITH,37035,37035,111211,103,98,185482,19.97%,19.97%,0.05%
Fair Haven,PAMALA SMITH,12345,12345,13,20,11,24734,49.91%,49.91%,0.04%
Fair Haven,PAMALA SMITH,12345,12345,13,20,11,24734,49.91%,49.91%,0.04%
Fairfax,PAMALA SMITH,12345,12345,37070,26,32,61818,19.97%,19.97%,0.05%
Fairfax,PAMALA SMITH,12345,12345,37070,26,32,61818,19.97%,19.97%,0.05%
Fairfield,PAMALA SMITH,12345,12345,12370,29,19,37108,33.27%,33.27%,0.05%
Fairfield,PAMALA SMITH,12345,12345,12370,29,19,37108,33.27%,33.27%,0.05%
Fairlee,PAMALA SMITH,12345,12345,17,18,15,24740,49.90%,49.90%,0.06%
Fairlee,PAMALA SMITH,12345,12345,17,18,15,24740,49.90%,49.90%,0.06%
Fayston,PAMALA SMITH,12345,12345,12369,25,31,37115,33.26%,33.26%,0.08%
Fayston,PAMALA SMITH,12345,12345,12369,25,31,37115,33.26%,33.26%,0.08%
Ferrisburgh,PAMALA SMITH,12345,12345,37060,33,27,61810,19.97%,19.97%,0.04%
Ferrisburgh,PAMALA SMITH,12345,12345,37060,33,27,61810,19.97%,19.97%,0.04%
Fletcher,PAMALA SMITH,12345,12345,10,19,22,24741,49.90%,49.90%,0.09%
Fletcher,PAMALA SMITH,12345,12345,10,19,22,24741,49.90%,49.90%,0.09%
Franklin,PAMALA SMITH,12345,12345,12369,21,22,37102,33.27%,33.27%,0.06%
Franklin,PAMALA SMITH,12345,12345,12369,21,22,37102,33.27%,33.27%,0.06%
Georgia,PAMALA SMITH,12345,12345,24724,26,44,49484,24.95%,24.95%,0.09%
Georgia,PAMALA SMITH,12345,12345,24724,26,44,49484,24.95%,24.95%,0.09%
Glover,PAMALA SMITH,12345,12345,12374,17,30,37111,33.27%,33.27%,0.08%
Glover,PAMALA SMITH,12345,12345,12374,17,30,37111,33.27%,33.27%,0.08%
Goshen,PAMALA SMITH,12345,12345,17,19,17,24743,49.89%,49.89%,0.07%
Goshen,PAMALA SMITH,12345,12345,17,19,17,24743,49.89%,49.89%,0.07%
Grafton,PAMALA SMITH,12345,12345,12375,27,31,37123,33.25%,33.25%,0.08%
Grafton,PAMALA SMITH,12345,12345,12375,27,31,37123,33.25%,33.25%,0.08%
Granby,PAMALA SMITH,12345,12345,14,22,14,24740,49.90%,49.90%,0.06%
Granby,PAMALA SMITH,12345,12345,14,22,14,24740,49.90%,49.90%,0.06%
Grand Isle,PAMALA SMITH,12345,12345,27,23,11,24751,49.88%,49.88%,0.04%
Grand Isle,PAMALA SMITH,12345,12345,27,23,11,24751,49.88%,49.88%,0.04%
Granville,PAMALA SMITH,12345,12345,12,7,15,24724,49.93%,49.93%,0.06%
Granville,PAMALA SMITH,12345,12345,12,7,15,24724,49.93%,49.93%,0.06%
Greensboro,PAMALA SMITH,12345,12345,26,27,25,24768,49.84%,49.84%,0.10%
Greensboro,PAMALA SMITH,12345,12345,26,27,25,24768,49.84%,49.84%,0.10%
Groton,PAMALA SMITH,12345,12345,20,5,16,24731,49.92%,49.92%,0.06%
Groton,PAMALA SMITH,12345,12345,20,5,16,24731,49.92%,49.92%,0.06%
Guildhall,PAMALA SMITH,12345,12345,16,24,25,24755,49.87%,49.87%,0.10%
Guildhall,PAMALA SMITH,12345,12345,16,24,25,24755,49.87%,49.87%,0.10%
Guilford,PAMALA SMITH,12345,12345,25,13,22,24750,49.88%,49.88%,0.09%
Guilford,PAMALA SMITH,12345,12345,25,13,22,24750,49.88%,49.88%,0.09%
Halifax,PAMALA SMITH,12345,12345,21,24,13,24748,49.88%,49.88%,0.05%
Halifax,PAMALA SMITH,12345,12345,21,24,13,24748,49.88%,49.88%,0.05%
Hancock,PAMALA SMITH,12345,12345,13,13,35,24751,49.88%,49.88%,0.14%
Hancock,PAMALA SMITH,12345,12345,13,13,35,24751,49.88%,49.88%,0.14%
Hardwick,PAMALA SMITH,12345,12345,24722,42,36,49490,24.94%,24.94%,0.07%
Hardwick,PAMALA SMITH,12345,12345,24722,42,36,49490,24.94%,24.94%,0.07%
Hartford,PAMALA SMITH,24690,24690,37089,58,50,86577,28.52%,28.52%,0.06%
Hartford,PAMALA SMITH,24690,24690,37089,58,50,86577,28.52%,28.52%,0.06%
Hartland,PAMALA SMITH,12345,12345,12373,30,37,37130,33.25%,33.25%,0.10%
Hartland,PAMALA SMITH,12345,12345,12373,30,37,37130,33.25%,33.25%,0.10%
Highgate,PAMALA SMITH,12345,12345,24730,33,20,49473,24.95%,24.95%,0.04%
Highgate,PAMALA SMITH,12345,12345,24730,33,20,49473,24.95%,24.95%,0.04%
Hinesburg,PAMALA SMITH,24690,24690,39,41,33,49493,49.89%,49.89%,0.07%
Hinesburg,PAMALA SMITH,24690,24690,39,41,33,49493,49.89%,49.89%,0.07%
Holland,PAMALA SMITH,12345,12345,11,24,21,24746,49.89%,49.89%,0.08%
Holland,PAMALA SMITH,12345,12345,11,24,21,24746,49.89%,49.89%,0.08%
Hubbardton,PAMALA SMITH,12345,12345,25,23,22,24760,49.86%,49.86%,0.09%
Hubbardton,PAMALA SMITH,12345,12345,25,23,22,24760,49.86%,49.86%,0.09%
Huntington,PAMALA SMITH,12345,12345,11,26,24,24751,49.88%,49.88%,0.10%
Huntington,PAMALA SMITH,12345,12345,11,26,24,24751,49.88%,49.88%,0.10%
Hyde Park,PAMALA SMITH,12345,12345,12356,13,16,37075,33.30%,33.30%,0.04%
Hyde Park,PAMALA SMITH,12345,12345,12356,13,16,37075,33.30%,33.30%,0.04%
Ira,PAMALA SMITH,12345,12345,14,19,25,24748,49.88%,49.88%,0.10%
Ira,PAMALA SMITH,12345,12345,14,19,25,24748,49.88%,49.88%,0.10%
Irasburg,PAMALA SMITH,12345,12345,22,22,13,24747,49.88%,49.88%,0.05%
Irasburg,PAMALA SMITH,12345,12345,22,22,13,24747,49.88%,49.88%,0.05%
Isle La Motte,PAMALA SMITH,12345,12345,12366,15,39,37110,33.27%,33.27%,0.11%
Isle La Motte,PAMALA SMITH,12345,12345,12366,15,39,37110,33.27%,33.27%,0.11%
Jamaica,PAMALA SMITH,12345,12345,11,14,21,24736,49.91%,49.91%,0.08%
Jamaica,PAMALA SMITH,12345,12345,11,14,21,24736,49.91%,49.91%,0.08%
Jay,PAMALA SMITH,12345,12345,21,24,22,24757,49.86%,49.86%,0.09%
Jay,PAMALA SMITH,12345,12345,21,24,22,24757,49.86%,49.86%,0.09%
Jericho,PAMALA SMITH,12345,12345,24716,19,28,49453,24.96%,24.96%,0.06%
Jericho,PAMALA SMITH,12345,12345,24716,19,28,49453,24.96%,24.96%,0.06%
Johnson,PAMALA SMITH,12345,12345,12359,23,16,37088,33.29%,33.29%,0.04%
Johnson,PAMALA SMITH,12345,12345,12359,23,16,37088,33.29%,33.29%,0.04%
Killington,PAMALA SMITH,12345,12345,17,25,19,24751,49.88%,49.88%,0.08%
Killington,PAMALA SMITH,12345,12345,17,25,19,24751,49.88%,49.88%,0.08%
Kirby,PAMALA SMITH,12345,12345,22,15,16,24743,49.89%,49.89%,0.06%
Kirby,PAMALA SMITH,12345,12345,22,15,16,24743,49.89%,49.89%,0.06%
Landgrove,PAMALA SMITH,12345,12345,14,23,17,24744,49.89%,49.89%,0.07%
Landgrove,PAMALA SMITH,12345,12345,14,23,17,24744,49.89%,49.89%,0.07%
Leicester,PAMALA SMITH,12345,12345,26,22,14,24752,49.87%,49.87%,0.06%
Leicester,PAMALA SMITH,12345,12345,26,22,14,24752,49.87%,49.87%,0.06%
Lemington,PAMALA SMITH,12345,12345,21,10,21,24742,49.89%,49.89%,0.08%
Lemington,PAMALA SMITH,12345,12345,21,10,21,24742,49.89%,49.89%,0.08%
Lincoln,PAMALA SMITH,12345,12345,22,26,13,24751,49.88%,49.88%,0.05%
Lincoln,PAMALA SMITH,12345,12345,22,26,13,24751,49.88%,49.88%,0.05%
Londonderry,PAMALA SMITH,12345,12345,12368,29,21,37108,33.27%,33.27%,0.06%
Londonderry,PAMALA SMITH,12345,12345,12368,29,21,37108,33.27%,33.27%,0.06%
Lowell,PAMALA SMITH,12345,12345,12355,11,27,37083,33.29%,33.29%,0.07%
Lowell,PAMALA SMITH,12345,12345,12355,11,27,37083,33.29%,33.29%,0.07%
Ludlow,PAMALA SMITH,12345,12345,24,26,11,24751,49.88%,49.88%,0.04%
Ludlow,PAMALA SMITH,12345,12345,24,26,11,24751,49.88%,49.88%,0.04%
Lunenburg,PAMALA SMITH,12345,12345,21,19,18,24748,49.88%,49.88%,0.07%
Lunenburg,PAMALA SMITH,12345,12345,21,19,18,24748,49.88%,49.88%,0.07%
Lyndon,PAMALA SMITH,12345,12345,24715,31,35,49471,24.95%,24.95%,0.07%
Lyndon,PAMALA SMITH,12345,12345,24715,31,35,49471,24.95%,24.95%,0.07%
Maidstone,PAMALA SMITH,12345,12345,24,24,23,24761,49.86%,49.86%,0.09%
Maidstone,PAMALA SMITH,12345,12345,24,24,23,24761,49.86%,49.86%,0.09%
Manchester,PAMALA SMITH,12345,12345,24721,20,28,49459,24.96%,24.96%,0.06%
Manchester,PAMALA SMITH,12345,12345,24721,20,28,49459,24.96%,24.96%,0.06%
Marlboro,PAMALA SMITH,12345,12345,15,25,17,24747,49.88%,49.88%,0.07%
Marlboro,PAMALA SMITH,12345,12345,15,25,17,24747,49.88%,49.88%,0.07%
Marshfield,PAMALA SMITH,12345,12345,24708,27,41,49466,24.96%,24.96%,0.08%
Marshfield,PAMALA SMITH,12345,12345,24708,27,41,49466,24.96%,24.96%,0.08%
Mendon,PAMALA SMITH,12345,12345,24,13,34,24761,49.86%,49.86%,0.14%
Mendon,PAMALA SMITH,12345,12345,24,13,34,24761,49.86%,49.86%,0.14%
Middlebury,PAMALA SMITH,12345,12345,49423,55,57,74225,16.63%,16.63%,0.08%
Middlebury,PAMALA SMITH,12345,12345,49423,55,57,74225,16.63%,16.63%,0.08%
Middlesex,PAMALA SMITH,12345,12345,12370,15,13,37088,33.29%,33.29%,0.04%
Middlesex,PAMALA SMITH,12345,12345,12370,15,13,37088,33.29%,33.29%,0.04%
Middletown Springs,PAMALA SMITH,12345,12345,2,23,18,24733,49.91%,49.91%,0.07%
Middletown Springs,PAMALA SMITH,12345,12345,2,23,18,24733,49.91%,49.91%,0.07%
Milton,PAMALA SMITH,24690,24690,37096,45,66,86587,28.51%,28.51%,0.08%
Milton,PAMALA SMITH,24690,24690,37096,45,66,86587,28.51%,28.51%,0.08%
Monkton,PAMALA SMITH,12345,12345,16,12,16,24734,49.91%,49.91%,0.06%
Monkton,PAMALA SMITH,12345,12345,16,12,16,24734,49.91%,49.91%,0.06%
Montgomery,PAMALA SMITH,12345,12345,12363,17,24,37094,33.28%,33.28%,0.06%
Montgomery,PAMALA SMITH,12345,12345,12363,17,24,37094,33.28%,33.28%,0.06%
Montpelier,PAMALA SMITH,12345,12345,86453,38,69,111250,11.10%,11.10%,0.06%
Montpelier,PAMALA SMITH,12345,12345,86453,38,69,111250,11.10%,11.10%,0.06%
Moretown,PAMALA SMITH,12345,12345,25,17,26,24758,49.86%,49.86%,0.11%
Moretown,PAMALA SMITH,12345,12345,25,17,26,24758,49.86%,49.86%,0.11%
Morgan,PAMALA SMITH,12345,12345,20,24,20,24754,49.87%,49.87%,0.08%
Morgan,PAMALA SMITH,12345,12345,20,24,20,24754,49.87%,49.87%,0.08%
Morristown,PAMALA SMITH,12345,12345,49406,33,38,74167,16.64%,16.64%,0.05%
Morristown,PAMALA SMITH,12345,12345,49406,33,38,74167,16.64%,16.64%,0.05%
Mount Holly,PAMALA SMITH,12345,12345,20,15,17,24742,49.89%,49.89%,0.07%
Mount Holly,PAMALA SMITH,12345,12345,20,15,17,24742,49.89%,49.89%,0.07%
Mount Tabor,PAMALA SMITH,12345,12345,24,28,10,24752,49.87%,49.87%,0.04%
Mount Tabor,PAMALA SMITH,12345,12345,24,28,10,24752,49.87%,49.87%,0.04%
New Haven,PAMALA SMITH,12345,12345,24725,32,30,49477,24.95%,24.95%,0.06%
New Haven,PAMALA SMITH,12345,12345,24725,32,30,49477,24.95%,24.95%,0.06%
Newark,PAMALA SMITH,12345,12345,24707,15,26,49438,24.97%,24.97%,0.05%
Newark,PAMALA SMITH,12345,12345,24707,15,26,49438,24.97%,24.97%,0.05%
Newbury,PAMALA SMITH,12345,12345,26,14,16,24746,49.89%,49.89%,0.06%
Newbury,PAMALA SMITH,12345,12345,26,14,16,24746,49.89%,49.89%,0.06%
Newfane,PAMALA SMITH,12345,12345,12369,20,14,37093,33.28%,33.28%,0.04%
Newfane,PAMALA SMITH,12345,12345,12369,20,14,37093,33.28%,33.28%,0.04%
Newport City,PAMALA SMITH,12345,12345,21,22,22,24755,49.87%,49.87%,0.09%
Newport City,PAMALA SMITH,12345,12345,21,22,22,24755,49.87%,49.87%,0.09%
Newport Town,PAMALA SMITH,12345,12345,24,25,19,24758,49.86%,49.86%,0.08%
Newport Town,PAMALA SMITH,12345,12345,24,25,19,24758,49.86%,49.86%,0.08%
North Hero,PAMALA SMITH,12345,12345,8,21,12,24731,49.92%,49.92%,0.05%
North Hero,PAMALA SMITH,12345,12345,8,21,12,24731,49.92%,49.92%,0.05%
Northfield,PAMALA SMITH,12345,12345,24712,40,29,49471,24.95%,24.95%,0.06%
Northfield,PAMALA SMITH,12345,12345,24712,40,29,49471,24.95%,24.95%,0.06%
Norton,PAMALA SMITH,12345,12345,12,18,17,24737,49.91%,49.91%,0.07%
Norton,PAMALA SMITH,12345,12345,12,18,17,24737,49.91%,49.91%,0.07%
Norwich,PAMALA SMITH,12345,12345,37059,29,31,61809,19.97%,19.97%,0.05%
Norwich,PAMALA SMITH,12345,12345,37059,29,31,61809,19.97%,19.97%,0.05%
Orange,PAMALA SMITH,12345,12345,15,37,27,24769,49.84%,49.84%,0.11%
Orange,PAMALA SMITH,12345,12345,15,37,27,24769,49.84%,49.84%,0.11%
Orwell,PAMALA SMITH,12345,12345,22,9,14,24735,49.91%,49.91%,0.06%
Orwell,PAMALA SMITH,12345,12345,22,9,14,24735,49.91%,49.91%,0.06%
Panton,PAMALA SMITH,12345,12345,7,16,21,24734,49.91%,49.91%,0.08%
Panton,PAMALA SMITH,12345,12345,7,16,21,24734,49.91%,49.91%,0.08%
Pawlet,PAMALA SMITH,12345,12345,13,21,23,24747,49.88%,49.88%,0.09%
Pawlet,PAMALA SMITH,12345,12345,13,21,23,24747,49.88%,49.88%,0.09%
Peacham,PAMALA SMITH,12345,12345,24721,35,26,49472,24.95%,24.95%,0.05%
Peacham,PAMALA SMITH,12345,12345,24721,35,26,49472,24.95%,24.95%,0.05%
Peru,PAMALA SMITH,12345,12345,17,17,17,24741,49.90%,49.90%,0.07%
Peru,PAMALA SMITH,12345,12345,17,17,17,24741,49.90%,49.90%,0.07%
Pittsfield,PAMALA SMITH,12345,12345,15,21,12,24738,49.90%,49.90%,0.05%
Pittsfield,PAMALA SMITH,12345,12345,15,21,12,24738,49.90%,49.90%,0.05%
Pittsford,PAMALA SMITH,12345,12345,24713,11,41,49455,24.96%,24.96%,0.08%
Pittsford,PAMALA SMITH,12345,12345,24713,11,41,49455,24.96%,24.96%,0.08%
Plainfield,PAMALA SMITH,12345,12345,12373,33,25,37121,33.26%,33.26%,0.07%
Plainfield,PAMALA SMITH,12345,12345,12373,33,25,37121,33.26%,33.26%,0.07%
