City/Town,Leading Candidate,Charity R. Clark (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Charity R. Clark (D) Percent Votes Cast,Overvotes Percent
Morgan,Charity R. Clark (D),82,4,6,5,97,84.54%,5.15%
Morristown,Charity R. Clark (D),74,4,3,7,88,84.09%,7.95%
Mount Holly,Charity R. Clark (D),23,1,1,6,31,74.19%,19.35%
Mount Tabor,Charity R. Clark (D),50,6,8,7,71,70.42%,9.86%
New Haven,Charity R. Clark (D),94,8,9,8,119,78.99%,6.72%
Newark,Charity R. Clark (D),62,3,8,1,74,83.78%,1.35%
Newbury,Charity R. Clark (D),80,5,5,3,93,86.02%,3.23%
Newfane,Charity R. Clark (D),60,9,1,7,77,77.92%,9.09%
Newport City,Charity R. Clark (D),88,2,6,4,100,88.00%,4.00%
Newport Town,Charity R. Clark (D),32,2,4,8,46,69.57%,17.39%
North Hero,Charity R. Clark (D),67,5,2,0,74,90.54%,0.00%
Northfield,Charity R. Clark (D),5,7,6,5,23,21.74%,21.74%
Norton,Charity R. Clark (D),84,1,9,8,102,82.35%,7.84%
Norwich,Charity R. Clark (D),24,6,2,1,33,72.73%,3.03%
Orange,Charity R. Clark (D),9,1,0,6,16,56.25%,37.50%
Orwell,Charity R. Clark (D),29,1,3,6,39,74.36%,15.38%
Panton,Charity R. Clark (D),73,3,7,2,85,85.88%,2.35%
Pawlet,Charity R. Clark (D),109,2,4,5,120,90.83%,4.17%
Peacham,Charity R. Clark (D),37,6,3,2,48,77.08%,4.17%
Peru,Charity R. Clark (D),51,4,5,5,65,78.46%,7.69%
Pittsfield,Charity R. Clark (D),43,3,2,5,53,81.13%,9.43%
Pittsford,Charity R. Clark (D),56,1,4,1,62,90.32%,1.61%
Plainfield,Charity R. Clark (D),68,4,1,7,80,85.00%,8.75%
Plymouth,Charity R. Clark (D),62,10,10,8,90,68.89%,8.89%
Pomfret,Charity R. Clark (D),9,1,2,7,19,47.37%,36.84%
Poultney,Charity R. Clark (D),27,4,6,2,39,69.23%,5.13%
Pownal,Charity R. Clark (D),139,3,1,6,149,93.29%,4.03%
Proctor,Charity R. Clark (D),35,4,5,9,53,66.04%,16.98%
Putney,Charity R. Clark (D),97,1,9,7,114,85.09%,6.14%
Randolph,Charity R. Clark (D),84,7,5,4,100,84.00%,4.00%
Reading,Charity R. Clark (D),4,0,4,6,14,28.57%,42.86%
Readsboro,Charity R. Clark (D),33,7,4,7,51,64.71%,13.73%
Richford,Charity R. Clark (D),95,8,2,4,109,87.16%,3.67%
Richmond,Charity R. Clark (D),60,8,7,2,77,77.92%,2.60%
Ripton,Charity R. Clark (D),53,2,4,5,64,82.81%,7.81%
Rochester,Charity R. Clark (D),45,9,3,5,62,72.58%,8.06%
Rockingham,Charity R. Clark (D),66,1,0,7,74,89.19%,9.46%
Roxbury,Charity R. Clark (D),42,1,1,8,52,80.77%,15.38%
Royalton,Charity R. Clark (D),68,6,6,3,83,81.93%,3.61%
Rupert,Charity R. Clark (D),11,5,8,1,25,44.00%,4.00%
Rutland City,Charity R. Clark (D),140,8,7,8,163,85.89%,4.91%
Rutland Town,Charity R. Clark (D),104,10,7,6,127,81.89%,4.72%
Ryegate,Charity R. Clark (D),83,6,4,2,95,87.37%,2.11%
Saint Albans City,Charity R. Clark (D),61,6,6,4,77,79.22%,5.19%
Saint Albans Town,Charity R. Clark (D),93,4,2,5,104,89.42%,4.81%
Saint George,Charity R. Clark (D),65,4,8,1,78,83.33%,1.28%
Saint Johnsbury,Charity R. Clark (D),14,2,9,8,33,42.42%,24.24%
Salisbury,Charity R. Clark (D),73,0,2,1,76,96.05%,1.32%
Sandgate,Charity R. Clark (D),102,2,10,4,118,86.44%,3.39%
Searsburg,Charity R. Clark (D),98,5,1,2,106,92.45%,1.89%
Shaftsbury,Charity R. Clark (D),96,1,8,5,110,87.27%,4.55%
Sharon,Charity R. Clark (D),80,6,7,7,100,80.00%,7.00%
Sheffield,Charity R. Clark (D),80,8,1,5,94,85.11%,5.32%
Shelburne,Charity R. Clark (D),107,3,6,7,123,86.99%,5.69%
Sheldon,Charity R. Clark (D),41,6,10,1,58,70.69%,1.72%
Shoreham,Charity R. Clark (D),105,2,4,2,113,92.92%,1.77%
Shrewsbury,Charity R. Clark (D),71,1,8,1,81,87.65%,1.23%
South Burlington,Charity R. Clark (D),221,10,7,6,244,90.57%,2.46%
South Hero,Charity R. Clark (D),17,2,7,1,27,62.96%,3.70%
Springfield,Charity R. Clark (D),11,8,7,1,27,40.74%,3.70%
Stamford,Charity R. Clark (D),13,2,6,10,31,41.94%,32.26%
Stannard,Charity R. Clark (D),10,2,5,8,25,40.00%,32.00%
Starksboro,Charity R. Clark (D),0,8,0,1,9,0.00%,11.11%
Stockbridge,Charity R. Clark (D),82,2,9,1,94,87.23%,1.06%
Stowe,Charity R. Clark (D),129,4,8,1,142,90.85%,0.70%
Strafford,Charity R. Clark (D),7,1,7,0,15,46.67%,0.00%
Stratton,Charity R. Clark (D),39,3,10,3,55,70.91%,5.45%
Sudbury,Charity R. Clark (D),4,1,5,8,18,22.22%,44.44%
Sunderland,Charity R. Clark (D),62,8,9,7,86,72.09%,8.14%
Sutton,Charity R. Clark (D),25,3,4,4,36,69.44%,11.11%
Swanton,Charity R. Clark (D),81,3,7,1,92,88.04%,1.09%
Thetford,Charity R. Clark (D),45,6,6,4,61,73.77%,6.56%
Tinmouth,Charity R. Clark (D),88,0,0,6,94,93.62%,6.38%
Topsham,Charity R. Clark (D),74,8,2,6,90,82.22%,6.67%
Townshend,Charity R. Clark (D),54,4,2,3,63,85.71%,4.76%
Troy,Charity R. Clark (D),39,1,3,5,48,81.25%,10.42%
Tunbridge,Charity R. Clark (D),44,2,4,4,54,81.48%,7.41%
Underhill,Charity R. Clark (D),40,6,1,8,55,72.73%,14.55%
Vergennes,Charity R. Clark (D),80,2,8,4,94,85.11%,4.26%
Vernon,Charity R. Clark (D),71,0,8,6,85,83.53%,7.06%
Vershire,Charity R. Clark (D),27,5,1,2,35,77.14%,5.71%
Victory,Charity R. Clark (D),19,7,5,3,34,55.88%,8.82%
Waitsfield,Charity R. Clark (D),104,6,5,1,116,89.66%,0.86%
Walden,Charity R. Clark (D),54,1,9,3,67,80.60%,4.48%
Wallingford,Charity R. Clark (D),17,8,4,1,30,56.67%,3.33%
Waltham,Charity R. Clark (D),56,7,6,6,75,74.67%,8.00%
Wardsboro,Charity R. Clark (D),45,5,4,3,57,78.95%,5.26%
Warren,Charity R. Clark (D),7,3,10,3,23,30.43%,13.04%
Washington,Charity R. Clark (D),10,7,10,6,33,30.30%,18.18%
Waterbury,Charity R. Clark (D),24,6,9,4,43,55.81%,9.30%
Waterford,Charity R. Clark (D),50,8,4,9,71,70.42%,12.68%
Waterville,Charity R. Clark (D),78,3,3,8,92,84.78%,8.70%
Weathersfield,Charity R. Clark (D),15,6,8,8,37,40.54%,21.62%
Wells,Charity R. Clark (D),53,2,9,9,73,72.60%,12.33%
West Fairlee,Charity R. Clark (D),104,3,10,1,118,88.14%,0.85%
West Haven,Charity R. Clark (D),0,1,7,5,13,0.00%,38.46%
West Rutland,Charity R. Clark (D),26,8,1,1,36,72.22%,2.78%
West Windsor,Charity R. Clark (D),69,1,5,0,75,92.00%,0.00%
Westfield,Charity R. Clark (D),59,6,4,1,70,84.29%,1.43%
Westford,Charity R. Clark (D),14,7,0,7,28,50.00%,25.00%
Westminster,Charity R. Clark (D),40,5,3,4,52,76.92%,7.69%
Westmore,Charity R. Clark (D),23,3,7,1,34,67.65%,2.94%
Weston,Charity R. Clark (D),51,8,1,7,67,76.12%,10.45%
Weybridge,Charity R. Clark (D),84,8,3,5,100,84.00%,5.00%
Wheelock,Charity R. Clark (D),35,7,7,5,54,64.81%,9.26%
Whiting,Charity R. Clark (D),19,2,0,1,22,86.36%,4.55%
Whitingham,Charity R. Clark (D),47,1,4,6,58,81.03%,10.34%
Williamstown,Charity R. Clark (D),145,0,3,9,157,92.36%,5.73%
Williston,Charity R. Clark (D),88,9,5,7,109,80.73%,6.42%
Wilmington,Charity R. Clark (D),49,3,1,1,54,90.74%,1.85%
Windham,Charity R. Clark (D),11,10,5,3,29,37.93%,10.34%
Windsor,Charity R. Clark (D),65,6,5,3,79,82.28%,3.80%
Winhall,Charity R. Clark (D),58,5,3,4,70,82.86%,5.71%
Winooski,Charity R. Clark (D),37,6,7,1,51,72.55%,1.96%
Wolcott,Charity R. Clark (D),40,3,5,9,57,70.18%,15.79%
Woodbury,Charity R. Clark (D),45,4,8,7,64,70.31%,10.94%
Woodford,Charity R. Clark (D),45,3,8,5,61,73.77%,8.20%
Woodstock,Charity R. Clark (D),44,7,8,4,63,69.84%,6.35%
Worcester,Charity R. Clark (D),83,6,1,1,91,91.21%,1.10%
