City/Town,Leading Candidate,Becca Balint (D),Write-Ins,Blanks,Overvotes,Total Votes Cast,Becca Balint (D) Percent Votes Cast,Overvotes Percent
Cabot,Becca Balint (D),101,3,5,2,111,90.99%,1.80%
Calais,Becca Balint (D),68,4,1,10,83,81.93%,12.05%
Cambridge,Becca Balint (D),71,2,4,1,78,91.03%,1.28%
Canaan,Becca Balint (D),49,5,5,5,64,76.56%,7.81%
Castleton,Becca Balint (D),69,3,7,2,81,85.19%,2.47%
Cavendish,Becca Balint (D),104,7,2,8,121,85.95%,6.61%
Charleston,Becca Balint (D),81,8,7,1,97,83.51%,1.03%
Charlotte,Becca Balint (D),37,1,8,7,53,69.81%,13.21%
Chelsea,Becca Balint (D),85,0,7,1,93,91.40%,1.08%
Chester,Becca Balint (D),82,1,7,3,93,88.17%,3.23%
Chittenden,Becca Balint (D),71,10,10,2,93,76.34%,2.15%
Clarendon,Becca Balint (D),20,8,5,2,35,57.14%,5.71%
Colchester,Becca Balint (D),139,6,8,8,161,86.34%,4.97%
Concord,Becca Balint (D),26,8,1,1,36,72.22%,2.78%
Corinth,Becca Balint (D),89,6,9,7,111,80.18%,6.31%
Cornwall,Becca Balint (D),36,8,8,2,54,66.67%,3.70%
Coventry,Becca Balint (D),64,5,4,4,77,83.12%,5.19%
Craftsbury,Becca Balint (D),67,6,8,3,84,79.76%,3.57%
Danby,Becca Balint (D),37,1,3,5,46,80.43%,10.87%
Danville,Becca Balint (D),7,8,8,0,23,30.43%,0.00%
Derby,Becca Balint (D),4,1,10,10,25,16.00%,40.00%
Dorset,Becca Balint (D),79,2,9,6,96,82.29%,6.25%
Dover,Becca Balint (D),83,1,8,3,95,87.37%,3.16%
Dummerston,Becca Balint (D),72,4,4,0,80,90.00%,0.00%
Duxbury,Becca Balint (D),48,7,8,3,66,72.73%,4.55%
East Haven,Becca Balint (D),33,1,5,0,39,84.62%,0.00%
East Montpelier,Becca Balint (D),3,5,3,1,12,25.00%,8.33%
Eden,Becca Balint (D),10,2,8,6,26,38.46%,23.08%
Elmore,Becca Balint (D),100,6,3,3,112,89.29%,2.68%
Enosburgh,Becca Balint (D),19,1,10,9,39,48.72%,23.08%
Essex Junction,Becca Balint (D),144,8,7,8,167,86.23%,4.79%
Essex,Becca Balint (D),142,8,8,5,163,87.12%,3.07%
Fair Haven,Becca Balint (D),20,4,6,6,36,55.56%,16.67%
Fairfax,Becca Balint (D),34,1,4,1,40,85.00%,2.50%
Fairfield,Becca Balint (D),90,7,4,7,108,83.33%,6.48%
Fairlee,Becca Balint (D),73,5,6,1,85,85.88%,1.18%
Fayston,Becca Balint (D),67,0,5,5,77,87.01%,6.49%
Ferrisburgh,Becca Balint (D),24,5,7,6,42,57.14%,14.29%
Fletcher,Becca Balint (D),66,3,4,0,73,90.41%,0.00%
Franklin,Becca Balint (D),76,3,0,6,85,89.41%,7.06%
Georgia,Becca Balint (D),110,9,3,10,132,83.33%,7.58%
Glover,Becca Balint (D),67,6,1,2,76,88.16%,2.63%
Goshen,Becca Balint (D),51,0,4,6,61,83.61%,9.84%
Grafton,Becca Balint (D),57,4,6,2,69,82.61%,2.90%
Granby,Becca Balint (D),65,7,8,1,81,80.25%,1.23%
Grand Isle,Becca Balint (D),8,7,8,8,31,25.81%,25.81%
Granville,Becca Balint (D),76,6,1,10,93,81.72%,10.75%
Greensboro,Becca Balint (D),59,9,2,4,74,79.73%,5.41%
Groton,Becca Balint (D),57,10,1,0,68,83.82%,0.00%
Guildhall,Becca Balint (D),59,4,0,8,71,83.10%,11.27%
Guilford,Becca Balint (D),33,1,10,8,52,63.46%,15.38%
Halifax,Becca Balint (D),25,1,2,3,31,80.65%,9.68%
Hancock,Becca Balint (D),19,7,3,9,38,50.00%,23.68%
Hardwick,Becca Balint (D),24,1,9,5,39,61.54%,12.82%
Hartford,Becca Balint (D),82,6,5,9,102,80.39%,8.82%
Hartland,Becca Balint (D),95,6,5,5,111,85.59%,4.50%
Highgate,Becca Balint (D),42,7,10,3,62,67.74%,4.84%
Hinesburg,Becca Balint (D),108,6,5,7,126,85.71%,5.56%
Holland,Becca Balint (D),81,0,6,6,93,87.10%,6.45%
Hubbardton,Becca Balint (D),68,10,4,1,83,81.93%,1.20%
Huntington,Becca Balint (D),69,9,7,6,91,75.82%,6.59%
Hyde Park,Becca Balint (D),75,7,10,0,92,81.52%,0.00%
Ira,Becca Balint (D),79,10,2,2,93,84.95%,2.15%
Irasburg,Becca Balint (D),26,7,5,5,43,60.47%,11.63%
Isle La Motte,Becca Balint (D),31,10,8,5,54,57.41%,9.26%
Jamaica,Becca Balint (D),56,5,0,1,62,90.32%,1.61%
Jay,Becca Balint (D),34,5,4,5,48,70.83%,10.42%
Jericho,Becca Balint (D),21,1,4,10,36,58.33%,27.78%
Johnson,Becca Balint (D),108,10,1,6,125,86.40%,4.80%
Killington,Becca Balint (D),37,4,8,3,52,71.15%,5.77%
Kirby,Becca Balint (D),99,3,1,8,111,89.19%,7.21%
Landgrove,Becca Balint (D),29,2,4,1,36,80.56%,2.78%
Leicester,Becca Balint (D),24,4,4,8,40,60.00%,20.00%
Lemington,Becca Balint (D),74,10,5,3,92,80.43%,3.26%
Lincoln,Becca Balint (D),63,1,0,1,65,96.92%,1.54%
Londonderry,Becca Balint (D),52,8,8,9,77,67.53%,11.69%
Lowell,Becca Balint (D),99,5,8,8,120,82.50%,6.67%
Ludlow,Becca Balint (D),104,2,3,2,111,93.69%,1.80%
Lunenburg,Becca Balint (D),65,4,0,8,77,84.42%,10.39%
Lyndon,Becca Balint (D),75,1,8,2,86,87.21%,2.33%
Maidstone,Becca Balint (D),92,1,5,4,102,90.20%,3.92%
Manchester,Becca Balint (D),68,1,5,9,83,81.93%,10.84%
Marlboro,Becca Balint (D),40,5,4,2,51,78.43%,3.92%
Marshfield,Becca Balint (D),52,4,1,2,59,88.14%,3.39%
Mendon,Becca Balint (D),2,4,1,7,14,14.29%,50.00%
Middlebury,Becca Balint (D),93,7,2,3,105,88.57%,2.86%
Middlesex,Becca Balint (D),61,1,5,2,69,88.41%,2.90%
Middletown Springs,Becca Balint (D),68,9,5,5,87,78.16%,5.75%
Milton,Becca Balint (D),78,5,6,9,98,79.59%,9.18%
Monkton,Becca Balint (D),43,3,1,5,52,82.69%,9.62%
Montgomery,Becca Balint (D),51,1,6,1,59,86.44%,1.69%
Montpelier,Becca Balint (D),87,6,4,7,104,83.65%,6.73%
Moretown,Becca Balint (D),27,6,7,7,47,57.45%,14.89%
Morgan,Becca Balint (D),50,5,4,2,61,81.97%,3.28%
Morristown,Becca Balint (D),12,10,4,4,30,40.00%,13.33%
Mount Holly,Becca Balint (D),34,2,8,8,52,65.38%,15.38%
Mount Tabor,Becca Balint (D),61,1,0,7,69,88.41%,10.14%
New Haven,Becca Balint (D),42,6,5,5,58,72.41%,8.62%
Newark,Becca Balint (D),36,6,1,1,44,81.82%,2.27%
Newbury,Becca Balint (D),89,2,5,1,97,91.75%,1.03%
Newfane,Becca Balint (D),32,2,4,7,45,71.11%,15.56%
Newport City,Becca Balint (D),83,8,10,10,111,74.77%,9.01%
Newport Town,Becca Balint (D),87,5,2,3,97,89.69%,3.09%
North Hero,Becca Balint (D),91,8,1,4,104,87.50%,3.85%
Northfield,Becca Balint (D),85,1,1,1,88,96.59%,1.14%
Norton,Becca Balint (D),13,8,0,1,22,59.09%,4.55%
Norwich,Becca Balint (D),104,4,4,8,120,86.67%,6.67%
Orange,Becca Balint (D),22,10,3,1,36,61.11%,2.78%
Orwell,Becca Balint (D),10,1,1,1,13,76.92%,7.69%
Panton,Becca Balint (D),90,1,5,3,99,90.91%,3.03%
Pawlet,Becca Balint (D),82,0,3,9,94,87.23%,9.57%
Peacham,Becca Balint (D),35,7,6,8,56,62.50%,14.29%
Peru,Becca Balint (D),28,1,6,5,40,70.00%,12.50%
Pittsfield,Becca Balint (D),10,7,7,6,30,33.33%,20.00%
Pittsford,Becca Balint (D),51,5,4,8,68,75.00%,11.76%
Plainfield,Becca Balint (D),103,4,4,3,114,90.35%,2.63%
Plymouth,Becca Balint (D),54,7,3,2,66,81.82%,3.03%
Pomfret,Becca Balint (D),84,1,7,4,96,87.50%,4.17%
Poultney,Becca Balint (D),45,10,3,9,67,67.16%,13.43%
Pownal,Becca Balint (D),41,7,9,7,64,64.06%,10.94%
Proctor,Becca Balint (D),68,8,6,7,89,76.40%,7.87%
Putney,Becca Balint (D),56,10,1,8,75,74.67%,10.67%
Randolph,Becca Balint (D),37,6,1,4,48,77.08%,8.33%
Reading,Becca Balint (D),28,7,1,6,42,66.67%,14.29%
Readsboro,Becca Balint (D),10,7,5,5,27,37.04%,18.52%
Richford,Becca Balint (D),96,1,3,7,107,89.72%,6.54%
Richmond,Becca Balint (D),44,7,3,1,55,80.00%,1.82%
Ripton,Becca Balint (D),99,9,3,1,112,88.39%,0.89%
Rochester,Becca Balint (D),22,7,10,8,47,46.81%,17.02%
Rockingham,Becca Balint (D),95,2,7,1,105,90.48%,0.95%
Roxbury,Becca Balint (D),72,2,1,1,76,94.74%,1.32%
Royalton,Becca Balint (D),17,3,1,6,27,62.96%,22.22%
Rupert,Becca Balint (D),15,10,10,1,36,41.67%,2.78%
Rutland City,Becca Balint (D),252,9,8,10,279,90.32%,3.58%
Rutland Town,Becca Balint (D),100,6,7,1,114,87.72%,0.88%
Ryegate,Becca Balint (D),79,8,2,5,94,84.04%,5.32%
Saint Albans City,Becca Balint (D),31,4,3,2,40,77.50%,5.00%
Saint Albans Town,Becca Balint (D),68,8,5,9,90,75.56%,10.00%
Saint George,Becca Balint (D),46,8,1,1,56,82.14%,1.79%
Saint Johnsbury,Becca Balint (D),77,6,3,10,96,80.21%,10.42%
Salisbury,Becca Balint (D),107,8,6,4,125,85.60%,3.20%
Sandgate,Becca Balint (D),28,4,3,0,35,80.00%,0.00%
Searsburg,Becca Balint (D),76,2,0,6,84,90.48%,7.14%
Shaftsbury,Becca Balint (D),105,7,3,6,121,86.78%,4.96%
Sharon,Becca Balint (D),26,10,7,5,48,54.17%,10.42%
Sheffield,Becca Balint (D),57,2,5,3,67,85.07%,4.48%
Shelburne,Becca Balint (D),45,8,4,1,58,77.59%,1.72%
Sheldon,Becca Balint (D),74,2,5,4,85,87.06%,4.71%
Shoreham,Becca Balint (D),17,1,3,6,27,62.96%,22.22%
Shrewsbury,Becca Balint (D),47,4,7,9,67,70.15%,13.43%
South Burlington,Becca Balint (D),200,8,7,8,223,89.69%,3.59%
South Hero,Becca Balint (D),46,1,7,8,62,74.19%,12.90%
Springfield,Becca Balint (D),2,2,3,1,8,25.00%,12.50%
Stamford,Becca Balint (D),83,3,10,9,105,79.05%,8.57%
Stannard,Becca Balint (D),6,4,3,1,14,42.86%,7.14%
Starksboro,Becca Balint (D),5,10,5,4,24,20.83%,16.67%
Stockbridge,Becca Balint (D),27,1,0,4,32,84.38%,12.50%
Stowe,Becca Balint (D),67,5,9,8,89,75.28%,8.99%
Strafford,Becca Balint (D),12,6,3,2,23,52.17%,8.70%
Stratton,Becca Balint (D),57,6,5,8,76,75.00%,10.53%
Sudbury,Becca Balint (D),19,10,0,5,34,55.88%,14.71%
Sunderland,Becca Balint (D),145,6,6,0,157,92.36%,0.00%
Sutton,Becca Balint (D),4,1,7,2,14,28.57%,14.29%
Swanton,Becca Balint (D),5,5,3,5,18,27.78%,27.78%
Thetford,Becca Balint (D),77,8,1,8,94,81.91%,8.51%
Tinmouth,Becca Balint (D),68,9,1,4,82,82.93%,4.88%
Topsham,Becca Balint (D),61,4,2,9,76,80.26%,11.84%
Townshend,Becca Balint (D),14,7,6,1,28,50.00%,3.57%
Troy,Becca Balint (D),21,8,7,7,43,48.84%,16.28%
Tunbridge,Becca Balint (D),51,3,1,8,63,80.95%,12.70%
Underhill,Becca Balint (D),58,1,10,2,71,81.69%,2.82%
Vergennes,Becca Balint (D),52,1,5,7,65,80.00%,10.77%
Vernon,Becca Balint (D),51,4,9,2,66,77.27%,3.03%
Vershire,Becca Balint (D),31,1,4,3,39,79.49%,7.69%
Victory,Becca Balint (D),82,5,4,5,96,85.42%,5.21%
Waitsfield,Becca Balint (D),4,6,2,8,20,20.00%,40.00%
Walden,Becca Balint (D),67,2,8,6,83,80.72%,7.23%
Wallingford,Becca Balint (D),91,0,10,2,103,88.35%,1.94%
Waltham,Becca Balint (D),73,2,5,10,90,81.11%,11.11%
Wardsboro,Becca Balint (D),70,5,9,5,89,78.65%,5.62%
Warren,Becca Balint (D),24,7,2,8,41,58.54%,19.51%
Washington,Becca Balint (D),30,4,2,2,38,78.95%,5.26%
Waterbury,Becca Balint (D),51,10,7,1,69,73.91%,1.45%
Waterford,Becca Balint (D),43,5,8,8,64,67.19%,12.50%
Waterville,Becca Balint (D),94,1,1,7,103,91.26%,6.80%
Weathersfield,Becca Balint (D),27,4,4,5,40,67.50%,12.50%
Wells,Becca Balint (D),182,10,5,5,202,90.10%,2.48%
West Fairlee,Becca Balint (D),62,4,8,2,76,81.58%,2.63%
West Haven,Becca Balint (D),18,7,9,4,38,47.37%,10.53%
West Rutland,Becca Balint (D),79,4,9,5,97,81.44%,5.15%
West Windsor,Becca Balint (D),77,8,4,2,91,84.62%,2.20%
Westfield,Becca Balint (D),48,3,6,1,58,82.76%,1.72%
Westford,Becca Balint (D),14,3,10,3,30,46.67%,10.00%
Westminster,Becca Balint (D),29,8,8,8,53,54.72%,15.09%
Westmore,Becca Balint (D),33,0,1,8,42,78.57%,19.05%
Weston,Becca Balint (D),23,0,6,2,31,74.19%,6.45%
Weybridge,Becca Balint (D),57,3,5,4,69,82.61%,5.80%
Wheelock,Becca Balint (D),109,7,5,1,122,89.34%,0.82%
Whiting,Becca Balint (D),107,2,2,6,117,91.45%,5.13%
Whitingham,Becca Balint (D),2,2,1,9,14,14.29%,64.29%
Williamstown,Becca Balint (D),122,8,8,9,147,82.99%,6.12%
Williston,Becca Balint (D),160,7,5,7,179,89.39%,3.91%
Wilmington,Becca Balint (D),23,1,1,2,27,85.19%,7.41%
Windham,Becca Balint (D),69,8,6,4,87,79.31%,4.60%
Windsor,Becca Balint (D),19,2,1,1,23,82.61%,4.35%
Winhall,Becca Balint (D),30,1,3,6,40,75.00%,15.00%
Winooski,Becca Balint (D),70,5,4,3,82,85.37%,3.66%
Wolcott,Becca Balint (D),66,6,8,0,80,82.50%,0.00%
Woodbury,Becca Balint (D),26,6,0,2,34,76.47%,5.88%
Woodford,Becca Balint (D),36,8,6,6,56,64.29%,10.71%
Woodstock,Becca Balint (D),2,1,1,3,7,28.57%,42.86%
Worcester,Becca Balint (D),14,3,5,1,23,60.87%,4.35%
