id,town,county,district,registered_voters,absentee_ballots,accessible_voting_system,defective_ballots,counted_ballots,provisional_ballots,total_ballots_cast,absentee_percent,counted_ballots_percent,turnout
61,Chittenden,,,1114,438,0,0,697,0,0,39.32%,62.57%,62.57%
62,Clarendon,,,1998,637,1138,0,1138,0,0,31.88%,56.96%,56.96%
63,Colchester,,,6895,2790,0,0,4183,0,0,40.46%,60.67%,60.67%
64,Concord,,,892,265,0,0,489,0,0,29.71%,54.82%,54.82%
65,Corinth,,,1135,464,0,0,682,0,0,40.88%,60.09%,60.09%
66,Cornwall,,,1025,505,0,1,723,0,0,49.27%,70.54%,70.63%
67,Coventry,,,788,298,0,3,402,0,0,37.82%,51.02%,51.40%
68,Craftsbury,,,939,321,0,0,0,0,0,34.19%,0.00%,0.00%
69,Danby,,,985,442,0,0,632,0,0,44.87%,64.16%,64.16%
70,Danville,,,1871,1021,1295,3,1295,0,0,54.57%,69.21%,69.37%
71,Derby,,,3583,616,0,0,0,0,0,17.19%,0.00%,0.00%
72,Dorset,,,1735,758,0,0,1180,0,0,43.69%,68.01%,68.01%
73,Dover,,,1386,385,0,0,700,0,0,27.78%,50.51%,50.51%
74,Dummerston,,,1596,880,0,0,1087,0,0,55.14%,68.11%,68.11%
75,Duxbury,,,1203,599,0,1,726,0,0,49.79%,60.35%,60.43%
76,East Haven,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
77,East Montpelier,,,2354,1015,0,0,1471,0,0,43.12%,62.49%,62.49%
78,Eden,,,947,282,0,2,461,0,0,29.78%,48.68%,48.89%
79,Elmore,,,762,380,0,0,516,0,0,49.87%,67.72%,67.72%
80,Enosburgh,,,2082,695,0,0,1080,0,0,33.38%,51.87%,51.87%
271,Essex Junction,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
81,Essex,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
82,Fair Haven,,,1852,498,0,0,988,0,0,26.89%,53.35%,53.35%
83,Fairfax,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
84,Fairfield,,,1483,526,0,0,899,0,0,35.47%,60.62%,60.62%
85,Fairlee,,,786,372,0,0,506,0,0,47.33%,64.38%,64.38%
86,Fayston,,,1316,637,0,0,813,0,0,48.40%,61.78%,61.78%
87,Ferrisburgh,,,2331,828,0,1,1602,0,0,35.52%,68.73%,68.77%
88,Fletcher,,,1098,517,0,0,685,0,0,47.09%,62.39%,62.39%
89,Franklin,,,1046,376,0,0,586,0,0,35.95%,56.02%,56.02%
90,Georgia,,,4102,1446,0,6,2217,0,0,35.25%,54.05%,54.19%
91,Glover,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
92,Goshen,,,165,17,0,0,0,0,0,10.30%,0.00%,0.00%
93,Grafton,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
94,Granby,,,54,11,0,0,33,0,0,20.37%,61.11%,61.11%
95,Grand Isle,,,1760,783,0,0,1174,0,0,44.49%,66.70%,66.70%
96,Granville,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
97,Greensboro,,,653,289,0,0,412,0,0,44.26%,63.09%,63.09%
98,Groton,,,787,253,0,0,458,0,0,32.15%,58.20%,58.20%
99,Guildhall,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
100,Guilford,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
101,Halifax,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
102,Hancock,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
103,Hardwick,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
104,Hartford,,,1448,556,0,1,826,0,0,38.40%,57.04%,57.11%
105,Hartland,,,2929,1212,0,0,1739,0,0,41.38%,59.37%,59.37%
106,Highgate,,,2434,759,0,0,1251,0,0,31.18%,51.40%,51.40%
107,Hinesburg,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
108,Holland,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
109,Hubbardton,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
110,Huntington,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
111,Hyde Park,,,2264,977,0,0,1364,0,0,43.15%,60.25%,60.25%
112,Ira,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
113,Irasburg,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
114,Isle La Motte,,,474,178,131,0,309,0,0,37.55%,65.19%,65.19%
115,Jamaica,,,775,220,0,0,424,0,0,28.39%,54.71%,54.71%
116,Jay,,,427,165,0,0,250,0,0,38.64%,58.55%,58.55%
117,Jericho,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
118,Johnson,,,2292,836,2,0,1182,0,0,36.47%,51.57%,51.57%
119,Killington,,,1039,378,0,0,653,0,0,36.38%,62.85%,62.85%
120,Kirby,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
121,Landgrove,,,140,60,0,0,113,0,0,42.86%,80.71%,80.71%
122,Leicester,,,756,329,0,1,454,0,0,43.52%,60.05%,60.19%
123,Lemington,,,68,20,0,0,38,0,0,29.41%,55.88%,55.88%
124,Lincoln,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
125,Londonderry,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
126,Lowell,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
127,Ludlow,,,1720,636,0,2,990,0,0,36.98%,57.56%,57.67%
128,Lunenburg,,,1215,221,0,0,427,0,0,18.19%,35.14%,35.14%
129,Lyndon,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
130,Maidstone,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
131,Manchester,,,3838,1677,0,8,2233,0,0,43.69%,58.18%,58.39%
132,Marlboro,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
133,Marshfield,,,1204,452,0,0,764,0,0,37.54%,63.46%,63.46%
134,Mendon,,,967,397,0,1,608,0,0,41.05%,62.87%,62.98%
135,Middlebury,,,6480,294,0,3,3781,0,0,4.54%,58.35%,58.40%
136,Middlesex,,,1493,824,0,0,1018,0,0,55.19%,68.18%,68.18%
137,Middletown Springs,,,711,304,0,0,503,0,0,42.76%,70.75%,70.75%
138,Milton,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
139,Monkton,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
140,Montgomery,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
141,Montpelier,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
142,Moretown,,,1488,651,983,0,983,0,0,43.75%,66.06%,66.06%
143,Morgan,,,539,189,0,0,326,0,0,35.06%,60.48%,60.48%
144,Morristown,,,4258,1902,0,0,2577,0,0,44.67%,60.52%,60.52%
145,Mount Holly,,,1108,446,0,1,702,0,0,40.25%,63.36%,63.45%
146,Mount Tabor,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
147,New Haven,,,1320,420,0,0,979,0,0,31.82%,74.17%,74.17%
148,Newark,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
149,Newbury,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
150,Newfane,,,1439,589,0,3,924,0,0,40.93%,64.21%,64.42%
151,Newport City,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
152,Newport Town,,,1294,369,0,0,612,0,0,28.52%,47.30%,47.30%
153,North Hero,,,928,427,0,3,631,0,0,46.01%,68.00%,68.32%
154,Northfield,,,3374,1255,0,0,1956,0,0,37.20%,57.97%,57.97%
155,Norton,,,136,49,0,0,100,0,0,36.03%,73.53%,73.53%
156,Norwich,,,3233,1619,0,0,2143,0,0,50.08%,66.29%,66.29%
157,Orange,,,853,257,0,0,212,0,0,30.13%,24.85%,24.85%
158,Orwell,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
159,Panton,,,575,184,0,0,363,0,0,32.00%,63.13%,63.13%
160,Pawlet,,,1220,528,0,1,770,0,0,43.28%,63.11%,63.20%
161,Peacham,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
162,Peru,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
163,Pittsfield,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
164,Pittsford,,,2343,663,1,0,1304,0,0,28.30%,55.66%,55.66%
165,Plainfield,,,1123,456,0,0,660,0,0,40.61%,58.77%,58.77%
166,Plymouth,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
167,Pomfret,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
168,Poultney,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
169,Pownal,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
170,Proctor,,,1300,389,0,0,752,0,0,29.92%,57.85%,57.85%
171,Putney,,,2024,902,1,0,1192,0,0,44.57%,58.89%,58.89%
172,Randolph,,,3702,1506,0,8,2228,0,0,40.68%,60.18%,60.40%
173,Reading,,,535,272,0,0,393,0,0,50.84%,73.46%,73.46%
174,Readsboro,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
175,Richford,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
176,Richmond,,,3368,0,0,1,2399,0,0,0.00%,71.23%,71.26%
177,Ripton,,,435,222,0,0,330,0,0,51.03%,75.86%,75.86%
178,Rochester,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
179,Rockingham,,,3759,1138,0,4,1850,0,0,30.27%,49.22%,49.32%
180,Roxbury,,,558,272,0,0,347,0,0,48.75%,62.19%,62.19%
181,Royalton,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
182,Rupert,,,545,196,0,1,389,0,0,35.96%,71.38%,71.56%
183,Rutland City,,,5453,1041,3067,1,3067,0,0,19.09%,56.24%,56.26%
184,Rutland Town,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
185,Ryegate,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
186,Saint Albans City,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
187,Saint Albans Town,,,3052,1208,1928,0,1928,0,0,39.58%,63.17%,63.17%
188,Saint George,,,602,207,0,0,353,0,0,34.39%,58.64%,58.64%
189,Saint Johnsbury,,,4871,1910,0,5,2668,0,0,39.21%,54.77%,54.88%
190,Salisbury,,,941,383,0,0,531,0,0,40.70%,56.43%,56.43%
191,Sandgate,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
192,Searsburg,,,96,12,0,0,45,0,0,12.50%,46.88%,46.88%
193,Shaftsbury,,,3018,1161,0,0,1803,0,0,38.47%,59.74%,59.74%
194,Sharon,,,1133,403,0,2,684,0,0,35.57%,60.37%,60.55%
195,Sheffield,,,495,175,0,0,294,0,0,35.35%,59.39%,59.39%
196,Shelburne,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
197,Sheldon,,,1409,494,707,2,707,0,0,35.06%,50.18%,50.32%
198,Shoreham,,,896,591,0,2,591,0,0,65.96%,65.96%,66.18%
199,Shrewsbury,,,951,336,0,0,586,0,0,35.33%,61.62%,61.62%
200,South Burlington,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
201,South Hero,,,1618,811,0,0,1120,0,0,50.12%,69.22%,69.22%
202,Springfield,,,7425,2351,0,6,3344,0,0,31.66%,45.04%,45.12%
203,Stamford,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
204,Stannard,,,174,53,0,0,97,0,0,30.46%,55.75%,55.75%
205,Starksboro,,,1366,471,0,0,893,0,0,34.48%,65.37%,65.37%
206,Stockbridge,,,582,284,0,0,390,0,0,48.80%,67.01%,67.01%
207,Stowe,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
208,Strafford,,,991,615,0,2,685,0,0,62.06%,69.12%,69.32%
209,Stratton,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
210,Sudbury,,,457,182,0,0,313,0,0,39.82%,68.49%,68.49%
211,Sunderland,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
212,Sutton,,,735,288,110,0,398,0,0,39.18%,54.15%,54.15%
213,Swanton,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
215,Thetford,,,2412,1240,0,3,1583,0,0,51.41%,65.63%,65.75%
216,Tinmouth,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
217,Topsham,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
218,Townshend,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
219,Troy,,,1175,433,0,0,604,0,0,36.85%,51.40%,51.40%
220,Tunbridge,,,1135,373,0,0,731,0,0,32.86%,64.41%,64.41%
221,Underhill,,,2662,1335,0,0,1921,0,0,50.15%,72.16%,72.16%
222,Vergennes,,,2157,603,0,8,1271,0,0,27.96%,58.92%,59.30%
223,Vernon,,,1915,491,1,0,922,0,0,25.64%,48.15%,48.15%
224,Vershire,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
225,Victory,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
226,Waitsfield,,,1499,618,0,1,1036,0,0,41.23%,69.11%,69.18%
227,Walden,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
228,Wallingford,,,1625,560,0,0,1049,0,0,34.46%,64.55%,64.55%
229,Waltham,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
230,Wardsboro,,,641,241,0,0,384,0,0,37.60%,59.91%,59.91%
231,Warren,,,1574,763,0,0,1004,0,0,48.48%,63.79%,63.79%
232,Washington,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
233,Waterbury,,,4523,2186,0,0,2852,0,0,48.33%,63.06%,63.06%
234,Waterford,,,1103,459,0,2,662,0,0,41.61%,60.02%,60.20%
235,Waterville,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
236,Weathersfield,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
237,Wells,,,926,351,0,0,586,0,0,37.90%,63.28%,63.28%
238,West Fairlee,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
239,West Haven,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
240,West Rutland,,,1629,466,0,0,924,0,0,28.61%,56.72%,56.72%
241,West Windsor,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
242,Westfield,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
243,Westford,,,1749,739,0,0,1165,0,0,42.25%,66.61%,66.61%
244,Westminster,,,2744,986,0,2,1461,0,0,35.93%,53.24%,53.32%
245,Westmore,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
246,Weston,,,541,296,0,0,376,0,0,54.71%,69.50%,69.50%
247,Weybridge,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
248,Wheelock,,,635,202,0,0,376,0,0,31.81%,59.21%,59.21%
249,Whiting,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
250,Whitingham,,,1015,365,0,0,588,0,0,35.96%,57.93%,57.93%
251,Williamstown,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
252,Williston,,,8741,3720,0,0,5752,0,0,42.56%,65.80%,65.80%
253,Wilmington,,,1684,582,1,1,906,0,0,34.56%,53.80%,53.86%
254,Windham,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
255,Windsor,,,2867,900,0,0,1461,0,0,31.39%,50.96%,50.96%
256,Winhall,,,0,0,0,0,0,0,0,0.00%,0.00%,0.00%
257,Winooski,,,5451,1723,0,5,3849,0,0,31.61%,70.61%,70.70%
258,Wolcott,,,1233,545,0,0,741,0,0,44.20%,60.10%,60.10%
259,Woodbury,,,742,291,0,0,477,0,0,39.22%,64.29%,64.29%
260,Woodford,,,274,87,0,1,165,0,0,31.75%,60.22%,60.58%
261,Woodstock,,,3032,1091,0,0,1752,0,0,35.98%,57.78%,57.78%
262,Worcester,,,809,353,1,0,521,0,0,43.63%,64.40%,64.40%
