City/Town,Leading Candidate,Phil Scott (R),Write-Ins,Blanks,Overvotes,Total Votes Cast,Phil Scott (R) Percent Votes Cast,Overvotes Percent
Chittenden,Phil Scott (R),40,3,7,0,50,80.00%,0.00%
Clarendon,Phil Scott (R),12,3,8,4,27,44.44%,14.81%
Colchester,Phil Scott (R),225,5,7,7,244,92.21%,2.87%
Concord,Phil Scott (R),79,9,5,1,94,84.04%,1.06%
Corinth,Phil Scott (R),14,2,1,5,22,63.64%,22.73%
Cornwall,Phil Scott (R),19,6,1,3,29,65.52%,10.34%
Coventry,Phil Scott (R),4,7,6,9,26,15.38%,34.62%
Craftsbury,Phil Scott (R),82,6,1,2,91,90.11%,2.20%
Danby,Phil Scott (R),2,7,3,3,15,13.33%,20.00%
Danville,Phil Scott (R),2,1,6,1,10,20.00%,10.00%
Derby,Phil Scott (R),11,5,7,5,28,39.29%,17.86%
Dorset,Phil Scott (R),59,4,3,3,69,85.51%,4.35%
Dover,Phil Scott (R),38,10,9,9,66,57.58%,13.64%
Dummerston,Phil Scott (R),89,1,8,10,108,82.41%,9.26%
Duxbury,Phil Scott (R),101,3,5,10,119,84.87%,8.40%
East Haven,Phil Scott (R),106,5,9,4,124,85.48%,3.23%
East Montpelier,Phil Scott (R),41,0,10,7,58,70.69%,12.07%
Eden,Phil Scott (R),7,1,1,5,14,50.00%,35.71%
Elmore,Phil Scott (R),97,4,1,1,103,94.17%,0.97%
Enosburgh,Phil Scott (R),64,10,2,2,78,82.05%,2.56%
Essex Junction,Phil Scott (R),70,4,2,9,85,82.35%,10.59%
Essex,Phil Scott (R),104,9,4,9,126,82.54%,7.14%
Fair Haven,Phil Scott (R),72,6,5,6,89,80.90%,6.74%
Fairfax,Phil Scott (R),83,0,1,9,93,89.25%,9.68%
Fairfield,Phil Scott (R),58,8,2,3,71,81.69%,4.23%
Fairlee,Phil Scott (R),12,8,8,2,30,40.00%,6.67%
Fayston,Phil Scott (R),60,6,5,6,77,77.92%,7.79%
Ferrisburgh,Phil Scott (R),60,4,1,7,72,83.33%,9.72%
Fletcher,Phil Scott (R),34,2,5,5,46,73.91%,10.87%
Franklin,Phil Scott (R),23,0,1,2,26,88.46%,7.69%
Georgia,Phil Scott (R),162,8,9,9,188,86.17%,4.79%
Glover,Phil Scott (R),22,6,4,5,37,59.46%,13.51%
Goshen,Phil Scott (R),39,4,1,3,47,82.98%,6.38%
Grafton,Phil Scott (R),75,0,8,2,85,88.24%,2.35%
Granby,Phil Scott (R),67,1,9,6,83,80.72%,7.23%
Grand Isle,Phil Scott (R),108,3,6,8,125,86.40%,6.40%
Granville,Phil Scott (R),11,9,10,5,35,31.43%,14.29%
Greensboro,Phil Scott (R),51,9,7,4,71,71.83%,5.63%
Groton,Phil Scott (R),38,5,1,6,50,76.00%,12.00%
Guildhall,Phil Scott (R),109,3,8,6,126,86.51%,4.76%
Guilford,Phil Scott (R),71,3,3,4,81,87.65%,4.94%
Halifax,Phil Scott (R),29,8,8,8,53,54.72%,15.09%
Hancock,Phil Scott (R),89,6,0,5,100,89.00%,5.00%
Hardwick,Phil Scott (R),71,10,7,9,97,73.20%,9.28%
Hartford,Phil Scott (R),95,5,8,5,113,84.07%,4.42%
Hartland,Phil Scott (R),38,1,3,8,50,76.00%,16.00%
Highgate,Phil Scott (R),28,8,1,1,38,73.68%,2.63%
Hinesburg,Phil Scott (R),105,6,3,3,117,89.74%,2.56%
Holland,Phil Scott (R),89,2,9,7,107,83.18%,6.54%
Hubbardton,Phil Scott (R),106,7,4,6,123,86.18%,4.88%
Huntington,Phil Scott (R),74,8,1,6,89,83.15%,6.74%
Hyde Park,Phil Scott (R),56,1,10,9,76,73.68%,11.84%
Ira,Phil Scott (R),10,3,1,6,20,50.00%,30.00%
Irasburg,Phil Scott (R),86,3,8,0,97,88.66%,0.00%
Isle La Motte,Phil Scott (R),71,3,4,3,81,87.65%,3.70%
Jamaica,Phil Scott (R),36,8,7,7,58,62.07%,12.07%
Jay,Phil Scott (R),64,10,6,3,83,77.11%,3.61%
Jericho,Phil Scott (R),60,6,10,5,81,74.07%,6.17%
Johnson,Phil Scott (R),30,3,1,2,36,83.33%,5.56%
Killington,Phil Scott (R),21,7,5,0,33,63.64%,0.00%
Kirby,Phil Scott (R),80,3,3,0,86,93.02%,0.00%
Landgrove,Phil Scott (R),73,6,8,6,93,78.49%,6.45%
Leicester,Phil Scott (R),52,8,1,8,69,75.36%,11.59%
Lemington,Phil Scott (R),86,3,9,5,103,83.50%,4.85%
Lincoln,Phil Scott (R),36,8,4,3,51,70.59%,5.88%
Londonderry,Phil Scott (R),91,1,2,0,94,96.81%,0.00%
Lowell,Phil Scott (R),16,2,7,6,31,51.61%,19.35%
Ludlow,Phil Scott (R),90,3,9,5,107,84.11%,4.67%
Lunenburg,Phil Scott (R),63,2,5,4,74,85.14%,5.41%
Lyndon,Phil Scott (R),59,7,1,4,71,83.10%,5.63%
Maidstone,Phil Scott (R),70,6,5,8,89,78.65%,8.99%
Manchester,Phil Scott (R),88,1,1,7,97,90.72%,7.22%
Marlboro,Phil Scott (R),22,8,5,6,41,53.66%,14.63%
Marshfield,Phil Scott (R),47,2,1,4,54,87.04%,7.41%
Mendon,Phil Scott (R),96,2,1,3,102,94.12%,2.94%
Middlebury,Phil Scott (R),66,9,9,10,94,70.21%,10.64%
Middlesex,Phil Scott (R),13,3,1,8,25,52.00%,32.00%
Middletown Springs,Phil Scott (R),81,10,1,4,96,84.38%,4.17%
Milton,Phil Scott (R),105,6,4,6,121,86.78%,4.96%
Monkton,Phil Scott (R),56,1,6,7,70,80.00%,10.00%
Montgomery,Phil Scott (R),50,5,1,2,58,86.21%,3.45%
Montpelier,Phil Scott (R),69,8,0,2,79,87.34%,2.53%
Moretown,Phil Scott (R),100,1,7,8,116,86.21%,6.90%
Morgan,Phil Scott (R),8,3,4,2,17,47.06%,11.76%
Morristown,Phil Scott (R),60,3,1,6,70,85.71%,8.57%
Mount Holly,Phil Scott (R),52,9,5,5,71,73.24%,7.04%
Mount Tabor,Phil Scott (R),28,9,1,5,43,65.12%,11.63%
New Haven,Phil Scott (R),94,6,2,10,112,83.93%,8.93%
Newark,Phil Scott (R),61,7,8,3,79,77.22%,3.80%
Newbury,Phil Scott (R),81,1,2,2,86,94.19%,2.33%
Newfane,Phil Scott (R),68,9,2,7,86,79.07%,8.14%
Newport City,Phil Scott (R),35,1,8,4,48,72.92%,8.33%
Newport Town,Phil Scott (R),33,7,7,8,55,60.00%,14.55%
North Hero,Phil Scott (R),86,2,9,6,103,83.50%,5.83%
Northfield,Phil Scott (R),71,1,4,0,76,93.42%,0.00%
Norton,Phil Scott (R),9,5,8,3,25,36.00%,12.00%
Norwich,Phil Scott (R),11,2,8,7,28,39.29%,25.00%
Orange,Phil Scott (R),38,3,7,4,52,73.08%,7.69%
Orwell,Phil Scott (R),90,0,0,6,96,93.75%,6.25%
Panton,Phil Scott (R),42,1,7,6,56,75.00%,10.71%
Pawlet,Phil Scott (R),2,3,8,9,22,9.09%,40.91%
Peacham,Phil Scott (R),56,7,6,1,70,80.00%,1.43%
Peru,Phil Scott (R),16,2,5,0,23,69.57%,0.00%
Pittsfield,Phil Scott (R),8,4,4,4,20,40.00%,20.00%
Pittsford,Phil Scott (R),100,8,3,8,119,84.03%,6.72%
Plainfield,Phil Scott (R),47,2,7,9,65,72.31%,13.85%
Plymouth,Phil Scott (R),89,5,5,7,106,83.96%,6.60%
Pomfret,Phil Scott (R),109,8,5,10,132,82.58%,7.58%
Poultney,Phil Scott (R),57,7,8,4,76,75.00%,5.26%
Pownal,Phil Scott (R),137,2,5,7,151,90.73%,4.64%
Proctor,Phil Scott (R),63,1,5,10,79,79.75%,12.66%
Putney,Phil Scott (R),104,8,5,10,127,81.89%,7.87%
Randolph,Phil Scott (R),5,1,2,10,18,27.78%,55.56%
Reading,Phil Scott (R),91,6,1,5,103,88.35%,4.85%
Readsboro,Phil Scott (R),61,8,1,10,80,76.25%,12.50%
Richford,Phil Scott (R),40,8,1,2,51,78.43%,3.92%
Richmond,Phil Scott (R),75,3,0,2,80,93.75%,2.50%
Ripton,Phil Scott (R),89,7,4,6,106,83.96%,5.66%
Rochester,Phil Scott (R),89,3,1,8,101,88.12%,7.92%
Rockingham,Phil Scott (R),16,10,2,2,30,53.33%,6.67%
Roxbury,Phil Scott (R),39,8,3,2,52,75.00%,3.85%
Royalton,Phil Scott (R),83,7,1,8,99,83.84%,8.08%
Rupert,Phil Scott (R),102,2,6,6,116,87.93%,5.17%
Rutland City,Phil Scott (R),151,8,10,6,175,86.29%,3.43%
Rutland Town,Phil Scott (R),75,10,6,9,100,75.00%,9.00%
Ryegate,Phil Scott (R),89,9,5,3,106,83.96%,2.83%
Saint Albans City,Phil Scott (R),125,3,5,4,137,91.24%,2.92%
Saint Albans Town,Phil Scott (R),143,6,9,6,164,87.20%,3.66%
Saint George,Phil Scott (R),69,9,1,1,80,86.25%,1.25%
Saint Johnsbury,Phil Scott (R),45,7,2,4,58,77.59%,6.90%
Salisbury,Phil Scott (R),69,0,3,1,73,94.52%,1.37%
Sandgate,Phil Scott (R),21,1,5,3,30,70.00%,10.00%
Searsburg,Phil Scott (R),40,4,8,4,56,71.43%,7.14%
Shaftsbury,Phil Scott (R),4,0,1,2,7,57.14%,28.57%
Sharon,Phil Scott (R),12,8,8,8,36,33.33%,22.22%
Sheffield,Phil Scott (R),2,8,1,5,16,12.50%,31.25%
Shelburne,Phil Scott (R),190,9,2,10,211,90.05%,4.74%
Sheldon,Phil Scott (R),85,7,5,2,99,85.86%,2.02%
Shoreham,Phil Scott (R),27,3,3,9,42,64.29%,21.43%
Shrewsbury,Phil Scott (R),22,6,1,5,34,64.71%,14.71%
South Burlington,Phil Scott (R),195,6,7,10,218,89.45%,4.59%
South Hero,Phil Scott (R),44,8,3,6,61,72.13%,9.84%
Springfield,Phil Scott (R),101,5,7,8,121,83.47%,6.61%
Stamford,Phil Scott (R),75,5,2,3,85,88.24%,3.53%
Stannard,Phil Scott (R),68,3,2,10,83,81.93%,12.05%
Starksboro,Phil Scott (R),64,1,2,6,73,87.67%,8.22%
Stockbridge,Phil Scott (R),2,4,8,5,19,10.53%,26.32%
Stowe,Phil Scott (R),89,10,6,8,113,78.76%,7.08%
Strafford,Phil Scott (R),3,8,7,10,28,10.71%,35.71%
Stratton,Phil Scott (R),79,2,0,7,88,89.77%,7.95%
Sudbury,Phil Scott (R),84,6,2,1,93,90.32%,1.08%
Sunderland,Phil Scott (R),57,2,6,7,72,79.17%,9.72%
Sutton,Phil Scott (R),3,5,9,4,21,14.29%,19.05%
Swanton,Phil Scott (R),41,0,10,5,56,73.21%,8.93%
Thetford,Phil Scott (R),70,3,3,7,83,84.34%,8.43%
Tinmouth,Phil Scott (R),79,7,4,5,95,83.16%,5.26%
Topsham,Phil Scott (R),57,6,2,4,69,82.61%,5.80%
Townshend,Phil Scott (R),50,1,3,10,64,78.12%,15.62%
Troy,Phil Scott (R),61,1,7,5,74,82.43%,6.76%
Tunbridge,Phil Scott (R),11,3,6,1,21,52.38%,4.76%
Underhill,Phil Scott (R),70,1,4,4,79,88.61%,5.06%
Vergennes,Phil Scott (R),36,2,4,1,43,83.72%,2.33%
Vernon,Phil Scott (R),24,10,1,6,41,58.54%,14.63%
Vershire,Phil Scott (R),66,7,3,1,77,85.71%,1.30%
Victory,Phil Scott (R),64,5,10,10,89,71.91%,11.24%
Waitsfield,Phil Scott (R),39,6,8,3,56,69.64%,5.36%
Walden,Phil Scott (R),107,5,8,2,122,87.70%,1.64%
Wallingford,Phil Scott (R),32,7,3,4,46,69.57%,8.70%
Waltham,Phil Scott (R),35,10,5,9,59,59.32%,15.25%
Wardsboro,Phil Scott (R),82,1,3,7,93,88.17%,7.53%
Warren,Phil Scott (R),63,4,3,9,79,79.75%,11.39%
Washington,Phil Scott (R),19,6,6,1,32,59.38%,3.12%
Waterbury,Phil Scott (R),30,7,5,4,46,65.22%,8.70%
Waterford,Phil Scott (R),4,9,9,5,27,14.81%,18.52%
Waterville,Phil Scott (R),84,8,1,10,103,81.55%,9.71%
Weathersfield,Phil Scott (R),57,2,3,5,67,85.07%,7.46%
Wells,Phil Scott (R),153,8,6,10,177,86.44%,5.65%
West Fairlee,Phil Scott (R),26,1,2,6,35,74.29%,17.14%
West Haven,Phil Scott (R),26,8,3,6,43,60.47%,13.95%
West Rutland,Phil Scott (R),49,4,5,7,65,75.38%,10.77%
West Windsor,Phil Scott (R),9,1,9,3,22,40.91%,13.64%
Westfield,Phil Scott (R),74,6,7,7,94,78.72%,7.45%
Westford,Phil Scott (R),108,8,3,1,120,90.00%,0.83%
Westminster,Phil Scott (R),10,6,6,4,26,38.46%,15.38%
Westmore,Phil Scott (R),69,1,7,9,86,80.23%,10.47%
Weston,Phil Scott (R),30,3,2,0,35,85.71%,0.00%
Weybridge,Phil Scott (R),96,10,6,2,114,84.21%,1.75%
Wheelock,Phil Scott (R),81,0,1,3,85,95.29%,3.53%
Whiting,Phil Scott (R),53,7,6,1,67,79.10%,1.49%
Whitingham,Phil Scott (R),105,2,8,7,122,86.07%,5.74%
Williamstown,Phil Scott (R),172,3,10,1,186,92.47%,0.54%
Williston,Phil Scott (R),127,4,8,10,149,85.23%,6.71%
Wilmington,Phil Scott (R),28,10,0,3,41,68.29%,7.32%
Windham,Phil Scott (R),31,5,2,7,45,68.89%,15.56%
Windsor,Phil Scott (R),99,0,2,1,102,97.06%,0.98%
Winhall,Phil Scott (R),57,8,5,1,71,80.28%,1.41%
Winooski,Phil Scott (R),86,2,4,2,94,91.49%,2.13%
Wolcott,Phil Scott (R),54,1,2,5,62,87.10%,8.06%
Woodbury,Phil Scott (R),26,8,1,1,36,72.22%,2.78%
Woodford,Phil Scott (R),20,3,1,1,25,80.00%,4.00%
Woodstock,Phil Scott (R),55,3,1,1,60,91.67%,1.67%
Worcester,Phil Scott (R),64,7,3,4,78,82.05%,5.13%
