City/Town,Leading Candidate,Bernard Peters (I),Brenda Siegel (D/Prog),Kevin Hoyt (I),Peter Duval (I),Phil Scott (R/Inc.),Write-Ins,Blanks,OverVotes,Total Votes Cast,Phil Scott (R/Inc.) Percent Votes Cast,Brenda Siegel (D/Prog) Percent Votes Cast,OverVotes Percent
Chittenden,Bernard Peters (I),12345,12345,12345,12345,12345,18,23,17,61783,19.98%,19.98%,0.03%
Clarendon,Bernard Peters (I),12345,12345,12345,12345,12345,22,24,21,61792,19.98%,19.98%,0.03%
Colchester,Bernard Peters (I),209865,209865,209865,209865,209865,395,391,413,1050524,19.98%,19.98%,0.04%
Concord,Bernard Peters (I),12345,12345,12345,12345,12345,25,29,30,61809,19.97%,19.97%,0.05%
Corinth,Bernard Peters (I),12345,12345,12345,12345,12345,23,25,26,61799,19.98%,19.98%,0.04%
Cornwall,Bernard Peters (I),12345,12345,12345,12345,12345,19,27,27,61798,19.98%,19.98%,0.04%
Coventry,Bernard Peters (I),12345,12345,12345,12345,12345,13,27,22,61787,19.98%,19.98%,0.04%
Craftsbury,Bernard Peters (I),12345,12345,12345,12345,12345,26,16,22,61789,19.98%,19.98%,0.04%
Danby,Bernard Peters (I),12345,12345,12345,12345,12345,15,21,20,61781,19.98%,19.98%,0.03%
Danville,Bernard Peters (I),12345,12345,12345,12345,12345,8,18,27,61778,19.98%,19.98%,0.04%
Derby,Bernard Peters (I),12345,12345,12345,12345,12345,22,17,35,61799,19.98%,19.98%,0.06%
Dorset,Bernard Peters (I),12345,12345,12345,12345,12345,32,23,15,61795,19.98%,19.98%,0.02%
Dover,Bernard Peters (I),12345,12345,12345,12345,12345,10,16,29,61780,19.98%,19.98%,0.05%
Dummerston,Bernard Peters (I),12345,12345,12345,12345,12345,11,23,21,61780,19.98%,19.98%,0.03%
Duxbury,Bernard Peters (I),12345,12345,12345,12345,12345,25,16,25,61791,19.98%,19.98%,0.04%
East Haven,Bernard Peters (I),12345,12345,12345,12345,12345,24,22,28,61799,19.98%,19.98%,0.05%
East Montpelier,Bernard Peters (I),12345,12345,12345,12345,12345,26,30,19,61800,19.98%,19.98%,0.03%
Eden,Bernard Peters (I),12345,12345,12345,12345,12345,24,24,17,61790,19.98%,19.98%,0.03%
Elmore,Bernard Peters (I),12345,12345,12345,12345,12345,28,19,14,61786,19.98%,19.98%,0.02%
Enosburgh,Bernard Peters (I),12345,12345,12345,12345,12345,33,22,28,61808,19.97%,19.97%,0.05%
Essex Junction,Bernard Peters (I),24690,24690,24690,24690,24690,60,30,47,123587,19.98%,19.98%,0.04%
Essex,Bernard Peters (I),24690,24690,24690,24690,24690,57,41,42,123590,19.98%,19.98%,0.03%
Fair Haven,Bernard Peters (I),12345,12345,12345,12345,12345,15,14,27,61781,19.98%,19.98%,0.04%
Fairfax,Bernard Peters (I),12345,12345,12345,12345,12345,27,32,26,61810,19.97%,19.97%,0.04%
Fairfield,Bernard Peters (I),12345,12345,12345,12345,12345,12,10,18,61765,19.99%,19.99%,0.03%
Fairlee,Bernard Peters (I),12345,12345,12345,12345,12345,29,17,20,61791,19.98%,19.98%,0.03%
Fayston,Bernard Peters (I),12345,12345,12345,12345,12345,22,21,30,61798,19.98%,19.98%,0.05%
Ferrisburgh,Bernard Peters (I),12345,12345,12345,12345,12345,9,27,20,61781,19.98%,19.98%,0.03%
Fletcher,Bernard Peters (I),12345,12345,12345,12345,12345,21,28,27,61801,19.98%,19.98%,0.04%
Franklin,Bernard Peters (I),12345,12345,12345,12345,12345,27,23,21,61796,19.98%,19.98%,0.03%
Georgia,Bernard Peters (I),24690,24690,24690,24690,24690,47,58,63,123618,19.97%,19.97%,0.05%
Glover,Bernard Peters (I),12345,12345,12345,12345,12345,30,29,13,61797,19.98%,19.98%,0.02%
Goshen,Bernard Peters (I),12345,12345,12345,12345,12345,15,25,31,61796,19.98%,19.98%,0.05%
Grafton,Bernard Peters (I),12345,12345,12345,12345,12345,19,23,30,61797,19.98%,19.98%,0.05%
Granby,Bernard Peters (I),12345,12345,12345,12345,12345,28,23,28,61804,19.97%,19.97%,0.05%
Grand Isle,Bernard Peters (I),12345,12345,12345,12345,12345,27,27,25,61804,19.97%,19.97%,0.04%
Granville,Bernard Peters (I),12345,12345,12345,12345,12345,30,17,19,61791,19.98%,19.98%,0.03%
Greensboro,Bernard Peters (I),12345,12345,12345,12345,12345,26,34,21,61806,19.97%,19.97%,0.03%
Groton,Bernard Peters (I),12345,12345,12345,12345,12345,23,20,18,61786,19.98%,19.98%,0.03%
Guildhall,Bernard Peters (I),12345,12345,12345,12345,12345,14,19,28,61786,19.98%,19.98%,0.05%
Guilford,Bernard Peters (I),12345,12345,12345,12345,12345,27,10,35,61797,19.98%,19.98%,0.06%
Halifax,Bernard Peters (I),12345,12345,12345,12345,12345,26,32,26,61809,19.97%,19.97%,0.04%
Hancock,Bernard Peters (I),12345,12345,12345,12345,12345,29,20,31,61805,19.97%,19.97%,0.05%
Hardwick,Bernard Peters (I),12345,12345,12345,12345,12345,29,21,27,61802,19.98%,19.98%,0.04%
Hartford,Bernard Peters (I),24690,24690,24690,24690,24690,38,37,30,123555,19.98%,19.98%,0.02%
Hartland,Bernard Peters (I),12345,12345,12345,12345,12345,29,18,18,61790,19.98%,19.98%,0.03%
Highgate,Bernard Peters (I),12345,12345,12345,12345,12345,30,26,29,61810,19.97%,19.97%,0.05%
Hinesburg,Bernard Peters (I),24690,24690,24690,24690,24690,37,42,44,123573,19.98%,19.98%,0.04%
Holland,Bernard Peters (I),12345,12345,12345,12345,12345,14,19,20,61778,19.98%,19.98%,0.03%
Hubbardton,Bernard Peters (I),12345,12345,12345,12345,12345,29,21,19,61794,19.98%,19.98%,0.03%
Huntington,Bernard Peters (I),12345,12345,12345,12345,12345,19,13,23,61780,19.98%,19.98%,0.04%
Hyde Park,Bernard Peters (I),12345,12345,12345,12345,12345,20,24,22,61791,19.98%,19.98%,0.04%
Ira,Bernard Peters (I),12345,12345,12345,12345,12345,17,30,14,61786,19.98%,19.98%,0.02%
Irasburg,Bernard Peters (I),12345,12345,12345,12345,12345,24,20,20,61789,19.98%,19.98%,0.03%
Isle La Motte,Bernard Peters (I),12345,12345,12345,12345,12345,20,21,27,61793,19.98%,19.98%,0.04%
Jamaica,Bernard Peters (I),12345,12345,12345,12345,12345,22,27,29,61803,19.97%,19.97%,0.05%
Jay,Bernard Peters (I),12345,12345,12345,12345,12345,16,17,17,61775,19.98%,19.98%,0.03%
Jericho,Bernard Peters (I),12345,12345,12345,12345,12345,31,26,20,61802,19.98%,19.98%,0.03%
Johnson,Bernard Peters (I),12345,12345,12345,12345,12345,25,20,24,61794,19.98%,19.98%,0.04%
Killington,Bernard Peters (I),12345,12345,12345,12345,12345,32,34,21,61812,19.97%,19.97%,0.03%
Kirby,Bernard Peters (I),12345,12345,12345,12345,12345,22,33,27,61807,19.97%,19.97%,0.04%
Landgrove,Bernard Peters (I),12345,12345,12345,12345,12345,26,30,20,61801,19.98%,19.98%,0.03%
Leicester,Bernard Peters (I),12345,12345,12345,12345,12345,30,25,22,61802,19.98%,19.98%,0.04%
Lemington,Bernard Peters (I),12345,12345,12345,12345,12345,31,20,12,61788,19.98%,19.98%,0.02%
Lincoln,Bernard Peters (I),12345,12345,12345,12345,12345,36,25,11,61797,19.98%,19.98%,0.02%
Londonderry,Bernard Peters (I),12345,12345,12345,12345,12345,13,29,23,61790,19.98%,19.98%,0.04%
Lowell,Bernard Peters (I),12345,12345,12345,12345,12345,25,17,35,61802,19.98%,19.98%,0.06%
Ludlow,Bernard Peters (I),12345,12345,12345,12345,12345,25,17,18,61785,19.98%,19.98%,0.03%
Lunenburg,Bernard Peters (I),12345,12345,12345,12345,12345,27,19,22,61793,19.98%,19.98%,0.04%
Lyndon,Bernard Peters (I),12345,12345,12345,12345,12345,31,25,22,61803,19.97%,19.97%,0.04%
Maidstone,Bernard Peters (I),12345,12345,12345,12345,12345,35,29,26,61815,19.97%,19.97%,0.04%
Manchester,Bernard Peters (I),12345,12345,12345,12345,12345,21,18,18,61782,19.98%,19.98%,0.03%
Marlboro,Bernard Peters (I),12345,12345,12345,12345,12345,24,20,27,61796,19.98%,19.98%,0.04%
Marshfield,Bernard Peters (I),12345,12345,12345,12345,12345,13,27,22,61787,19.98%,19.98%,0.04%
Mendon,Bernard Peters (I),12345,12345,12345,12345,12345,35,34,15,61809,19.97%,19.97%,0.02%
Middlebury,Bernard Peters (I),24690,24690,24690,24690,24690,45,37,51,123583,19.98%,19.98%,0.04%
Middlesex,Bernard Peters (I),12345,12345,12345,12345,12345,21,17,24,61787,19.98%,19.98%,0.04%
Middletown Springs,Bernard Peters (I),12345,12345,12345,12345,12345,28,15,30,61798,19.98%,19.98%,0.05%
Milton,Bernard Peters (I),37035,37035,37035,37035,37035,88,65,60,185388,19.98%,19.98%,0.03%
Monkton,Bernard Peters (I),12345,12345,12345,12345,12345,8,20,24,61777,19.98%,19.98%,0.04%
Montgomery,Bernard Peters (I),12345,12345,12345,12345,12345,27,31,28,61811,19.97%,19.97%,0.05%
Montpelier,Bernard Peters (I),12345,12345,12345,12345,12345,16,25,14,61780,19.98%,19.98%,0.02%
Moretown,Bernard Peters (I),12345,12345,12345,12345,12345,22,19,16,61782,19.98%,19.98%,0.03%
Morgan,Bernard Peters (I),12345,12345,12345,12345,12345,27,21,18,61791,19.98%,19.98%,0.03%
Morristown,Bernard Peters (I),12345,12345,12345,12345,12345,26,23,10,61784,19.98%,19.98%,0.02%
Mount Holly,Bernard Peters (I),12345,12345,12345,12345,12345,34,19,27,61805,19.97%,19.97%,0.04%
Mount Tabor,Bernard Peters (I),12345,12345,12345,12345,12345,28,21,24,61798,19.98%,19.98%,0.04%
New Haven,Bernard Peters (I),24690,24690,24690,24690,24690,40,33,44,123567,19.98%,19.98%,0.04%
Newark,Bernard Peters (I),12345,12345,12345,12345,12345,22,27,26,61800,19.98%,19.98%,0.04%
Newbury,Bernard Peters (I),12345,12345,12345,12345,12345,27,20,22,61794,19.98%,19.98%,0.04%
Newfane,Bernard Peters (I),12345,12345,12345,12345,12345,33,33,27,61818,19.97%,19.97%,0.04%
Newport City,Bernard Peters (I),12345,12345,12345,12345,12345,37,32,22,61816,19.97%,19.97%,0.04%
Newport Town,Bernard Peters (I),12345,12345,12345,12345,12345,28,21,21,61795,19.98%,19.98%,0.03%
North Hero,Bernard Peters (I),12345,12345,12345,12345,12345,38,25,21,61809,19.97%,19.97%,0.03%
Northfield,Bernard Peters (I),12345,12345,12345,12345,12345,18,12,10,61765,19.99%,19.99%,0.02%
Norton,Bernard Peters (I),12345,12345,12345,12345,12345,34,16,20,61795,19.98%,19.98%,0.03%
Norwich,Bernard Peters (I),12345,12345,12345,12345,12345,27,3,21,61776,19.98%,19.98%,0.03%
Orange,Bernard Peters (I),12345,12345,12345,12345,12345,17,25,18,61785,19.98%,19.98%,0.03%
Orwell,Bernard Peters (I),12345,12345,12345,12345,12345,17,22,17,61781,19.98%,19.98%,0.03%
Panton,Bernard Peters (I),12345,12345,12345,12345,12345,30,15,28,61798,19.98%,19.98%,0.05%
Pawlet,Bernard Peters (I),12345,12345,12345,12345,12345,26,27,24,61802,19.98%,19.98%,0.04%
Peacham,Bernard Peters (I),12345,12345,12345,12345,12345,19,14,32,61790,19.98%,19.98%,0.05%
Peru,Bernard Peters (I),12345,12345,12345,12345,12345,28,22,35,61810,19.97%,19.97%,0.06%
Pittsfield,Bernard Peters (I),12345,12345,12345,12345,12345,29,16,16,61786,19.98%,19.98%,0.03%
Pittsford,Bernard Peters (I),12345,12345,12345,12345,12345,27,28,25,61805,19.97%,19.97%,0.04%
Plainfield,Bernard Peters (I),12345,12345,12345,12345,12345,25,20,35,61805,19.97%,19.97%,0.06%
Plymouth,Bernard Peters (I),12345,12345,12345,12345,12345,19,25,39,61808,19.97%,19.97%,0.06%
Pomfret,Bernard Peters (I),12345,12345,12345,12345,12345,22,27,24,61798,19.98%,19.98%,0.04%
Poultney,Bernard Peters (I),12345,12345,12345,12345,12345,34,20,23,61802,19.98%,19.98%,0.04%
Pownal,Bernard Peters (I),24690,24690,24690,24690,24690,29,45,45,123569,19.98%,19.98%,0.04%
Proctor,Bernard Peters (I),12345,12345,12345,12345,12345,31,19,14,61789,19.98%,19.98%,0.02%
Putney,Bernard Peters (I),12345,12345,12345,12345,12345,17,22,36,61800,19.98%,19.98%,0.06%
Randolph,Bernard Peters (I),12345,12345,12345,12345,12345,37,26,28,61816,19.97%,19.97%,0.05%
Reading,Bernard Peters (I),12345,12345,12345,12345,12345,27,24,23,61799,19.98%,19.98%,0.04%
Readsboro,Bernard Peters (I),12345,12345,12345,12345,12345,36,19,34,61814,19.97%,19.97%,0.06%
Richford,Bernard Peters (I),12345,12345,12345,12345,12345,29,30,19,61803,19.97%,19.97%,0.03%
Richmond,Bernard Peters (I),12345,12345,12345,12345,12345,14,34,16,61789,19.98%,19.98%,0.03%
Ripton,Bernard Peters (I),12345,12345,12345,12345,12345,27,18,13,61783,19.98%,19.98%,0.02%
Rochester,Bernard Peters (I),12345,12345,12345,12345,12345,20,25,18,61788,19.98%,19.98%,0.03%
Rockingham,Bernard Peters (I),12345,12345,12345,12345,12345,15,15,24,61779,19.98%,19.98%,0.04%
Roxbury,Bernard Peters (I),12345,12345,12345,12345,12345,19,13,22,61779,19.98%,19.98%,0.04%
Royalton,Bernard Peters (I),12345,12345,12345,12345,12345,24,25,31,61805,19.97%,19.97%,0.05%
Rupert,Bernard Peters (I),12345,12345,12345,12345,12345,25,20,27,61797,19.98%,19.98%,0.04%
Rutland City,Bernard Peters (I),49380,49380,49380,49380,49380,98,95,133,247226,19.97%,19.97%,0.05%
Rutland Town,Bernard Peters (I),24690,24690,24690,24690,24690,55,61,27,123593,19.98%,19.98%,0.02%
Ryegate,Bernard Peters (I),12345,12345,12345,12345,12345,13,7,18,61763,19.99%,19.99%,0.03%
Saint Albans City,Bernard Peters (I),24690,24690,24690,24690,24690,35,55,43,123583,19.98%,19.98%,0.03%
Saint Albans Town,Bernard Peters (I),24690,24690,24690,24690,24690,42,52,59,123603,19.98%,19.98%,0.05%
Saint George,Bernard Peters (I),12345,12345,12345,12345,12345,18,27,24,61794,19.98%,19.98%,0.04%
Saint Johnsbury,Bernard Peters (I),12345,12345,12345,12345,12345,29,21,11,61786,19.98%,19.98%,0.02%
Salisbury,Bernard Peters (I),12345,12345,12345,12345,12345,29,28,20,61802,19.98%,19.98%,0.03%
Sandgate,Bernard Peters (I),12345,12345,12345,12345,12345,28,24,21,61798,19.98%,19.98%,0.03%
Searsburg,Bernard Peters (I),12345,12345,12345,12345,12345,30,22,25,61802,19.98%,19.98%,0.04%
Shaftsbury,Bernard Peters (I),12345,12345,12345,12345,12345,22,20,27,61794,19.98%,19.98%,0.04%
Sharon,Bernard Peters (I),12345,12345,12345,12345,12345,13,20,26,61784,19.98%,19.98%,0.04%
Sheffield,Bernard Peters (I),12345,12345,12345,12345,12345,13,23,24,61785,19.98%,19.98%,0.04%
Shelburne,Bernard Peters (I),24690,24690,24690,24690,24690,49,46,36,123581,19.98%,19.98%,0.03%
Sheldon,Bernard Peters (I),12345,12345,12345,12345,12345,22,9,11,61767,19.99%,19.99%,0.02%
Shoreham,Bernard Peters (I),12345,12345,12345,12345,12345,37,29,22,61813,19.97%,19.97%,0.04%
Shrewsbury,Bernard Peters (I),12345,12345,12345,12345,12345,29,26,26,61806,19.97%,19.97%,0.04%
South Burlington,Bernard Peters (I),61725,61725,61725,61725,61725,143,118,145,309031,19.97%,19.97%,0.05%
South Hero,Bernard Peters (I),12345,12345,12345,12345,12345,38,34,23,61820,19.97%,19.97%,0.04%
Springfield,Bernard Peters (I),12345,12345,12345,12345,12345,25,25,24,61799,19.98%,19.98%,0.04%
Stamford,Bernard Peters (I),12345,12345,12345,12345,12345,30,27,20,61802,19.98%,19.98%,0.03%
Stannard,Bernard Peters (I),12345,12345,12345,12345,12345,18,22,17,61782,19.98%,19.98%,0.03%
Starksboro,Bernard Peters (I),12345,12345,12345,12345,12345,13,24,23,61785,19.98%,19.98%,0.04%
Stockbridge,Bernard Peters (I),12345,12345,12345,12345,12345,23,24,21,61793,19.98%,19.98%,0.03%
Stowe,Bernard Peters (I),24690,24690,24690,24690,24690,50,58,52,123610,19.97%,19.97%,0.04%
Strafford,Bernard Peters (I),12345,12345,12345,12345,12345,21,15,20,61781,19.98%,19.98%,0.03%
Stratton,Bernard Peters (I),12345,12345,12345,12345,12345,33,24,19,61801,19.98%,19.98%,0.03%
Sudbury,Bernard Peters (I),12345,12345,12345,12345,12345,17,19,33,61794,19.98%,19.98%,0.05%
Sunderland,Bernard Peters (I),24690,24690,24690,24690,24690,19,26,34,123529,19.99%,19.99%,0.03%
Sutton,Bernard Peters (I),12345,12345,12345,12345,12345,29,13,28,61795,19.98%,19.98%,0.05%
Swanton,Bernard Peters (I),12345,12345,12345,12345,12345,28,13,18,61784,19.98%,19.98%,0.03%
Thetford,Bernard Peters (I),12345,12345,12345,12345,12345,25,21,20,61791,19.98%,19.98%,0.03%
Tinmouth,Bernard Peters (I),12345,12345,12345,12345,12345,14,23,29,61791,19.98%,19.98%,0.05%
Topsham,Bernard Peters (I),12345,12345,12345,12345,12345,31,24,29,61809,19.97%,19.97%,0.05%
Townshend,Bernard Peters (I),12345,12345,12345,12345,12345,24,25,25,61799,19.98%,19.98%,0.04%
Troy,Bernard Peters (I),12345,12345,12345,12345,12345,33,21,13,61792,19.98%,19.98%,0.02%
Tunbridge,Bernard Peters (I),12345,12345,12345,12345,12345,28,30,31,61814,19.97%,19.97%,0.05%
Underhill,Bernard Peters (I),12345,12345,12345,12345,12345,29,24,21,61799,19.98%,19.98%,0.03%
Vergennes,Bernard Peters (I),12345,12345,12345,12345,12345,24,21,19,61789,19.98%,19.98%,0.03%
Vernon,Bernard Peters (I),12345,12345,12345,12345,12345,13,18,29,61785,19.98%,19.98%,0.05%
Vershire,Bernard Peters (I),12345,12345,12345,12345,12345,24,33,26,61808,19.97%,19.97%,0.04%
Victory,Bernard Peters (I),12345,12345,12345,12345,12345,34,21,22,61802,19.98%,19.98%,0.04%
Waitsfield,Bernard Peters (I),12345,12345,12345,12345,12345,18,24,17,61784,19.98%,19.98%,0.03%
Walden,Bernard Peters (I),12345,12345,12345,12345,12345,26,30,15,61796,19.98%,19.98%,0.02%
Wallingford,Bernard Peters (I),12345,12345,12345,12345,12345,36,30,12,61803,19.97%,19.97%,0.02%
Waltham,Bernard Peters (I),12345,12345,12345,12345,12345,18,16,21,61780,19.98%,19.98%,0.03%
Wardsboro,Bernard Peters (I),12345,12345,12345,12345,12345,27,31,25,61808,19.97%,19.97%,0.04%
Warren,Bernard Peters (I),12345,12345,12345,12345,12345,21,22,34,61802,19.98%,19.98%,0.06%
Washington,Bernard Peters (I),12345,12345,12345,12345,12345,28,25,20,61798,19.98%,19.98%,0.03%
Waterbury,Bernard Peters (I),12345,12345,12345,12345,12345,28,21,27,61801,19.98%,19.98%,0.04%
Waterford,Bernard Peters (I),12345,12345,12345,12345,12345,34,31,29,61819,19.97%,19.97%,0.05%
Waterville,Bernard Peters (I),12345,12345,12345,12345,12345,28,34,33,61820,19.97%,19.97%,0.05%
Weathersfield,Bernard Peters (I),12345,12345,12345,12345,12345,15,21,23,61784,19.98%,19.98%,0.04%
Wells,Bernard Peters (I),24690,24690,24690,24690,24690,52,31,29,123562,19.98%,19.98%,0.02%
West Fairlee,Bernard Peters (I),12345,12345,12345,12345,12345,20,40,20,61805,19.97%,19.97%,0.03%
West Haven,Bernard Peters (I),12345,12345,12345,12345,12345,22,17,36,61800,19.98%,19.98%,0.06%
West Rutland,Bernard Peters (I),12345,12345,12345,12345,12345,22,22,23,61792,19.98%,19.98%,0.04%
West Windsor,Bernard Peters (I),12345,12345,12345,12345,12345,20,26,38,61809,19.97%,19.97%,0.06%
Westfield,Bernard Peters (I),12345,12345,12345,12345,12345,23,17,21,61786,19.98%,19.98%,0.03%
Westford,Bernard Peters (I),12345,12345,12345,12345,12345,30,15,14,61784,19.98%,19.98%,0.02%
Westminster,Bernard Peters (I),12345,12345,12345,12345,12345,22,19,27,61793,19.98%,19.98%,0.04%
Westmore,Bernard Peters (I),12345,12345,12345,12345,12345,25,29,24,61803,19.97%,19.97%,0.04%
Weston,Bernard Peters (I),12345,12345,12345,12345,12345,26,29,11,61791,19.98%,19.98%,0.02%
Weybridge,Bernard Peters (I),12345,12345,12345,12345,12345,8,13,23,61769,19.99%,19.99%,0.04%
Wheelock,Bernard Peters (I),12345,12345,12345,12345,12345,20,13,22,61780,19.98%,19.98%,0.04%
Whiting,Bernard Peters (I),12345,12345,12345,12345,12345,19,11,17,61772,19.98%,19.98%,0.03%
Whitingham,Bernard Peters (I),12345,12345,12345,12345,12345,24,15,33,61797,19.98%,19.98%,0.05%
Williamstown,Bernard Peters (I),24690,24690,24690,24690,24690,43,40,61,123594,19.98%,19.98%,0.05%
Williston,Bernard Peters (I),24690,24690,24690,24690,24690,47,56,45,123598,19.98%,19.98%,0.04%
Wilmington,Bernard Peters (I),12345,12345,12345,12345,12345,28,32,22,61807,19.97%,19.97%,0.04%
Windham,Bernard Peters (I),12345,12345,12345,12345,12345,27,27,13,61792,19.98%,19.98%,0.02%
Windsor,Bernard Peters (I),12345,12345,12345,12345,12345,29,23,13,61790,19.98%,19.98%,0.02%
Winhall,Bernard Peters (I),12345,12345,12345,12345,12345,27,20,16,61788,19.98%,19.98%,0.03%
Winooski,Bernard Peters (I),12345,12345,12345,12345,12345,26,23,17,61791,19.98%,19.98%,0.03%
Wolcott,Bernard Peters (I),12345,12345,12345,12345,12345,17,29,32,61803,19.97%,19.97%,0.05%
Woodbury,Bernard Peters (I),12345,12345,12345,12345,12345,25,31,11,61792,19.98%,19.98%,0.02%
Woodford,Bernard Peters (I),12345,12345,12345,12345,12345,21,29,18,61793,19.98%,19.98%,0.03%
Woodstock,Bernard Peters (I),12345,12345,12345,12345,12345,14,20,25,61784,19.98%,19.98%,0.04%
Worcester,Bernard Peters (I),12345,12345,12345,12345,12345,19,31,24,61799,19.98%,19.98%,0.04%
