City/Town,Leading Candidate,Donald J. Trump and JD Vance (R),Kamala D. Harris and Tim Walz (D),Write-Ins,Blanks,OverVotes,Total Votes Cast,Donald J. Trump and JD Vance (R) Percent Votes Cast,Kamala D. Harris and Tim Walz (D) Percent Votes Cast,OverVotes Percent
Castleton,Donald J. Trump and JD Vance (R),46,5,29,47,26,530,8.68%,0.94%,4.91%
Cavendish,Kamala D. Harris and Tim Walz (D),4,36,17,39,34,401,1.00%,8.98%,8.48%
Charleston,Donald J. Trump and JD Vance (R),80,40,34,38,24,466,17.17%,8.58%,5.15%
Charlotte,Donald J. Trump and JD Vance (R),66,51,33,19,40,453,14.57%,11.26%,8.83%
Chelsea,Kamala D. Harris and Tim Walz (D),90,94,25,33,44,583,15.44%,16.12%,7.55%
Chester,Kamala D. Harris and Tim Walz (D),38,84,34,33,36,476,7.98%,17.65%,7.56%
Chittenden,Kamala D. Harris and Tim Walz (D),39,81,21,32,16,490,7.96%,16.53%,3.27%
Clarendon,Donald J. Trump and JD Vance (R),85,5,31,35,43,389,21.85%,1.29%,11.05%
Colchester,Donald J. Trump and JD Vance (R),207,167,87,88,112,1500,13.80%,11.13%,7.47%
Concord,Kamala D. Harris and Tim Walz (D),58,106,27,32,41,475,12.21%,22.32%,8.63%
Corinth,Kamala D. Harris and Tim Walz (D),83,101,30,35,33,621,13.37%,16.26%,5.31%
Cornwall,Kamala D. Harris and Tim Walz (D),56,85,28,38,34,467,11.99%,18.20%,7.28%
Coventry,Donald J. Trump and JD Vance (R),94,58,23,24,30,533,17.64%,10.88%,5.63%
Craftsbury,Donald J. Trump and JD Vance (R),106,63,17,26,33,442,23.98%,14.25%,7.47%
Danby,Donald J. Trump and JD Vance (R),81,51,51,47,32,477,16.98%,10.69%,6.71%
Danville,Kamala D. Harris and Tim Walz (D),2,28,20,48,35,341,0.59%,8.21%,10.26%
Derby,Kamala D. Harris and Tim Walz (D),67,95,45,34,38,593,11.30%,16.02%,6.41%
Dorset,Kamala D. Harris and Tim Walz (D),82,84,35,28,40,500,16.40%,16.80%,8.00%
Dover,Donald J. Trump and JD Vance (R),53,24,28,45,23,434,12.21%,5.53%,5.30%
Dummerston,Donald J. Trump and JD Vance (R),42,34,35,34,30,325,12.92%,10.46%,9.23%
Duxbury,Kamala D. Harris and Tim Walz (D),47,75,43,24,35,364,12.91%,20.60%,9.62%
East Haven,Donald J. Trump and JD Vance (R),77,33,31,33,39,457,16.85%,7.22%,8.53%
East Montpelier,Kamala D. Harris and Tim Walz (D),51,63,18,23,26,455,11.21%,13.85%,5.71%
Eden,Kamala D. Harris and Tim Walz (D),8,63,23,52,28,516,1.55%,12.21%,5.43%
Elmore,Kamala D. Harris and Tim Walz (D),42,52,48,22,29,371,11.32%,14.02%,7.82%
Enosburgh,Kamala D. Harris and Tim Walz (D),10,60,29,35,33,469,2.13%,12.79%,7.04%
Essex Junction,Donald J. Trump and JD Vance (R),91,50,70,63,41,911,9.99%,5.49%,4.50%
Essex,Kamala D. Harris and Tim Walz (D),95,105,59,78,73,976,9.73%,10.76%,7.48%
Fair Haven,Kamala D. Harris and Tim Walz (D),27,69,36,51,24,353,7.65%,19.55%,6.80%
Fairfax,Donald J. Trump and JD Vance (R),58,8,13,19,32,303,19.14%,2.64%,10.56%
Fairfield,Kamala D. Harris and Tim Walz (D),40,92,35,19,30,503,7.95%,18.29%,5.96%
Fairlee,Kamala D. Harris and Tim Walz (D),6,20,24,30,22,356,1.69%,5.62%,6.18%
Fayston,Donald J. Trump and JD Vance (R),40,23,32,27,33,413,9.69%,5.57%,7.99%
Ferrisburgh,Donald J. Trump and JD Vance (R),85,61,32,14,34,454,18.72%,13.44%,7.49%
Fletcher,Kamala D. Harris and Tim Walz (D),19,92,30,43,32,417,4.56%,22.06%,7.67%
Franklin,Kamala D. Harris and Tim Walz (D),4,15,36,34,35,290,1.38%,5.17%,12.07%
Georgia,Donald J. Trump and JD Vance (R),126,107,58,55,58,1018,12.38%,10.51%,5.70%
Glover,Kamala D. Harris and Tim Walz (D),53,97,32,38,31,504,10.52%,19.25%,6.15%
Goshen,Kamala D. Harris and Tim Walz (D),27,49,30,38,38,291,9.28%,16.84%,13.06%
Grafton,Donald J. Trump and JD Vance (R),77,13,17,38,29,421,18.29%,3.09%,6.89%
Granby,Kamala D. Harris and Tim Walz (D),9,79,43,36,21,370,2.43%,21.35%,5.68%
Grand Isle,Kamala D. Harris and Tim Walz (D),11,63,30,22,42,403,2.73%,15.63%,10.42%
Granville,Kamala D. Harris and Tim Walz (D),39,82,20,34,45,452,8.63%,18.14%,9.96%
Greensboro,Donald J. Trump and JD Vance (R),19,17,32,38,29,274,6.93%,6.20%,10.58%
Groton,Donald J. Trump and JD Vance (R),53,3,41,36,35,428,12.38%,0.70%,8.18%
Guildhall,Donald J. Trump and JD Vance (R),41,34,35,31,34,378,10.85%,8.99%,8.99%
Guilford,Kamala D. Harris and Tim Walz (D),55,69,40,38,41,394,13.96%,17.51%,10.41%
Halifax,Donald J. Trump and JD Vance (R),71,45,30,28,24,438,16.21%,10.27%,5.48%
Hancock,Donald J. Trump and JD Vance (R),109,26,33,43,36,515,21.17%,5.05%,6.99%
Hardwick,Donald J. Trump and JD Vance (R),106,73,43,35,32,588,18.03%,12.41%,5.44%
Hartford,Donald J. Trump and JD Vance (R),143,124,38,73,70,884,16.18%,14.03%,7.92%
Hartland,Donald J. Trump and JD Vance (R),72,71,42,33,43,536,13.43%,13.25%,8.02%
Highgate,Donald J. Trump and JD Vance (R),56,26,27,26,26,257,21.79%,10.12%,10.12%
Hinesburg,Donald J. Trump and JD Vance (R),113,69,64,97,69,745,15.17%,9.26%,9.26%
Holland,Kamala D. Harris and Tim Walz (D),16,80,41,28,16,573,2.79%,13.96%,2.79%
Hubbardton,Donald J. Trump and JD Vance (R),101,23,32,38,32,505,20.00%,4.55%,6.34%
Huntington,Kamala D. Harris and Tim Walz (D),37,56,29,39,31,436,8.49%,12.84%,7.11%
Hyde Park,Kamala D. Harris and Tim Walz (D),49,98,38,25,27,561,8.73%,17.47%,4.81%
Ira,Kamala D. Harris and Tim Walz (D),21,32,34,31,37,401,5.24%,7.98%,9.23%
Irasburg,Kamala D. Harris and Tim Walz (D),37,69,36,33,26,354,10.45%,19.49%,7.34%
Isle La Motte,Donald J. Trump and JD Vance (R),108,82,30,38,37,442,24.43%,18.55%,8.37%
Jamaica,Donald J. Trump and JD Vance (R),96,36,34,31,23,463,20.73%,7.78%,4.97%
Jay,Kamala D. Harris and Tim Walz (D),11,15,39,37,30,420,2.62%,3.57%,7.14%
Jericho,Kamala D. Harris and Tim Walz (D),62,88,34,22,36,440,14.09%,20.00%,8.18%
Johnson,Donald J. Trump and JD Vance (R),62,30,28,21,39,347,17.87%,8.65%,11.24%
Killington,Donald J. Trump and JD Vance (R),68,36,34,29,27,560,12.14%,6.43%,4.82%
Kirby,Donald J. Trump and JD Vance (R),94,92,30,32,34,542,17.34%,16.97%,6.27%
Landgrove,Donald J. Trump and JD Vance (R),107,5,35,39,46,420,25.48%,1.19%,10.95%
Leicester,Donald J. Trump and JD Vance (R),78,24,48,37,40,587,13.29%,4.09%,6.81%
Lemington,Donald J. Trump and JD Vance (R),52,8,35,32,38,314,16.56%,2.55%,12.10%
Lincoln,Kamala D. Harris and Tim Walz (D),6,62,41,32,38,490,1.22%,12.65%,7.76%
Londonderry,Kamala D. Harris and Tim Walz (D),85,85,27,24,44,566,15.02%,15.02%,7.77%
Lowell,Donald J. Trump and JD Vance (R),71,40,36,34,23,492,14.43%,8.13%,4.67%
Ludlow,Kamala D. Harris and Tim Walz (D),68,80,30,38,37,548,12.41%,14.60%,6.75%
Lunenburg,Kamala D. Harris and Tim Walz (D),24,25,30,26,19,381,6.30%,6.56%,4.99%
Lyndon,Donald J. Trump and JD Vance (R),59,9,38,14,34,409,14.43%,2.20%,8.31%
Maidstone,Donald J. Trump and JD Vance (R),83,82,30,37,41,450,18.44%,18.22%,9.11%
Manchester,Donald J. Trump and JD Vance (R),87,60,28,29,36,482,18.05%,12.45%,7.47%
Marlboro,Donald J. Trump and JD Vance (R),76,22,21,26,39,386,19.69%,5.70%,10.10%
Marshfield,Donald J. Trump and JD Vance (R),38,28,30,27,29,268,14.18%,10.45%,10.82%
Mendon,Donald J. Trump and JD Vance (R),77,66,43,29,38,412,18.69%,16.02%,9.22%
Middlebury,Donald J. Trump and JD Vance (R),141,33,69,47,72,719,19.61%,4.59%,10.01%
Middlesex,Kamala D. Harris and Tim Walz (D),21,48,43,43,46,341,6.16%,14.08%,13.49%
Middletown Springs,Kamala D. Harris and Tim Walz (D),23,61,26,45,37,391,5.88%,15.60%,9.46%
Milton,Kamala D. Harris and Tim Walz (D),159,254,100,116,87,1404,11.32%,18.09%,6.20%
Monkton,Donald J. Trump and JD Vance (R),26,20,38,25,26,433,6.00%,4.62%,6.00%
Montgomery,Donald J. Trump and JD Vance (R),20,7,40,23,35,487,4.11%,1.44%,7.19%
Montpelier,Donald J. Trump and JD Vance (R),97,52,35,43,28,471,20.59%,11.04%,5.94%
Moretown,Kamala D. Harris and Tim Walz (D),18,20,22,30,22,339,5.31%,5.90%,6.49%
Morgan,Kamala D. Harris and Tim Walz (D),20,82,33,26,24,528,3.79%,15.53%,4.55%
Morristown,Kamala D. Harris and Tim Walz (D),63,77,46,30,35,608,10.36%,12.66%,5.76%
Mount Holly,Donald J. Trump and JD Vance (R),73,18,27,22,23,449,16.26%,4.01%,5.12%
Mount Tabor,Donald J. Trump and JD Vance (R),83,10,32,42,30,424,19.58%,2.36%,7.08%
New Haven,Donald J. Trump and JD Vance (R),83,79,60,78,65,890,9.33%,8.88%,7.30%
Newark,Donald J. Trump and JD Vance (R),106,51,25,35,34,469,22.60%,10.87%,7.25%
Newbury,Donald J. Trump and JD Vance (R),89,23,35,28,26,448,19.87%,5.13%,5.80%
Newfane,Donald J. Trump and JD Vance (R),69,11,30,27,30,459,15.03%,2.40%,6.54%
Newport City,Kamala D. Harris and Tim Walz (D),3,104,37,41,41,473,0.63%,21.99%,8.67%
Newport Town,Donald J. Trump and JD Vance (R),65,57,43,51,29,515,12.62%,11.07%,5.63%
North Hero,Donald J. Trump and JD Vance (R),38,28,40,50,33,446,8.52%,6.28%,7.40%
Northfield,Kamala D. Harris and Tim Walz (D),55,77,31,46,31,502,10.96%,15.34%,6.18%
Norton,Donald J. Trump and JD Vance (R),77,52,31,18,32,338,22.78%,15.38%,9.47%
Norwich,Donald J. Trump and JD Vance (R),108,13,32,32,35,356,30.34%,3.65%,9.83%
Orange,Kamala D. Harris and Tim Walz (D),15,95,35,35,33,487,3.08%,19.51%,6.78%
Orwell,Kamala D. Harris and Tim Walz (D),78,104,38,26,46,508,15.35%,20.47%,9.06%
Panton,Donald J. Trump and JD Vance (R),104,7,47,43,34,549,18.94%,1.28%,6.19%
Pawlet,Kamala D. Harris and Tim Walz (D),18,30,44,42,45,370,4.86%,8.11%,12.16%
Peacham,Kamala D. Harris and Tim Walz (D),20,64,27,25,34,445,4.49%,14.38%,7.64%
Peru,Kamala D. Harris and Tim Walz (D),15,40,29,27,14,295,5.08%,13.56%,4.75%
Pittsfield,Donald J. Trump and JD Vance (R),61,9,39,23,31,400,15.25%,2.25%,7.75%
Pittsford,Kamala D. Harris and Tim Walz (D),4,85,23,26,28,321,1.25%,26.48%,8.72%
Plainfield,Kamala D. Harris and Tim Walz (D),26,42,24,38,37,346,7.51%,12.14%,10.69%
Plymouth,Kamala D. Harris and Tim Walz (D),75,95,36,31,32,488,15.37%,19.47%,6.56%
Pomfret,Donald J. Trump and JD Vance (R),51,20,37,33,31,376,13.56%,5.32%,8.24%
Poultney,Donald J. Trump and JD Vance (R),38,4,45,36,32,456,8.33%,0.88%,7.02%
Pownal,Kamala D. Harris and Tim Walz (D),133,158,74,51,61,956,13.91%,16.53%,6.38%
Proctor,Donald J. Trump and JD Vance (R),71,63,37,21,32,579,12.26%,10.88%,5.53%
Putney,Kamala D. Harris and Tim Walz (D),15,72,30,31,22,357,4.20%,20.17%,6.16%
Randolph,Kamala D. Harris and Tim Walz (D),19,19,38,23,30,439,4.33%,4.33%,6.83%
Reading,Kamala D. Harris and Tim Walz (D),25,103,33,26,45,492,5.08%,20.93%,9.15%
Readsboro,Donald J. Trump and JD Vance (R),70,35,41,47,51,528,13.26%,6.63%,9.66%
Richford,Kamala D. Harris and Tim Walz (D),25,49,35,35,34,393,6.36%,12.47%,8.65%
Richmond,Donald J. Trump and JD Vance (R),57,52,33,37,30,525,10.86%,9.90%,5.71%
Ripton,Kamala D. Harris and Tim Walz (D),67,69,23,31,32,508,13.19%,13.58%,6.30%
Rochester,Kamala D. Harris and Tim Walz (D),9,56,32,46,45,468,1.92%,11.97%,9.62%
Rockingham,Donald J. Trump and JD Vance (R),88,76,32,36,29,524,16.79%,14.50%,5.53%
Roxbury,Kamala D. Harris and Tim Walz (D),33,77,32,25,36,314,10.51%,24.52%,11.46%
Royalton,Donald J. Trump and JD Vance (R),91,62,28,30,31,581,15.66%,10.67%,5.34%
Rupert,Donald J. Trump and JD Vance (R),68,9,41,28,40,526,12.93%,1.71%,7.60%
Rutland City,Kamala D. Harris and Tim Walz (D),108,267,127,140,151,1716,6.29%,15.56%,8.80%
Rutland Town,Donald J. Trump and JD Vance (R),126,59,51,67,81,910,13.85%,6.48%,8.90%
Ryegate,Donald J. Trump and JD Vance (R),88,69,35,36,48,478,18.41%,14.44%,10.04%
Saint Albans City,Donald J. Trump and JD Vance (R),124,76,37,74,68,908,13.66%,8.37%,7.49%
Saint Albans Town,Donald J. Trump and JD Vance (R),100,56,76,55,57,839,11.92%,6.67%,6.79%
Saint George,Kamala D. Harris and Tim Walz (D),10,18,38,25,38,392,2.55%,4.59%,9.69%
Saint Johnsbury,Kamala D. Harris and Tim Walz (D),1,28,38,44,30,439,0.23%,6.38%,6.83%
Salisbury,Donald J. Trump and JD Vance (R),31,17,21,38,30,407,7.62%,4.18%,7.37%
Sandgate,Kamala D. Harris and Tim Walz (D),35,77,28,36,36,457,7.66%,16.85%,7.88%
Searsburg,Kamala D. Harris and Tim Walz (D),20,92,41,39,39,548,3.65%,16.79%,7.12%
Shaftsbury,Donald J. Trump and JD Vance (R),103,25,35,41,40,520,19.81%,4.81%,7.69%
Sharon,Donald J. Trump and JD Vance (R),61,60,14,27,43,473,12.90%,12.68%,9.09%
Sheffield,Donald J. Trump and JD Vance (R),93,15,32,27,25,440,21.14%,3.41%,5.68%
Shelburne,Kamala D. Harris and Tim Walz (D),50,137,74,68,65,878,5.69%,15.60%,7.40%
Sheldon,Kamala D. Harris and Tim Walz (D),52,78,19,30,42,587,8.86%,13.29%,7.16%
Shoreham,Kamala D. Harris and Tim Walz (D),48,60,37,29,40,510,9.41%,11.76%,7.84%
Shrewsbury,Donald J. Trump and JD Vance (R),69,8,39,30,41,492,14.02%,1.63%,8.33%
South Burlington,Kamala D. Harris and Tim Walz (D),204,342,159,165,157,2235,9.13%,15.30%,7.02%
South Hero,Kamala D. Harris and Tim Walz (D),39,56,22,42,31,501,7.78%,11.18%,6.19%
Springfield,Kamala D. Harris and Tim Walz (D),2,68,36,33,38,403,0.50%,16.87%,9.43%
Stamford,Kamala D. Harris and Tim Walz (D),25,94,34,43,29,455,5.49%,20.66%,6.37%
Stannard,Kamala D. Harris and Tim Walz (D),7,77,29,32,33,326,2.15%,23.62%,10.12%
Starksboro,Donald J. Trump and JD Vance (R),75,6,42,26,31,501,14.97%,1.20%,6.19%
Stockbridge,Kamala D. Harris and Tim Walz (D),11,53,25,32,29,430,2.56%,12.33%,6.74%
Stowe,Kamala D. Harris and Tim Walz (D),11,89,44,64,50,854,1.29%,10.42%,5.85%
Strafford,Donald J. Trump and JD Vance (R),89,71,42,29,26,503,17.69%,14.12%,5.17%
Stratton,Donald J. Trump and JD Vance (R),75,42,33,34,39,465,16.13%,9.03%,8.39%
Sudbury,Donald J. Trump and JD Vance (R),66,44,22,40,17,475,13.89%,9.26%,3.58%
Sunderland,Donald J. Trump and JD Vance (R),103,46,62,63,63,828,12.44%,5.56%,7.61%
Sutton,Donald J. Trump and JD Vance (R),52,23,31,39,13,382,13.61%,6.02%,3.40%
Swanton,Kamala D. Harris and Tim Walz (D),41,45,28,29,25,507,8.09%,8.88%,4.93%
Thetford,Donald J. Trump and JD Vance (R),75,40,49,31,30,538,13.94%,7.43%,5.58%
Tinmouth,Donald J. Trump and JD Vance (R),67,24,42,35,40,372,18.01%,6.45%,10.75%
Topsham,Kamala D. Harris and Tim Walz (D),29,107,32,22,35,405,7.16%,26.42%,8.64%
Townshend,Kamala D. Harris and Tim Walz (D),15,45,20,42,26,365,4.11%,12.33%,7.12%
Troy,Kamala D. Harris and Tim Walz (D),75,82,24,25,27,564,13.30%,14.54%,4.79%
Tunbridge,Kamala D. Harris and Tim Walz (D),39,51,40,27,28,405,9.63%,12.59%,6.91%
Underhill,Kamala D. Harris and Tim Walz (D),11,50,26,38,24,425,2.59%,11.76%,5.65%
Vergennes,Donald J. Trump and JD Vance (R),89,29,21,35,37,622,14.31%,4.66%,5.95%
Vernon,Kamala D. Harris and Tim Walz (D),15,37,34,26,39,443,3.39%,8.35%,8.80%
Vershire,Donald J. Trump and JD Vance (R),88,42,36,31,41,469,18.76%,8.96%,8.74%
Victory,Donald J. Trump and JD Vance (R),82,52,27,24,31,489,16.77%,10.63%,6.34%
Waitsfield,Donald J. Trump and JD Vance (R),55,25,25,40,41,331,16.62%,7.55%,12.39%
Walden,Kamala D. Harris and Tim Walz (D),18,60,36,39,41,436,4.13%,13.76%,9.40%
Wallingford,Donald J. Trump and JD Vance (R),103,69,21,32,32,554,18.59%,12.45%,5.78%
Waltham,Kamala D. Harris and Tim Walz (D),32,32,31,22,42,449,7.13%,7.13%,9.35%
Wardsboro,Kamala D. Harris and Tim Walz (D),29,35,20,27,29,420,6.90%,8.33%,6.90%
Warren,Donald J. Trump and JD Vance (R),80,76,19,39,29,532,15.04%,14.29%,5.45%
Washington,Donald J. Trump and JD Vance (R),97,86,22,35,39,597,16.25%,14.41%,6.53%
Waterbury,Kamala D. Harris and Tim Walz (D),13,38,25,28,26,427,3.04%,8.90%,6.09%
Waterford,Kamala D. Harris and Tim Walz (D),27,47,33,40,19,493,5.48%,9.53%,3.85%
Waterville,Donald J. Trump and JD Vance (R),107,77,30,36,41,509,21.02%,15.13%,8.06%
Weathersfield,Kamala D. Harris and Tim Walz (D),3,73,46,44,39,426,0.70%,17.14%,9.15%
Wells,Donald J. Trump and JD Vance (R),95,41,61,73,75,901,10.54%,4.55%,8.32%
West Fairlee,Donald J. Trump and JD Vance (R),45,15,22,32,39,369,12.20%,4.07%,10.57%
West Haven,Donald J. Trump and JD Vance (R),76,46,30,33,33,418,18.18%,11.00%,7.89%
West Rutland,Donald J. Trump and JD Vance (R),66,30,36,46,46,557,11.85%,5.39%,8.26%
West Windsor,Donald J. Trump and JD Vance (R),95,20,37,19,37,423,22.46%,4.73%,8.75%
Westfield,Kamala D. Harris and Tim Walz (D),38,80,24,29,28,447,8.50%,17.90%,6.26%
Westford,Donald J. Trump and JD Vance (R),53,23,29,42,23,455,11.65%,5.05%,5.05%
Westminster,Kamala D. Harris and Tim Walz (D),11,15,26,32,35,342,3.22%,4.39%,10.23%
Westmore,Donald J. Trump and JD Vance (R),22,18,28,32,27,432,5.09%,4.17%,6.25%
Weston,Donald J. Trump and JD Vance (R),106,2,30,35,47,488,21.72%,0.41%,9.63%
Weybridge,Kamala D. Harris and Tim Walz (D),25,54,24,40,35,563,4.44%,9.59%,6.22%
Wheelock,Kamala D. Harris and Tim Walz (D),16,50,35,38,38,424,3.77%,11.79%,8.96%
Whiting,Donald J. Trump and JD Vance (R),81,2,30,35,29,421,19.24%,0.48%,6.89%
Whitingham,Donald J. Trump and JD Vance (R),81,9,44,32,21,485,16.70%,1.86%,4.33%
Williamstown,Donald J. Trump and JD Vance (R),129,76,62,68,55,887,14.54%,8.57%,6.20%
Williston,Donald J. Trump and JD Vance (R),88,69,60,62,59,891,9.88%,7.74%,6.62%
Wilmington,Kamala D. Harris and Tim Walz (D),21,89,37,26,35,510,4.12%,17.45%,6.86%
Windham,Donald J. Trump and JD Vance (R),28,27,36,18,38,343,8.16%,7.87%,11.08%
Windsor,Donald J. Trump and JD Vance (R),106,9,28,35,27,522,20.31%,1.72%,5.17%
Winhall,Donald J. Trump and JD Vance (R),48,47,26,29,35,341,14.08%,13.78%,10.26%
Winooski,Kamala D. Harris and Tim Walz (D),78,91,44,13,36,556,14.03%,16.37%,6.47%
Wolcott,Kamala D. Harris and Tim Walz (D),25,26,33,30,17,383,6.53%,6.79%,4.44%
Woodbury,Kamala D. Harris and Tim Walz (D),64,106,35,31,31,580,11.03%,18.28%,5.34%
Woodford,Donald J. Trump and JD Vance (R),53,9,28,34,38,282,18.79%,3.19%,13.48%
Woodstock,Kamala D. Harris and Tim Walz (D),83,97,32,25,39,385,21.56%,25.19%,10.13%
Worcester,Donald J. Trump and JD Vance (R),87,81,31,43,28,538,16.17%,15.06%,5.20%
