City/Town,Leading Candidate,Zachary Hampl (P),Write-Ins,Blanks,Overvotes,Total Votes Cast,Zachary Hampl (P) Percent Votes Cast,Overvotes Percent
Mount Tabor,Zachary Hampl (P),34,6,10,3,53,64.15%,5.66%
New Haven,Zachary Hampl (P),185,8,6,8,207,89.37%,3.86%
Newark,Zachary Hampl (P),30,3,3,8,44,68.18%,18.18%
Newbury,Zachary Hampl (P),3,5,5,1,14,21.43%,7.14%
Newfane,Zachary Hampl (P),37,2,3,8,50,74.00%,16.00%
Newport City,Zachary Hampl (P),77,3,4,5,89,86.52%,5.62%
Newport Town,Zachary Hampl (P),53,1,8,1,63,84.13%,1.59%
North Hero,Zachary Hampl (P),82,8,8,1,99,82.83%,1.01%
Northfield,Zachary Hampl (P),77,1,0,3,81,95.06%,3.70%
Norton,Zachary Hampl (P),21,9,3,2,35,60.00%,5.71%
Norwich,Zachary Hampl (P),28,1,4,6,39,71.79%,15.38%
Orange,Zachary Hampl (P),70,6,1,3,80,87.50%,3.75%
Orwell,Zachary Hampl (P),50,7,2,6,65,76.92%,9.23%
Panton,Zachary Hampl (P),63,6,1,3,73,86.30%,4.11%
Pawlet,Zachary Hampl (P),28,0,0,8,36,77.78%,22.22%
Peacham,Zachary Hampl (P),95,9,6,2,112,84.82%,1.79%
Peru,Zachary Hampl (P),73,10,3,10,96,76.04%,10.42%
Pittsfield,Zachary Hampl (P),64,6,1,5,76,84.21%,6.58%
Pittsford,Zachary Hampl (P),75,1,5,4,85,88.24%,4.71%
Plainfield,Zachary Hampl (P),20,6,10,5,41,48.78%,12.20%
Plymouth,Zachary Hampl (P),11,1,3,9,24,45.83%,37.50%
Pomfret,Zachary Hampl (P),80,1,1,8,90,88.89%,8.89%
Poultney,Zachary Hampl (P),106,7,4,3,120,88.33%,2.50%
Pownal,Zachary Hampl (P),76,7,2,2,87,87.36%,2.30%
Proctor,Zachary Hampl (P),77,2,7,1,87,88.51%,1.15%
Putney,Zachary Hampl (P),65,2,8,1,76,85.53%,1.32%
Randolph,Zachary Hampl (P),16,1,1,5,23,69.57%,21.74%
Reading,Zachary Hampl (P),33,2,0,3,38,86.84%,7.89%
Readsboro,Zachary Hampl (P),1,6,5,1,13,7.69%,7.69%
Richford,Zachary Hampl (P),34,4,8,1,47,72.34%,2.13%
Richmond,Zachary Hampl (P),28,2,1,4,35,80.00%,11.43%
Ripton,Zachary Hampl (P),9,2,0,6,17,52.94%,35.29%
Rochester,Zachary Hampl (P),8,9,7,5,29,27.59%,17.24%
Rockingham,Zachary Hampl (P),86,8,2,4,100,86.00%,4.00%
Roxbury,Zachary Hampl (P),38,5,0,9,52,73.08%,17.31%
Royalton,Zachary Hampl (P),29,6,1,1,37,78.38%,2.70%
Rupert,Zachary Hampl (P),68,1,5,1,75,90.67%,1.33%
Rutland City,Zachary Hampl (P),249,9,5,7,270,92.22%,2.59%
Rutland Town,Zachary Hampl (P),149,6,7,8,170,87.65%,4.71%
Ryegate,Zachary Hampl (P),21,2,1,3,27,77.78%,11.11%
Saint Albans City,Zachary Hampl (P),46,10,6,3,65,70.77%,4.62%
Saint Albans Town,Zachary Hampl (P),131,8,2,6,147,89.12%,4.08%
Saint George,Zachary Hampl (P),36,1,1,6,44,81.82%,13.64%
Saint Johnsbury,Zachary Hampl (P),68,8,9,8,93,73.12%,8.60%
Salisbury,Zachary Hampl (P),5,4,5,3,17,29.41%,17.65%
Sandgate,Zachary Hampl (P),77,8,1,4,90,85.56%,4.44%
Searsburg,Zachary Hampl (P),90,5,1,6,102,88.24%,5.88%
Shaftsbury,Zachary Hampl (P),33,2,4,2,41,80.49%,4.88%
Sharon,Zachary Hampl (P),23,2,9,7,41,56.10%,17.07%
Sheffield,Zachary Hampl (P),102,1,8,8,119,85.71%,6.72%
Shelburne,Zachary Hampl (P),22,10,7,7,46,47.83%,15.22%
Sheldon,Zachary Hampl (P),41,6,1,8,56,73.21%,14.29%
Shoreham,Zachary Hampl (P),3,1,3,4,11,27.27%,36.36%
Shrewsbury,Zachary Hampl (P),77,3,7,5,92,83.70%,5.43%
South Burlington,Zachary Hampl (P),338,8,4,10,360,93.89%,2.78%
South Hero,Zachary Hampl (P),88,2,1,6,97,90.72%,6.19%
Springfield,Zachary Hampl (P),18,5,1,9,33,54.55%,27.27%
Stamford,Zachary Hampl (P),62,7,8,8,85,72.94%,9.41%
Stannard,Zachary Hampl (P),74,1,6,8,89,83.15%,8.99%
Starksboro,Zachary Hampl (P),81,0,6,0,87,93.10%,0.00%
Stockbridge,Zachary Hampl (P),40,8,2,1,51,78.43%,1.96%
Stowe,Zachary Hampl (P),41,8,6,8,63,65.08%,12.70%
Strafford,Zachary Hampl (P),49,10,3,8,70,70.00%,11.43%
Stratton,Zachary Hampl (P),74,4,7,4,89,83.15%,4.49%
Sudbury,Zachary Hampl (P),78,7,1,6,92,84.78%,6.52%
Sunderland,Zachary Hampl (P),73,9,10,6,98,74.49%,6.12%
Sutton,Zachary Hampl (P),29,2,2,7,40,72.50%,17.50%
Swanton,Zachary Hampl (P),21,0,10,6,37,56.76%,16.22%
Thetford,Zachary Hampl (P),26,3,3,8,40,65.00%,20.00%
Tinmouth,Zachary Hampl (P),87,8,8,3,106,82.08%,2.83%
Topsham,Zachary Hampl (P),8,1,2,10,21,38.10%,47.62%
Townshend,Zachary Hampl (P),24,4,1,1,30,80.00%,3.33%
Troy,Zachary Hampl (P),68,8,5,0,81,83.95%,0.00%
Tunbridge,Zachary Hampl (P),85,0,6,1,92,92.39%,1.09%
Underhill,Zachary Hampl (P),24,8,6,3,41,58.54%,7.32%
Vergennes,Zachary Hampl (P),93,7,3,1,104,89.42%,0.96%
Vernon,Zachary Hampl (P),105,0,1,8,114,92.11%,7.02%
Vershire,Zachary Hampl (P),55,0,1,1,57,96.49%,1.75%
Victory,Zachary Hampl (P),93,8,4,1,106,87.74%,0.94%
Waitsfield,Zachary Hampl (P),39,8,1,4,52,75.00%,7.69%
Walden,Zachary Hampl (P),51,7,2,4,64,79.69%,6.25%
Wallingford,Zachary Hampl (P),44,1,7,7,59,74.58%,11.86%
Waltham,Zachary Hampl (P),21,6,9,2,38,55.26%,5.26%
Wardsboro,Zachary Hampl (P),29,10,1,1,41,70.73%,2.44%
Warren,Zachary Hampl (P),79,2,7,7,95,83.16%,7.37%
Washington,Zachary Hampl (P),90,3,6,5,104,86.54%,4.81%
Waterbury,Zachary Hampl (P),64,7,8,7,86,74.42%,8.14%
Waterford,Zachary Hampl (P),79,2,5,4,90,87.78%,4.44%
Waterville,Zachary Hampl (P),23,0,1,2,26,88.46%,7.69%
Weathersfield,Zachary Hampl (P),55,5,1,1,62,88.71%,1.61%
Wells,Zachary Hampl (P),85,10,10,4,109,77.98%,3.67%
West Fairlee,Zachary Hampl (P),15,1,3,5,24,62.50%,20.83%
West Haven,Zachary Hampl (P),70,8,1,7,86,81.40%,8.14%
West Rutland,Zachary Hampl (P),25,4,6,7,42,59.52%,16.67%
West Windsor,Zachary Hampl (P),28,10,8,4,50,56.00%,8.00%
Westfield,Zachary Hampl (P),29,0,10,1,40,72.50%,2.50%
Westford,Zachary Hampl (P),28,4,3,10,45,62.22%,22.22%
Westminster,Zachary Hampl (P),71,1,1,4,77,92.21%,5.19%
Westmore,Zachary Hampl (P),98,9,1,1,109,89.91%,0.92%
Weston,Zachary Hampl (P),12,8,2,5,27,44.44%,18.52%
Weybridge,Zachary Hampl (P),69,4,8,7,88,78.41%,7.95%
Wheelock,Zachary Hampl (P),69,1,10,6,86,80.23%,6.98%
Whiting,Zachary Hampl (P),77,3,10,1,91,84.62%,1.10%
Whitingham,Zachary Hampl (P),2,5,1,6,14,14.29%,42.86%
Williamstown,Zachary Hampl (P),146,10,10,3,169,86.39%,1.78%
Williston,Zachary Hampl (P),159,7,6,6,178,89.33%,3.37%
Wilmington,Zachary Hampl (P),6,1,0,8,15,40.00%,53.33%
Windham,Zachary Hampl (P),23,6,8,3,40,57.50%,7.50%
Windsor,Zachary Hampl (P),3,8,9,1,21,14.29%,4.76%
Winhall,Zachary Hampl (P),26,1,1,8,36,72.22%,22.22%
Winooski,Zachary Hampl (P),90,2,1,8,101,89.11%,7.92%
Wolcott,Zachary Hampl (P),54,8,5,8,75,72.00%,10.67%
Woodbury,Zachary Hampl (P),26,8,0,5,39,66.67%,12.82%
Woodford,Zachary Hampl (P),73,10,7,4,94,77.66%,4.26%
Woodstock,Zachary Hampl (P),73,8,0,5,86,84.88%,5.81%
Worcester,Zachary Hampl (P),65,2,6,4,77,84.42%,5.19%
