id,town,county,district,registered_voters,absentee_ballots,accessible_voting_system,defective_ballots,counted_ballots,provisional_ballots,total_ballots_cast,absentee_percent,counted_ballots_percent,turnout
105,Hartland,,,2972,154,0,0,736,0,0,5.18%,24.76%,0.00%
106,Highgate,,,2557,91,0,0,335,0,0,3.56%,13.10%,0.00%
107,Hinesburg,,,71,5,0,0,17,0,0,7.04%,23.94%,0.00%
108,Holland,,,475,15,2,0,85,0,0,3.16%,17.89%,0.00%
109,Hubbardton,,,542,29,0,0,111,0,0,5.35%,20.48%,0.00%
110,Huntington,,,1685,82,1,0,541,0,0,4.87%,32.11%,0.00%
111,Hyde Park,,,2368,99,0,0,426,0,0,4.18%,17.99%,0.00%
112,Ira,,,332,4,0,0,58,0,0,1.20%,17.47%,0.00%
114,Isle La Motte,,,534,18,0,0,127,0,0,3.37%,23.78%,0.00%
115,Jamaica,,,806,21,0,0,177,0,0,2.61%,21.96%,0.00%
116,Jay,,,445,12,3,0,51,0,0,2.70%,11.46%,0.00%
118,Johnson,,,2274,73,1,0,333,0,0,3.21%,14.64%,0.00%
119,Killington,,,1053,135,0,0,461,0,0,12.82%,43.78%,0.00%
120,Kirby,,,427,4,0,0,98,0,0,0.94%,22.95%,0.00%
121,Landgrove,,,137,5,0,1,44,0,0,3.65%,32.12%,0.00%
122,Leicester,,,795,24,0,0,177,0,0,3.02%,22.26%,0.00%
123,Lemington,,,66,0,0,0,9,0,0,0.00%,13.64%,0.00%
124,Lincoln,,,1148,58,0,0,402,0,0,5.05%,35.02%,0.00%
125,Londonderry,,,1577,62,0,0,298,0,0,3.93%,18.90%,0.00%
127,Ludlow,,,1673,41,0,0,331,0,0,2.45%,19.78%,0.00%
128,Lunenburg,,,1225,8,0,0,158,0,0,0.65%,12.90%,0.00%
129,Lyndon,,,3673,91,0,1,752,0,0,2.48%,20.47%,0.00%
130,Maidstone,,,160,7,0,0,43,0,0,4.38%,26.88%,0.00%
132,Marlboro,,,770,51,3,1,249,0,0,6.62%,32.34%,0.00%
133,Marshfield,,,1237,53,0,0,275,0,0,4.28%,22.23%,0.00%
134,Mendon,,,998,23,0,0,141,0,0,2.30%,14.13%,0.00%
137,Middletown Springs,,,683,51,0,0,152,0,0,7.47%,22.25%,0.00%
139,Monkton,,,1881,78,0,0,427,0,0,4.15%,22.70%,0.00%
141,Montpelier,,,6988,754,0,4,2524,0,0,10.79%,36.12%,0.00%
142,Moretown,,,1488,92,0,0,331,0,0,6.18%,22.24%,0.00%
143,Morgan,,,582,8,0,0,77,77,0,1.37%,13.23%,0.00%
144,Morristown,,,4417,181,0,2,776,0,0,4.10%,17.57%,0.00%
145,Mount Holly,,,1108,44,0,0,242,0,0,3.97%,21.84%,0.00%
146,Mount Tabor,,,148,1,0,0,24,0,0,0.68%,16.22%,0.00%
147,New Haven,,,1338,35,0,0,416,0,0,2.62%,31.09%,0.00%
151,Newport City,,,3716,37,0,0,365,0,0,1.00%,9.82%,0.00%
152,Newport Town,,,1310,24,0,0,148,0,0,1.83%,11.30%,0.00%
153,North Hero,,,934,77,0,0,271,0,0,8.24%,29.01%,0.00%
154,Northfield,,,3688,135,0,1,643,0,0,3.66%,17.43%,0.00%
155,Norton,,,129,3,0,0,30,0,0,2.33%,23.26%,0.00%
156,Norwich,,,3124,313,0,0,1167,0,0,10.02%,37.36%,0.00%
157,Orange,,,884,18,0,0,140,0,0,2.04%,15.84%,0.00%
159,Panton,,,604,26,0,0,151,0,0,4.30%,25.00%,0.00%
160,Pawlet,,,1214,55,0,0,236,0,0,4.53%,19.44%,0.00%
162,Peru,,,374,8,0,0,83,0,0,2.14%,22.19%,0.00%
163,Pittsfield,,,438,5,0,0,86,0,0,1.14%,19.63%,0.00%
164,Pittsford,,,2384,37,0,0,311,0,0,1.55%,13.05%,0.00%
165,Plainfield,,,1015,75,0,0,330,0,0,7.39%,32.51%,0.00%
167,Pomfret,,,786,113,0,0,272,0,0,14.38%,34.61%,0.00%
168,Poultney,,,2328,39,0,0,345,0,0,1.68%,14.82%,0.00%
170,Proctor,,,1247,13,0,0,137,0,0,1.04%,10.99%,0.00%
171,Putney,,,2069,133,0,2,526,0,0,6.43%,25.42%,0.00%
173,Reading,,,565,34,0,0,165,0,0,6.02%,29.20%,0.00%
175,Richford,,,1803,61,0,1,194,0,0,3.38%,10.76%,0.00%
177,Ripton,,,463,27,0,0,165,0,0,5.83%,35.64%,0.00%
179,Rockingham,,,3961,69,3,2,654,0,0,1.74%,16.51%,0.00%
180,Roxbury,,,602,39,0,1,165,0,0,6.48%,27.41%,0.00%
181,Royalton,,,2198,97,4,3,412,0,0,4.41%,18.74%,0.00%
182,Rupert,,,508,29,0,0,117,0,0,5.71%,23.03%,0.00%
183,Rutland City,,,11197,254,0,1,1395,0,0,2.27%,12.46%,0.00%
184,Rutland Town,,,3230,87,0,0,506,0,0,2.69%,15.67%,0.00%
187,Saint Albans Town,,,4327,119,717,0,717,0,0,2.75%,16.57%,0.00%
188,Saint George,,,668,36,0,0,138,0,0,5.39%,20.66%,0.00%
189,Saint Johnsbury,,,4887,292,0,0,1062,0,0,5.98%,21.73%,0.00%
191,Sandgate,,,321,7,0,0,77,0,0,2.18%,23.99%,0.00%
192,Searsburg,,,103,2,0,0,19,0,0,1.94%,18.45%,0.00%
193,Shaftsbury,,,3158,160,0,0,755,0,0,5.07%,23.91%,0.00%
194,Sharon,,,1337,42,0,0,306,0,0,3.14%,22.89%,0.00%
195,Sheffield,,,502,12,1,1,114,0,0,2.39%,22.71%,0.00%
198,Shoreham,,,923,32,0,0,243,0,0,3.47%,26.33%,0.00%
200,South Burlington,,,6207,543,935,3,1824,0,0,8.75%,29.39%,0.00%
201,South Hero,,,1629,102,0,0,513,0,0,6.26%,31.49%,0.00%
202,Springfield,,,6631,581,0,2,1387,0,0,8.76%,20.92%,0.00%
203,Stamford,,,748,8,0,0,78,0,0,1.07%,10.43%,0.00%
204,Stannard,,,178,5,0,0,36,0,0,2.81%,20.22%,0.00%
205,Starksboro,,,1436,76,0,1,357,0,0,5.29%,24.86%,0.00%
206,Stockbridge,,,596,7,0,0,124,0,0,1.17%,20.81%,0.00%
208,Strafford,,,1006,93,0,0,372,0,0,9.24%,36.98%,0.00%
209,Stratton,,,250,0,0,0,24,0,0,0.00%,9.60%,0.00%
210,Sudbury,,,477,8,0,0,97,0,0,1.68%,20.34%,0.00%
211,Sunderland,,,949,27,0,0,158,0,0,2.85%,16.65%,0.00%
212,Sutton,,,786,21,0,0,132,0,0,2.67%,16.79%,0.00%
213,Swanton,,,4918,146,0,0,551,0,0,2.97%,11.20%,0.00%
215,Thetford,,,2397,178,0,0,683,0,0,7.43%,28.49%,0.00%
216,Tinmouth,,,417,26,0,0,97,0,0,6.24%,23.26%,0.00%
218,Townshend,,,1145,34,0,0,208,0,0,2.97%,18.17%,0.00%
219,Troy,,,1274,22,0,0,125,0,0,1.73%,9.81%,0.00%
221,Underhill,,,2671,182,0,0,752,0,0,6.81%,28.15%,0.00%
222,Vergennes,,,2164,94,0,0,608,0,0,4.34%,28.10%,0.00%
223,Vernon,,,1819,33,2,0,246,0,0,1.81%,13.52%,0.00%
225,Victory,,,63,22,0,0,30,0,0,34.92%,47.62%,0.00%
226,Waitsfield,,,1516,65,0,0,419,0,0,4.29%,27.64%,0.00%
228,Wallingford,,,1582,53,0,0,246,0,0,3.35%,15.55%,0.00%
230,Wardsboro,,,661,23,0,0,103,0,0,3.48%,15.58%,0.00%
233,Waterbury,,,4623,287,0,0,959,0,0,6.21%,20.74%,0.00%
234,Waterford,,,1130,34,0,0,253,0,0,3.01%,22.39%,0.00%
235,Waterville,,,618,12,0,0,93,0,0,1.94%,15.05%,0.00%
237,Wells,,,1015,16,0,0,146,0,0,1.58%,14.38%,0.00%
238,West Fairlee,,,566,6,0,0,82,0,0,1.06%,14.49%,0.00%
239,West Haven,,,203,7,0,0,41,0,0,3.45%,20.20%,0.00%
240,West Rutland,,,1662,26,0,0,206,0,0,1.56%,12.39%,0.00%
241,West Windsor,,,1063,56,0,0,329,0,0,5.27%,30.95%,0.00%
242,Westfield,,,467,14,1,0,88,0,0,3.00%,18.84%,0.00%
243,Westford,,,1800,110,0,0,459,0,0,6.11%,25.50%,0.00%
246,Weston,,,548,35,0,0,183,0,0,6.39%,33.39%,0.00%
247,Weybridge,,,749,58,0,0,260,0,0,7.74%,34.71%,0.00%
248,Wheelock,,,609,21,0,0,123,0,0,3.45%,20.20%,0.00%
250,Whitingham,,,1078,19,0,0,158,0,0,1.76%,14.66%,0.00%
251,Williamstown,,,2597,72,0,0,350,0,0,2.77%,13.48%,0.00%
252,Williston,,,8738,775,0,3,2507,0,0,8.87%,28.69%,0.00%
253,Wilmington,,,1640,33,8,1,214,0,0,2.01%,13.05%,0.00%
254,Windham,,,341,19,0,1,84,0,0,5.57%,24.63%,0.00%
255,Windsor,,,2632,88,0,2,580,0,0,3.34%,22.04%,0.00%
257,Winooski,,,6010,238,0,0,1437,0,0,3.96%,23.91%,0.00%
258,Wolcott,,,1235,30,0,0,214,0,0,2.43%,17.33%,0.00%
259,Woodbury,,,743,16,0,0,178,0,0,2.15%,23.96%,0.00%
260,Woodford,,,276,6,0,0,55,0,0,2.17%,19.93%,0.00%
261,Woodstock,,,2770,150,0,2,877,0,0,5.42%,31.66%,0.00%
262,Worcester,,,824,83,0,0,332,0,0,10.07%,40.29%,0.00%
