City/Town,Leading Candidate,Adam Ortiz (I),Becca Balint (D),Ericka Redic (L),Liam Madden (R),Luke Talbot (I),Matt Druzba (I),Write-Ins,Blanks,OverVotes,Total Votes Cast,Becca Balint (D) Percent Votes Cast,Liam Madden (R) Percent Votes Cast,OverVotes Percent
Wells,Liam Madden (R),17,244,24,263,8,9,6,120,0,691,35.31%,38.06%,0.00%
West Fairlee,Becca Balint (D),1,160,13,89,5,3,21,56,0,348,45.98%,25.57%,0.00%
West Haven,Becca Balint (D),3,59,8,49,1,2,0,24,0,146,40.41%,33.56%,0.00%
West Rutland,Liam Madden (R),58,337,53,410,17,19,12,96,0,1002,33.63%,40.92%,0.00%
West Windsor,Becca Balint (D),16,485,27,195,7,13,36,120,0,899,53.95%,21.69%,0.00%
Westford,Becca Balint (D),3,706,67,308,20,28,2,217,0,1351,52.26%,22.80%,0.00%
Westminster,Becca Balint (D),12,1025,36,323,16,16,24,174,0,1626,63.04%,19.86%,0.00%
Weston,Becca Balint (D),5,252,10,88,2,9,3,49,0,418,60.29%,21.05%,0.00%
Weybridge,Becca Balint (D),2,419,10,88,2,6,18,66,0,611,68.58%,14.40%,0.00%
Wheelock,Becca Balint (D),4,183,22,118,26,6,36,66,0,461,39.70%,25.60%,0.00%
Whiting,Becca Balint (D),4,87,10,53,10,10,0,84,0,258,33.72%,20.54%,0.00%
Whitingham,Becca Balint (D),6,306,58,195,7,3,0,78,0,653,46.86%,29.86%,0.00%
Williamstown,Liam Madden (R),16,566,66,621,28,39,30,378,0,1744,32.45%,35.61%,0.00%
Williston,Becca Balint (D),27,3793,282,1265,42,115,162,1170,0,6856,55.32%,18.45%,0.00%
Wilmington,Becca Balint (D),7,578,46,243,3,11,6,102,0,996,58.03%,24.40%,0.00%
Windsor,Becca Balint (D),17,883,44,410,23,33,18,288,0,1716,51.46%,23.89%,0.00%
Winooski,Becca Balint (D),19,2140,101,331,11,64,24,0,0,2690,79.55%,12.30%,0.00%
Wolcott,Becca Balint (D),5,430,28,221,9,17,30,156,0,896,47.99%,24.67%,0.00%
Woodbury,Becca Balint (D),3,284,23,154,8,4,6,0,0,482,58.92%,31.95%,0.00%
Woodford,Becca Balint (D),3,83,5,67,0,2,6,24,0,190,43.68%,35.26%,0.00%
Woodstock,Becca Balint (D),26,1251,40,332,16,28,30,318,0,2041,61.29%,16.27%,0.00%
Worcester,Becca Balint (D),2,352,17,115,6,9,24,96,0,621,56.68%,18.52%,0.00%
