City/Town,Leading Candidate,David Zuckerman (Prog/D),Ian Diamondstone (PJ),John S. Rodgers (R),Write-Ins,Blanks,OverVotes,Total Votes Cast,David Zuckerman (Prog/D) Percent Votes Cast,IAN DIAMONDSTONE Percent Votes Cast,John S. Rodgers (R) Percent Votes Cast,OverVotes Percent
Franklin,John S. Rodgers (R),3,22,106,9,17,12,169,1.78%,13.02%,62.72%,7.10%
Georgia,David Zuckerman (Prog/D),114,92,79,25,25,31,366,31.15%,25.14%,21.58%,8.47%
Glover,David Zuckerman (Prog/D),73,11,65,24,6,19,198,36.87%,5.56%,32.83%,9.60%
Goshen,Ian Diamondstone (PJ),10,82,75,18,11,16,212,4.72%,38.68%,35.38%,7.55%
Grafton,Ian Diamondstone (PJ),54,74,56,20,14,25,243,22.22%,30.45%,23.05%,10.29%
Granby,John S. Rodgers (R),6,54,109,17,18,6,210,2.86%,25.71%,51.90%,2.86%
Grand Isle,Ian Diamondstone (PJ),50,63,63,24,15,6,221,22.62%,28.51%,28.51%,2.71%
Granville,John S. Rodgers (R),69,100,109,17,14,8,317,21.77%,31.55%,34.38%,2.52%
Greensboro,Ian Diamondstone (PJ),13,60,19,10,6,7,115,11.30%,52.17%,16.52%,6.09%
Groton,John S. Rodgers (R),42,82,109,16,17,19,285,14.74%,28.77%,38.25%,6.67%
Guildhall,David Zuckerman (Prog/D),69,33,58,10,16,20,206,33.50%,16.02%,28.16%,9.71%
Guilford,Ian Diamondstone (PJ),57,69,53,12,22,22,235,24.26%,29.36%,22.55%,9.36%
Halifax,John S. Rodgers (R),20,55,107,14,3,8,207,9.66%,26.57%,51.69%,3.86%
Hancock,Ian Diamondstone (PJ),29,94,20,2,24,11,180,16.11%,52.22%,11.11%,6.11%
Hardwick,David Zuckerman (Prog/D),88,45,69,20,18,9,249,35.34%,18.07%,27.71%,3.61%
Hartford,John S. Rodgers (R),56,87,116,30,29,21,339,16.52%,25.66%,34.22%,6.19%
Hartland,John S. Rodgers (R),18,58,108,20,10,14,228,7.89%,25.44%,47.37%,6.14%
Highgate,John S. Rodgers (R),10,38,81,16,9,19,173,5.78%,21.97%,46.82%,10.98%
Hinesburg,John S. Rodgers (R),106,76,128,14,25,22,371,28.57%,20.49%,34.50%,5.93%
Holland,John S. Rodgers (R),73,78,92,20,3,23,289,25.26%,26.99%,31.83%,7.96%
Hubbardton,David Zuckerman (Prog/D),88,44,49,11,13,14,219,40.18%,20.09%,22.37%,6.39%
Huntington,John S. Rodgers (R),52,65,84,20,17,11,249,20.88%,26.10%,33.73%,4.42%
Hyde Park,David Zuckerman (Prog/D),37,16,1,12,12,16,94,39.36%,17.02%,1.06%,17.02%
Ira,David Zuckerman (Prog/D),64,40,25,14,11,5,159,40.25%,25.16%,15.72%,3.14%
Irasburg,David Zuckerman (Prog/D),70,11,10,12,12,6,121,57.85%,9.09%,8.26%,4.96%
Isle La Motte,Ian Diamondstone (PJ),54,84,73,21,8,15,255,21.18%,32.94%,28.63%,5.88%
Jamaica,John S. Rodgers (R),28,3,30,15,14,16,106,26.42%,2.83%,28.30%,15.09%
Jay,David Zuckerman (Prog/D),109,71,50,14,12,11,267,40.82%,26.59%,18.73%,4.12%
Jericho,Ian Diamondstone (PJ),31,79,32,14,19,16,191,16.23%,41.36%,16.75%,8.38%
Johnson,John S. Rodgers (R),1,20,57,23,23,22,146,0.68%,13.70%,39.04%,15.07%
Killington,John S. Rodgers (R),44,32,72,16,14,16,194,22.68%,16.49%,37.11%,8.25%
Kirby,Ian Diamondstone (PJ),10,38,11,18,12,12,101,9.90%,37.62%,10.89%,11.88%
Landgrove,Ian Diamondstone (PJ),71,79,50,24,8,7,239,29.71%,33.05%,20.92%,2.93%
Leicester,David Zuckerman (Prog/D),77,57,43,17,2,5,201,38.31%,28.36%,21.39%,2.49%
Lemington,Ian Diamondstone (PJ),10,85,20,8,12,16,151,6.62%,56.29%,13.25%,10.60%
Lincoln,John S. Rodgers (R),14,50,103,10,10,14,201,6.97%,24.88%,51.24%,6.97%
Londonderry,John S. Rodgers (R),0,35,84,11,15,7,152,0.00%,23.03%,55.26%,4.61%
Lowell,David Zuckerman (Prog/D),108,22,61,24,11,20,246,43.90%,8.94%,24.80%,8.13%
Ludlow,David Zuckerman (Prog/D),101,54,72,18,9,18,272,37.13%,19.85%,26.47%,6.62%
Lunenburg,Ian Diamondstone (PJ),14,87,52,19,10,19,201,6.97%,43.28%,25.87%,9.45%
Lyndon,Ian Diamondstone (PJ),36,55,0,23,11,4,129,27.91%,42.64%,0.00%,3.10%
Maidstone,David Zuckerman (Prog/D),108,43,71,17,19,11,269,40.15%,15.99%,26.39%,4.09%
Manchester,Ian Diamondstone (PJ),56,102,29,7,27,14,235,23.83%,43.40%,12.34%,5.96%
Marlboro,David Zuckerman (Prog/D),61,5,58,13,23,17,177,34.46%,2.82%,32.77%,9.60%
Marshfield,John S. Rodgers (R),26,5,32,9,15,22,109,23.85%,4.59%,29.36%,20.18%
Mendon,David Zuckerman (Prog/D),101,76,12,3,22,19,233,43.35%,32.62%,5.15%,8.15%
Middlebury,Ian Diamondstone (PJ),60,204,43,29,40,20,396,15.15%,51.52%,10.86%,5.05%
Middlesex,David Zuckerman (Prog/D),93,11,44,8,11,12,179,51.96%,6.15%,24.58%,6.70%
Middletown Springs,David Zuckerman (Prog/D),71,18,11,15,17,9,141,50.35%,12.77%,7.80%,6.38%
Milton,David Zuckerman (Prog/D),183,137,139,41,41,37,578,31.66%,23.70%,24.05%,6.40%
Monkton,Ian Diamondstone (PJ),50,87,6,17,16,11,187,26.74%,46.52%,3.21%,5.88%
Montgomery,Ian Diamondstone (PJ),21,64,11,11,10,11,128,16.41%,50.00%,8.59%,8.59%
Montpelier,Ian Diamondstone (PJ),72,93,12,12,13,19,221,32.58%,42.08%,5.43%,8.60%
Moretown,David Zuckerman (Prog/D),70,10,51,14,27,18,190,36.84%,5.26%,26.84%,9.47%
Morgan,Ian Diamondstone (PJ),44,73,21,14,8,19,179,24.58%,40.78%,11.73%,10.61%
Morristown,David Zuckerman (Prog/D),96,14,96,16,16,9,247,38.87%,5.67%,38.87%,3.64%
Mount Holly,David Zuckerman (Prog/D),94,35,7,24,10,20,190,49.47%,18.42%,3.68%,10.53%
Mount Tabor,Ian Diamondstone (PJ),42,53,22,5,7,16,145,28.97%,36.55%,15.17%,11.03%
New Haven,John S. Rodgers (R),76,67,123,46,30,29,371,20.49%,18.06%,33.15%,7.82%
Newark,David Zuckerman (Prog/D),80,47,7,9,12,9,164,48.78%,28.66%,4.27%,5.49%
Newbury,David Zuckerman (Prog/D),56,32,51,24,16,10,189,29.63%,16.93%,26.98%,5.29%
Newfane,David Zuckerman (Prog/D),83,67,30,11,23,18,232,35.78%,28.88%,12.93%,7.76%
Newport City,Ian Diamondstone (PJ),39,94,6,15,15,16,185,21.08%,50.81%,3.24%,8.65%
Newport Town,John S. Rodgers (R),10,32,70,12,4,13,141,7.09%,22.70%,49.65%,9.22%
North Hero,John S. Rodgers (R),39,73,78,11,5,15,221,17.65%,33.03%,35.29%,6.79%
Northfield,Ian Diamondstone (PJ),60,82,2,28,10,15,197,30.46%,41.62%,1.02%,7.61%
Norton,Ian Diamondstone (PJ),82,87,81,9,5,16,280,29.29%,31.07%,28.93%,5.71%
Norwich,David Zuckerman (Prog/D),62,49,1,22,8,15,157,39.49%,31.21%,0.64%,9.55%
Orange,Ian Diamondstone (PJ),42,107,70,14,17,11,261,16.09%,41.00%,26.82%,4.21%
Orwell,David Zuckerman (Prog/D),80,13,73,10,11,8,195,41.03%,6.67%,37.44%,4.10%
Panton,Ian Diamondstone (PJ),36,69,63,9,17,19,213,16.90%,32.39%,29.58%,8.92%
Pawlet,John S. Rodgers (R),6,45,80,14,17,10,172,3.49%,26.16%,46.51%,5.81%
Peacham,Ian Diamondstone (PJ),18,55,39,26,11,22,171,10.53%,32.16%,22.81%,12.87%
Peru,John S. Rodgers (R),17,33,35,12,7,19,123,13.82%,26.83%,28.46%,15.45%
Pittsfield,Ian Diamondstone (PJ),67,72,32,9,15,12,207,32.37%,34.78%,15.46%,5.80%
Pittsford,Ian Diamondstone (PJ),32,52,52,11,13,20,180,17.78%,28.89%,28.89%,11.11%
Plainfield,David Zuckerman (Prog/D),93,3,89,24,7,10,226,41.15%,1.33%,39.38%,4.42%
Plymouth,John S. Rodgers (R),23,7,37,12,15,9,103,22.33%,6.80%,35.92%,8.74%
Pomfret,John S. Rodgers (R),6,87,93,14,1,19,220,2.73%,39.55%,42.27%,8.64%
Poultney,Ian Diamondstone (PJ),81,82,27,16,14,15,235,34.47%,34.89%,11.49%,6.38%
Pownal,Ian Diamondstone (PJ),38,94,87,13,31,17,280,13.57%,33.57%,31.07%,6.07%
Proctor,Ian Diamondstone (PJ),26,78,50,14,11,12,191,13.61%,40.84%,26.18%,6.28%
Putney,David Zuckerman (Prog/D),104,38,71,6,11,6,236,44.07%,16.10%,30.08%,2.54%
Randolph,Ian Diamondstone (PJ),16,64,61,14,11,11,177,9.04%,36.16%,34.46%,6.21%
Reading,John S. Rodgers (R),40,71,75,14,22,16,238,16.81%,29.83%,31.51%,6.72%
Readsboro,David Zuckerman (Prog/D),51,35,21,18,11,13,149,34.23%,23.49%,14.09%,8.72%
Richford,David Zuckerman (Prog/D),107,6,53,17,4,19,206,51.94%,2.91%,25.73%,9.22%
Richmond,David Zuckerman (Prog/D),99,52,67,13,9,15,255,38.82%,20.39%,26.27%,5.88%
Ripton,John S. Rodgers (R),11,45,96,21,9,15,197,5.58%,22.84%,48.73%,7.61%
Rochester,John S. Rodgers (R),23,21,83,19,14,14,174,13.22%,12.07%,47.70%,8.05%
Rockingham,Ian Diamondstone (PJ),14,55,11,12,16,24,132,10.61%,41.67%,8.33%,18.18%
Roxbury,Ian Diamondstone (PJ),17,106,18,16,19,10,186,9.14%,56.99%,9.68%,5.38%
Royalton,Ian Diamondstone (PJ),67,86,86,15,22,24,300,22.33%,28.67%,28.67%,8.00%
Rupert,David Zuckerman (Prog/D),84,1,68,10,15,14,192,43.75%,0.52%,35.42%,7.29%
Rutland City,Ian Diamondstone (PJ),185,296,173,52,63,51,820,22.56%,36.10%,21.10%,6.22%
Rutland Town,John S. Rodgers (R),109,62,129,29,31,37,397,27.46%,15.62%,32.49%,9.32%
Ryegate,David Zuckerman (Prog/D),36,15,11,13,15,11,101,35.64%,14.85%,10.89%,10.89%
Saint Albans City,Ian Diamondstone (PJ),70,141,55,34,44,25,369,18.97%,38.21%,14.91%,6.78%
Saint Albans Town,John S. Rodgers (R),19,84,85,22,24,34,268,7.09%,31.34%,31.72%,12.69%
Saint George,John S. Rodgers (R),64,83,94,9,12,17,279,22.94%,29.75%,33.69%,6.09%
Saint Johnsbury,Ian Diamondstone (PJ),66,72,64,12,19,16,249,26.51%,28.92%,25.70%,6.43%
Salisbury,David Zuckerman (Prog/D),90,81,2,18,13,20,224,40.18%,36.16%,0.89%,8.93%
Sandgate,David Zuckerman (Prog/D),84,44,39,16,14,20,217,38.71%,20.28%,17.97%,9.22%
Searsburg,Ian Diamondstone (PJ),63,77,42,18,4,19,223,28.25%,34.53%,18.83%,8.52%
Shaftsbury,David Zuckerman (Prog/D),69,48,46,22,10,14,209,33.01%,22.97%,22.01%,6.70%
Sharon,Ian Diamondstone (PJ),11,75,75,10,19,22,212,5.19%,35.38%,35.38%,10.38%
Sheffield,Ian Diamondstone (PJ),72,85,51,12,8,13,241,29.88%,35.27%,21.16%,5.39%
Shelburne,Ian Diamondstone (PJ),135,177,117,24,37,32,522,25.86%,33.91%,22.41%,6.13%
Sheldon,Ian Diamondstone (PJ),19,20,4,8,5,16,72,26.39%,27.78%,5.56%,22.22%
Shoreham,John S. Rodgers (R),71,79,101,8,16,13,288,24.65%,27.43%,35.07%,4.51%
Shrewsbury,David Zuckerman (Prog/D),71,57,8,11,15,18,180,39.44%,31.67%,4.44%,10.00%
South Burlington,Ian Diamondstone (PJ),231,237,199,75,74,72,888,26.01%,26.69%,22.41%,8.11%
South Hero,John S. Rodgers (R),52,5,65,24,6,14,166,31.33%,3.01%,39.16%,8.43%
Springfield,David Zuckerman (Prog/D),93,25,6,9,20,7,160,58.12%,15.62%,3.75%,4.38%
Stamford,John S. Rodgers (R),64,31,70,11,11,13,200,32.00%,15.50%,35.00%,6.50%
Stannard,Ian Diamondstone (PJ),38,46,17,13,22,9,145,26.21%,31.72%,11.72%,6.21%
Starksboro,David Zuckerman (Prog/D),74,52,72,9,17,15,239,30.96%,21.76%,30.13%,6.28%
Stockbridge,Ian Diamondstone (PJ),2,77,25,18,10,13,145,1.38%,53.10%,17.24%,8.97%
Stowe,John S. Rodgers (R),62,85,160,37,25,31,400,15.50%,21.25%,40.00%,7.75%
Strafford,Ian Diamondstone (PJ),41,85,48,11,11,11,207,19.81%,41.06%,23.19%,5.31%
Stratton,Ian Diamondstone (PJ),67,106,72,20,25,5,295,22.71%,35.93%,24.41%,1.69%
Sudbury,John S. Rodgers (R),44,87,103,13,19,14,280,15.71%,31.07%,36.79%,5.00%
Sunderland,David Zuckerman (Prog/D),178,93,54,37,32,35,429,41.49%,21.68%,12.59%,8.16%
Sutton,John S. Rodgers (R),53,39,59,18,14,13,196,27.04%,19.90%,30.10%,6.63%
Swanton,Ian Diamondstone (PJ),5,40,19,9,21,18,112,4.46%,35.71%,16.96%,16.07%
Thetford,John S. Rodgers (R),30,31,48,13,13,5,140,21.43%,22.14%,34.29%,3.57%
Tinmouth,Ian Diamondstone (PJ),1,108,99,10,11,14,243,0.41%,44.44%,40.74%,5.76%
Topsham,David Zuckerman (Prog/D),106,65,11,19,12,18,231,45.89%,28.14%,4.76%,7.79%
Townshend,John S. Rodgers (R),29,44,49,17,6,18,163,17.79%,26.99%,30.06%,11.04%
Troy,David Zuckerman (Prog/D),53,10,49,15,18,8,153,34.64%,6.54%,32.03%,5.23%
Tunbridge,John S. Rodgers (R),15,15,88,11,11,12,152,9.87%,9.87%,57.89%,7.89%
Underhill,John S. Rodgers (R),33,16,93,3,14,7,166,19.88%,9.64%,56.02%,4.22%
Vergennes,Ian Diamondstone (PJ),55,84,50,11,11,18,229,24.02%,36.68%,21.83%,7.86%
Vernon,David Zuckerman (Prog/D),84,27,6,5,10,12,144,58.33%,18.75%,4.17%,8.33%
Vershire,David Zuckerman (Prog/D),41,16,2,14,16,11,100,41.00%,16.00%,2.00%,11.00%
Victory,David Zuckerman (Prog/D),86,65,74,15,23,12,275,31.27%,23.64%,26.91%,4.36%
Waitsfield,John S. Rodgers (R),79,91,102,23,6,16,317,24.92%,28.71%,32.18%,5.05%
Walden,David Zuckerman (Prog/D),97,70,79,18,11,17,292,33.22%,23.97%,27.05%,5.82%
Wallingford,John S. Rodgers (R),19,72,77,16,13,13,210,9.05%,34.29%,36.67%,6.19%
Waltham,Ian Diamondstone (PJ),69,69,8,16,19,8,189,36.51%,36.51%,4.23%,4.23%
Wardsboro,Ian Diamondstone (PJ),17,51,46,14,11,14,153,11.11%,33.33%,30.07%,9.15%
Warren,Ian Diamondstone (PJ),9,101,15,21,14,8,168,5.36%,60.12%,8.93%,4.76%
Washington,Ian Diamondstone (PJ),53,70,60,11,17,16,227,23.35%,30.84%,26.43%,7.05%
Waterbury,Ian Diamondstone (PJ),66,67,31,14,5,10,193,34.20%,34.72%,16.06%,5.18%
Waterford,Ian Diamondstone (PJ),40,76,72,13,20,2,223,17.94%,34.08%,32.29%,0.90%
Waterville,Ian Diamondstone (PJ),72,102,31,12,17,12,246,29.27%,41.46%,12.60%,4.88%
Weathersfield,John S. Rodgers (R),61,9,62,10,26,16,184,33.15%,4.89%,33.70%,8.70%
Wells,Ian Diamondstone (PJ),50,92,42,41,22,31,278,17.99%,33.09%,15.11%,11.15%
West Fairlee,John S. Rodgers (R),29,24,57,2,14,16,142,20.42%,16.90%,40.14%,11.27%
West Haven,John S. Rodgers (R),18,9,89,13,10,14,153,11.76%,5.88%,58.17%,9.15%
West Rutland,John S. Rodgers (R),15,62,84,7,15,16,199,7.54%,31.16%,42.21%,8.04%
West Windsor,Ian Diamondstone (PJ),23,96,73,19,11,14,236,9.75%,40.68%,30.93%,5.93%
Westfield,John S. Rodgers (R),12,74,107,16,16,7,232,5.17%,31.90%,46.12%,3.02%
Westford,David Zuckerman (Prog/D),77,14,14,12,13,8,138,55.80%,10.14%,10.14%,5.80%
Westminster,Ian Diamondstone (PJ),25,44,22,17,13,16,137,18.25%,32.12%,16.06%,11.68%
Westmore,David Zuckerman (Prog/D),69,29,32,18,20,10,178,38.76%,16.29%,17.98%,5.62%
Weston,David Zuckerman (Prog/D),51,22,37,21,5,13,149,34.23%,14.77%,24.83%,8.72%
Weybridge,Ian Diamondstone (PJ),70,78,51,15,11,10,235,29.79%,33.19%,21.70%,4.26%
Wheelock,David Zuckerman (Prog/D),77,1,12,12,10,14,126,61.11%,0.79%,9.52%,11.11%
Whiting,David Zuckerman (Prog/D),25,10,14,12,24,19,104,24.04%,9.62%,13.46%,18.27%
Whitingham,Ian Diamondstone (PJ),32,57,11,11,8,8,127,25.20%,44.88%,8.66%,6.30%
Williamstown,Ian Diamondstone (PJ),118,148,111,33,27,40,477,24.74%,31.03%,23.27%,8.39%
Williston,David Zuckerman (Prog/D),144,110,125,30,31,48,488,29.51%,22.54%,25.61%,9.84%
Wilmington,John S. Rodgers (R),38,1,79,15,6,17,156,24.36%,0.64%,50.64%,10.90%
Windham,David Zuckerman (Prog/D),87,58,22,18,17,6,208,41.83%,27.88%,10.58%,2.88%
Windsor,Ian Diamondstone (PJ),7,85,10,14,15,14,145,4.83%,58.62%,6.90%,9.66%
Winhall,David Zuckerman (Prog/D),81,15,49,16,11,20,192,42.19%,7.81%,25.52%,10.42%
Winooski,John S. Rodgers (R),38,12,74,10,12,20,166,22.89%,7.23%,44.58%,12.05%
Wolcott,David Zuckerman (Prog/D),37,29,37,15,14,13,145,25.52%,20.00%,25.52%,8.97%
Woodbury,David Zuckerman (Prog/D),57,10,43,13,14,9,146,39.04%,6.85%,29.45%,6.16%
Woodford,David Zuckerman (Prog/D),64,39,29,8,18,18,176,36.36%,22.16%,16.48%,10.23%
Woodstock,John S. Rodgers (R),16,39,55,10,6,12,138,11.59%,28.26%,39.86%,8.70%
Worcester,John S. Rodgers (R),1,40,58,16,18,17,150,0.67%,26.67%,38.67%,11.33%
