City/Town,Leading Candidate,ELIJAH BERGMAN,Write-Ins,Blanks,Overvotes,Total Votes Cast,ELIJAH BERGMAN Percent Votes Cast,Overvotes Percent
Brunswick,ATRNY GEN BRUNSWICK ESSEX CALEDONIA,13,87,10,3,113,11.50%,2.65%
Burke,ATRNY GEN BURKE ESSEX CALEDONIA,60,93,10,9,172,34.88%,5.23%
Burlington,ELIJAH BERGMAN,264,340,10,9,623,42.38%,1.44%
Cabot,ATRNY GEN CABOT CALEDONIA WASHINGTON,10,93,8,8,119,8.40%,6.72%
Calais,ELIJAH BERGMAN,34,8,5,8,55,61.82%,14.55%
Cambridge,ATRNY GEN CAMBRIDGE LAMOILLE-3,20,111,2,8,141,14.18%,5.67%
Canaan,ELIJAH BERGMAN,59,49,1,6,115,51.30%,5.22%
Castleton,ELIJAH BERGMAN,41,8,4,2,55,74.55%,3.64%
Cavendish,ATRNY GEN CAVENDISH WINDSOR-2,22,70,6,10,108,20.37%,9.26%
Charleston,ELIJAH BERGMAN,78,38,6,7,129,60.47%,5.43%
Charlotte,ELIJAH BERGMAN,82,59,4,5,150,54.67%,3.33%
Chelsea,ELIJAH BERGMAN,85,54,9,7,155,54.84%,4.52%
Chester,ATRNY GEN CHESTER WINDSOR WINDHAM,14,58,7,5,84,16.67%,5.95%
Chittenden,ELIJAH BERGMAN,53,33,6,9,101,52.48%,8.91%
Clarendon,ELIJAH BERGMAN,84,23,4,3,114,73.68%,2.63%
Colchester,ELIJAH BERGMAN,98,172,7,8,285,34.39%,2.81%
Concord,ATRNY GEN CONCORD CALEDONIA ESSEX,60,84,2,10,156,38.46%,6.41%
Corinth,ELIJAH BERGMAN,51,16,8,7,82,62.20%,8.54%
Cornwall,ELIJAH BERGMAN,83,17,8,3,111,74.77%,2.70%
Coventry,ELIJAH BERGMAN,59,59,10,10,138,42.75%,7.25%
Craftsbury,ELIJAH BERGMAN,37,43,4,8,92,40.22%,8.70%
Danby,ELIJAH BERGMAN,68,55,6,3,132,51.52%,2.27%
Danville,ELIJAH BERGMAN,89,53,9,4,155,57.42%,2.58%
Derby,ATRNY GEN DERBY ORLEANS-1,13,30,5,7,55,23.64%,12.73%
Dorset,ELIJAH BERGMAN,103,31,5,8,147,70.07%,5.44%
Dover,ATRNY GEN DOVER WINDHAM-2,21,116,10,3,150,14.00%,2.00%
Dummerston,ATRNY GEN DUMMERSTON WINDHAM-4,46,68,9,3,126,36.51%,2.38%
Duxbury,ELIJAH BERGMAN,61,45,5,4,115,53.04%,3.48%
East Haven,ELIJAH BERGMAN,64,51,7,9,131,48.85%,6.87%
East Montpelier,ATRNY GEN EAST MONTPELIER WASHINGTON-5,16,41,7,7,71,22.54%,9.86%
Eden,ATRNY GEN EDEN ORLEANS LAMOILLE,32,100,5,2,139,23.02%,1.44%
Elmore,ELIJAH BERGMAN,64,13,5,5,87,73.56%,5.75%
Enosburgh,ELIJAH BERGMAN,99,26,1,2,128,77.34%,1.56%
Essex Junction,ATRNY GEN ESSEX JUNCTION CITY CHITTENDEN-22,42,72,9,6,129,32.56%,4.65%
Essex,ELIJAH BERGMAN,160,58,8,8,234,68.38%,3.42%
Fair Haven,ELIJAH BERGMAN,52,25,2,6,85,61.18%,7.06%
Fairfax,ATRNY GEN FAIRFAX FRANKLIN-1,1,68,7,4,80,1.25%,5.00%
Fairfield,ATRNY GEN FAIRFIELD FRANKLIN-6,1,59,9,6,75,1.33%,8.00%
Fairlee,ELIJAH BERGMAN,84,54,3,3,144,58.33%,2.08%
Fayston,ATRNY GEN FAYSTON WASHINGTON-2,65,114,8,8,195,33.33%,4.10%
Ferrisburgh,ELIJAH BERGMAN,107,105,1,10,223,47.98%,4.48%
Fletcher,ELIJAH BERGMAN,81,11,9,6,107,75.70%,5.61%
Franklin,ATRNY GEN FRANKLIN FRANKLIN-5,45,72,10,8,135,33.33%,5.93%
Georgia,ATRNY GEN GEORGIA CHITTENDEN FRANKLIN,52,108,8,9,177,29.38%,5.08%
Glover,ATRNY GEN GLOVER ORLEANS-4,1,59,8,7,75,1.33%,9.33%
Goshen,ELIJAH BERGMAN,67,51,1,1,120,55.83%,0.83%
Grafton,ELIJAH BERGMAN,57,9,4,7,77,74.03%,9.09%
Granby,ATRNY GEN GRANBY ESSEX CALEDONIA,24,64,5,7,100,24.00%,7.00%
Grand Isle,ATRNY GEN GRAND ISLE GRAND ISLE CHITTENDEN,75,91,3,9,178,42.13%,5.06%
Granville,ELIJAH BERGMAN,50,23,3,7,83,60.24%,8.43%
Greensboro,ATRNY GEN GREENSBORO ORLEANS-4,79,89,4,6,178,44.38%,3.37%
Groton,ELIJAH BERGMAN,84,11,8,7,110,76.36%,6.36%
Guildhall,ELIJAH BERGMAN,93,85,6,7,191,48.69%,3.66%
Guilford,ELIJAH BERGMAN,69,11,10,8,98,70.41%,8.16%
Halifax,ELIJAH BERGMAN,70,72,9,7,158,44.30%,4.43%
Hancock,ELIJAH BERGMAN,48,5,9,7,69,69.57%,10.14%
Hardwick,ELIJAH BERGMAN,29,22,6,6,63,46.03%,9.52%
Hartford,ATRNY GEN HARTFORD WINDSOR-4,57,128,9,8,202,28.22%,3.96%
Hartland,ATRNY GEN HARTLAND WINDSOR-1,6,77,10,6,99,6.06%,6.06%
Highgate,ELIJAH BERGMAN,80,15,8,8,111,72.07%,7.21%
Hinesburg,ELIJAH BERGMAN,158,92,6,7,263,60.08%,2.66%
Holland,ATRNY GEN HOLLAND ESSEX ORLEANS,33,101,7,8,149,22.15%,5.37%
Hubbardton,ATRNY GEN HUBBARDTON ADDISON RUTLAND,43,84,8,2,137,31.39%,1.46%
Huntington,ELIJAH BERGMAN,106,87,7,6,206,51.46%,2.91%
Hyde Park,ATRNY GEN HYDE PARK LAMOILLE-2,29,78,7,7,121,23.97%,5.79%
Ira,ATRNY GEN IRA RUTLAND-1,20,92,4,4,120,16.67%,3.33%
Irasburg,ATRNY GEN IRASBURG ORLEANS LAMOILLE,23,56,7,10,96,23.96%,10.42%
Isle La Motte,ELIJAH BERGMAN,66,53,3,8,130,50.77%,6.15%
Jamaica,ELIJAH BERGMAN,64,10,9,2,85,75.29%,2.35%
Jay,ELIJAH BERGMAN,36,33,3,5,77,46.75%,6.49%
Jericho,ATRNY GEN JERICHO CHITTENDEN 3,78,84,8,8,178,43.82%,4.49%
Johnson,ATRNY GEN JOHNSON LAMOILLE-2,4,81,7,7,99,4.04%,7.07%
Killington,ELIJAH BERGMAN,89,46,4,3,142,62.68%,2.11%
Kirby,ELIJAH BERGMAN,91,64,4,5,164,55.49%,3.05%
Landgrove,ELIJAH BERGMAN,73,44,9,3,129,56.59%,2.33%
Leicester,ATRNY GEN LEICESTER ADDISON-2,6,35,9,1,51,11.76%,1.96%
Lemington,ELIJAH BERGMAN,66,20,10,8,104,63.46%,7.69%
Lincoln,ATRNY GEN LINCOLN ADDISON-4,53,109,4,9,175,30.29%,5.14%
Londonderry,ELIJAH BERGMAN,41,31,9,7,88,46.59%,7.95%
Lowell,ELIJAH BERGMAN,80,64,6,6,156,51.28%,3.85%
Ludlow,ATRNY GEN LUDLOW RUTLAND WINDSOR,8,92,6,5,111,7.21%,4.50%
Lunenburg,ATRNY GEN LUNENBURG ESSEX CALEDONIA,10,20,7,8,45,22.22%,17.78%
Lyndon,ELIJAH BERGMAN,98,74,2,7,181,54.14%,3.87%
Maidstone,ELIJAH BERGMAN,97,97,7,9,210,46.19%,4.29%
Manchester,ATRNY GEN MANCHESTER BENNINGTON-4,25,38,3,7,73,34.25%,9.59%
Marlboro,ELIJAH BERGMAN,57,40,6,6,109,52.29%,5.50%
Marshfield,ELIJAH BERGMAN,16,12,5,7,40,40.00%,17.50%
Mendon,ATRNY GEN MENDON RUTLAND-11,53,86,6,10,155,34.19%,6.45%
Middlebury,ATRNY GEN MIDDLEBURY ADDISON-5,16,114,7,9,146,10.96%,6.16%
Middlesex,ELIJAH BERGMAN,76,22,6,6,110,69.09%,5.45%
Middletown Springs,ATRNY GEN MIDDLETOWN SPRINGS RUTLAND BENNINGTON,64,78,2,7,151,42.38%,4.64%
Milton,ELIJAH BERGMAN,190,228,9,7,434,43.78%,1.61%
Monkton,ATRNY GEN MONKTON ADDISON-4,35,92,4,9,140,25.00%,6.43%
Montgomery,ELIJAH BERGMAN,89,29,6,4,128,69.53%,3.12%
Montpelier,ATRNY GEN MONTPELIER WASHINGTON-4,8,75,10,9,102,7.84%,8.82%
Moretown,ATRNY GEN MORETOWN WASHINGTON-2,63,83,4,5,155,40.65%,3.23%
Morgan,ATRNY GEN MORGAN ESSEX ORLEANS,49,111,8,9,177,27.68%,5.08%
Morristown,ELIJAH BERGMAN,60,55,4,10,129,46.51%,7.75%
Mount Holly,ATRNY GEN MOUNT HOLLY RUTLAND WINDSOR,18,29,1,3,51,35.29%,5.88%
Mount Tabor,ATRNY GEN MOUNT TABOR BENNINGTON RUTLAND,17,55,6,10,88,19.32%,11.36%
New Haven,ELIJAH BERGMAN,88,117,6,7,218,40.37%,3.21%
Newark,ELIJAH BERGMAN,53,25,4,8,90,58.89%,8.89%
Newbury,ELIJAH BERGMAN,96,58,9,10,173,55.49%,5.78%
Newfane,ELIJAH BERGMAN,48,48,7,4,107,44.86%,3.74%
Newport City,ELIJAH BERGMAN,78,36,5,7,126,61.90%,5.56%
Newport Town,ATRNY GEN NEWPORT TOWN ORLEANS LAMOILLE,10,61,10,3,84,11.90%,3.57%
North Hero,ELIJAH BERGMAN,66,11,7,3,87,75.86%,3.45%
Northfield,ELIJAH BERGMAN,35,40,7,4,86,40.70%,4.65%
Norton,ELIJAH BERGMAN,101,13,7,6,127,79.53%,4.72%
Norwich,ATRNY GEN NORWICH WINDSOR ORANGE 2,40,47,4,6,97,41.24%,6.19%
Orange,ATRNY GEN ORANGE ORANGE-1,82,112,2,4,200,41.00%,2.00%
Orwell,ELIJAH BERGMAN,42,19,5,2,68,61.76%,2.94%
Panton,ELIJAH BERGMAN,50,7,10,4,71,70.42%,5.63%
Pawlet,ELIJAH BERGMAN,86,27,9,6,128,67.19%,4.69%
Peacham,ATRNY GEN PEACHAM CALEDONIA WASHINGTON,55,69,10,5,139,39.57%,3.60%
Peru,ELIJAH BERGMAN,69,45,7,7,128,53.91%,5.47%
Pittsfield,ATRNY GEN PITTSFIELD RUTLAND-11,18,103,8,9,138,13.04%,6.52%
Pittsford,ELIJAH BERGMAN,106,40,3,5,154,68.83%,3.25%
Plainfield,ATRNY GEN PLAINFIELD WASHINGTON-6,19,78,8,5,110,17.27%,4.55%
Plymouth,ELIJAH BERGMAN,46,18,4,5,73,63.01%,6.85%
Pomfret,ATRNY GEN POMFRET WINDSOR-4,39,96,2,8,145,26.90%,5.52%
Poultney,ELIJAH BERGMAN,92,82,3,4,181,50.83%,2.21%
Pownal,ELIJAH BERGMAN,117,138,8,9,272,43.01%,3.31%
Proctor,ELIJAH BERGMAN,79,12,10,2,103,76.70%,1.94%
Putney,ELIJAH BERGMAN,54,11,10,9,84,64.29%,10.71%
Randolph,ELIJAH BERGMAN,73,9,9,8,99,73.74%,8.08%
Reading,ATRNY GEN READING WINDSOR-5,28,49,8,10,95,29.47%,10.53%
Readsboro,ATRNY GEN READSBORO BENNINGTON-1,25,110,7,4,146,17.12%,2.74%
Richford,ATRNY GEN RICHFORD FRANKLIN-5,24,61,1,3,89,26.97%,3.37%
Richmond,ATRNY GEN RICHMOND CHITTENDEN 1,82,94,5,1,182,45.05%,0.55%
Ripton,ELIJAH BERGMAN,27,26,8,3,64,42.19%,4.69%
Rochester,ATRNY GEN ROCHESTER WINDSOR ADDISON,52,93,10,5,160,32.50%,3.12%
Rockingham,ATRNY GEN ROCKINGHAM WINDHAM-3,39,83,7,8,137,28.47%,5.84%
Roxbury,ATRNY GEN ROXBURY ORANGE WASHINGTON ADDISON,25,71,7,5,108,23.15%,4.63%
Royalton,ELIJAH BERGMAN,100,96,7,8,211,47.39%,3.79%
Rupert,ATRNY GEN RUPERT RUTLAND BENNINGTON,44,69,1,6,120,36.67%,5.00%
Rutland City,ELIJAH BERGMAN,247,172,9,9,437,56.52%,2.06%
Rutland Town,ELIJAH BERGMAN,131,174,6,10,321,40.81%,3.12%
Ryegate,ELIJAH BERGMAN,77,53,8,8,146,52.74%,5.48%
Saint Albans City,ATRNY GEN SAINT ALBANS CITY FRANKLIN-8,39,108,7,8,162,24.07%,4.94%
Saint Albans Town,ELIJAH BERGMAN,93,113,3,5,214,43.46%,2.34%
Saint George,ATRNY GEN SAINT GEORGE CHITTENDEN-7,76,90,1,2,169,44.97%,1.18%
Saint Johnsbury,ATRNY GEN SAINT JOHNSBURY CALEDONIA ESSEX,11,41,6,4,62,17.74%,6.45%
Salisbury,ELIJAH BERGMAN,16,17,9,5,47,34.04%,10.64%
Sandgate,ATRNY GEN SANDGATE BENNINGTON-4,23,87,7,4,121,19.01%,3.31%
Searsburg,ELIJAH BERGMAN,32,34,8,3,77,41.56%,3.90%
Shaftsbury,ELIJAH BERGMAN,75,38,3,5,121,61.98%,4.13%
Sharon,ATRNY GEN SHARON WINDSOR ORANGE 2,43,100,4,6,153,28.10%,3.92%
Sheffield,ELIJAH BERGMAN,43,41,3,8,95,45.26%,8.42%
Shelburne,ELIJAH BERGMAN,177,72,9,8,266,66.54%,3.01%
Sheldon,ATRNY GEN SHELDON FRANKLIN-4,53,105,3,5,166,31.93%,3.01%
Shoreham,ATRNY GEN SHOREHAM ADDISON RUTLAND,15,48,7,8,78,19.23%,10.26%
Shrewsbury,ATRNY GEN SHREWSBURY RUTLAND WINDSOR,4,80,1,6,91,4.40%,6.59%
South Burlington,ELIJAH BERGMAN,142,325,10,8,485,29.28%,1.65%
South Hero,ATRNY GEN SOUTH HERO GRAND ISLE CHITTENDEN,69,98,9,4,180,38.33%,2.22%
Springfield,ELIJAH BERGMAN,88,63,5,10,166,53.01%,6.02%
Stamford,ATRNY GEN STAMFORD BENNINGTON-1,20,106,10,4,140,14.29%,2.86%
Stannard,ATRNY GEN STANNARD CALEDONIA 2,36,117,8,7,168,21.43%,4.17%
Starksboro,ATRNY GEN STARKSBORO ADDISON-4,85,97,1,3,186,45.70%,1.61%
Stockbridge,ELIJAH BERGMAN,35,19,3,5,62,56.45%,8.06%
Stowe,ELIJAH BERGMAN,115,118,8,7,248,46.37%,2.82%
Strafford,ELIJAH BERGMAN,70,29,6,6,111,63.06%,5.41%
Stratton,ATRNY GEN STRATTON WINDHAM-2,3,35,8,5,51,5.88%,9.80%
Sudbury,ATRNY GEN SUDBURY ADDISON RUTLAND,66,84,9,3,162,40.74%,1.85%
Sunderland,ELIJAH BERGMAN,122,96,10,10,238,51.26%,4.20%
Sutton,ELIJAH BERGMAN,66,31,8,8,113,58.41%,7.08%
Swanton,ATRNY GEN SWANTON FRANKLIN-4,8,48,2,5,63,12.70%,7.94%
Thetford,ATRNY GEN THETFORD WINDSOR ORANGE 2,77,95,8,7,187,41.18%,3.74%
Tinmouth,ELIJAH BERGMAN,79,77,10,5,171,46.20%,2.92%
Topsham,ELIJAH BERGMAN,40,21,10,6,77,51.95%,7.79%
Townshend,ATRNY GEN TOWNSHEND WINDHAM-5,37,113,6,6,162,22.84%,3.70%
Troy,ELIJAH BERGMAN,43,9,8,7,67,64.18%,10.45%
Tunbridge,ATRNY GEN TUNBRIDGE WINDSOR ORANGE 1,33,104,8,3,148,22.30%,2.03%
Underhill,ATRNY GEN UNDERHILL CHITTENDEN 3,9,85,1,8,103,8.74%,7.77%
Vergennes,ATRNY GEN VERGENNES ADDISON-3,30,83,9,3,125,24.00%,2.40%
Vernon,ATRNY GEN VERNON WINDHAM-1,14,40,5,5,64,21.88%,7.81%
Vershire,ATRNY GEN VERSHIRE ORANGE-1,33,61,8,6,108,30.56%,5.56%
Victory,ELIJAH BERGMAN,59,63,9,10,141,41.84%,7.09%
Waitsfield,ELIJAH BERGMAN,87,88,8,5,188,46.28%,2.66%
Walden,ELIJAH BERGMAN,98,91,8,4,201,48.76%,1.99%
Wallingford,ELIJAH BERGMAN,81,17,5,4,107,75.70%,3.74%
Waltham,ATRNY GEN WALTHAM ADDISON-3,41,53,3,5,102,40.20%,4.90%
Wardsboro,ELIJAH BERGMAN,59,22,1,1,83,71.08%,1.20%
Warren,ATRNY GEN WARREN WASHINGTON-2,12,76,5,6,99,12.12%,6.06%
Washington,ATRNY GEN WASHINGTON ORANGE-1,57,76,4,5,142,40.14%,3.52%
Waterbury,ATRNY GEN WATERBURY WASHINGTON CHITTENDEN,21,91,4,8,124,16.94%,6.45%
Waterford,ATRNY GEN WATERFORD CALEDONIA 1,9,89,9,8,115,7.83%,6.96%
Waterville,ATRNY GEN WATERVILLE LAMOILLE-3,57,83,6,2,148,38.51%,1.35%
Weathersfield,ELIJAH BERGMAN,45,23,9,8,85,52.94%,9.41%
Wells,ATRNY GEN WELLS RUTLAND BENNINGTON,94,125,5,8,232,40.52%,3.45%
West Fairlee,ELIJAH BERGMAN,109,61,6,1,177,61.58%,0.56%
West Haven,ATRNY GEN WEST HAVEN RUTLAND-10,5,23,1,9,38,13.16%,23.68%
West Rutland,ELIJAH BERGMAN,92,91,7,2,192,47.92%,1.04%
West Windsor,ELIJAH BERGMAN,87,58,1,7,153,56.86%,4.58%
Westfield,ATRNY GEN WESTFIELD ORLEANS LAMOILLE,51,101,1,6,159,32.08%,3.77%
Westford,ELIJAH BERGMAN,63,39,5,10,117,53.85%,8.55%
Westminster,ATRNY GEN WESTMINSTER WINDHAM-3,67,92,3,4,166,40.36%,2.41%
Westmore,ATRNY GEN WESTMORE ORLEANS-3,35,57,6,8,106,33.02%,7.55%
Weston,ATRNY GEN WESTON WINDHAM WINDSOR BENNINGTON,13,100,8,8,129,10.08%,6.20%
Weybridge,ATRNY GEN WEYBRIDGE ADDISON-5,9,93,6,9,117,7.69%,7.69%
Wheelock,ELIJAH BERGMAN,38,39,4,4,85,44.71%,4.71%
Whiting,ELIJAH BERGMAN,105,92,6,7,210,50.00%,3.33%
Whitingham,ELIJAH BERGMAN,44,28,10,2,84,52.38%,2.38%
Williamstown,ELIJAH BERGMAN,47,56,9,10,122,38.52%,8.20%
Williston,ATRNY GEN WILLISTON CHITTENDEN-8,63,108,8,7,186,33.87%,3.76%
Wilmington,ELIJAH BERGMAN,39,8,10,5,62,62.90%,8.06%
Windham,ATRNY GEN WINDHAM WINDSOR WINDHAM,53,84,7,5,149,35.57%,3.36%
Windsor,ATRNY GEN WINDSOR WINDSOR-1,83,98,4,6,191,43.46%,3.14%
Winhall,ELIJAH BERGMAN,58,60,5,8,131,44.27%,6.11%
Winooski,ATRNY GEN WINOOSKI CHITTENDEN-21,30,106,1,5,142,21.13%,3.52%
Wolcott,ELIJAH BERGMAN,46,32,7,8,93,49.46%,8.60%
Woodbury,ATRNY GEN WOODBURY LAMOILLE WASHINGTON,16,105,8,5,134,11.94%,3.73%
Woodford,ELIJAH BERGMAN,20,17,6,2,45,44.44%,4.44%
Woodstock,ATRNY GEN WOODSTOCK WINDSOR-5,56,71,5,4,136,41.18%,2.94%
Worcester,ELIJAH BERGMAN,84,61,10,8,163,51.53%,4.91%
