City/Town,Leading Candidate,MARIELLE A.,Write-Ins,Blanks,Overvotes,Total Votes Cast,MARIELLE A. Percent Votes Cast,Overvotes Percent
East Montpelier,MARIELLE A.,180,72,72,36,360,50.00%,10.00%
Eden,MARIELLE A.,82,32,32,16,162,50.62%,9.88%
Elmore,MARIELLE A.,64,25,25,12,126,50.79%,9.52%
Enosburgh,MARIELLE A.,191,75,75,37,378,50.53%,9.79%
Essex Junction,MARIELLE A.,694,259,241,120,1314,52.82%,9.13%
Essex,MARIELLE A.,794,257,198,99,1348,58.90%,7.34%
Fair Haven,MARIELLE A.,164,64,64,32,324,50.62%,9.88%
Fairfax,MARIELLE A.,352,140,140,70,702,50.14%,9.97%
Fairfield,MARIELLE A.,127,50,50,25,252,50.40%,9.92%
Fairlee,MARIELLE A.,64,25,25,12,126,50.79%,9.52%
Fayston,MARIELLE A.,109,43,43,21,216,50.46%,9.72%
Ferrisburgh,MARIELLE A.,209,82,82,41,414,50.48%,9.90%
Fletcher,MARIELLE A.,90,36,36,18,180,50.00%,10.00%
Franklin,MARIELLE A.,90,36,36,18,180,50.00%,10.00%
Georgia,MARIELLE A.,337,121,111,55,624,54.01%,8.81%
Glover,MARIELLE A.,74,28,28,14,144,51.39%,9.72%
Goshen,MARIELLE A.,11,3,3,1,18,61.11%,5.56%
Grafton,MARIELLE A.,45,18,18,9,90,50.00%,10.00%
Granby,MARIELLE A.,6,2,1,0,9,66.67%,0.00%
Grand Isle,MARIELLE A.,164,64,64,32,324,50.62%,9.88%
Granville,MARIELLE A.,19,7,7,3,36,52.78%,8.33%
Greensboro,MARIELLE A.,56,21,21,10,108,51.85%,9.26%
Groton,MARIELLE A.,64,25,25,12,126,50.79%,9.52%
Guildhall,MARIELLE A.,19,7,7,3,36,52.78%,8.33%
Guilford,MARIELLE A.,154,61,61,30,306,50.33%,9.80%
Halifax,MARIELLE A.,56,21,21,10,108,51.85%,9.26%
Hancock,MARIELLE A.,19,7,7,3,36,52.78%,8.33%
Hardwick,MARIELLE A.,199,79,79,39,396,50.25%,9.85%
Hartford,MARIELLE A.,831,305,280,140,1556,53.41%,9.00%
Hartland,MARIELLE A.,262,104,104,52,522,50.19%,9.96%
Highgate,MARIELLE A.,217,86,86,43,432,50.23%,9.95%
Hinesburg,MARIELLE A.,358,141,140,70,709,50.49%,9.87%
Holland,MARIELLE A.,37,14,14,7,72,51.39%,9.72%
Hubbardton,MARIELLE A.,45,18,18,9,90,50.00%,10.00%
Huntington,MARIELLE A.,154,61,61,30,306,50.33%,9.80%
Hyde Park,MARIELLE A.,199,79,79,39,396,50.25%,9.85%
Ira,MARIELLE A.,29,10,10,5,54,53.70%,9.26%
Irasburg,MARIELLE A.,74,28,28,14,144,51.39%,9.72%
Isle La Motte,MARIELLE A.,37,14,14,7,72,51.39%,9.72%
Jamaica,MARIELLE A.,64,25,25,12,126,50.79%,9.52%
Jay,MARIELLE A.,37,14,14,7,72,51.39%,9.72%
Jericho,MARIELLE A.,389,154,154,77,774,50.26%,9.95%
Johnson,MARIELLE A.,180,72,72,36,360,50.00%,10.00%
Killington,MARIELLE A.,90,36,36,18,180,50.00%,10.00%
Kirby,MARIELLE A.,37,14,14,7,72,51.39%,9.72%
Landgrove,MARIELLE A.,11,3,3,1,18,61.11%,5.56%
Leicester,MARIELLE A.,64,25,25,12,126,50.79%,9.52%
Lemington,MARIELLE A.,8,3,3,1,15,53.33%,6.67%
Lincoln,MARIELLE A.,101,39,39,19,198,51.01%,9.60%
Londonderry,MARIELLE A.,146,57,57,28,288,50.69%,9.72%
Lowell,MARIELLE A.,64,25,25,12,126,50.79%,9.52%
Ludlow,MARIELLE A.,146,57,57,28,288,50.69%,9.72%
Lunenburg,MARIELLE A.,101,39,39,19,198,51.01%,9.60%
Lyndon,MARIELLE A.,326,129,129,64,648,50.31%,9.88%
Maidstone,MARIELLE A.,11,3,3,1,18,61.11%,5.56%
Manchester,MARIELLE A.,326,129,129,64,648,50.31%,9.88%
Marlboro,MARIELLE A.,64,25,25,12,126,50.79%,9.52%
Marshfield,MARIELLE A.,101,39,39,19,198,51.01%,9.60%
Mendon,MARIELLE A.,82,32,32,16,162,50.62%,9.88%
Middlebury,MARIELLE A.,517,193,183,91,984,52.54%,9.25%
Middlesex,MARIELLE A.,135,54,54,27,270,50.00%,10.00%
Middletown Springs,MARIELLE A.,64,25,25,12,126,50.79%,9.52%
Milton,MARIELLE A.,750,247,198,99,1294,57.96%,7.65%
Monkton,MARIELLE A.,164,64,64,32,324,50.62%,9.88%
Montgomery,MARIELLE A.,82,32,32,16,162,50.62%,9.88%
Montpelier,MARIELLE A.,659,262,262,131,1314,50.15%,9.97%
Moretown,MARIELLE A.,127,50,50,25,252,50.40%,9.92%
Morgan,MARIELLE A.,45,18,18,9,90,50.00%,10.00%
Morristown,MARIELLE A.,379,151,151,75,756,50.13%,9.92%
Mount Holly,MARIELLE A.,90,36,36,18,180,50.00%,10.00%
Mount Tabor,MARIELLE A.,11,3,3,1,18,61.11%,5.56%
New Haven,MARIELLE A.,111,37,32,16,196,56.63%,8.16%
Newark,MARIELLE A.,37,14,14,7,72,51.39%,9.72%
Newbury,MARIELLE A.,135,54,54,27,270,50.00%,10.00%
Newfane,MARIELLE A.,119,46,46,23,234,50.85%,9.83%
Newport City,MARIELLE A.,360,144,144,72,720,50.00%,10.00%
Newport Town,MARIELLE A.,119,46,46,23,234,50.85%,9.83%
North Hero,MARIELLE A.,74,28,28,14,144,51.39%,9.72%
Northfield,MARIELLE A.,299,118,118,59,594,50.34%,9.93%
Norton,MARIELLE A.,11,3,3,1,18,61.11%,5.56%
Norwich,MARIELLE A.,270,108,108,54,540,50.00%,10.00%
Orange,MARIELLE A.,74,28,28,14,144,51.39%,9.72%
Orwell,MARIELLE A.,82,32,32,16,162,50.62%,9.88%
Panton,MARIELLE A.,45,18,18,9,90,50.00%,10.00%
Pawlet,MARIELLE A.,101,39,39,19,198,51.01%,9.60%
Peacham,MARIELLE A.,56,21,21,10,108,51.85%,9.26%
Peru,MARIELLE A.,29,10,10,5,54,53.70%,9.26%
Pittsfield,MARIELLE A.,37,14,14,7,72,51.39%,9.72%
Pittsford,MARIELLE A.,209,82,82,41,414,50.48%,9.90%
Plainfield,MARIELLE A.,90,36,36,18,180,50.00%,10.00%
Plymouth,MARIELLE A.,37,14,14,7,72,51.39%,9.72%
Pomfret,MARIELLE A.,64,25,25,12,126,50.79%,9.52%
Poultney,MARIELLE A.,199,79,79,39,396,50.25%,9.85%
Pownal,MARIELLE A.,210,71,61,30,372,56.45%,8.06%
Proctor,MARIELLE A.,119,46,46,23,234,50.85%,9.83%
Putney,MARIELLE A.,172,68,68,34,342,50.29%,9.94%
Randolph,MARIELLE A.,334,133,133,66,666,50.15%,9.91%
Reading,MARIELLE A.,45,18,18,9,90,50.00%,10.00%
Readsboro,MARIELLE A.,45,18,18,9,90,50.00%,10.00%
Richford,MARIELLE A.,146,57,57,28,288,50.69%,9.72%
Richmond,MARIELLE A.,299,118,118,59,594,50.34%,9.93%
Ripton,MARIELLE A.,37,14,14,7,72,51.39%,9.72%
Rochester,MARIELLE A.,82,32,32,16,162,50.62%,9.88%
Rockingham,MARIELLE A.,326,129,129,64,648,50.31%,9.88%
Roxbury,MARIELLE A.,45,18,18,9,90,50.00%,10.00%
Royalton,MARIELLE A.,180,72,72,36,360,50.00%,10.00%
Rupert,MARIELLE A.,45,18,18,9,90,50.00%,10.00%
Rutland City,MARIELLE A.,994,254,115,57,1420,70.00%,4.01%
Rutland Town,MARIELLE A.,289,88,61,30,468,61.75%,6.41%
Ryegate,MARIELLE A.,74,28,28,14,144,51.39%,9.72%
Saint Albans City,MARIELLE A.,506,170,140,70,886,57.11%,7.90%
Saint Albans Town,MARIELLE A.,463,150,118,59,790,58.61%,7.47%
Saint George,MARIELLE A.,56,21,21,10,108,51.85%,9.26%
Saint Johnsbury,MARIELLE A.,405,162,162,81,810,50.00%,10.00%
Salisbury,MARIELLE A.,82,32,32,16,162,50.62%,9.88%
Sandgate,MARIELLE A.,29,10,10,5,54,53.70%,9.26%
Searsburg,MARIELLE A.,9,3,3,1,16,56.25%,6.25%
Shaftsbury,MARIELLE A.,262,104,104,52,522,50.19%,9.96%
Sharon,MARIELLE A.,101,39,39,19,198,51.01%,9.60%
Sheffield,MARIELLE A.,37,14,14,7,72,51.39%,9.72%
Shelburne,MARIELLE A.,607,184,129,64,984,61.69%,6.50%
Sheldon,MARIELLE A.,127,50,50,25,252,50.40%,9.92%
Shoreham,MARIELLE A.,74,28,28,14,144,51.39%,9.72%
Shrewsbury,MARIELLE A.,82,32,32,16,162,50.62%,9.88%
South Burlington,MARIELLE A.,1449,353,136,68,2006,72.23%,3.39%
South Hero,MARIELLE A.,146,57,57,28,288,50.69%,9.72%
Springfield,MARIELLE A.,551,219,219,109,1098,50.18%,9.93%
Stamford,MARIELLE A.,64,25,25,12,126,50.79%,9.52%
Stannard,MARIELLE A.,11,3,3,1,18,61.11%,5.56%
Starksboro,MARIELLE A.,119,46,46,23,234,50.85%,9.83%
Stockbridge,MARIELLE A.,45,18,18,9,90,50.00%,10.00%
Stowe,MARIELLE A.,405,153,144,72,774,52.33%,9.30%
Strafford,MARIELLE A.,82,32,32,16,162,50.62%,9.88%
Stratton,MARIELLE A.,19,7,7,3,36,52.78%,8.33%
Sudbury,MARIELLE A.,37,14,14,7,72,51.39%,9.72%
Sunderland,MARIELLE A.,74,23,18,9,124,59.68%,7.26%
Sutton,MARIELLE A.,64,25,25,12,126,50.79%,9.52%
Swanton,MARIELLE A.,416,165,165,82,828,50.24%,9.90%
Thetford,MARIELLE A.,199,79,79,39,396,50.25%,9.85%
Tinmouth,MARIELLE A.,37,14,14,7,72,51.39%,9.72%
Topsham,MARIELLE A.,82,32,32,16,162,50.62%,9.88%
Townshend,MARIELLE A.,101,39,39,19,198,51.01%,9.60%
Troy,MARIELLE A.,101,39,39,19,198,51.01%,9.60%
Tunbridge,MARIELLE A.,101,39,39,19,198,51.01%,9.60%
Underhill,MARIELLE A.,236,93,93,46,468,50.43%,9.83%
Vergennes,MARIELLE A.,191,75,75,37,378,50.53%,9.79%
Vernon,MARIELLE A.,164,64,64,32,324,50.62%,9.88%
Vershire,MARIELLE A.,45,18,18,9,90,50.00%,10.00%
Victory,MARIELLE A.,6,2,2,1,11,54.55%,9.09%
Waitsfield,MARIELLE A.,127,50,50,25,252,50.40%,9.92%
Walden,MARIELLE A.,64,25,25,12,126,50.79%,9.52%
Wallingford,MARIELLE A.,135,54,54,27,270,50.00%,10.00%
Waltham,MARIELLE A.,37,14,14,7,72,51.39%,9.72%
Wardsboro,MARIELLE A.,56,21,21,10,108,51.85%,9.26%
Warren,MARIELLE A.,135,54,54,27,270,50.00%,10.00%
Washington,MARIELLE A.,74,28,28,14,144,51.39%,9.72%
Waterbury,MARIELLE A.,397,158,158,79,792,50.13%,9.97%
Waterford,MARIELLE A.,90,36,36,18,180,50.00%,10.00%
Waterville,MARIELLE A.,45,18,18,9,90,50.00%,10.00%
Weathersfield,MARIELLE A.,217,86,86,43,432,50.23%,9.95%
Wells,MARIELLE A.,82,25,18,9,134,61.19%,6.72%
West Fairlee,MARIELLE A.,45,18,18,9,90,50.00%,10.00%
West Haven,MARIELLE A.,11,3,3,1,18,61.11%,5.56%
West Rutland,MARIELLE A.,146,57,57,28,288,50.69%,9.72%
West Windsor,MARIELLE A.,90,36,36,18,180,50.00%,10.00%
Westfield,MARIELLE A.,37,14,14,7,72,51.39%,9.72%
Westford,MARIELLE A.,154,61,61,30,306,50.33%,9.80%
Westminster,MARIELLE A.,225,90,90,45,450,50.00%,10.00%
Westmore,MARIELLE A.,19,7,7,3,36,52.78%,8.33%
Weston,MARIELLE A.,45,18,18,9,90,50.00%,10.00%
Weybridge,MARIELLE A.,64,25,25,12,126,50.79%,9.52%
Wheelock,MARIELLE A.,45,18,18,9,90,50.00%,10.00%
Whiting,MARIELLE A.,19,7,7,3,36,52.78%,8.33%
Whitingham,MARIELLE A.,90,36,36,18,180,50.00%,10.00%
Williamstown,MARIELLE A.,217,79,72,36,404,53.71%,8.91%
Williston,MARIELLE A.,1388,415,277,138,2218,62.58%,6.22%
Wilmington,MARIELLE A.,146,57,57,28,288,50.69%,9.72%
Windham,MARIELLE A.,29,10,10,5,54,53.70%,9.26%
Windsor,MARIELLE A.,236,93,93,46,468,50.43%,9.83%
Winhall,MARIELLE A.,64,25,25,12,126,50.79%,9.52%
Winooski,MARIELLE A.,495,198,198,99,990,50.00%,10.00%
Wolcott,MARIELLE A.,109,43,43,21,216,50.46%,9.72%
Woodbury,MARIELLE A.,64,25,25,12,126,50.79%,9.52%
Woodford,MARIELLE A.,19,7,7,3,36,52.78%,8.33%
Woodstock,MARIELLE A.,254,100,100,50,504,50.40%,9.92%
Worcester,MARIELLE A.,64,25,25,12,126,50.79%,9.52%
