City/Town,Leading Candidate,Charity Clark (D),Michael Tagliavia (R),Write-Ins,Blanks,OverVotes,Total Votes Cast,Charity Clark (D) Percent Votes Cast,Michael Tagliavia (R) Percent Votes Cast,OverVotes Percent
Lincoln,Charity Clark (D),560,185,8,96,0,849,65.96%,21.79%,0.00%
Londonderry,Charity Clark (D),551,256,4,108,0,919,59.96%,27.86%,0.00%
Lowell,Michael Tagliavia (R),140,200,0,20,0,360,38.89%,55.56%,0.00%
Ludlow,Charity Clark (D),573,362,4,106,0,1045,54.83%,34.64%,0.00%
Lunenburg,Michael Tagliavia (R),155,249,4,42,0,450,34.44%,55.33%,0.00%
Lyndon,Michael Tagliavia (R),857,982,12,226,0,2077,41.26%,47.28%,0.00%
Maidstone,Michael Tagliavia (R),42,63,1,27,0,133,31.58%,47.37%,0.00%
Manchester,Charity Clark (D),1473,652,6,208,0,2339,62.98%,27.88%,0.00%
Marlboro,Charity Clark (D),418,86,0,60,0,564,74.11%,15.25%,0.00%
Marshfield,Charity Clark (D),453,263,18,78,0,812,55.79%,32.39%,0.00%
Mendon,Charity Clark (D),320,257,2,60,0,639,50.08%,40.22%,0.00%
Middlebury,Charity Clark (D),2606,672,10,322,0,3610,72.19%,18.61%,0.00%
Middlesex,Charity Clark (D),725,216,14,140,0,1095,66.21%,19.73%,0.00%
Middletown Springs,Charity Clark (D),269,199,2,66,0,536,50.19%,37.13%,0.00%
Milton,Charity Clark (D),2299,2055,10,602,0,4966,46.29%,41.38%,0.00%
Monkton,Charity Clark (D),744,389,0,88,0,1221,60.93%,31.86%,0.00%
Montgomery,Charity Clark (D),382,221,4,58,0,665,57.44%,33.23%,0.00%
Montpelier,Charity Clark (D),3578,536,42,496,0,4652,76.91%,11.52%,0.00%
Moretown,Charity Clark (D),670,232,6,156,0,1064,62.97%,21.80%,0.00%
Morgan,Michael Tagliavia (R),127,176,0,46,0,349,36.39%,50.43%,0.00%
Morristown,Charity Clark (D),1662,742,16,330,0,2750,60.44%,26.98%,0.00%
Mount Holly,Charity Clark (D),353,330,0,38,0,721,48.96%,45.77%,0.00%
Mount Tabor,Charity Clark (D),45,43,0,12,0,100,45.00%,43.00%,0.00%
New Haven,Charity Clark (D),552,370,6,108,0,1036,53.28%,35.71%,0.00%
Newark,Michael Tagliavia (R),138,142,0,46,0,326,42.33%,43.56%,0.00%
Newbury,Charity Clark (D),514,431,3,162,0,1110,46.31%,38.83%,0.00%
Newfane,Charity Clark (D),656,218,8,92,0,974,67.35%,22.38%,0.00%
Newport City,Charity Clark (D),721,574,8,114,0,1417,50.88%,40.51%,0.00%
Newport Town,Michael Tagliavia (R),259,322,2,87,0,670,38.66%,48.06%,0.00%
North Hero,Charity Clark (D),374,232,2,48,0,656,57.01%,35.37%,0.00%
Northfield,Charity Clark (D),1103,704,22,274,0,2103,52.45%,33.48%,0.00%
Norton,Michael Tagliavia (R),32,61,0,14,0,107,29.91%,57.01%,0.00%
Norwich,Charity Clark (D),1795,212,6,266,0,2279,78.76%,9.30%,0.00%
Orange,Michael Tagliavia (R),160,280,3,84,0,527,30.36%,53.13%,0.00%
Orwell,Charity Clark (D),308,281,0,62,0,651,47.31%,43.16%,0.00%
Panton,Charity Clark (D),226,116,2,40,0,384,58.85%,30.21%,0.00%
Pawlet,Charity Clark (D),411,320,2,76,0,809,50.80%,39.56%,0.00%
Peacham,Charity Clark (D),293,134,0,56,0,483,60.66%,27.74%,0.00%
Peru,Charity Clark (D),169,47,0,24,0,240,70.42%,19.58%,0.00%
Pittsfield,Charity Clark (D),159,116,0,36,0,311,51.13%,37.30%,0.00%
Pittsford,Michael Tagliavia (R),609,613,4,160,0,1386,43.94%,44.23%,0.00%
Plainfield,Charity Clark (D),477,145,6,70,0,698,68.34%,20.77%,0.00%
Plymouth,Charity Clark (D),178,121,0,22,0,321,55.45%,37.69%,0.00%
Pomfret,Charity Clark (D),416,136,2,78,0,632,65.82%,21.52%,0.00%
Poultney,Michael Tagliavia (R),637,639,4,122,0,1402,45.44%,45.58%,0.00%
Pownal,Michael Tagliavia (R),636,678,4,240,0,1558,40.82%,43.52%,0.00%
Proctor,Charity Clark (D),358,357,2,72,0,789,45.37%,45.25%,0.00%
Putney,Charity Clark (D),938,177,2,152,0,1269,73.92%,13.95%,0.00%
Randolph,Charity Clark (D),1322,794,18,232,0,2366,55.87%,33.56%,0.00%
Reading,Charity Clark (D),242,126,0,50,0,418,57.89%,30.14%,0.00%
Readsboro,Michael Tagliavia (R),160,161,0,22,0,343,46.65%,46.94%,0.00%
Richford,Charity Clark (D),322,313,4,64,0,703,45.80%,44.52%,0.00%
Richmond,Charity Clark (D),1744,504,18,270,0,2536,68.77%,19.87%,0.00%
Ripton,Charity Clark (D),251,63,0,32,0,346,72.54%,18.21%,0.00%
Rochester,Charity Clark (D),398,167,0,72,0,637,62.48%,26.22%,0.00%
Rockingham,Charity Clark (D),1196,545,10,208,0,1959,61.05%,27.82%,0.00%
Roxbury,Charity Clark (D),210,118,2,36,0,366,57.38%,32.24%,0.00%
Royalton,Charity Clark (D),726,376,2,104,0,1208,60.10%,31.13%,0.00%
Rupert,Charity Clark (D),218,147,0,48,0,413,52.78%,35.59%,0.00%
Rutland City,Charity Clark (D),3089,2459,28,546,0,6122,50.46%,40.17%,0.00%
Rutland Town,Charity Clark (D),996,956,12,242,0,2206,45.15%,43.34%,0.00%
Ryegate,Michael Tagliavia (R),238,255,0,52,0,545,43.67%,46.79%,0.00%
Saint Albans City,Charity Clark (D),1415,742,20,216,0,2393,59.13%,31.01%,0.00%
Saint Albans Town,Charity Clark (D),1489,1329,18,402,0,3238,45.99%,41.04%,0.00%
Saint George,Charity Clark (D),218,112,0,46,0,376,57.98%,29.79%,0.00%
Saint Johnsbury,Charity Clark (D),1473,1053,18,264,0,2808,52.46%,37.50%,0.00%
Salisbury,Charity Clark (D),291,210,2,56,0,559,52.06%,37.57%,0.00%
Sandgate,Charity Clark (D),125,81,0,34,0,240,52.08%,33.75%,0.00%
Searsburg,Michael Tagliavia (R),14,30,0,2,0,46,30.43%,65.22%,0.00%
Shaftsbury,Charity Clark (D),1024,664,4,226,0,1918,53.39%,34.62%,0.00%
Sharon,Charity Clark (D),424,226,2,66,0,718,59.05%,31.48%,0.00%
Sheffield,Michael Tagliavia (R),126,142,2,50,0,320,39.38%,44.38%,0.00%
Shelburne,Charity Clark (D),2481,749,12,4994,0,8236,30.12%,9.09%,0.00%
Sheldon,Michael Tagliavia (R),295,375,0,74,0,744,39.65%,50.40%,0.00%
Shoreham,Charity Clark (D),345,202,0,88,0,635,54.33%,31.81%,0.00%
Shrewsbury,Charity Clark (D),306,241,6,72,0,625,48.96%,38.56%,0.00%
South Burlington,Charity Clark (D),7217,2058,0,0,0,9275,77.81%,22.19%,0.00%
South Hero,Charity Clark (D),715,337,4,132,0,1188,60.19%,28.37%,0.00%
Springfield,Charity Clark (D),1820,1377,6,284,0,3487,52.19%,39.49%,0.00%
Stamford,Michael Tagliavia (R),174,209,0,74,0,457,38.07%,45.73%,0.00%
Stannard,Charity Clark (D),68,23,0,12,0,103,66.02%,22.33%,0.00%
Starksboro,Charity Clark (D),560,284,0,98,0,942,59.45%,30.15%,0.00%
Stockbridge,Charity Clark (D),241,136,0,26,0,403,59.80%,33.75%,0.00%
Stowe,Charity Clark (D),1724,648,6,498,0,2876,59.94%,22.53%,0.00%
Strafford,Charity Clark (D),535,109,4,78,0,726,73.69%,15.01%,0.00%
Stratton,Charity Clark (D),81,56,0,12,0,149,54.36%,37.58%,0.00%
Sudbury,Charity Clark (D),184,117,0,22,0,323,56.97%,36.22%,0.00%
Sunderland,Charity Clark (D),329,190,2,48,0,569,57.82%,33.39%,0.00%
Sutton,Michael Tagliavia (R),172,202,2,46,0,422,40.76%,47.87%,0.00%
Swanton,Michael Tagliavia (R),1090,1263,10,218,0,2581,42.23%,48.93%,0.00%
Thetford,Charity Clark (D),1161,351,4,138,0,1654,70.19%,21.22%,0.00%
Tinmouth,Charity Clark (D),152,144,0,18,0,314,48.41%,45.86%,0.00%
Topsham,Michael Tagliavia (R),182,304,1,63,0,550,33.09%,55.27%,0.00%
Townshend,Charity Clark (D),399,159,0,64,0,622,64.15%,25.56%,0.00%
Troy,Michael Tagliavia (R),266,305,6,60,0,637,41.76%,47.88%,0.00%
Tunbridge,Charity Clark (D),418,278,2,68,0,766,54.57%,36.29%,0.00%
Underhill,Charity Clark (D),1242,554,8,242,0,2046,60.70%,27.08%,0.00%
Vergennes,Charity Clark (D),862,348,4,118,0,1332,64.71%,26.13%,0.00%
Vernon,Charity Clark (D),451,412,10,108,0,981,45.97%,42.00%,0.00%
Vershire,Charity Clark (D),220,134,0,32,0,386,56.99%,34.72%,0.00%
Victory,Michael Tagliavia (R),13,36,0,2,0,51,25.49%,70.59%,0.00%
Waitsfield,Charity Clark (D),758,196,1,243,0,1198,63.27%,16.36%,0.00%
Walden,Charity Clark (D),261,182,2,62,0,507,51.48%,35.90%,0.00%
Wallingford,Charity Clark (D),523,478,0,96,0,1097,47.68%,43.57%,0.00%
Waltham,Charity Clark (D),170,92,0,16,0,278,61.15%,33.09%,0.00%
Wardsboro,Charity Clark (D),238,125,0,42,0,405,58.77%,30.86%,0.00%
Warren,Charity Clark (D),778,168,2,114,0,1062,73.26%,15.82%,0.00%
Waterbury,Charity Clark (D),2055,614,16,350,0,3035,67.71%,20.23%,0.00%
Waterford,Michael Tagliavia (R),288,339,2,99,0,728,39.56%,46.57%,0.00%
Waterville,Michael Tagliavia (R),165,171,2,58,0,396,41.67%,43.18%,0.00%
Weathersfield,Charity Clark (D),740,625,2,146,0,1513,48.91%,41.31%,0.00%
Wells,Michael Tagliavia (R),247,316,0,46,0,609,40.56%,51.89%,0.00%
West Fairlee,Charity Clark (D),166,108,0,16,0,290,57.24%,37.24%,0.00%
West Haven,Michael Tagliavia (R),56,64,0,14,0,134,41.79%,47.76%,0.00%
West Rutland,Michael Tagliavia (R),372,510,6,54,0,942,39.49%,54.14%,0.00%
West Windsor,Charity Clark (D),487,235,0,96,0,818,59.54%,28.73%,0.00%
Westfield,Charity Clark (D),155,133,0,30,0,318,48.74%,41.82%,0.00%
Westford,Charity Clark (D),719,369,0,154,0,1242,57.89%,29.71%,0.00%
Westminster,Charity Clark (D),1056,333,6,136,0,1531,68.97%,21.75%,0.00%
Westmore,Charity Clark (D),94,66,0,20,0,180,52.22%,36.67%,0.00%
Weston,Charity Clark (D),258,95,1,66,0,420,61.43%,22.62%,0.00%
Weybridge,Charity Clark (D),426,94,0,42,0,562,75.80%,16.73%,0.00%
Wheelock,Charity Clark (D),190,164,12,32,0,398,47.74%,41.21%,0.00%
Whiting,Charity Clark (D),96,71,0,44,0,211,45.50%,33.65%,0.00%
Whitingham,Charity Clark (D),310,250,0,54,0,614,50.49%,40.72%,0.00%
Williamstown,Michael Tagliavia (R),583,755,8,124,0,1470,39.66%,51.36%,0.00%
Williston,Charity Clark (D),3925,1512,18,610,0,6065,64.72%,24.93%,0.00%
Wilmington,Charity Clark (D),575,289,4,78,0,946,60.78%,30.55%,0.00%
Windham,Charity Clark (D),157,71,2,36,0,266,59.02%,26.69%,0.00%
Windsor,Charity Clark (D),911,476,8,140,0,1535,59.35%,31.01%,0.00%
Winhall,Charity Clark (D),343,135,0,50,0,528,64.96%,25.57%,0.00%
Winooski,Charity Clark (D),2163,435,6,280,0,2884,75.00%,15.08%,0.00%
Wolcott,Charity Clark (D),443,256,2,82,0,783,56.58%,32.69%,0.00%
Woodbury,Charity Clark (D),272,182,6,0,0,460,59.13%,39.57%,0.00%
Woodford,Charity Clark (D),79,75,2,20,0,176,44.89%,42.61%,0.00%
Woodstock,Charity Clark (D),1233,398,0,242,0,1873,65.83%,21.25%,0.00%
Worcester,Charity Clark (D),357,121,2,84,0,564,63.30%,21.45%,0.00%
