City/Town,Leading Candidate,Brooke Paige (R),Sarah Copeland Hanzas (D),Write-Ins,Blanks,OverVotes,Total Votes Cast,Brooke Paige (R) Percent Votes Cast,Sarah Copeland Hanzas (D) Percent Votes Cast,OverVotes Percent
Georgia,Brooke Paige (R),1054,1040,10,236,0,2340,45.04%,44.44%,0.00%
Glover,Sarah Copeland Hanzas (D),200,308,0,66,0,574,34.84%,53.66%,0.00%
Goshen,Sarah Copeland Hanzas (D),39,71,0,10,0,120,32.50%,59.17%,0.00%
Grafton,Sarah Copeland Hanzas (D),114,215,0,24,0,353,32.29%,60.91%,0.00%
Granby,Brooke Paige (R),17,12,0,8,0,37,45.95%,32.43%,0.00%
Grand Isle,Sarah Copeland Hanzas (D),474,636,0,128,0,1238,38.29%,51.37%,0.00%
Granville,Sarah Copeland Hanzas (D),40,89,1,15,0,145,27.59%,61.38%,0.00%
Greensboro,Sarah Copeland Hanzas (D),91,297,2,46,0,436,20.87%,68.12%,0.00%
Groton,Sarah Copeland Hanzas (D),219,221,6,30,0,476,46.01%,46.43%,0.00%
Guildhall,Brooke Paige (R),68,68,0,24,0,160,42.50%,42.50%,0.00%
Guilford,Sarah Copeland Hanzas (D),288,789,2,114,0,1193,24.14%,66.14%,0.00%
Halifax,Sarah Copeland Hanzas (D),154,237,1,63,0,455,33.85%,52.09%,0.00%
Hancock,Sarah Copeland Hanzas (D),57,86,0,10,0,153,37.25%,56.21%,0.00%
Hardwick,Sarah Copeland Hanzas (D),428,633,6,112,0,1179,36.30%,53.69%,0.00%
Hartford,Sarah Copeland Hanzas (D),1268,3348,18,418,0,5052,25.10%,66.27%,0.00%
Hartland,Sarah Copeland Hanzas (D),534,1124,2,160,0,1820,29.34%,61.76%,0.00%
Highgate,Brooke Paige (R),722,482,8,86,0,1298,55.62%,37.13%,0.00%
Hinesburg,Sarah Copeland Hanzas (D),610,1696,10,344,0,2660,22.93%,63.76%,0.00%
Holland,Brooke Paige (R),171,97,0,22,0,290,58.97%,33.45%,0.00%
Hubbardton,Sarah Copeland Hanzas (D),150,171,2,28,0,351,42.74%,48.72%,0.00%
Huntington,Sarah Copeland Hanzas (D),293,797,2,112,0,1204,24.34%,66.20%,0.00%
Hyde Park,Sarah Copeland Hanzas (D),516,775,12,0,0,1303,39.60%,59.48%,0.00%
Ira,Brooke Paige (R),115,93,6,18,0,232,49.57%,40.09%,0.00%
Irasburg,Brooke Paige (R),333,177,0,34,0,544,61.21%,32.54%,0.00%
Isle La Motte,Sarah Copeland Hanzas (D),147,153,1,24,0,325,45.23%,47.08%,0.00%
Jamaica,Sarah Copeland Hanzas (D),114,289,2,40,0,445,25.62%,64.94%,0.00%
Jay,Brooke Paige (R),121,115,1,39,0,276,43.84%,41.67%,0.00%
Jericho,Sarah Copeland Hanzas (D),854,2032,12,384,0,3282,26.02%,61.91%,0.00%
Johnson,Sarah Copeland Hanzas (D),440,670,12,132,0,1254,35.09%,53.43%,0.00%
Killington,Sarah Copeland Hanzas (D),233,385,2,68,0,688,33.87%,55.96%,0.00%
Kirby,Sarah Copeland Hanzas (D),106,174,0,22,0,302,35.10%,57.62%,0.00%
Landgrove,Sarah Copeland Hanzas (D),18,83,0,24,0,125,14.40%,66.40%,0.00%
Leicester,Sarah Copeland Hanzas (D),194,234,0,52,0,480,40.42%,48.75%,0.00%
Lemington,Brooke Paige (R),18,18,0,4,0,40,45.00%,45.00%,0.00%
Lincoln,Sarah Copeland Hanzas (D),191,549,8,106,0,854,22.37%,64.29%,0.00%
Londonderry,Brooke Paige (R),546,278,2,76,0,902,60.53%,30.82%,0.00%
Lowell,Brooke Paige (R),206,135,0,18,0,359,57.38%,37.60%,0.00%
Ludlow,Sarah Copeland Hanzas (D),375,553,4,120,0,1052,35.65%,52.57%,0.00%
Lunenburg,Brooke Paige (R),253,155,4,34,0,446,56.73%,34.75%,0.00%
Lyndon,Brooke Paige (R),976,876,10,200,0,2062,47.33%,42.48%,0.00%
Maidstone,Brooke Paige (R),66,40,0,18,0,124,53.23%,32.26%,0.00%
Manchester,Sarah Copeland Hanzas (D),683,1434,4,228,0,2349,29.08%,61.05%,0.00%
Marlboro,Sarah Copeland Hanzas (D),80,420,0,68,0,568,14.08%,73.94%,0.00%
Marshfield,Sarah Copeland Hanzas (D),264,466,4,64,0,798,33.08%,58.40%,0.00%
Mendon,Sarah Copeland Hanzas (D),257,317,0,68,0,642,40.03%,49.38%,0.00%
Middlebury,Sarah Copeland Hanzas (D),697,2577,14,326,0,3614,19.29%,71.31%,0.00%
Middlesex,Sarah Copeland Hanzas (D),219,721,16,140,0,1096,19.98%,65.78%,0.00%
Middletown Springs,Sarah Copeland Hanzas (D),202,261,0,76,0,539,37.48%,48.42%,0.00%
Milton,Sarah Copeland Hanzas (D),2092,2239,20,634,0,4985,41.97%,44.91%,0.00%
Monkton,Sarah Copeland Hanzas (D),387,735,0,110,0,1232,31.41%,59.66%,0.00%
Montgomery,Sarah Copeland Hanzas (D),222,376,0,72,0,670,33.13%,56.12%,0.00%
Montpelier,Sarah Copeland Hanzas (D),530,3605,54,442,0,4631,11.44%,77.84%,0.00%
Moretown,Sarah Copeland Hanzas (D),226,677,14,142,0,1059,21.34%,63.93%,0.00%
Morgan,Brooke Paige (R),183,123,0,38,0,344,53.20%,35.76%,0.00%
Morristown,Sarah Copeland Hanzas (D),765,1641,14,328,0,2748,27.84%,59.72%,0.00%
Mount Holly,Sarah Copeland Hanzas (D),317,355,4,56,0,732,43.31%,48.50%,0.00%
Mount Tabor,Brooke Paige (R),46,43,0,10,0,99,46.46%,43.43%,0.00%
New Haven,Sarah Copeland Hanzas (D),375,549,4,104,0,1032,36.34%,53.20%,0.00%
Newark,Sarah Copeland Hanzas (D),137,140,0,52,0,329,41.64%,42.55%,0.00%
Newbury,Sarah Copeland Hanzas (D),370,589,5,252,0,1216,30.43%,48.44%,0.00%
Newfane,Sarah Copeland Hanzas (D),212,659,8,98,0,977,21.70%,67.45%,0.00%
Newport City,Sarah Copeland Hanzas (D),576,716,12,116,0,1420,40.56%,50.42%,0.00%
Newport Town,Brooke Paige (R),342,244,0,52,0,638,53.61%,38.24%,0.00%
North Hero,Sarah Copeland Hanzas (D),232,372,8,46,0,658,35.26%,56.53%,0.00%
Northfield,Sarah Copeland Hanzas (D),723,1094,22,254,0,2093,34.54%,52.27%,0.00%
Norton,Brooke Paige (R),62,31,0,14,0,107,57.94%,28.97%,0.00%
Norwich,Sarah Copeland Hanzas (D),196,1841,4,208,0,2249,8.71%,81.86%,0.00%
Orange,Brooke Paige (R),251,181,10,62,0,504,49.80%,35.91%,0.00%
Orwell,Sarah Copeland Hanzas (D),283,301,0,72,0,656,43.14%,45.88%,0.00%
Panton,Sarah Copeland Hanzas (D),119,221,2,44,0,386,30.83%,57.25%,0.00%
Pawlet,Sarah Copeland Hanzas (D),316,411,4,82,0,813,38.87%,50.55%,0.00%
Peacham,Sarah Copeland Hanzas (D),118,311,1,75,0,505,23.37%,61.58%,0.00%
Peru,Sarah Copeland Hanzas (D),55,161,2,22,0,240,22.92%,67.08%,0.00%
Pittsfield,Sarah Copeland Hanzas (D),118,161,0,28,0,307,38.44%,52.44%,0.00%
Pittsford,Brooke Paige (R),623,607,4,144,0,1378,45.21%,44.05%,0.00%
Plainfield,Sarah Copeland Hanzas (D),148,476,6,66,0,696,21.26%,68.39%,0.00%
Plymouth,Sarah Copeland Hanzas (D),121,179,0,20,0,320,37.81%,55.94%,0.00%
Pomfret,Sarah Copeland Hanzas (D),140,414,0,76,0,630,22.22%,65.71%,0.00%
Poultney,Brooke Paige (R),636,634,2,136,0,1408,45.17%,45.03%,0.00%
Pownal,Brooke Paige (R),679,638,4,236,0,1557,43.61%,40.98%,0.00%
Proctor,Sarah Copeland Hanzas (D),328,371,4,102,0,805,40.75%,46.09%,0.00%
Putney,Sarah Copeland Hanzas (D),181,942,2,136,0,1261,14.35%,74.70%,0.00%
Randolph,Sarah Copeland Hanzas (D),761,1358,12,234,0,2365,32.18%,57.42%,0.00%
Reading,Sarah Copeland Hanzas (D),121,249,0,46,0,416,29.09%,59.86%,0.00%
Readsboro,Sarah Copeland Hanzas (D),156,160,0,32,0,348,44.83%,45.98%,0.00%
Richford,Brooke Paige (R),330,296,10,76,0,712,46.35%,41.57%,0.00%
Richmond,Sarah Copeland Hanzas (D),509,1742,20,262,0,2533,20.09%,68.77%,0.00%
Ripton,Sarah Copeland Hanzas (D),63,253,0,28,0,344,18.31%,73.55%,0.00%
Rochester,Sarah Copeland Hanzas (D),163,396,0,84,0,643,25.35%,61.59%,0.00%
Rockingham,Sarah Copeland Hanzas (D),545,1209,2,190,0,1946,28.01%,62.13%,0.00%
Roxbury,Sarah Copeland Hanzas (D),117,208,2,40,0,367,31.88%,56.68%,0.00%
Royalton,Sarah Copeland Hanzas (D),383,718,6,102,0,1209,31.68%,59.39%,0.00%
Rupert,Sarah Copeland Hanzas (D),150,215,0,48,0,413,36.32%,52.06%,0.00%
Rutland City,Sarah Copeland Hanzas (D),2356,3160,44,700,0,6260,37.64%,50.48%,0.00%
Rutland Town,Sarah Copeland Hanzas (D),938,1005,6,264,0,2213,42.39%,45.41%,0.00%
Ryegate,Sarah Copeland Hanzas (D),227,270,2,42,0,541,41.96%,49.91%,0.00%
Saint Albans City,Sarah Copeland Hanzas (D),782,1383,16,204,0,2385,32.79%,57.99%,0.00%
Saint Albans Town,Sarah Copeland Hanzas (D),1357,1476,18,368,0,3219,42.16%,45.85%,0.00%
Saint George,Sarah Copeland Hanzas (D),120,212,4,38,0,374,32.09%,56.68%,0.00%
Saint Johnsbury,Sarah Copeland Hanzas (D),1023,1514,12,250,0,2799,36.55%,54.09%,0.00%
Salisbury,Sarah Copeland Hanzas (D),216,287,2,54,0,559,38.64%,51.34%,0.00%
Sandgate,Sarah Copeland Hanzas (D),84,119,2,38,0,243,34.57%,48.97%,0.00%
Searsburg,Brooke Paige (R),29,15,0,2,0,46,63.04%,32.61%,0.00%
Shaftsbury,Sarah Copeland Hanzas (D),672,1003,8,246,0,1929,34.84%,52.00%,0.00%
Sharon,Sarah Copeland Hanzas (D),219,432,2,64,0,717,30.54%,60.25%,0.00%
Sheffield,Brooke Paige (R),143,128,8,38,0,317,45.11%,40.38%,0.00%
Shelburne,Sarah Copeland Hanzas (D),725,2485,18,5028,0,8256,8.78%,30.10%,0.00%
Sheldon,Brooke Paige (R),398,275,6,62,0,741,53.71%,37.11%,0.00%
Shoreham,Sarah Copeland Hanzas (D),214,339,0,76,0,629,34.02%,53.90%,0.00%
Shrewsbury,Sarah Copeland Hanzas (D),238,309,2,76,0,625,38.08%,49.44%,0.00%
South Burlington,Sarah Copeland Hanzas (D),2009,7205,0,0,0,9214,21.80%,78.20%,0.00%
South Hero,Sarah Copeland Hanzas (D),355,703,2,122,0,1182,30.03%,59.48%,0.00%
Springfield,Sarah Copeland Hanzas (D),1386,1795,20,298,0,3499,39.61%,51.30%,0.00%
Stamford,Brooke Paige (R),207,184,0,58,0,449,46.10%,40.98%,0.00%
Stannard,Sarah Copeland Hanzas (D),26,65,0,12,0,103,25.24%,63.11%,0.00%
Starksboro,Sarah Copeland Hanzas (D),291,553,2,96,0,942,30.89%,58.70%,0.00%
Stockbridge,Sarah Copeland Hanzas (D),121,256,0,26,0,403,30.02%,63.52%,0.00%
Stowe,Sarah Copeland Hanzas (D),676,1704,12,476,0,2868,23.57%,59.41%,0.00%
Strafford,Sarah Copeland Hanzas (D),99,551,0,70,0,720,13.75%,76.53%,0.00%
Stratton,Sarah Copeland Hanzas (D),58,78,0,14,0,150,38.67%,52.00%,0.00%
Sudbury,Sarah Copeland Hanzas (D),111,189,0,26,0,326,34.05%,57.98%,0.00%
Sunderland,Sarah Copeland Hanzas (D),196,317,0,62,0,575,34.09%,55.13%,0.00%
Sutton,Brooke Paige (R),200,175,4,42,0,421,47.51%,41.57%,0.00%
Swanton,Brooke Paige (R),1277,1083,10,204,0,2574,49.61%,42.07%,0.00%
Thetford,Sarah Copeland Hanzas (D),312,1194,8,146,0,1660,18.80%,71.93%,0.00%
Tinmouth,Sarah Copeland Hanzas (D),143,156,0,12,0,311,45.98%,50.16%,0.00%
Topsham,Brooke Paige (R),260,230,1,51,0,542,47.97%,42.44%,0.00%
Townshend,Sarah Copeland Hanzas (D),154,400,8,64,0,626,24.60%,63.90%,0.00%
Troy,Brooke Paige (R),321,257,4,48,0,630,50.95%,40.79%,0.00%
Tunbridge,Sarah Copeland Hanzas (D),264,439,6,50,0,759,34.78%,57.84%,0.00%
Underhill,Sarah Copeland Hanzas (D),537,1241,8,278,0,2064,26.02%,60.13%,0.00%
Vergennes,Sarah Copeland Hanzas (D),358,848,8,122,0,1336,26.80%,63.47%,0.00%
Vernon,Sarah Copeland Hanzas (D),424,453,4,86,0,967,43.85%,46.85%,0.00%
Vershire,Sarah Copeland Hanzas (D),110,250,2,24,0,386,28.50%,64.77%,0.00%
Victory,Brooke Paige (R),31,15,0,8,0,54,57.41%,27.78%,0.00%
Waitsfield,Sarah Copeland Hanzas (D),209,755,2,210,0,1176,17.77%,64.20%,0.00%
Walden,Sarah Copeland Hanzas (D),185,260,0,60,0,505,36.63%,51.49%,0.00%
Wallingford,Sarah Copeland Hanzas (D),477,516,14,98,0,1105,43.17%,46.70%,0.00%
Waltham,Sarah Copeland Hanzas (D),97,165,0,16,0,278,34.89%,59.35%,0.00%
Wardsboro,Sarah Copeland Hanzas (D),125,236,2,44,0,407,30.71%,57.99%,0.00%
Warren,Sarah Copeland Hanzas (D),174,771,2,116,0,1063,16.37%,72.53%,0.00%
Waterbury,Sarah Copeland Hanzas (D),623,2038,16,362,0,3039,20.50%,67.06%,0.00%
Waterford,Brooke Paige (R),317,310,0,70,0,697,45.48%,44.48%,0.00%
Waterville,Brooke Paige (R),177,162,2,52,0,393,45.04%,41.22%,0.00%
Weathersfield,Sarah Copeland Hanzas (D),610,762,6,128,0,1506,40.50%,50.60%,0.00%
Wells,Brooke Paige (R),314,247,2,48,0,611,51.39%,40.43%,0.00%
West Fairlee,Sarah Copeland Hanzas (D),94,180,0,16,0,290,32.41%,62.07%,0.00%
West Haven,Brooke Paige (R),66,56,0,10,0,132,50.00%,42.42%,0.00%
West Rutland,Brooke Paige (R),510,367,6,64,0,947,53.85%,38.75%,0.00%
West Windsor,Sarah Copeland Hanzas (D),230,494,12,80,0,816,28.19%,60.54%,0.00%
Westfield,Sarah Copeland Hanzas (D),139,149,2,28,0,318,43.71%,46.86%,0.00%
Westford,Sarah Copeland Hanzas (D),371,717,2,152,0,1242,29.87%,57.73%,0.00%
Westminster,Sarah Copeland Hanzas (D),338,1063,6,114,0,1521,22.22%,69.89%,0.00%
Westmore,Sarah Copeland Hanzas (D),65,98,0,14,0,177,36.72%,55.37%,0.00%
Weston,Sarah Copeland Hanzas (D),104,253,0,38,0,395,26.33%,64.05%,0.00%
Weybridge,Sarah Copeland Hanzas (D),100,420,0,42,0,562,17.79%,74.73%,0.00%
Wheelock,Sarah Copeland Hanzas (D),159,196,10,32,0,397,40.05%,49.37%,0.00%
Whiting,Sarah Copeland Hanzas (D),74,96,0,38,0,208,35.58%,46.15%,0.00%
Whitingham,Sarah Copeland Hanzas (D),262,308,0,34,0,604,43.38%,50.99%,0.00%
Williamstown,Brooke Paige (R),748,572,34,134,0,1488,50.27%,38.44%,0.00%
Williston,Sarah Copeland Hanzas (D),1609,3751,34,746,0,6140,26.21%,61.09%,0.00%
Wilmington,Sarah Copeland Hanzas (D),282,585,4,74,0,945,29.84%,61.90%,0.00%
Windham,Sarah Copeland Hanzas (D),80,157,0,20,0,257,31.13%,61.09%,0.00%
Windsor,Sarah Copeland Hanzas (D),458,922,6,156,0,1542,29.70%,59.79%,0.00%
Winhall,Sarah Copeland Hanzas (D),139,340,0,48,0,527,26.38%,64.52%,0.00%
Winooski,Sarah Copeland Hanzas (D),439,2152,12,286,0,2889,15.20%,74.49%,0.00%
Wolcott,Sarah Copeland Hanzas (D),275,424,6,78,0,783,35.12%,54.15%,0.00%
Woodbury,Sarah Copeland Hanzas (D),181,276,2,0,0,459,39.43%,60.13%,0.00%
Woodford,Brooke Paige (R),78,75,0,24,0,177,44.07%,42.37%,0.00%
Woodstock,Sarah Copeland Hanzas (D),423,1217,4,220,0,1864,22.69%,65.29%,0.00%
Worcester,Sarah Copeland Hanzas (D),116,361,6,82,0,565,20.53%,63.89%,0.00%
